seconds_elapsed,dBFS
0.0,-33.174420891536705
0.01,-34.46116490922928
0.02,-29.552503687427517
0.03,-29.968331913218748
0.04,-30.213975587374332
0.05,-18.902810990476762
0.06,-17.912528690048795
0.07,-16.709544813645987
0.08,-16.67151625662142
0.09,-17.63559057816548
0.1,-25.705131121813444
0.11,-29.049842017504155
0.12,-30.317688934674713
0.13,-29.68891307192362
0.14,-30.609456170884485
0.15,-30.609456170884485
0.16,-31.49866900054301
0.17,-32.48940675940057
0.18,-32.88922242398285
0.19,-33.06637111293361
0.2,-32.65850794009675
0.21,-33.59518726934584
0.22,-32.88922242398285
0.23,-32.715614586553286
0.24,-33.852565793132264
0.25,-32.467106645384746
0.26,-33.53201688444925
0.27,-32.715614586553286
0.28,-33.198615585838354
0.29,-32.12858161497124
0.3,-33.35754551635211
0.31,-33.18650981434835
0.32,-32.77309917518034
0.33,-31.844118326588827
0.34,-32.26894087217977
0.35,-30.36127101124809
0.36,-31.75133049258022
0.37,-32.865873244228496
0.38,-33.89183891040035
0.39,-31.730844894315304
0.4,-31.969397752786712
0.41,-31.109101932626032
0.42,-31.23380486452978
0.43,-31.253149838312517
0.44,-29.262816706247886
0.45,-30.939339728115655
0.46,-32.51176427403059
0.47,-32.64713152768056
0.48,-33.95769130799874
0.49,-33.710064780361634
0.5,-35.29883080216743
0.51,-35.581068653661504
0.52,-36.9973788788353
0.53,-35.01053900619659
0.54,-36.38187092452772
0.55,-37.782191351693506
0.56,-36.793431865712655
0.57,-39.1108661984721
0.58,-29.049842017504155
0.59,-28.510896470406397
0.6,-23.097130427889383
0.61,-16.896660971187845
0.62,-17.183200675367164
0.63,-17.063288384751758
0.64,-20.65152702701928
0.65,-26.712220138730626
0.66,-30.378765256110782
0.67,-31.11863115973439
0.68,-32.66989927240235
0.69,-32.54540882082786
0.7,-32.51176427403059
0.71,-36.94128036539435
0.72,-35.34523815907035
0.73,-39.502409203376885
0.74,-38.532364187310215
0.75,-37.59932376289611
0.76,-36.140580696500095
0.77,-39.91243882367998
0.78,-34.96588137755075
0.79,-31.885677686439582
0.8,-32.601774298564116
0.81,-32.25806311291453
0.82,-32.52296464906815
0.83,-33.569863958003346
0.84,-34.433191005377985
0.85,-36.005651542225195
0.86,-35.95558863914911
0.87,-36.0391878373155
0.88,-36.9973788788353
0.89,-37.034980191401395
0.9,-33.13825474780157
0.91,-30.162579640739466
0.92,-29.544545931819982
0.93,-27.555587954459252
0.94,-29.064882522800104
0.95,-28.864000746924063
0.96,-30.573564013869458
0.97,-29.61642956668795
0.98,-28.294696967732726
0.99,-28.89346944232566
1.0,-26.717962875890603
1.01,-28.31538587700935
1.02,-28.72537377824186
1.03,-29.68891307192362
1.04,-29.640523589455363
1.05,-29.355714807163157
1.06,-31.071089225837348
1.07,-31.20486794835552
1.08,-32.107187787312995
1.09,-31.253149838312517
1.1,-31.458916575832742
1.11,-33.76161323811785
1.12,-33.74869741471482
1.13,-28.405611670559253
1.14,-28.070313172540725
1.15,-24.989071289292774
1.16,-28.13093614584809
1.17,-19.699881827500832
1.18,-17.889629986308563
1.19,-21.795054431942535
1.2,-27.845037198554383
1.21,-30.591491553026483
1.22,-32.78464188736151
1.23,-35.39189479571978
1.24,-36.666097171717716
1.25,-36.8301587265126
1.26,-37.12970184590566
1.27,-37.70044119869388
1.28,-35.39189479571978
1.29,-37.96899187677637
1.3,-39.96508074019487
1.31,-40.708859840051346
1.32,-40.01804364598864
1.33,-39.9387199016366
1.34,-40.260456299505705
1.35,-39.91243882367998
1.36,-40.23318503805073
1.37,-39.80810255845745
1.38,-36.0391878373155
1.39,-31.669676404630902
1.4,-29.893488935323198
1.41,-29.82749895304583
1.42,-28.878722597292573
1.43,-28.945281464271126
1.44,-28.900852264391965
1.45,-29.528652259246115
1.46,-29.31688644729489
1.47,-30.119980783220477
1.48,-30.231175374456143
1.49,-30.4933448631316
1.5,-30.457928342551646
1.51,-31.137721034755007
1.52,-30.01019170333563
1.53,-30.573564013869458
1.54,-30.528906385223618
1.55,-29.496951896912897
1.56,-30.537819561622044
1.57,-29.985051628945577
1.58,-31.17602711509029
1.59,-31.690018075843895
1.6,-30.690759943657483
1.61,-31.37013328523785
1.62,-31.147281728772654
1.63,-31.004964678676114
1.64,-30.827980643336808
1.65,-31.64938226073039
1.66,-32.02213555680554
1.67,-31.90653217337988
1.68,-31.730844894315304
1.69,-31.558640858847422
1.7,-32.20387772422533
1.71,-32.715614586553286
1.72,-32.19308109183699
1.73,-32.796199959110986
1.74,-33.41945518428073
1.75,-31.927436851672873
1.76,-32.64713152768056
1.77,-32.29073734444098
1.78,-33.865637111834005
1.79,-32.52296464906815
1.8,-34.19898153602635
1.81,-33.852565793132264
1.82,-33.53201688444925
1.83,-32.995077500872945
1.84,-33.32061042325637
1.85,-33.544614261041836
1.86,-33.519437751710385
1.87,-33.174420891536705
1.88,-33.64605646093865
1.89,-32.83096674190513
1.9,-33.11422737525142
1.91,-33.431890246731136
1.92,-34.67389120614498
1.93,-34.51738445590585
1.94,-35.161078123333866
1.95,-33.944480826915246
1.96,-35.32974147407113
1.97,-35.23733752133622
1.98,-34.80407350438963
1.99,-35.50174490930948
2.0,-35.565145845099615
2.01,-36.005651542225195
2.02,-35.92237295951982
2.03,-35.66112350273499
2.04,-35.70951298520325
2.05,-35.80710827756498
2.06,-35.438803404625766
2.07,-35.93896492184887
2.08,-37.28343841923147
2.09,-36.9973788788353
2.1,-36.95993964139527
2.11,-38.75916270244985
2.12,-37.844012891236346
2.13,-25.954057233938485
2.14,-8.12755707961677
2.15,-5.529519715473448
2.16,-8.774005886714356
2.17,-15.732187332394929
2.18,-20.557747494066795
2.19,-24.472744949851975
2.2,-24.561923244899425
2.21,-29.355714807163157
2.22,-31.166434745658094
2.23,-32.41160556428931
2.24,-33.11422737525142
2.25,-34.847904831909105
2.26,-35.47021714461037
2.27,-34.475185718792
2.28,-35.19150158574453
2.29,-35.905812631075214
2.3,-35.95558863914911
2.31,-36.576273313948484
2.32,-34.559789208826054
2.33,-35.95558863914911
2.34,-36.73863111839208
2.35,-35.69335318586658
2.36,-37.74122009818812
2.37,-38.03216226167297
2.38,-37.459708294351934
2.39,-32.117878114370846
2.4,-34.83326979957049
2.41,-35.790766053293396
2.42,-36.48736885673499
2.43,-36.59416392714908
2.44,-33.519437751710385
2.45,-37.68012331893091
2.46,-39.13482728853104
2.47,-39.452490160010754
2.48,-39.91243882367998
2.49,-40.34278762340235
2.5,-40.708859840051346
2.51,-41.77877347190285
2.52,-39.99152182496077
2.53,-40.680146129148255
2.54,-41.091041844063405
2.55,-39.730664693641266
2.56,-39.01567741415257
2.57,-39.47741382026274
2.58,-37.9062775997192
2.59,-37.9480367649525
2.6,-36.904081637711876
2.61,-37.034980191401395
2.62,-37.225467861635146
2.63,-37.7616815673397
2.64,-38.96847137601314
2.65,-39.3289334586786
2.66,-40.53798436918547
2.67,-40.34278762340235
2.68,-39.1108661984721
2.69,-33.53201688444925
2.7,-35.905812631075214
2.71,-37.88547306369365
2.72,-36.68417395168262
2.73,-39.88623702511363
2.74,-40.07133147961686
2.75,-39.9387199016366
2.76,-39.9387199016366
2.77,-38.82837334463998
2.78,-38.224477637504954
2.79,-38.465463551277026
2.8,-37.74122009818812
2.81,-38.09579543739675
2.82,-38.55477939881613
2.83,-35.93896492184887
2.84,-36.072854118370536
2.85,-37.53921356010161
2.86,-37.14877076605211
2.87,-37.16788164205228
2.88,-36.885541844892686
2.89,-36.59416392714908
2.9,-36.55841947490166
2.91,-38.75916270244985
2.92,-38.736214499832904
2.93,-37.14877076605211
2.94,-38.55477939881613
2.95,-36.9973788788353
2.96,-37.499369959785916
2.97,-38.44327735878521
2.98,-34.02404678455595
2.99,-24.432911500807624
3.0,-18.357288664150264
3.01,-12.797356612636644
3.02,-10.937471995684405
3.03,-10.490683609072669
3.04,-9.209846778946227
3.05,-11.101486070991193
3.06,-11.272537992876117
3.07,-10.302052765487087
3.08,-6.485010305163989
3.09,-5.900560250437547
3.1,-6.906112246327228
3.11,-6.939049028733705
3.12,-6.902003916410679
3.13,-6.503485568055142
3.14,-7.311689638669127
3.15,-7.229654266284782
3.16,-8.237713098175215
3.17,-6.697306767135247
3.18,-6.799342283698914
3.19,-6.8371159241017025
3.2,-6.554637047842262
3.21,-6.555764646135169
3.22,-8.190623893466904
3.23,-5.897423606537774
3.24,-6.21087012114299
3.25,-6.6492993591227245
3.26,-6.505727666580255
3.27,-7.288960539337731
3.28,-6.327614774159525
3.29,-6.2005803856675
3.3,-12.66761981047139
3.31,-12.486058090218936
3.32,-14.416449805904197
3.33,-13.20709967602192
3.34,-15.047929893202062
3.35,-15.311181873765918
3.36,-17.1812843180206
3.37,-19.18053627176865
3.38,-19.88362118722665
3.39,-20.71749249569459
3.4,-21.347245365347533
3.41,-19.137227037030367
3.42,-17.256337337532155
3.43,-16.301848142741157
3.44,-15.595424181076265
3.45,-15.377871470986975
3.46,-14.785148404252919
3.47,-11.426257236032399
3.48,-9.555688832178308
3.49,-7.973524159676363
3.5,-9.989236591511752
3.51,-9.021336610950424
3.52,-6.351263331170647
3.53,-5.798161155449742
3.54,-4.947741142740687
3.55,-5.415046673260199
3.56,-9.25204303117715
3.57,-12.56903778577237
3.58,-13.180463249789469
3.59,-13.762905877399659
3.6,-14.877249081569248
3.61,-11.650395842578567
3.62,-7.510787581680706
3.63,-5.990434112396002
3.64,-5.748695197158603
3.65,-5.701042201112742
3.66,-4.82122278818678
3.67,-5.13529544704491
3.68,-5.051911790870495
3.69,-5.365742518407735
3.7,-6.0025936725957525
3.71,-4.94727261024668
3.72,-4.862881811152629
3.73,-4.989071289292775
3.74,-4.870773221996445
3.75,-9.358050037621657
3.76,-10.603164327336593
3.77,-5.049541123086989
3.78,-3.8861473946053926
3.79,-4.091735213743478
3.8,-4.229966020325351
3.81,-3.7822814806193295
3.82,-3.6557866937816574
3.83,-4.08070335594719
3.84,-4.328882370181617
3.85,-4.526141980547696
3.86,-4.124062754120926
3.87,-3.8373571022144617
3.88,-3.180832158414733
3.89,-3.737329704910319
3.9,-4.894956257437993
3.91,-5.048593037113438
3.92,-10.498669818629775
3.93,-11.995726629078893
3.94,-10.481818646435352
3.95,-6.865700428375226
3.96,-4.064181796310117
3.97,-3.249149790253793
3.98,-3.2951243607015734
3.99,-3.4941691993947983
4.0,-3.882830903676186
4.01,-3.8786870699837053
4.02,-3.4692353182305875
4.03,-4.065874869681895
4.04,-4.5319464151994024
4.05,-3.449103040644816
4.06,-3.7618200114677514
4.07,-5.466124245172702
4.08,-6.623121594215254
4.09,-7.481257601847609
4.1,-7.648445241196809
4.11,-6.926094679370392
4.12,-7.603164609679316
4.13,-5.15062969291319
4.14,-4.228240661102701
4.15,-4.252859444365943
4.16,-4.133443225899935
4.17,-3.917301236992239
4.18,-3.3125733089465403
4.19,-4.325392484287422
4.2,-4.054875787236556
4.21,-4.740329168446041
4.22,-3.898180300702743
4.23,-3.5894158523872925
4.24,-4.122358301674707
4.25,-5.755377244136957
4.26,-7.2387989131776065
4.27,-8.129584361604747
4.28,-6.003651830559913
4.29,-8.382619288942163
4.3,-9.561265647546815
4.31,-7.908054812133546
4.32,-7.411912554135761
4.33,-4.456789642427938
4.34,-4.648857188119254
4.35,-4.964155722682265
4.36,-4.922009313299956
4.37,-5.257277417886325
4.38,-6.001006677316561
4.39,-6.558584282465096
4.4,-8.402821471486735
4.41,-10.075898484698797
4.42,-9.247429829525963
4.43,-6.39211220424872
4.44,-4.507861053127046
4.45,-5.210306917645539
4.46,-7.668930839461724
4.47,-10.919748539701619
4.48,-15.930664978897134
4.49,-18.38365617128405
4.5,-14.924407064462482
4.51,-16.217409705268373
4.52,-14.0976281148661
4.53,-11.227044289610566
4.54,-7.201063225097341
4.55,-8.086437972291877
4.56,-10.128483857456152
4.57,-11.621049883574596
4.58,-10.848289885455698
4.59,-10.002642037812024
4.6,-10.248409288121998
4.61,-14.632355831505537
4.62,-17.347656110215663
4.63,-15.743546741294017
4.64,-12.477134612215053
4.65,-6.657852673096098
4.66,-6.134798301066335
4.67,-9.316886447294895
4.68,-13.843427560160944
4.69,-16.71317527958727
4.7,-18.224477637504958
4.71,-21.325604055890338
4.72,-19.6360991232191
4.73,-12.821681984593381
4.74,-10.821528557565891
4.75,-12.766180903497936
4.76,-16.854114733062374
4.77,-20.22774104562052
4.78,-21.30709718176231
4.79,-22.444516371968408
4.8,-22.741040680231603
4.81,-24.00639235552232
4.82,-14.909642672605507
4.83,-9.436252507342948
4.84,-7.998785451494389
4.85,-11.934765391547934
4.86,-16.804433627333076
4.87,-20.495785632071623
4.88,-25.09326532609483
4.89,-24.848973257919603
4.9,-25.583293150233786
4.91,-20.470564447471343
4.92,-9.798785242142745
4.93,-8.785659912295706
4.94,-11.35346452989959
4.95,-16.920801353438705
4.96,-18.963764852116867
4.97,-18.8353248373184
4.98,-19.962441053306886
4.99,-18.891137974826513
5.0,-13.675441715365025
5.01,-10.121680732269464
5.02,-15.771195884357924
5.03,-21.617620618510387
5.04,-24.923410903756384
5.05,-26.264683183171726
5.06,-28.077028201586476
5.07,-27.057710568733974
5.08,-27.238798913177604
5.09,-23.389767862931528
5.1,-16.631854591187427
5.11,-21.873630675055878
5.12,-24.51276191684193
5.13,-20.945006977742104
5.14,-20.312508782402766
5.15,-22.096827847827
5.16,-24.779762615729474
5.17,-28.923038456883774
5.18,-30.33509553296124
5.19,-29.75385460538329
5.2,-30.466768943455364
5.21,-30.10299956639812
5.22,-23.358495499220567
5.23,-23.50805234596649
5.24,-22.205487774834573
5.25,-21.136241718681372
5.26,-23.603853570503723
5.27,-25.74099152513426
5.28,-26.764041974081888
5.29,-28.25346640152553
5.3,-30.618452432318502
5.31,-30.33509553296124
5.32,-29.347935236882176
5.33,-26.091931392896495
5.34,-20.282335126283037
5.35,-12.00311303874063
5.36,-16.172936758447594
5.37,-23.39368483690459
5.38,-25.408621284439295
5.39,-27.355472214372384
5.4,-28.03013165305762
5.41,-29.934988725869488
5.42,-30.12848385745615
5.43,-30.62745802113774
5.44,-30.56461410103426
5.45,-32.48940675940057
5.46,-33.35754551635211
5.47,-31.224148510407858
5.48,-30.52000234586052
5.49,-29.095041892122122
5.5,-28.9824801919536
5.51,-25.334823987176
5.52,-23.074441978842497
5.53,-22.322448056020782
5.54,-22.127251310237654
5.55,-21.847359533249737
5.56,-21.66565331034259
5.57,-20.448206932841334
5.58,-21.765770640675047
5.59,-22.58972728718041
5.6,-18.959060877109906
5.61,-17.080317691315955
5.62,-24.163357758527436
5.63,-25.573216711008495
5.64,-28.010110384942664
5.65,-28.703686152397463
5.66,-29.544545931819982
5.67,-31.37013328523785
5.68,-32.35645687338553
5.69,-32.107187787312995
5.7,-35.22203198497398
5.71,-33.852565793132264
5.72,-33.633311206064775
5.73,-33.49433400695822
5.74,-34.267213541559705
5.75,-32.279832271272106
5.76,-32.97144241244438
5.77,-32.35645687338553
5.78,-31.979919728195853
5.79,-30.17967785420972
5.8,-32.47824954574307
5.81,-34.02404678455595
5.82,-33.48180929009726
5.83,-33.95769130799874
