seconds_elapsed,dBFS
0.0,-13.14066114472459
0.01,-13.558492510202331
0.02,-12.566784636696685
0.03,-11.274479190702518
0.04,-11.899227406028402
0.05,-9.779967784429559
0.06,-9.650179943577285
0.07,-11.898184369144762
0.08,-14.448565502274693
0.09,-14.823039929208807
0.1,-17.908360796668408
0.11,-15.07795892791072
0.12,-17.794520508679238
0.13,-16.42567278053039
0.14,-19.98622716485287
0.15,-19.20952953252956
0.16,-22.026251455504827
0.17,-22.906141758172318
0.18,-23.089561024675636
0.19,-24.526141980547695
0.2,-22.312064444935906
0.21,-21.860485171770264
0.22,-17.018039454263423
0.23,-14.353956126180144
0.24,-15.970577235859135
0.25,-14.39417828180948
0.26,-12.36635783155247
0.27,-12.201717323856512
0.28,-10.72440683875125
0.29,-8.847835479417638
0.3,-10.356029601270233
0.31,-10.72440683875125
0.32,-11.24153768466044
0.33,-10.470307704815403
0.34,-9.041580827480272
0.35,-10.444684289711617
0.36,-10.689852374601953
0.37,-11.515619028747825
0.38,-13.615499209939479
0.39,-12.618755515386477
0.4,-13.023524763106773
0.41,-16.624662796416747
0.42,-16.501532560873176
0.43,-18.07878095666123
0.44,-15.365425271991066
0.45,-11.408494674345103
0.46,-10.718031205112455
0.47,-10.413859807441794
0.48,-6.310605667383005
0.49,-5.919403937891578
0.5,-5.020670955223652
0.51,-4.357289793247428
0.52,-5.621184251350514
0.53,-4.5449087641639005
0.54,-5.347570680810327
0.55,-4.921542166735825
0.56,-5.769271788689952
0.57,-8.610327200460034
0.58,-9.650179943577285
0.59,-11.601876840282895
0.6,-11.264777537020978
0.61,-13.225307822522225
0.62,-12.54653255323619
0.63,-12.347665486361663
0.64,-10.55835464459757
0.65,-8.42866507678591
0.66,-7.89488838602888
0.67,-7.3678452786271595
0.68,-8.886830263545365
0.69,-9.956647232400886
0.7,-10.72258475155387
0.71,-11.683910570866088
0.72,-11.041743377119635
0.73,-11.078678470215378
0.74,-12.913806803546152
0.75,-12.71676055787734
0.76,-12.301656126064952
0.77,-10.57445951256999
0.78,-6.171402253068359
0.79,-5.63486561346672
0.8,-6.140171570423011
0.81,-6.339705991756044
0.82,-4.908938697093169
0.83,-5.563151947845183
0.84,-8.656881245236388
0.85,-9.786508364285352
0.86,-10.21139855438167
0.87,-10.32116746481254
0.88,-11.329009618655297
0.89,-7.1544250249653505
0.9,-6.963242901175727
0.91,-9.357271557707351
0.92,-12.300563630039607
0.93,-10.300317149607984
0.94,-10.98428621722272
0.95,-10.851987582249755
0.96,-11.223183465171818
0.97,-10.739910031889785
0.98,-10.85568685387214
0.99,-10.056471680113352
1.0,-11.688999860071315
1.01,-11.05214507516951
1.02,-10.640983935583591
1.03,-11.9515395952174
1.04,-12.652817871345558
1.05,-13.248426404934563
1.06,-14.676763049331354
1.07,-13.83038959668308
1.08,-12.383987449961595
1.09,-12.648268498640762
1.1,-11.427245110885673
1.11,-12.042260180541893
1.12,-12.021077656598635
1.13,-11.704285643868658
1.14,-12.746609005251006
1.15,-12.172604389863448
1.16,-13.049683519639109
1.17,-11.835830263328234
1.18,-12.689298889459288
1.19,-11.480757891723364
1.2,-11.230906830925163
1.21,-11.722664164124446
1.22,-11.005905779455851
1.23,-12.54765643104562
1.24,-10.238926404343626
1.25,-9.497742997568123
1.26,-8.508778219051415
1.27,-7.976179785971777
1.28,-9.905918066427699
1.29,-9.035577620580005
1.3,-8.800249467482098
1.31,-8.841964651456339
1.32,-8.534939492164874
1.33,-8.257580662108367
1.34,-9.802881393898952
1.35,-9.811079497044657
1.36,-10.356029601270233
1.37,-8.985462983754228
1.38,-10.295979626602456
1.39,-9.923348783959723
1.4,-13.58378264202462
1.41,-11.943148444087246
1.42,-13.667766407379817
1.43,-14.688259926771721
1.44,-15.020992240066594
1.45,-15.533387529506975
1.46,-15.973911550540414
1.47,-15.838243468553221
1.48,-16.26038797028385
1.49,-17.1812843180206
1.5,-18.642755659532803
