seconds_elapsed,dBFS
0.0,-13.586315709886861
0.01,-13.762905877399659
0.02,-13.955047603933878
0.03,-11.531602268934623
0.04,-11.948391963496757
0.05,-12.86937162232697
0.06,-11.743130454550313
0.07,-11.947343006350613
0.08,-11.454951321421003
0.09,-10.525343674083407
0.1,-12.75121019176468
0.11,-12.157547123223338
0.12,-12.560028694195285
0.13,-11.782149766681258
0.14,-10.538711382521036
0.15,-11.226078922603397
0.16,-10.866794131137747
0.17,-10.677156354912729
0.18,-11.484734947487933
0.19,-12.521843961415726
0.2,-10.26049340563633
0.21,-12.183375583751296
0.22,-13.610416769982841
0.23,-13.304653863226568
0.24,-15.818566156823104
0.25,-15.345238159070348
0.26,-18.042735470085162
0.27,-17.5912849935689
0.28,-16.439736154803736
0.29,-17.841945068434516
0.3,-17.200466944275984
0.31,-16.45911054913267
0.32,-16.787936206156925
0.33,-18.791392385581435
0.34,-20.211429510990037
0.35,-20.084704676466597
0.36,-20.66868717018012
0.37,-18.717899491174382
0.38,-18.405690403389766
0.39,-19.815884452038816
0.4,-18.16204316382609
0.41,-19.52998745890713
0.42,-19.1708933180854
0.43,-20.839259297902988
0.44,-22.009531739777994
0.45,-23.464494111978546
0.46,-18.94496421785446
0.47,-19.79773753379302
0.48,-18.94261699729212
0.49,-19.532498920436282
0.5,-19.83667031810694
0.51,-21.88350287498743
0.52,-21.89009058075491
0.53,-22.715638018521283
0.54,-22.891338363642237
0.55,-22.37455312911889
0.56,-24.848973257919603
0.57,-22.708393739837746
0.58,-17.784244996256348
0.59,-17.543207990909217
0.6,-16.045910662448392
0.61,-15.232743027900316
0.62,-13.263059382655848
0.63,-13.906283661785753
0.64,-15.869490667475288
0.65,-19.5249667133118
0.66,-16.691415210658135
0.67,-15.498586978121063
0.68,-17.044406008537003
0.69,-19.380613362490525
0.7,-20.07133147961687
0.71,-17.753491194608298
0.72,-15.641842940682649
0.73,-16.55841947490167
0.74,-17.672009455997994
0.75,-14.766264449110905
0.76,-14.823039929208807
0.77,-15.533387529506975
0.78,-17.139231073014017
0.79,-20.409219225530997
0.8,-19.091744804645064
0.81,-21.190793891539496
0.82,-17.173623113874022
0.83,-20.691620225451
0.84,-20.431476482137896
0.85,-18.40789690400828
0.86,-19.98093573024629
0.87,-19.66155602783681
0.88,-23.24606777491477
0.89,-19.95980216838971
0.9,-19.707567322446792
0.91,-20.98054425051852
0.92,-20.3565857035686
0.93,-20.535164732855545
0.94,-19.771878956676865
0.95,-20.392563631476243
0.96,-24.019014139731325
0.97,-20.824673417669253
0.98,-22.006191655276904
0.99,-22.458576900555713
1.0,-22.30169323219558
1.01,-23.311797055347732
1.02,-24.44616903017574
1.03,-23.36630304099396
1.04,-24.720222933453947
1.05,-23.66427038936549
1.06,-22.106957166337146
1.07,-21.61123628184804
1.08,-20.850945663121077
1.09,-20.464969671343564
1.1,-22.08334043884667
1.11,-20.642959652031013
1.12,-20.149184202800527
1.13,-19.49490303297911
1.14,-20.70310949913423
1.15,-20.033995697557888
1.16,-21.801575370415534
1.17,-21.999515337009644
1.18,-19.810695748397016
1.19,-19.373211666569198
1.2,-18.405690403389766
1.21,-21.528664131444103
1.22,-18.907484592762277
1.23,-16.258664750431343
1.24,-15.145906259846559
1.25,-19.6360991232191
1.26,-19.615787182625468
1.27,-15.007554677138517
1.28,-18.683662593720946
1.29,-16.859652437832715
1.3,-15.741923058769789
1.31,-15.174755495898925
1.32,-14.466770517450989
1.33,-15.910777415227578
1.34,-12.254802439796817
1.35,-10.863090126971567
1.36,-14.08554479786327
1.37,-13.194982082485613
1.38,-11.100534557637767
1.39,-11.64229049764133
1.4,-11.913843089156476
1.41,-11.18370864522885
1.42,-10.427937427440854
1.43,-11.02003454086114
1.44,-11.625091712236667
1.45,-12.784641887361513
1.46,-12.353159060409862
1.47,-13.428157858374028
1.48,-13.698508417249187
1.49,-12.57805623137224
1.5,-14.331844064244645
1.51,-13.402075950966188
1.52,-12.272206858169767
1.53,-14.109728264914077
1.54,-13.911542260183436
1.55,-13.62440064216081
1.56,-13.158730403660561
1.57,-15.010539006196588
1.58,-15.87938160379337
1.59,-16.87998761494446
1.6,-15.844812491092128
1.61,-15.111111218684371
1.62,-16.28800608461156
1.63,-13.446835859202222
1.64,-13.81476982989967
1.65,-14.633784784315875
1.66,-17.35547243437694
1.67,-15.26649255323639
1.68,-16.234575500653957
1.69,-13.561018212353906
1.7,-13.17200512469091
1.71,-13.985498890618324
1.72,-17.11828055611003
1.73,-14.968851420198275
1.74,-13.836906132091197
1.75,-13.616770284740614
1.76,-13.920752475007856
1.77,-14.31943072243474
1.78,-14.503295418529522
1.79,-15.120174756520406
1.8,-13.450576283994714
1.81,-12.688156535326247
1.82,-14.391398352312851
1.83,-14.128584289520905
1.84,-12.204958125947984
1.85,-14.024046784555955
1.86,-12.79157488464704
1.87,-15.03744420986145
1.88,-16.09480738470761
1.89,-16.81728665313608
1.9,-16.253497141173476
1.91,-16.68598370054593
1.92,-15.990602350522769
1.93,-15.680446958175395
1.94,-17.051954033898433
1.95,-14.150184274884372
1.96,-15.121686266075784
1.97,-16.3365501051524
1.98,-15.332838600022312
1.99,-16.939416640542643
2.0,-15.674001028649089
2.01,-14.1003155807409
2.02,-15.62741055358247
2.03,-16.319181793750268
2.04,-15.816928391260024
2.05,-18.28518804688769
2.06,-16.25005377556324
2.07,-16.55663610775896
2.08,-17.531230205092847
2.09,-18.346325782929604
2.1,-17.973188972600042
2.11,-16.437976987276087
2.12,-15.278797693793532
2.13,-17.213920034135754
2.14,-14.818659384623366
2.15,-15.337486360574516
2.16,-15.136815845999482
2.17,-13.782318586749955
2.18,-13.806970467234294
2.19,-12.331205580662628
2.2,-13.127434204254971
2.21,-14.193546060480973
2.22,-13.857791960340514
2.23,-14.289161473990928
2.24,-14.178616017580254
2.25,-14.133979252202462
2.26,-13.198615585838356
2.27,-15.103565488353093
2.28,-14.297406267811754
2.29,-15.286497268482686
2.3,-15.60340973798522
2.31,-13.394638339861185
2.32,-15.202175022963404
2.33,-13.296073995533026
2.34,-15.839885258490643
2.35,-13.543353700900589
2.36,-12.589342472094895
2.37,-13.010474868414247
2.38,-12.389504052013066
2.39,-13.749988133141752
2.4,-13.866945326255948
2.41,-13.463056012633052
2.42,-12.56791113817522
2.43,-12.246113291003587
2.44,-12.883379242034895
2.45,-14.02671157661185
2.46,-13.18409068339327
2.47,-14.109728264914077
2.48,-13.39835634932285
2.49,-13.01403198660118
2.5,-14.558372376649672
2.51,-15.06293143343899
2.52,-15.130760851234887
2.53,-13.94712131626164
2.54,-13.127434204254971
2.55,-12.884547564000215
2.56,-12.730524019843015
2.57,-14.36503330241518
2.58,-12.946694592650017
2.59,-13.988151880754424
2.6,-15.701429327441499
2.61,-13.352611753289573
2.62,-14.197622348223241
2.63,-13.416970306667427
2.64,-12.947871462733527
2.65,-12.508406975926018
2.66,-11.919068941933126
2.67,-12.017904728841684
2.68,-10.692575366307647
2.69,-12.555527650105407
2.7,-11.214502879613097
2.71,-11.352485010345346
2.72,-10.933737735249384
2.73,-11.621049883574596
2.74,-11.746204561691961
2.75,-12.56565828129887
2.76,-12.031662461269573
2.77,-12.60177429856412
2.78,-12.891560797839501
2.79,-14.052067959852932
2.8,-14.582490011392956
2.81,-13.571128371665681
2.82,-13.713920320694857
2.83,-13.215592061287648
2.84,-13.675441715365025
2.85,-13.574922717399732
