seconds_elapsed,dBFS
0.0,-25.912070978707142
0.01,-23.014227598086382
0.02,-24.853606968159166
0.03,-24.97966079038953
0.04,-26.352364832616296
0.05,-24.03587176683373
0.06,-23.765908451005725
0.07,-26.626531614400935
0.08,-23.19613769477698
0.09,-24.75223203915341
0.1,-24.086641845944246
0.11,-27.417514547002032
0.12,-25.012642239003625
0.13,-25.89115371480397
0.14,-25.548076636618447
0.15,-24.21057546117652
0.16,-26.55294592482597
0.17,-30.52000234586052
0.18,-25.32013947034271
0.19,-23.868749927546347
0.2,-23.68450307877971
0.21,-24.59785251903888
0.22,-25.285971835687263
0.23,-31.262838505951855
0.24,-25.65415744477962
0.25,-25.339724348173718
0.26,-27.051738832755838
0.27,-27.74747844582005
0.28,-27.708759705756272
0.29,-29.117730341169
0.3,-30.690759943657483
0.31,-27.244900697508672
0.32,-25.766697047411853
0.33,-29.449617231330755
0.34,-28.99740440462539
0.35,-27.214434550391246
0.36,-26.541680177931394
0.37,-28.900852264391965
0.38,-31.730844894315304
0.39,-28.274057220267032
0.4,-27.715200855208337
0.41,-30.431460400370135
0.42,-29.82749895304583
0.43,-27.43621399370349
0.44,-26.156311351415127
0.45,-26.804562692333306
0.46,-28.15801610430063
0.47,-28.25346640152553
0.48,-27.480003231185005
0.49,-28.301587796843094
0.5,-30.827980643336808
0.51,-25.77700059504721
0.52,-25.97512671579927
0.53,-27.549264044723728
0.54,-27.689464867082016
0.55,-25.315250143088328
0.56,-23.997988010756256
0.57,-24.914071236579012
0.58,-24.503853311303992
0.59,-27.498837838430763
0.6,-27.46746947772866
0.61,-26.672126940298906
0.62,-27.917283199958682
0.63,-29.8521864816638
0.64,-29.993423571413533
0.65,-26.706481195913277
0.66,-27.689464867082016
0.67,-26.96856278338923
0.68,-24.137710427969576
0.69,-24.402055732521998
0.7,-22.426972658393463
0.71,-23.15030175918528
0.72,-23.097130427889383
0.73,-22.950703923319303
0.74,-24.349413816007107
0.75,-26.177877817213762
0.76,-22.80304393484758
0.77,-23.346797329589602
0.78,-25.31036356651046
0.79,-26.67784322193863
0.8,-25.408621284439295
0.81,-24.80277160835812
0.82,-22.21574468171991
0.83,-23.745485470427905
0.84,-25.578253469420478
0.85,-23.652153359307327
0.86,-22.157781709467102
0.87,-23.409370420649193
0.88,-24.065451570398785
0.89,-23.472397560784152
0.9,-23.37020944521454
0.91,-25.07898323522875
0.92,-25.46811391180334
0.93,-29.61642956668795
0.94,-26.620848990947955
0.95,-26.313895154124864
0.96,-24.970260476010896
0.97,-23.30016156849313
0.98,-20.2440832698921
0.99,-23.769998815874377
1.0,-26.592491506935115
1.01,-26.479978409896447
1.02,-27.818914202508715
1.03,-26.124061724126882
1.04,-25.906836938393255
1.05,-25.859871965609422
1.06,-22.504431449811758
1.07,-21.304016532807136
1.08,-21.0430864999543
1.09,-22.50796877001461
1.1,-25.3250315513721
1.11,-28.18518075392605
1.12,-24.040091290666076
1.13,-22.586156520577987
1.14,-24.733926680137778
1.15,-24.602354146316667
1.16,-21.381362454745513
1.17,-22.872869529046042
1.18,-24.633931032543824
1.19,-28.32920591117081
1.2,-25.222872052568643
1.21,-23.389767862931528
1.22,-23.668313158643993
1.23,-24.150524626956727
1.24,-23.36630304099396
1.25,-24.5798693042547
1.26,-23.897765095289625
1.27,-25.766697047411853
1.28,-25.65415744477962
1.29,-25.344627475392866
1.3,-30.40507286725077
1.31,-31.669676404630902
1.32,-28.653291292865354
1.33,-27.051738832755838
1.34,-25.174643779644615
1.35,-25.523009116656507
1.36,-26.40761876982255
1.37,-27.549264044723728
1.38,-25.802813064677096
1.39,-24.345041356998056
1.4,-23.86461280451597
1.41,-24.59335322360646
1.42,-26.40761876982255
1.43,-26.37994786512657
1.44,-24.830463097183845
1.45,-25.906836938393255
1.46,-25.649076491351277
1.47,-25.413563469288455
1.48,-24.120654183631558
1.49,-25.165030176407463
1.5,-27.5682496034041
1.51,-29.22440050192641
1.52,-28.144465571695786
1.53,-28.761640593511224
1.54,-26.457649632463443
1.55,-28.937860797747096
1.56,-30.40507286725077
1.57,-33.34521635936638
1.58,-32.50057832317607
1.59,-30.87420688143879
1.6,-29.61642956668795
1.61,-30.600469217534325
1.62,-31.214502879613097
1.63,-31.79244720669951
1.64,-28.63894630258901
1.65,-29.170901672464904
1.66,-34.32218771012272
1.67,-32.81936234520502
1.68,-31.95888850814342
1.69,-30.708931267519425
1.7,-31.518613646821983
1.71,-31.156852957992452
1.72,-36.95993964139527
1.73,-28.805361606820526
1.74,-28.732615037217386
1.75,-29.568441104078858
1.76,-31.885677686439582
1.77,-33.80047634383789
1.78,-29.672753272586945
1.79,-32.76157178179887
1.8,-31.449006831873547
1.81,-30.63647295670367
1.82,-30.54674189382732
1.83,-30.95803917481711
1.84,-32.433763458035486
1.85,-30.699840853672352
1.86,-33.247208102157046
1.87,-33.0783104820136
1.88,-34.15829813781729
1.89,-36.41689472052298
1.9,-32.80777343136036
1.91,-32.01156234839335
1.92,-33.456813906983115
1.93,-31.05214507516951
1.94,-31.156852957992452
1.95,-30.7636744506485
1.96,-30.231175374456143
1.97,-30.83720623064922
1.98,-31.03324215228325
1.99,-33.77454829581452
2.0,-36.95993964139527
2.01,-34.14477924070991
2.02,-34.77497501942614
2.03,-30.591491553026483
2.04,-29.918365008569246
2.05,-28.294696967732726
2.06,-27.818914202508715
2.07,-27.492555097008147
2.08,-27.818914202508715
2.09,-31.38978462764298
2.1,-31.478770046506295
2.11,-31.53860419566452
2.12,-28.077028201586476
2.13,-29.034827511366007
2.14,-31.01438027812177
2.15,-29.125306346566934
2.16,-26.335856960105907
2.17,-28.790763469538803
2.18,-28.82730491862948
2.19,-30.205388449118754
2.2,-28.878722597292573
2.21,-29.004876138108116
2.22,-30.484477185344456
2.23,-29.079949117450493
2.24,-29.79469102116754
2.25,-29.713209282557244
2.26,-29.087492226598517
2.27,-29.835720335238488
2.28,-30.052254205090914
2.29,-28.703686152397463
2.3,-28.682052543111705
2.31,-27.715200855208337
2.32,-28.93044646555292
2.33,-27.851580241905648
2.34,-28.454585805512373
2.35,-28.25346640152553
2.36,-28.588924586826717
2.37,-31.071089225837348
2.38,-27.374038426581556
2.39,-29.079949117450493
2.4,-28.036815677733795
2.41,-31.771864520200506
2.42,-33.76161323811785
2.43,-30.466768943455364
2.44,-33.80047634383789
2.45,-32.36745863500595
2.46,-30.818764844447788
2.47,-27.063686413233924
2.48,-27.825437589700854
2.49,-29.473252319759318
2.5,-31.7206201849085
2.51,-30.12848385745615
2.52,-28.22608768811419
2.53,-27.306155462223188
2.54,-29.860431275484626
2.55,-27.74747844582005
2.56,-27.50512512762173
2.57,-28.43356306921976
2.58,-28.08374842601305
2.59,-26.113338402224056
2.6,-26.541680177931394
2.61,-27.099628076813605
2.62,-30.555673400668866
2.63,-25.488035685761467
2.64,-30.54674189382732
2.65,-28.178381622746727
2.66,-26.08658787403337
2.67,-26.82780254469385
2.68,-28.03013165305762
2.69,-28.849303806635746
2.7,-27.20835412337495
2.71,-26.232029424269662
2.72,-25.26164840999638
2.73,-31.449006831873547
2.74,-24.397656699944775
2.75,-27.593628407837908
2.76,-27.027892861325324
2.77,-22.690309432580314
2.78,-26.0652466111152
2.79,-27.90410278826705
2.8,-26.05991947838884
2.81,-25.04101207251431
2.82,-24.539542687198708
2.83,-30.205388449118754
2.84,-28.198795003794878
2.85,-26.9272715494539
2.86,-35.677223395459585
2.87,-27.838499080339716
2.88,-32.37847434940325
2.89,-31.23380486452978
2.9,-31.282248323276
2.91,-33.58251638505932
2.92,-26.001535643525916
2.93,-27.22660818887742
2.94,-32.98325191751046
2.95,-28.36385250532596
2.96,-30.986164044413698
2.97,-28.87135855307185
2.98,-29.843949506520126
2.99,-32.01156234839335
3.0,-34.6452248776892
3.01,-36.140580696500095
3.02,-39.67942035834925
3.03,-35.95558863914911
3.04,-34.92145217767158
3.05,-34.13128135199811
3.06,-35.34523815907035
3.07,-30.948684419321516
3.08,-30.986164044413698
3.09,-29.079949117450493
3.1,-32.18229786309254
3.11,-28.783473591110003
3.12,-30.74538836044608
3.13,-30.0606912039457
3.14,-32.107187787312995
3.15,-31.948391963496753
3.16,-31.969397752786712
3.17,-33.81346944968344
3.18,-32.7270811091929
3.19,-32.959648942013324
3.2,-34.39139835231285
3.21,-33.16234877056899
3.22,-33.80047634383789
3.23,-37.63962958760262
3.24,-31.449006831873547
3.25,-35.88928381611958
3.26,-32.15002826694891
3.27,-31.33096347979008
3.28,-31.24347196584827
3.29,-32.225511333511086
3.3,-33.44434313723417
3.31,-30.754526593417395
3.32,-31.5988533827001
3.33,-31.399626996557963
3.34,-31.36032426145334
3.35,-34.80407350438963
3.36,-33.944480826915246
3.37,-35.23733752133622
3.38,-34.37751203498576
3.39,-37.16788164205228
3.4,-36.15759517723562
3.41,-35.581068653661504
3.42,-33.174420891536705
3.43,-32.0539326257679
3.44,-30.188239599248014
3.45,-32.995077500872945
3.46,-31.64938226073039
3.47,-31.262838505951855
3.48,-33.25939882645723
3.49,-30.01858792403588
3.5,-33.09026628519248
3.51,-33.247208102157046
3.52,-30.8003625290091
3.53,-32.624423306542276
3.54,-32.54540882082786
3.55,-33.74869741471482
3.56,-35.29883080216743
3.57,-36.34698778672656
3.58,-29.592402194137794
3.59,-35.80710827756498
3.6,-29.04233152015937
3.61,-34.745973691521485
3.62,-32.24719895935549
3.63,-36.31224418184944
3.64,-38.117110514689955
3.65,-34.18539921951661
3.66,-34.433191005377985
3.67,-34.23985638622608
3.68,-33.0069192063718
3.69,-36.005651542225195
3.7,-37.782191351693506
3.71,-34.15829813781729
3.72,-36.0391878373155
3.73,-39.27999873973685
3.74,-34.847904831909105
3.75,-42.178195090515246
3.76,-35.75817355862323
3.77,-42.178195090515246
3.78,-36.17464305245918
3.79,-35.677223395459585
3.8,-33.826482020863374
3.81,-36.48736885673499
3.82,-38.465463551277026
3.83,-38.7821716950785
3.84,-40.9125583796311
3.85,-44.733926680137785
3.86,-40.31525704682628
3.87,-43.0744419788425
3.88,-38.805241800641134
3.89,-42.56120217241977
3.9,-39.88623702511363
3.91,-40.4537909186576
3.92,-38.333188563932055
3.93,-39.15885466108119
3.94,-36.81177588443812
3.95,-38.69049918568197
3.96,-43.539868827102254
3.97,-37.65985285549987
3.98,-45.300598653016465
3.99,-39.182948683848615
4.0,-39.502409203376885
4.01,-51.32119856629609
4.02,-50.939339728115655
4.03,-53.04254149678523
4.04,-52.467106645384746
4.05,-49.56046874038188
4.06,-58.053321564799646
4.07,-58.48770655866437
4.08,-57.63962958760263
4.09,-59.9387199016366
4.1,-60.48176482250891
4.11,-56.86704154048
4.12,-55.66112350273499
4.13,-58.48770655866437
4.14,-52.35645687338553
4.15,-58.26779887263511
4.16,-59.18294868384861
4.17,-84.28839878591472
4.18,-78.2677988726351
4.19,-62.704773864962235
4.2,-65.20354859712823
4.21,-64.73392668013777
4.22,-62.009531739778
4.23,-59.9387199016366
4.24,-56.86704154048
4.25,-55.50174490930948
4.26,-54.05073156633725
4.27,-49.17090167246491
4.28,-45.300598653016465
4.29,-47.63822053179
4.3,-42.043003417569324
4.31,-38.532364187310215
4.32,-38.159898234900986
4.33,-35.22203198497398
4.34,-31.75133049258022
4.35,-28.219256472946455
4.36,-29.13288896567622
4.37,-28.13093614584809
4.38,-27.3864379856296
4.39,-23.456597848127394
4.4,-23.8233495932405
4.41,-24.779762615729474
4.42,-23.374117607097382
4.43,-23.897765095289625
4.44,-21.710724743919265
4.45,-21.853919873167392
4.46,-22.532770429723886
4.47,-22.009531739777994
4.48,-22.98801450318965
4.49,-21.052057982560882
4.5,-21.157415759279104
4.51,-22.51504773506664
4.52,-23.413296246541144
4.53,-24.503853311303992
4.54,-24.48606346455664
4.55,-24.463877272064835
4.56,-24.463877272064835
4.57,-24.620384022303966
4.58,-24.15480023109822
4.59,-21.762522972049414
4.6,-21.830980328626023
4.61,-20.65152702701928
4.62,-23.24606777491477
4.63,-26.939049028733702
4.64,-22.701155498053808
4.65,-24.129178119191074
4.66,-23.292413227535
4.67,-23.951908912564974
4.68,-24.00639235552232
4.69,-25.37410450471753
4.7,-25.47309007329038
4.71,-25.807984776433383
4.72,-25.771847293419885
4.73,-25.003206181977756
4.74,-25.573216711008495
4.75,-25.11234471792468
4.76,-25.47309007329038
4.77,-26.541680177931394
4.78,-27.349292285518256
4.79,-24.989071289292774
4.8,-25.453202509620823
4.81,-24.086641845944246
4.82,-26.04927500446099
4.83,-25.256791887846894
4.84,-24.633931032543824
4.85,-24.720222933453947
4.86,-24.811992298861057
4.87,-24.48606346455664
4.88,-23.017978792114917
4.89,-22.378037939451715
4.9,-22.90243854360415
4.91,-23.4882260656439
4.92,-24.406456994150535
4.93,-23.914388812589866
4.94,-24.150524626956727
4.95,-25.03627732743219
4.96,-23.81923403304123
4.97,-24.137710427969576
4.98,-23.599840685406672
4.99,-24.00639235552232
5.0,-23.28854164751188
5.01,-23.636023568900335
5.02,-22.93210856267793
5.03,-22.596873227228112
5.04,-23.35459435851359
5.05,-25.533027444916016
5.06,-25.03627732743219
5.07,-23.92687751299883
5.08,-24.279717236328363
5.09,-23.24606777491477
5.1,-22.63269137958573
5.11,-22.448029370858794
5.12,-22.305148927342838
5.13,-22.546974667784024
5.14,-22.995495890076004
5.15,-22.950703923319303
5.16,-22.161180609779723
5.17,-21.681723416014613
5.18,-22.256893860796062
5.19,-23.77409110788792
5.2,-23.75364890113978
5.21,-23.977012657317136
5.22,-23.62796989225652
5.23,-21.73334846925527
5.24,-21.762522972049414
5.25,-20.950919768738352
5.26,-19.47741382026274
5.27,-18.842281897873004
5.28,-19.457469173983764
5.29,-20.068659309271823
5.3,-21.31326175947889
5.31,-20.43983767929059
5.32,-21.5223448225891
5.33,-21.130201461387834
5.34,-19.943985673024358
5.35,-19.380613362490525
5.36,-18.514473574109616
5.37,-18.849244535230255
5.38,-22.322448056020782
5.39,-22.412963155940137
5.4,-20.97164629211217
5.41,-20.848022597423604
5.42,-19.275120396649864
5.43,-19.725526633959895
5.44,-19.489902520671702
5.45,-19.9703625218341
5.46,-19.328933458678602
5.47,-19.370745835569505
5.48,-19.072665412815205
5.49,-19.64372836362006
5.5,-19.072665412815205
5.51,-18.557024104769457
5.52,-18.28736414351389
5.53,-19.314224073896376
5.54,-20.27686025081777
5.55,-17.463666321140888
5.56,-17.698407270657878
5.57,-18.959060877109906
5.58,-19.096521208195757
5.59,-19.60311629833895
5.6,-19.613251526604525
5.61,-17.769879670485413
5.62,-15.8103804153464
5.63,-17.676065440025965
5.64,-17.686213694058136
5.65,-17.37700366478689
5.66,-20.076678287811603
5.67,-18.394666300325866
5.68,-19.88100613688684
5.69,-19.13482728853104
5.7,-19.284879824236235
5.71,-18.322256039344577
5.72,-20.34278762340235
5.73,-18.814487027312893
5.74,-19.86011402906796
5.75,-17.912528690048795
5.76,-17.396623934340454
5.77,-18.394666300325866
5.78,-20.063317433557284
5.79,-18.581754233037042
5.8,-17.796577070696205
5.81,-19.50240920337688
5.82,-17.394659911802282
5.83,-16.969284332601145
5.84,-16.159298459844884
5.85,-16.40111653337216
5.86,-17.81304711997913
5.87,-18.606554973058046
5.88,-17.179368383384386
5.89,-17.244748423687483
5.9,-18.530125844394057
5.91,-19.50240920337688
5.92,-19.87055380152435
5.93,-17.960603764450823
5.94,-16.089736319288843
5.95,-17.29507910398214
5.96,-16.831999152335374
5.97,-16.19172445351597
5.98,-17.050066412541863
5.99,-16.684173951682613
6.0,-16.97489597679638
6.01,-16.854114733062374
6.02,-17.475551234700625
6.03,-19.437570219947048
6.04,-19.385551332855506
6.05,-20.36763997122426
6.06,-18.919179612218695
6.07,-17.945944031623966
6.08,-16.978639088096738
6.09,-17.365252741274567
6.1,-17.84815001426672
6.11,-17.485467766932075
6.12,-16.896660971187845
6.13,-17.509313738362586
6.14,-17.599323762896113
6.15,-17.841945068434516
6.16,-17.175537781497354
6.17,-17.835744552070267
6.18,-17.60938269816979
6.19,-16.98800392958404
6.2,-17.757585415583495
6.21,-17.11828055611003
6.22,-16.855960242394307
6.23,-16.839364757727413
6.24,-17.33399444523397
6.25,-17.835744552070267
6.26,-18.04485165711916
6.27,-17.204308558508473
6.28,-17.293137906155742
6.29,-17.48745243268687
6.3,-17.378963698562117
6.31,-17.080317691315955
6.32,-17.021801208171535
6.33,-17.369167949651906
6.34,-17.617438242116595
