seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-90.30899869919435
0.06,-84.28839878591472
0.07,-80.76657360480111
0.08,-80.76657360480111
0.09,-65.20354859712823
0.1,-58.48770655866437
0.11,-56.32959861247397
0.12,-53.918119988356985
0.13,-38.8748220630206
0.14,-28.532107444654272
0.15,-18.94496421785446
0.16,-16.49267753957605
0.17,-14.79533371867348
0.18,-13.733223735495294
0.19,-16.664291561143074
0.2,-16.193434442622404
0.21,-17.287316914334127
0.22,-16.59595501688387
0.23,-16.751387068962547
0.24,-16.513944776411225
0.25,-16.585214014313884
0.26,-19.067902106066782
0.27,-18.20289777637217
0.28,-17.747353479380767
0.29,-17.958508001468513
0.3,-16.494447821787016
0.31,-17.10497467158072
0.32,-18.63595652835348
0.33,-18.71104130713228
0.34,-18.51670788656903
0.35,-16.76781515135113
0.36,-15.674001028649089
0.37,-16.08635725305752
0.38,-14.951046378832544
0.39,-15.284956807427292
0.4,-14.21122380674653
0.41,-15.876083373399432
0.42,-15.159559743880997
0.43,-17.45377463388795
0.44,-16.542382336949032
0.45,-16.551288202220245
0.46,-16.0023050233481
0.47,-15.670779856856909
0.48,-15.000098337391357
0.49,-16.26728427047786
0.5,-16.48736885673499
0.51,-15.573103600707142
0.52,-15.452925529811045
0.53,-15.707895651684362
0.54,-17.108774273407743
0.55,-16.633653470688124
0.56,-16.402868250558306
0.57,-16.76050994516941
0.58,-16.642653460756705
0.59,-17.213920034135754
0.6,-16.913366395023626
0.61,-17.231247537774806
0.62,-17.435997934847773
0.63,-16.744095660653517
0.64,-15.960581964746858
0.65,-16.603123071458675
0.66,-15.123198038708278
0.67,-16.848580556616433
0.68,-15.960581964746858
0.69,-16.154189613718934
0.7,-18.059679420131513
0.71,-16.155892228570618
0.72,-16.991752695131254
0.73,-17.36133929690196
0.74,-16.610297046376562
0.75,-16.87813699394288
0.76,-17.31646096238377
0.77,-17.188952285535212
0.78,-18.24394545956142
0.79,-18.50554206726807
0.8,-18.510006672680205
0.81,-19.06552143190139
0.82,-18.89813990155641
0.83,-16.855960242394307
0.84,-19.23376473139427
0.85,-21.19383463711162
0.86,-18.337565429551535
0.87,-17.73509104491389
0.88,-17.53322535604639
0.89,-18.722474624089255
0.9,-20.063317433557284
0.91,-18.846923035914532
0.92,-18.63595652835348
0.93,-18.912160711119125
0.94,-19.64372836362006
0.95,-19.40038210988733
0.96,-17.977388097476638
0.97,-20.683013232537242
0.98,-18.973180451562524
0.99,-18.654099385368816
1.0,-18.241780212226747
1.01,-21.35963608019924
1.02,-20.755000132551743
1.03,-18.708756448605868
1.04,-20.22774104562052
1.05,-19.412760464038833
1.06,-18.86551242693317
1.07,-21.772269623124195
1.08,-18.87016599770511
1.09,-20.331764919336678
1.1,-20.389790801560256
1.11,-18.89813990155641
1.12,-20.580389122105682
1.13,-22.270653688842863
1.14,-20.254995192983102
1.15,-20.254995192983102
1.16,-20.63440071919388
1.17,-18.789086295129003
1.18,-18.606554973058046
1.19,-21.02815459041814
1.2,-19.646272933621578
1.21,-20.645814504854766
1.22,-21.218198999897982
1.23,-19.385551332855506
1.24,-19.355965531994975
1.25,-20.318006181091377
1.26,-19.891471065427517
1.27,-17.49142312516199
1.28,-19.689645067756054
1.29,-22.984276224828495
1.3,-22.7847616935409
1.31,-24.779762615729474
1.32,-27.171960677794132
1.33,-31.253149838312517
1.34,-33.09026628519248
1.35,-39.80810255845745
1.36,-41.84408122045819
1.37,-39.27999873973685
1.38,-38.48770655866437
1.39,-38.805241800641134
1.4,-35.50174490930948
1.41,-35.17627653427739
1.42,-36.17464305245918
1.43,-36.81177588443812
1.44,-34.616652846536844
1.45,-38.053321564799646
1.46,-38.66773144096018
1.47,-41.490817057890006
1.48,-37.927132086659505
1.49,-37.9062775997192
1.5,-37.12970184590566
1.51,-42.63269137958573
1.52,-43.90607297697328
1.53,-44.33193717100022
1.54,-42.110336232568464
1.55,-36.59416392714908
1.56,-30.995559274792225
1.57,-25.669418162564273
1.58,-23.623945852509742
1.59,-27.141748857289365
1.6,-23.848083989560326
1.61,-21.636801832719993
1.62,-19.36828070439415
1.63,-18.849244535230255
1.64,-21.837528304539646
1.65,-18.99912610181711
1.66,-20.83342200625986
1.67,-20.60024907766833
1.68,-21.013248306275617
1.69,-20.52671131161597
1.7,-19.067902106066782
1.71,-21.079028163533984
1.72,-21.06103874121523
1.73,-19.47741382026274
1.74,-19.363352539928293
1.75,-18.94261699729212
1.76,-19.570258245100888
1.77,-20.04997709974454
1.78,-19.48740334366178
1.79,-20.098098495062114
1.8,-19.707567322446792
1.81,-20.21686328635528
1.82,-20.617308113537497
1.83,-20.34554548646348
1.84,-21.267133718839727
1.85,-19.839272052329797
1.86,-20.00212083742674
1.87,-20.52671131161597
1.88,-21.0880368657812
1.89,-20.084704676466597
1.9,-21.834253699547773
1.91,-21.415614080423868
1.92,-20.21686328635528
1.93,-20.807202631414224
1.94,-20.082028389390096
1.95,-21.400028413873358
1.96,-21.446869564449035
1.97,-20.4231233258877
1.98,-20.749219174176567
1.99,-21.636801832719993
2.0,-20.617308113537497
2.01,-22.20890539818697
2.02,-21.563502750991887
2.03,-22.773810791096757
2.04,-21.163474977967844
2.05,-22.181601989809007
2.06,-23.385852654554192
2.07,-21.79831428922909
2.08,-22.246588275678
2.09,-22.909846552273294
2.1,-22.511507531374647
2.11,-22.130638282258758
2.12,-22.12386565841616
2.13,-22.75195031905927
2.14,-22.73014472692561
2.15,-23.993788885879663
2.16,-24.112138604872943
2.17,-24.441747604965446
2.18,-24.539542687198708
2.19,-24.481621690162704
2.2,-24.876812671617717
2.21,-25.11234471792468
2.22,-24.375694893963733
2.23,-24.06968549182703
2.24,-24.51276191684193
2.25,-24.548487991427102
2.26,-25.050489312557723
2.27,-23.964451715665952
2.28,-23.947731999939123
2.29,-24.779762615729474
2.3,-25.771847293419885
2.31,-25.518004282384897
2.32,-23.515995546920678
