seconds_elapsed,dBFS
0.0,-36.848580556616426
0.01,-31.62913542256951
0.02,-34.789512076606975
0.03,-33.247208102157046
0.04,-34.68825992677172
0.05,-32.50057832317607
0.06,-30.17112454023635
0.07,-31.844118326588827
0.08,-29.584407817468467
0.09,-38.465463551277026
0.1,-37.98999766606634
0.11,-32.467106645384746
0.12,-25.83388962604953
0.13,-29.15567662099777
0.14,-25.751264606920884
0.15,-23.87703008988748
0.16,-24.93743926153749
0.17,-25.969854551972418
0.18,-31.42922119771892
0.19,-30.736259731504866
0.2,-30.56461410103426
0.21,-34.13128135199811
0.22,-28.952708475957554
0.23,-25.751264606920884
0.24,-25.771847293419885
0.25,-23.10470643328731
0.26,-23.397603578066516
0.27,-27.04577119965399
0.28,-22.518589382266807
0.29,-24.20627232032157
0.3,-25.896378310232514
0.31,-21.06103874121523
0.32,-27.753948382534894
0.33,-22.479710462412292
0.34,-24.19767242888828
0.35,-31.224148510407858
0.36,-30.29164426856982
0.37,-32.6813055637829
0.38,-24.697431291832828
0.39,-27.42997637071509
0.4,-27.380235993478866
0.41,-31.090074784517725
0.42,-29.79469102116754
0.43,-22.458576900555713
0.44,-26.986319293092173
0.45,-24.13344322589993
0.46,-23.389767862931528
0.47,-22.14080712982576
0.48,-27.448702694112455
0.49,-24.103631366545404
0.5,-25.85466927624269
0.51,-23.889465152337888
0.52,-30.528906385223618
0.53,-30.069136406009214
0.54,-32.534179485536505
0.55,-32.17152800475295
0.56,-31.023806095257378
0.57,-31.08057681786539
0.58,-28.08374842601305
0.59,-22.690309432580314
0.6,-20.225020328405456
0.61,-19.343667795779453
0.62,-32.88922242398285
0.63,-27.766902731898206
0.64,-25.12668181549303
0.65,-21.344150446505576
0.66,-22.472660226929378
0.67,-31.802756869201367
0.68,-34.267213541559705
0.69,-32.54540882082786
0.7,-27.454953784442043
0.71,-24.13344322589993
0.72,-20.45379091865761
0.73,-21.652818598530992
0.74,-23.362398392855347
0.75,-22.76287367783038
0.76,-25.664328276899685
0.77,-32.715614586553286
