seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-76.32959861247397
0.15,-36.922661087872115
0.16,-25.305479737515853
0.17,-12.360855905962751
0.18,-6.971519682017976
0.19,-8.5413149772403
0.2,-12.677882103328123
0.21,-13.895776006322446
0.22,-13.28383172481285
0.23,-7.956282351404473
0.24,-8.504543265462857
0.25,-12.810089977483718
0.26,-16.422160491910734
0.27,-14.293282892639105
0.28,-14.576809246221158
0.29,-18.399074262682873
0.3,-14.030710298222289
0.31,-16.06779584997286
0.32,-19.003851830790083
0.33,-13.348913269248992
0.34,-18.177072515608653
0.35,-14.896376143638225
0.36,-15.326645452067911
0.37,-18.660912738813796
0.38,-14.955494218635156
0.39,-17.183200675367164
0.4,-18.272142903552393
0.41,-20.603089924672577
0.42,-21.516030107924884
0.43,-23.839831362205004
0.44,-21.344150446505576
0.45,-22.991754391143253
0.46,-27.015994380508417
0.47,-27.081638654494856
0.48,-28.475659547280667
0.49,-27.238798913177604
0.5,-28.64611583633331
0.51,-29.729444595018798
0.52,-29.9266728902529
0.53,-31.458916575832742
0.54,-32.90092059361382
0.55,-35.01053900619659
0.56,-36.75685964478449
0.57,-36.505077098624085
0.58,-37.9480367649525
0.59,-31.399626996557963
0.6,-29.544545931819982
0.61,-29.15567662099777
0.62,-30.265677464064204
0.63,-28.54627692518333
0.64,-26.075910688130705
0.65,-28.44757257167309
0.66,-15.099041194663824
0.67,-13.808269874767284
0.68,-18.377056786665154
0.69,-20.08738178841199
0.7,-18.132062252666124
0.71,-15.649871307681863
0.72,-22.781109858449035
0.73,-21.12114894400974
0.74,-20.82758863489348
0.75,-24.41086048709051
0.76,-25.14583483237847
0.77,-22.865492976893073
0.78,-22.398976213081838
0.79,-24.738499404454007
0.8,-25.86507777315996
0.81,-15.11715252627486
0.82,-14.131281351998116
0.83,-16.13718179618748
0.84,-16.415140172564676
0.85,-16.67151625662142
0.86,-13.51692410977762
0.87,-16.46969664384715
0.88,-20.135711438135502
0.89,-16.239731861528494
0.9,-25.81315956934073
0.91,-20.529528204664192
0.92,-17.38288509349918
0.93,-18.95200968773222
0.94,-21.431227763646916
0.95,-27.263231811533227
0.96,-22.346724864584306
0.97,-22.75195031905927
0.98,-21.016227517293697
0.99,-22.490296557126776
1.0,-23.79047958376503
1.01,-24.98436476539649
1.02,-35.905812631075214
1.03,-28.103940352126294
1.04,-36.10665139695803
1.05,-30.54674189382732
1.06,-28.110681438718494
1.07,-28.747115691066142
1.08,-30.145515019065826
1.09,-34.18539921951661
1.1,-35.790766053293396
1.11,-34.53149638368602
1.12,-36.505077098624085
1.13,-27.72164678473464
1.14,-26.986319293092173
1.15,-27.799373385182477
1.16,-29.97668774805081
1.17,-32.19308109183699
1.18,-29.15567662099777
1.19,-19.540037664990013
1.2,-26.05991947838884
1.21,-26.418711861545013
1.22,-29.75385460538329
1.23,-32.77309917518034
1.24,-37.59932376289611
1.25,-33.67160321358432
1.26,-31.17602711509029
1.27,-30.11148602495115
1.28,-28.09720449320938
1.29,-21.199919323621792
1.3,-23.75364890113978
1.31,-28.56757458106365
1.32,-27.70232332929423
1.33,-29.885212717795593
1.34,-37.53921356010161
1.35,-48.44056499594966
1.36,-53.65882044506962
1.37,-57.63962958760263
1.38,-59.18294868384861
1.39,-58.053321564799646
1.4,-59.67942035834925
1.41,-60.76657360480111
1.42,-64.28839878591474
1.43,-33.55722993448413
1.44,-13.30588025075251
1.45,-16.19172445351597
1.46,-17.14877076605211
1.47,-19.540037664990013
1.48,-18.087284030896903
1.49,-17.37700366478689
1.5,-18.8353248373184
1.51,-20.192438022097633
1.52,-21.853919873167392
1.53,-21.588927985796428
1.54,-20.6286994458431
1.55,-18.63369133349436
1.56,-21.22735328457256
1.57,-22.843400833644438
1.58,-22.67226269922749
1.59,-21.519186891400683
1.6,-16.49976083427079
1.61,-18.779868051081955
1.62,-20.642959652031013
1.63,-18.536842604340627
1.64,-20.205999132796236
1.65,-17.870939481369746
1.66,-22.14080712982576
1.67,-20.801386836327133
1.68,-19.221638679392605
1.69,-22.42346816383793
1.7,-20.467766608942377
1.71,-19.224062535872147
1.72,-22.06651057572801
1.73,-24.36692569620923
1.74,-16.843049904001642
1.75,-14.06276651657188
1.76,-11.416384662068793
1.77,-16.583425137850334
1.78,-10.238926404343626
1.79,-16.142280645549086
1.8,-13.822576202178931
1.81,-13.079505322050984
1.82,-14.391398352312851
1.83,-15.624206610485256
1.84,-15.214389318719286
1.85,-11.83997330640133
1.86,-15.767938472117212
1.87,-11.892971062681273
1.88,-9.998450612918614
1.89,-15.81365378626815
1.9,-11.8275501009871
1.91,-16.678746966415115
1.92,-16.84489306361345
1.93,-13.074726947765674
1.94,-18.14061767284865
1.95,-17.61340953627532
1.96,-15.492274558048129
1.97,-19.646272933621578
1.98,-16.997378878835296
1.99,-18.717899491174382
2.0,-17.808926678897087
2.01,-19.615787182625468
2.02,-21.362736522722994
2.03,-21.10608234935935
2.04,-21.443738950020457
2.05,-21.365838072349973
2.06,-24.23643917151656
2.07,-23.4526524064797
2.08,-23.769998815874377
2.09,-23.668313158643993
2.1,-23.362398392855347
2.11,-25.136253044712827
2.12,-25.344627475392866
2.13,-23.24606777491477
2.14,-25.543057341686477
2.15,-26.96856278338923
2.16,-27.07565045043964
2.17,-27.838499080339716
2.18,-28.72537377824186
2.19,-27.492555097008147
2.2,-28.63894630258901
2.21,-30.74538836044608
2.22,-30.396294807243358
2.23,-30.727140686427823
2.24,-30.370013729286732
2.25,-31.253149838312517
2.26,-30.90206117459249
2.27,-31.46883763874809
2.28,-32.47824954574307
2.29,-33.29607399553303
2.3,-33.34521635936638
2.31,-33.235034463670864
2.32,-34.17183810881801
2.33,-34.25352419335484
2.34,-34.15829813781729
2.35,-34.789512076606975
2.36,-34.57397025628313
