seconds_elapsed,dBFS
0.0,-17.794520508679238
0.01,-20.30152441212688
0.02,-20.425906818825503
0.03,-20.637252759816477
0.04,-22.416463413750172
0.05,-23.725110397425336
0.06,-21.870342433624188
0.07,-21.285555548943563
0.08,-22.887641453759628
0.09,-22.65425338396775
0.1,-24.227809374842373
0.11,-22.229439425807264
0.12,-22.511507531374647
0.13,-20.58322347998303
0.14,-21.652818598530992
0.15,-24.137710427969576
0.16,-21.78528219430413
0.17,-23.215307620099786
0.18,-23.04428260952048
0.19,-23.72918159020578
0.2,-23.249920464992606
0.21,-22.693923283116355
0.22,-23.492187702947724
0.23,-23.652153359307327
0.24,-23.688555278357782
0.25,-23.35459435851359
0.26,-23.66427038936549
0.27,-25.315250143088328
0.28,-24.521679668793723
0.29,-22.93582445134982
0.3,-21.936344952113046
0.31,-21.497113462397742
0.32,-24.176209878709123
0.33,-23.03299978961217
0.34,-24.499402432580894
0.35,-27.117654834521954
0.36,-23.444766895599404
0.37,-28.54627692518333
0.38,-24.159077940930096
0.39,-23.448708756179006
0.4,-24.706540773148205
0.41,-27.41129033345151
0.42,-26.547311224895594
0.43,-28.32920591117081
0.44,-27.792869536403817
0.45,-29.86868390283995
0.46,-30.043825393524028
0.47,-32.02213555680554
0.48,-34.06410476318697
0.49,-37.823356782480985
0.5,-40.59457016956276
0.51,-42.009531739778
0.52,-46.012121738240396
0.53,-48.72537377824186
0.54,-52.467106645384746
0.55,-51.92743685167287
0.56,-50.136995263955995
0.57,-45.20354859712824
0.58,-38.20289777637217
0.59,-34.545631276371005
0.6,-32.579184195744716
0.61,-26.90376439129521
0.62,-25.87028670263425
0.63,-24.761399205849266
0.64,-24.402055732521998
0.65,-24.633931032543824
0.66,-22.777459558064116
0.67,-22.625515923053683
0.68,-21.89009058075491
0.69,-21.592111379505532
0.7,-21.8637696829223
0.71,-22.106957166337146
0.72,-22.246588275678
0.73,-21.563502750991887
0.74,-20.900788879675744
0.75,-19.552616797728874
0.76,-18.40789690400828
0.77,-17.150679962595255
0.78,-15.905812631075218
0.79,-15.967244200653976
0.8,-16.841207135428256
0.81,-17.59329398852132
0.82,-18.333188563932055
0.83,-19.66920767094335
0.84,-20.233185038050735
0.85,-18.333188563932055
0.86,-19.49740436910527
0.87,-20.010078593034272
0.88,-20.195148550950353
0.89,-18.174923872520875
0.9,-18.660912738813796
0.91,-18.089411100734413
0.92,-19.6360991232191
0.93,-19.06552143190139
0.94,-19.395435703353844
0.95,-18.36606894252045
0.96,-18.62237421184374
0.97,-18.24394545956142
0.98,-19.3068787122425
0.99,-20.470564447471343
1.0,-19.70244290363263
1.01,-20.060647727177553
1.02,-18.860861348033243
1.03,-18.738506593694495
1.04,-19.646272933621578
1.05,-19.76155704264212
1.06,-20.304269202681574
1.07,-20.50420899426861
1.08,-21.713953099146195
1.09,-20.711736438732405
1.1,-20.989451333477902
1.11,-18.996764201153184
1.12,-19.370745835569505
1.13,-19.600584338070888
1.14,-19.91243882367998
1.15,-19.319124434894096
1.16,-20.640105737223653
1.17,-20.789766915345883
1.18,-20.378708325239458
1.19,-21.115119169634944
1.2,-21.070028795119118
1.21,-21.720413411558603
1.22,-21.187754210095328
1.23,-21.620814547444354
1.24,-21.169538426478
1.25,-22.444516371968408
1.26,-21.221249356255253
1.27,-20.3070148608799
1.28,-19.063141410064862
1.29,-19.638641458855005
1.3,-20.098098495062114
1.31,-20.159977481154957
1.32,-20.122259538841476
1.33,-20.60593170112131
1.34,-20.894910104738592
1.35,-22.891338363642237
1.36,-21.503414434482593
1.37,-20.591732107247665
1.38,-21.694600941928712
1.39,-19.88362118722665
1.4,-20.874365669593335
1.41,-19.06552143190139
1.42,-16.443255559081248
1.43,-17.625501263942354
1.44,-17.412352122681632
1.45,-19.507416923110906
1.46,-20.076678287811603
1.47,-21.35343851330193
1.48,-20.45379091865761
