seconds_elapsed,dBFS
0.0,-5.719969616159098
0.01,-5.833370771198087
0.02,-7.17075018519402
0.03,-9.216737608056603
0.04,-11.235737424252532
0.05,-11.513623190127358
0.06,-13.237467826801526
0.07,-15.346789349294683
0.08,-14.552707357933896
0.09,-15.565145845099613
0.1,-15.649871307681863
0.11,-16.839364757727413
0.12,-19.130029779633567
0.13,-20.35106384092995
0.14,-20.065987960753745
0.15,-19.192605037970534
0.16,-20.233185038050735
0.17,-22.53986964518902
0.18,-22.06651057572801
0.19,-21.59848166922126
0.2,-20.92434384906211
0.21,-22.222589354759744
0.22,-23.997988010756256
0.23,-27.19013833975762
0.24,-37.844012891236346
0.25,-39.353504591437904
0.26,-40.708859840051346
0.27,-43.0744419788425
0.28,-44.96556413113407
0.29,-46.96265200423083
0.3,-49.01983891465598
0.31,-51.41934525619099
0.32,-54.18539921951661
0.33,-57.24474842368748
0.34,-60.76657360480111
0.35,-65.20354859712823
0.36,-72.24719895935547
0.37,-84.28839878591472
0.38,-74.74597369152148
0.39,-70.30899869919435
0.4,-67.3864379856296
0.41,-66.22659904607586
0.42,-65.20354859712823
0.43,-64.28839878591474
0.44,-63.86461280451597
0.45,-63.86461280451597
0.46,-63.86461280451597
0.47,-63.86461280451597
0.48,-63.86461280451597
0.49,-64.28839878591474
0.5,-64.73392668013777
0.51,-65.70002027162887
0.52,-66.22659904607586
0.53,-66.22659904607586
0.54,-66.78717351808073
0.55,-67.3864379856296
0.56,-68.03013165305762
0.57,-68.03013165305762
0.58,-68.72537377824186
0.59,-69.48114499602985
0.6,-70.30899869919435
0.61,-71.22414851040786
0.62,-72.24719895935547
0.63,-67.3864379856296
0.64,-49.80288139389895
0.65,-27.147782820462254
0.66,-6.20328702918386
0.67,-6.571001567836605
0.68,-7.871238997120735
0.69,-9.851362432553742
0.7,-10.516443284291338
0.71,-11.892971062681273
0.72,-11.730844894315304
0.73,-12.841423971011537
0.74,-13.848648230273373
0.75,-16.000632247293233
0.76,-17.33399444523397
0.77,-17.950130002614898
0.78,-18.670005531728002
0.79,-17.910444493364995
0.8,-19.540037664990013
0.81,-22.381524148464223
0.82,-21.857201902164714
0.83,-21.30093697608703
0.84,-20.711736438732405
0.85,-20.304269202681574
0.86,-22.318985472902146
0.87,-22.298238911355433
0.88,-21.707497588155572
0.89,-21.962887034303847
0.9,-32.30165612606495
0.91,-38.24611124679071
0.92,-39.96508074019487
0.93,-41.58574575837924
0.94,-42.99923900137636
0.95,-45.15542720181067
0.96,-47.141748857289365
0.97,-49.40253912346121
0.98,-52.13929832162136
0.99,-54.60240199897902
1.0,-57.24474842368748
1.01,-60.76657360480111
1.02,-65.20354859712823
1.03,-72.24719895935547
1.04,-90.30899869919435
1.05,-76.32959861247397
1.06,-71.22414851040786
1.07,-68.03013165305762
1.08,-66.78717351808073
1.09,-65.70002027162887
1.1,-64.73392668013777
1.11,-64.28839878591474
1.12,-64.28839878591474
1.13,-64.28839878591474
1.14,-64.28839878591474
1.15,-64.73392668013777
1.16,-65.20354859712823
1.17,-65.20354859712823
1.18,-65.20354859712823
1.19,-65.70002027162887
1.2,-66.22659904607586
1.21,-66.78717351808073
1.22,-67.3864379856296
1.23,-68.03013165305762
1.24,-68.72537377824186
1.25,-69.48114499602985
1.26,-70.30899869919435
1.27,-71.22414851040786
1.28,-72.24719895935547
1.29,-72.24719895935547
1.3,-73.40703789890921
1.31,-74.74597369152148
1.32,-74.74597369152148
1.33,-74.74597369152148
1.34,-76.32959861247397
1.35,-76.32959861247397
1.36,-78.2677988726351
1.37,-78.2677988726351
1.38,-78.2677988726351
1.39,-80.76657360480111
1.4,-80.76657360480111
1.41,-80.76657360480111
1.42,-80.76657360480111
1.43,-84.28839878591472
1.44,-84.28839878591472
1.45,-84.28839878591472
1.46,-84.28839878591472
1.47,-84.28839878591472
1.48,-90.30899869919435
1.49,-90.30899869919435
1.5,-90.30899869919435
1.51,-90.30899869919435
1.52,-90.30899869919435
1.53,-90.30899869919435
1.54,-90.30899869919435
1.55,-90.30899869919435
1.56,-90.30899869919435
1.57,-90.30899869919435
1.58,-90.30899869919435
1.59,-100
1.6,-100
1.61,-100
1.62,-100
1.63,-100
1.64,-100
1.65,-100
1.66,-100
1.67,-100
1.68,-100
1.69,-100
1.7,-100
1.71,-100
1.72,-100
1.73,-100
1.74,-100
1.75,-100
1.76,-100
1.77,-100
1.78,-100
1.79,-100
1.8,-100
1.81,-100
1.82,-100
1.83,-100
1.84,-100
1.85,-100
1.86,-100
1.87,-100
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-90.30899869919435
2.24,-90.30899869919435
2.25,-90.30899869919435
2.26,-62.3501985257536
2.27,-37.09168913911697
2.28,-27.039807663794555
2.29,-14.194904610517067
2.3,-11.63419270925565
2.31,-10.900201440159078
2.32,-10.348173411925792
2.33,-10.661764666531417
2.34,-10.804039874380734
2.35,-9.824212577812506
2.36,-11.172188896009686
2.37,-11.227044289610566
2.38,-11.443066407861263
2.39,-10.55388636442389
2.4,-10.531579377901455
2.41,-11.706325782372005
2.42,-11.798631535645756
2.43,-10.926274027260106
2.44,-10.085204946994528
2.45,-10.581626827788897
2.46,-10.81784380212276
2.47,-11.059717778036333
