seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-57.43994516947061
0.08,-24.99378036484215
0.09,-47.141748857289365
0.1,-53.787502645177824
0.11,-64.73392668013777
0.12,-67.3864379856296
0.13,-69.48114499602985
0.14,-71.22414851040786
0.15,-73.40703789890921
0.16,-74.74597369152148
0.17,-78.2677988726351
0.18,-80.76657360480111
0.19,-84.28839878591472
0.2,-90.30899869919435
0.21,-90.30899869919435
0.22,-90.30899869919435
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-42.280987883563476
0.28,-31.291969521423425
0.29,-33.544614261041836
0.3,-25.959319814916235
0.31,-27.306155462223188
0.32,-34.05073156633725
0.33,-28.336124182853215
0.34,-23.238367517639116
0.35,-26.177877817213762
0.36,-29.46536680887903
0.37,-36.73863111839208
0.38,-38.289540785459394
0.39,-38.44327735878521
0.4,-28.682052543111705
0.41,-27.910690494034537
0.42,-24.733926680137778
0.43,-26.530429023977288
0.44,-21.834253699547773
0.45,-26.457649632463443
0.46,-24.647499204484923
0.47,-27.367845278627158
0.48,-24.97966079038953
0.49,-23.331224237765596
0.5,-22.99923900137636
0.51,-25.031545161889884
0.52,-26.655000632473506
0.53,-26.457649632463443
0.54,-23.81923403304123
0.55,-23.64005320925935
0.56,-29.97668774805081
0.57,-28.783473591110003
0.58,-28.71090934585994
0.59,-29.77833340872842
0.6,-31.588782784890164
0.61,-32.579184195744716
0.62,-30.690759943657483
0.63,-28.739862338128503
0.64,-27.606345671658858
0.65,-30.19680979198875
0.66,-32.56791113817521
0.67,-31.896098671058603
0.68,-33.21073825303724
0.69,-30.352537084279845
0.7,-33.04254149678523
0.71,-38.09579543739675
0.72,-35.95558863914911
0.73,-36.41689472052298
0.74,-32.7270811091929
0.75,-34.616652846536844
0.76,-36.31224418184944
0.77,-35.31427238781313
0.78,-34.23985638622608
0.79,-33.18650981434835
0.8,-33.102238567774485
0.81,-34.09091308582035
0.82,-34.40530690554588
0.83,-33.944480826915246
0.84,-32.98325191751046
0.85,-32.579184195744716
0.86,-32.4005477784062
0.87,-32.422677445505585
0.88,-33.39463833986118
0.89,-33.49433400695822
0.9,-31.979919728195853
0.91,-32.959648942013324
0.92,-34.6452248776892
0.93,-32.225511333511086
0.94,-32.12858161497124
0.95,-33.407037898909216
0.96,-32.09651060141033
0.97,-30.78199911912889
0.98,-31.48871382508296
0.99,-29.23974660068525
1.0,-30.119980783220477
1.01,-27.638220531790004
1.02,-26.08124764045718
1.03,-26.909635219256508
1.04,-24.345041356998056
1.05,-23.77818532886312
1.06,-27.28773363211935
1.07,-14.17048316151972
1.08,-12.770792472301814
1.09,-21.26406720878561
1.1,-25.27623429023012
1.11,-31.38978462764298
1.12,-34.6452248776892
1.13,-30.396294807243358
1.14,-29.79469102116754
1.15,-26.075910688130705
1.16,-28.52503136309138
1.17,-24.956179052276042
1.18,-31.74108165406008
1.19,-30.026992268801944
1.2,-32.936109931297835
1.21,-32.0539326257679
1.22,-24.05698991396917
1.23,-32.48940675940057
1.24,-29.993423571413533
1.25,-26.281056212785327
1.26,-26.413163544755864
1.27,-23.157924304332727
1.28,-27.3864379856296
1.29,-20.214145973760598
1.3,-23.28467179240752
1.31,-25.393811579848816
1.32,-30.396294807243358
1.33,-30.967404016304414
1.34,-25.07898323522875
1.35,-28.864000746924063
1.36,-28.696468960758242
1.37,-28.967581578286953
1.38,-30.44027408924212
1.39,-29.97668774805081
1.4,-24.55296410058984
1.41,-26.962652004230833
1.42,-32.78464188736151
1.43,-31.679841285414255
1.44,-31.071089225837348
1.45,-27.983486947583472
1.46,-30.727140686427823
1.47,-31.38978462764298
1.48,-33.34521635936638
1.49,-31.518613646821983
1.5,-33.826482020863374
1.51,-35.75817355862323
1.52,-34.995627604014075
1.53,-34.226210052487346
1.54,-28.42656678238313
1.55,-29.544545931819982
1.56,-30.672626555781086
1.57,-34.53149638368602
1.58,-30.939339728115655
1.59,-32.107187787312995
1.6,-21.347245365347533
1.61,-24.23643917151656
1.62,-15.044932691778925
1.63,-18.24394545956142
1.64,-32.225511333511086
1.65,-28.44757257167309
1.66,-26.270137431161352
1.67,-30.967404016304414
1.68,-34.717068874037864
1.69,-33.28383172481285
1.7,-23.92687751299883
1.71,-17.93966885521275
1.72,-17.86679149196997
1.73,-16.200277767489347
1.74,-24.05698991396917
1.75,-28.768912163327354
1.76,-30.939339728115655
1.77,-31.813078783236115
1.78,-29.379095412500188
1.79,-24.779762615729474
1.8,-25.10757093949286
1.81,-34.44716669566275
1.82,-34.17183810881801
1.83,-34.226210052487346
1.84,-31.214502879613097
1.85,-34.433191005377985
1.86,-35.438803404625766
1.87,-33.878728131098896
1.88,-34.419237766010966
1.89,-34.57397025628313
1.9,-34.717068874037864
1.91,-38.09579543739675
1.92,-36.45206031364975
1.93,-35.454496073100394
1.94,-36.9973788788353
1.95,-36.885541844892686
1.96,-38.55477939881613
1.97,-29.811079497044656
1.98,-38.465463551277026
1.99,-38.289540785459394
2.0,-37.844012891236346
2.01,-35.872786394943425
2.02,-34.51738445590585
2.03,-37.619453295979724
2.04,-31.19524369292424
2.05,-33.25939882645723
2.06,-23.4882260656439
2.07,-28.58180208569939
2.08,-29.544545931819982
2.09,-30.052254205090914
2.1,-26.752499261900724
2.11,-26.775600045831368
2.12,-24.189081043778266
2.13,-23.72918159020578
2.14,-21.7820272234442
2.15,-37.927132086659505
2.16,-38.224477637504954
2.17,-33.0069192063718
2.18,-28.82730491862948
2.19,-34.10434833929267
2.2,-38.224477637504954
2.21,-36.277638998075815
2.22,-34.13128135199811
2.23,-28.28093168808774
2.24,-27.473734093678598
2.25,-19.01331100911462
2.26,-23.16937067933173
2.27,-31.813078783236115
2.28,-25.483050956994493
2.29,-37.09168913911697
2.3,-40.39811194826538
2.31,-38.18137139698226
2.32,-38.992042325724
2.33,-36.140580696500095
2.34,-27.28773363211935
2.35,-13.737089571760311
