seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-51.22414851040786
0.14,-24.839713246767428
0.15,-24.67469929864844
0.16,-22.755589912507897
0.17,-21.70427163096415
0.18,-21.814631952563012
0.19,-21.12114894400974
0.2,-21.57938479900446
0.21,-21.710724743919265
0.22,-21.10608234935935
0.23,-21.12416540163272
0.24,-21.115119169634944
0.25,-21.550817988404386
0.26,-21.717182654728326
0.27,-23.595829653408327
0.28,-21.53815172347214
0.29,-21.949605854899616
0.3,-21.73334846925527
0.31,-21.736585245755577
0.32,-22.657852261018636
0.33,-23.519969873065545
0.34,-21.873630675055878
0.35,-20.93319345720214
0.36,-21.13926342323022
0.37,-20.815933631953104
0.38,-20.095418078550157
0.39,-19.241048496716754
0.4,-19.922941714485784
0.41,-21.0400980637858
0.42,-20.56057447200487
0.43,-20.3070148608799
0.44,-20.532346011546345
0.45,-19.98093573024629
0.46,-20.40366381143815
0.47,-20.015387816694723
0.48,-20.591732107247665
0.49,-21.282482529403964
0.5,-21.26406720878561
0.51,-21.316345689792865
0.52,-21.070028795119118
0.53,-20.821759178541743
0.54,-20.378708325239458
0.55,-20.425906818825503
0.56,-49.40253912346121
0.57,-50.754526593417395
0.58,-55.823481307178575
0.59,-76.32959861247397
0.6,-31.49866900054301
0.61,-24.526141980547695
0.62,-24.214880734939047
0.63,-21.35343851330193
0.64,-21.899981517072995
0.65,-21.89338630822305
0.66,-20.889035305976883
0.67,-22.096827847827
0.68,-21.681723416014613
0.69,-20.836340161717537
0.7,-20.877297615490562
0.71,-21.691379770136532
0.72,-21.431227763646916
0.73,-22.437494633802608
0.74,-23.496151147980253
0.75,-21.347245365347533
0.76,-21.24875087676525
0.77,-22.839724266546977
0.78,-21.720413411558603
0.79,-22.11371661386743
0.8,-23.066892313318895
0.81,-21.566676838232787
0.82,-20.737668787317492
0.83,-21.481381000864133
0.84,-20.25772531704709
0.85,-19.499906425766117
0.86,-19.28732139547875
0.87,-20.450998477020292
0.88,-20.74055494439275
0.89,-20.543626389285162
0.9,-20.018043645988634
0.91,-20.211429510990037
0.92,-19.978291221278365
0.93,-20.138404319768625
0.94,-19.75382364877492
0.95,-20.81884591685484
0.96,-21.331781787045543
0.97,-21.396914633722407
0.98,-21.254874168973778
0.99,-20.789766915345883
1.0,-20.97164629211217
1.01,-20.225020328405456
1.02,-22.260331774808115
1.03,-50.39629480724336
1.04,-55.0404388279356
1.05,-64.73392668013777
1.06,-78.2677988726351
1.07,-26.19408788034111
1.08,-25.14104261728418
1.09,-23.46054508275023
1.1,-21.14228617935541
1.11,-21.857201902164714
1.12,-21.381362454745513
1.13,-21.26100178096553
1.14,-21.795054431942535
1.15,-21.169538426478
1.16,-21.215149714404816
1.17,-21.344150446505576
1.18,-21.12718290718263
1.19,-21.53815172347214
1.2,-22.564762692919746
1.21,-21.713953099146195
1.22,-21.956243906149766
1.23,-21.199919323621792
1.24,-22.876560155673932
1.25,-21.726878532540425
1.26,-22.665054491645282
1.27,-22.976804491345764
1.28,-21.31943071544706
1.29,-20.977577251467274
1.3,-21.136241718681372
1.31,-20.464969671343564
1.32,-19.08458512051548
1.33,-19.557653556140856
1.34,-20.874365669593335
1.35,-20.763678790697305
1.36,-20.154579165482083
1.37,-20.268654402651407
1.38,-20.208713897512215
1.39,-20.157277903934144
1.4,-19.854898844499356
1.41,-19.821076257117518
1.42,-20.877297615490562
1.43,-21.406259324928275
1.44,-21.3101789237276
1.45,-21.181678036613498
1.46,-20.804294247111788
1.47,-20.683013232537242
1.48,-19.9703625218341
1.49,-25.578253469420478
1.5,-52.24719895935549
1.51,-58.26779887263511
1.52,-73.40703789890921
1.53,-49.885212717795596
1.54,-24.91873981483603
1.55,-24.503853311303992
1.56,-22.002852854683006
1.57,-21.215149714404816
1.58,-21.662442853962276
1.59,-21.614427863599204
1.6,-21.484525214342106
1.61,-21.814631952563012
1.62,-21.15136076451451
1.63,-20.92434384906211
1.64,-21.242631898253602
1.65,-21.652818598530992
1.66,-21.847359533249737
1.67,-23.843956695760617
1.68,-21.54448254710377
1.69,-22.127251310237654
1.7,-21.923104264125147
1.71,-21.726878532540425
1.72,-22.444516371968408
1.73,-23.567804172783866
1.74,-21.972861262735467
1.75,-21.058044123141073
1.76,-21.085032926744493
1.77,-20.54927207660649
1.78,-20.04464669783558
1.79,-19.086971026213234
1.8,-20.159977481154957
1.81,-21.085032926744493
1.82,-20.711736438732405
1.83,-20.353824333448998
1.84,-20.51826610955245
1.85,-19.915063355997297
1.86,-20.274124106634464
1.87,-19.771878956676865
1.88,-20.211429510990037
1.89,-20.82758863489348
1.9,-21.187754210095328
1.91,-21.316345689792865
1.92,-21.254874168973778
1.93,-20.977577251467274
1.94,-20.56340237033298
1.95,-20.45658425833052
1.96,-44.15907794093009
1.97,-49.72132314549016
1.98,-61.68172341601461
1.99,-80.76657360480111
2.0,-31.379953398932898
2.01,-24.4284968172879
2.02,-24.253724529734725
2.03,-21.31326175947889
2.04,-21.81789916706009
2.05,-22.05978775059513
2.06,-20.93319345720214
2.07,-22.19865655966683
2.08,-21.61123628184804
2.09,-20.983512263408514
2.1,-20.781062164687754
2.11,-21.959564835128496
2.12,-21.75278724567455
2.13,-22.50796877001461
2.14,-23.712908255912968
2.15,-21.1121058514302
2.16,-21.285555548943563
2.17,-22.518589382266807
2.18,-21.525503902324985
2.19,-22.063148512733424
2.2,-23.131274611076975
2.21,-21.640002823962433
2.22,-20.79557493270576
2.23,-21.387579985174256
2.24,-20.398111948265388
2.25,-19.899328044378517
2.26,-19.2970945494078
2.27,-20.434262653657562
2.28,-21.064034392094406
2.29,-20.7318993486211
2.3,-20.219581449305977
2.31,-20.271388824093183
2.32,-20.082028389390096
2.33,-20.24953751788173
2.34,-19.95452680251965
2.35,-20.746330137184007
2.36,-21.12416540163272
