seconds_elapsed,dBFS
0.0,-4.15266216594575
0.01,-6.3562211880829675
0.02,-6.723709412413851
0.03,-9.553299864121607
0.04,-10.81876484444779
0.05,-12.212524703175475
0.06,-13.607876664792034
0.07,-11.713470043096319
0.08,-12.878707525026718
0.09,-11.894013473680191
0.1,-8.957911165324287
0.11,-11.83168919548433
0.12,-16.443255559081248
0.13,-17.864718239868452
0.14,-16.371391265539113
0.15,-15.597020705230758
0.16,-14.539974558725246
0.17,-18.04485165711916
0.18,-16.074540862649663
0.19,-15.393454341399178
0.2,-17.773981625526496
0.21,-14.4387785833372
0.22,-16.538822546063933
0.23,-17.14495363145406
0.24,-15.915745038833421
0.25,-18.756865151943643
0.26,-14.189471684843104
0.27,-13.438114460281653
0.28,-14.410876568858274
0.29,-15.463925301062481
0.3,-19.482407145860485
0.31,-15.20980694476016
0.32,-14.403915047576701
0.33,-13.889215170873365
0.34,-13.441851130435245
0.35,-13.996115716555051
0.36,-12.507288164867854
0.37,-11.991508642040527
0.38,-11.722664164124446
0.39,-12.399442773680065
0.4,-11.59986108496216
0.41,-11.63419270925565
0.42,-13.049683519639109
0.43,-12.832128034725638
0.44,-14.92736295682998
0.45,-14.235760234469872
0.46,-14.408091290771857
0.47,-15.208280023838928
0.48,-12.034840419584699
0.49,-15.611402643341805
0.5,-15.280337062807408
0.51,-15.584256721099782
0.52,-15.28957901044798
0.53,-13.893151077430282
0.54,-14.492040619885723
0.55,-13.360013449210902
0.56,-13.033027925584353
0.57,-14.387230125580988
0.58,-14.686821984605029
0.59,-13.153908258005513
0.6,-13.216805937278453
0.61,-15.823481307178577
0.62,-14.426211583838878
0.63,-15.438803404625762
0.64,-14.850834799768922
0.65,-13.852565793132266
0.66,-16.123599479677743
0.67,-16.034149131012704
0.68,-17.326197416309977
0.69,-12.855386556155766
0.7,-12.692726853578531
0.71,-12.57805623137224
0.72,-16.44501579612001
0.73,-14.289161473990928
0.74,-14.345657504875573
0.75,-14.994137870773468
0.76,-15.92568881741009
0.77,-15.43723569599628
0.78,-16.32091706288761
0.79,-14.32080910689182
0.8,-16.865193675429307
0.81,-15.81365378626815
0.82,-16.720440766951977
0.83,-15.043434478814785
0.84,-15.193025559717746
0.85,-14.994137870773468
0.86,-13.310787533164437
0.87,-13.363716663779066
0.88,-13.749988133141752
0.89,-9.9391496311649
0.9,-3.5946267049072613
0.91,-8.173625395658242
0.92,-6.062049939434123
0.93,-6.228227803083741
0.94,-4.896819282730796
0.95,-8.501721109759997
0.96,-12.353159060409862
0.97,-10.655434831524673
0.98,-13.117827246673288
0.99,-12.041199826559247
1.0,-10.085204946994528
1.01,-11.945245472015845
1.02,-11.121491967677494
1.03,-10.201955969470024
