seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-73.40703789890921
0.13,-34.01073507369288
0.14,-30.948684419321516
0.15,-33.198615585838354
0.16,-24.770576057878877
0.17,-33.519437751710385
0.18,-31.19524369292424
0.19,-24.853606968159166
0.2,-23.672357810469382
0.21,-28.103940352126294
0.22,-33.544614261041836
0.23,-37.65985285549987
0.24,-37.559204108944144
0.25,-34.80407350438963
0.26,-26.507970344010236
0.27,-25.65924137213463
0.28,-27.85812821781927
0.29,-21.14228617935541
0.3,-25.20354859712824
0.31,-23.58781314186737
0.32,-28.036815677733795
0.33,-25.86507777315996
0.34,-23.619923676175738
0.35,-23.296286534015266
0.36,-24.508306471943996
0.37,-26.804562692333306
0.38,-25.9382885948638
0.39,-26.199497964376537
0.4,-23.257630975608183
0.41,-25.912070978707142
0.42,-29.993423571413533
0.43,-28.50383764056803
0.44,-29.262816706247886
0.45,-31.7206201849085
0.46,-32.04332066398599
0.47,-31.885677686439582
0.48,-29.536595460200303
0.49,-27.511416971169623
0.5,-28.689257760976613
0.51,-31.20486794835552
0.52,-33.34521635936638
0.53,-32.64713152768056
0.54,-31.48871382508296
0.55,-32.02213555680554
0.56,-36.75685964478449
0.57,-36.32959861247398
0.58,-36.63005608416411
0.59,-33.569863958003346
0.6,-32.92436430457484
0.61,-36.0391878373155
0.62,-36.38187092452772
0.63,-34.15829813781729
0.64,-33.11422737525142
0.65,-34.25352419335484
0.66,-33.04254149678523
0.67,-34.951046378832544
0.68,-34.01073507369288
0.69,-33.18650981434835
0.7,-32.842586662886376
0.71,-33.32061042325637
0.72,-31.588782784890164
0.73,-33.6205846255637
0.74,-33.054448132834864
0.75,-33.48180929009726
0.76,-31.48871382508296
0.77,-34.559789208826054
0.78,-32.97144241244438
0.79,-31.128170852772485
0.8,-31.864873150414027
0.81,-33.76161323811785
0.82,-30.0606912039457
0.83,-31.79244720669951
0.84,-31.08057681786539
0.85,-28.718138551136235
0.86,-32.796199959110986
0.87,-25.251938079596492
0.88,-26.502364735788525
0.89,-27.943704177404772
0.9,-22.0195597066083
0.91,-26.038643559268255
0.92,-28.696468960758242
0.93,-10.006835486277614
0.94,-18.613331119264203
0.95,-21.713953099146195
0.96,-31.272537992876117
0.97,-32.16077148370263
0.98,-32.55665269247964
0.99,-29.36350135151077
1.0,-27.184074891247466
1.01,-28.87135855307185
1.02,-24.24075728725952
1.03,-31.60893567012126
1.04,-29.61642956668795
1.05,-32.61309142021474
1.06,-33.5068768100592
1.07,-24.010597579345962
1.08,-31.927436851672873
1.09,-31.214502879613097
1.1,-26.723709412413854
1.11,-28.043504849907347
1.12,-24.97966079038953
1.13,-23.721041111973502
1.14,-21.678507015445337
1.15,-21.148334849264238
1.16,-24.17192372533418
1.17,-27.864681133737825
1.18,-31.53860419566452
1.19,-26.592491506935115
1.2,-26.204911420231465
1.21,-29.125306346566934
1.22,-29.079949117450493
1.23,-29.745710310704958
1.24,-30.17967785420972
1.25,-24.91873981483603
1.26,-26.82780254469385
1.27,-29.24742982952596
1.28,-31.49866900054301
1.29,-31.33096347979008
1.3,-27.766902731898206
1.31,-30.370013729286732
1.32,-31.449006831873547
1.33,-32.601774298564116
1.34,-32.13929832162136
1.35,-32.912634539607794
1.36,-34.877249081569246
1.37,-36.41689472052298
1.38,-35.11564180540175
1.39,-31.60893567012126
1.4,-28.232924280075217
1.41,-29.78650836428535
1.42,-34.475185718792
1.43,-32.48940675940057
1.44,-30.65453094582345
1.45,-24.48606346455664
1.46,-21.443738950020457
1.47,-16.357438026172094
1.48,-16.560203208276473
1.49,-31.061611985793935
1.5,-32.25806311291453
1.51,-26.396539827455623
1.52,-29.402539123461207
1.53,-36.140580696500095
1.54,-35.100549030730114
1.55,-32.842586662886376
1.56,-17.67809414250817
1.57,-22.381524148464223
1.58,-14.915545418084509
1.59,-23.567804172783866
1.6,-27.12367207732447
1.61,-30.855686853872136
1.62,-33.0783104820136
1.63,-29.394717520377004
1.64,-27.741013324838228
1.65,-23.815120421958863
1.66,-30.17967785420972
1.67,-33.11422737525142
1.68,-34.81865938462336
1.69,-30.573564013869458
1.7,-33.77454829581452
1.71,-36.10665139695803
1.72,-33.878728131098896
1.73,-35.07044193078378
1.74,-34.05073156633725
1.75,-33.878728131098896
1.76,-37.72080671713998
1.77,-36.95993964139527
1.78,-34.13128135199811
1.79,-37.844012891236346
1.8,-37.11067469779735
1.81,-35.905812631075214
1.82,-33.76161323811785
1.83,-31.291969521423425
1.84,-37.98999766606634
1.85,-38.224477637504954
1.86,-35.92237295951982
1.87,-34.03737892783052
1.88,-37.98999766606634
1.89,-32.29073734444098
1.9,-30.36127101124809
1.91,-23.57180228085817
1.92,-27.257117140644958
1.93,-28.461604706611944
1.94,-33.102238567774485
1.95,-26.92138879295537
1.96,-29.473252319759318
1.97,-23.872889022043573
1.98,-21.717182654728326
1.99,-21.896683286679057
2.0,-27.983486947583472
2.01,-37.7616815673397
2.02,-35.85632024851811
2.03,-29.117730341169
2.04,-32.02213555680554
2.05,-38.333188563932055
2.06,-36.73863111839208
2.07,-36.38187092452772
2.08,-27.306155462223188
2.09,-32.0539326257679
2.1,-22.444516371968408
2.11,-20.29603743175612
2.12,-25.0742277521436
2.13,-27.06966637191286
2.14,-28.610327200460034
2.15,-41.12114894400974
2.16,-38.96847137601314
2.17,-38.35509498068411
2.18,-36.904081637711876
2.19,-33.41945518428073
2.2,-14.696892582414964
2.21,-19.182948683848615
2.22,-32.09651060141033
2.23,-30.431460400370135
2.24,-33.878728131098896
2.25,-37.80274967996088
2.26,-33.13825474780157
2.27,-25.02681557307819
2.28,-22.858122684012947
2.29,-24.775168122293564
2.3,-34.503295418529525
2.31,-27.04577119965399
2.32,-29.402539123461207
2.33,-16.38711549928989
2.34,-28.26032458556763
2.35,-29.125306346566934
