seconds_elapsed,dBFS
0.0,-9.557281842662015
0.01,-10.113184312108402
0.02,-10.883481724432254
0.03,-11.712449074580531
0.04,-8.7391373358629
0.05,-14.804073504389628
0.06,-16.448537340720474
0.07,-23.456597848127394
0.08,-28.588924586826717
0.09,-24.74765208142111
0.1,-22.715638018521283
0.11,-22.29478596372973
0.12,-23.432952035961257
0.13,-23.737329704910316
0.14,-20.92434384906211
0.15,-23.815120421958863
0.16,-24.249399964229372
0.17,-23.5319037741479
0.18,-24.19767242888828
0.19,-25.20354859712824
0.2,-24.661088604343846
0.21,-23.55183011837247
0.22,-23.014227598086382
0.23,-21.1786415430891
0.24,-21.942972872799448
0.25,-20.91844911545408
0.26,-20.574723179544648
0.27,-22.01621576445418
0.28,-20.268654402651407
0.29,-19.565214174321465
0.3,-18.695059904945623
0.31,-18.256948290789225
0.32,-17.12398932374114
0.33,-17.83161333218831
0.34,-18.28083748850068
0.35,-17.906277599719207
0.36,-17.718768015185294
0.37,-19.12763201850362
0.38,-20.3070148608799
0.39,-19.14202852396196
0.4,-20.18701950062555
0.41,-21.49396468961065
0.42,-24.146251126433587
0.43,-23.92687751299883
0.44,-23.835707987032354
0.45,-23.802791264973134
0.46,-23.311797055347732
0.47,-23.70072323221054
0.48,-22.462095591970275
0.49,-21.09705492124233
0.5,-20.015387816694723
0.51,-19.42267586424581
0.52,-20.411998265592473
0.53,-21.212101499024154
0.54,-21.33487230109276
0.55,-20.58322347998303
0.56,-19.562693236954164
0.57,-12.44153209427386
0.58,-9.783237458715512
0.59,-14.27818057538799
0.6,-12.29947127140922
0.61,-12.813565955508393
0.62,-11.973605013531635
0.63,-14.616652846536851
0.64,-15.838243468553221
0.65,-18.32444144371843
0.66,-24.96087032413627
0.67,-26.248340958900144
0.68,-24.914071236579012
0.69,-23.19613769477698
0.7,-22.64346569104135
0.71,-22.43398589223275
0.72,-21.00431679943407
0.73,-19.978291221278365
0.74,-22.568324673547092
0.75,-23.03675910135147
0.76,-22.391991178818735
0.77,-23.897765095289625
0.78,-24.59785251903888
0.79,-21.91649148143949
0.8,-24.5798693042547
0.81,-22.522132474152798
0.82,-21.47195518372852
0.83,-21.726878532540425
0.84,-21.13926342323022
0.85,-21.02815459041814
0.86,-20.807202631414224
0.87,-22.181601989809007
0.88,-22.45154379115277
0.89,-24.340671097968464
0.9,-24.606858107858116
0.91,-26.248340958900144
0.92,-26.874469626129734
0.93,-25.315250143088328
0.94,-25.83388962604953
0.95,-25.59842976104338
0.96,-24.615873043424045
0.97,-24.51276191684193
0.98,-25.818337447072643
0.99,-25.247086982213727
1.0,-23.906072976973274
1.01,-24.521679668793723
1.02,-23.782281480619325
1.03,-24.48606346455664
1.04,-24.040091290666076
1.05,-23.448708756179006
1.06,-23.656190491445102
1.07,-22.90243854360415
1.08,-21.640002823962433
1.09,-22.465615709399636
1.1,-22.93582445134982
1.11,-23.219146687405626
1.12,-25.74612654723952
1.13,-26.446506732105128
1.14,-24.472744949851975
1.15,-16.865193675429307
1.16,-10.427937427440854
1.17,-9.180049529696007
1.18,-12.561154319757419
1.19,-13.65882044506963
1.2,-12.782332117466751
1.21,-14.766264449110905
1.22,-16.04086805584054
1.23,-19.459959751674827
1.24,-23.539868827102257
1.25,-25.388880617673774
1.26,-27.275474082253403
1.27,-27.638220531790004
1.28,-23.619923676175738
1.29,-22.479710462412292
1.3,-23.57980402222377
1.31,-21.32869237223863
1.32,-22.865492976893073
1.33,-25.453202509620823
1.34,-23.066892313318895
1.35,-22.40247083780734
1.36,-23.79047958376503
1.37,-24.43732842927202
1.38,-23.40544636834028
1.39,-24.258051249444645
1.4,-23.41722384762008
1.41,-23.68450307877971
1.42,-23.292413227535
1.43,-21.762522972049414
1.44,-22.336312208426516
1.45,-22.42346816383793
1.46,-23.704783007763798
1.47,-22.795726419976646
1.48,-24.15480023109822
1.49,-22.766517852265235
1.5,-23.28854164751188
1.51,-23.680452768779496
1.52,-23.296286534015266
1.53,-22.650655997443735
1.54,-22.280987883563476
1.55,-22.94326100115174
1.56,-23.856344465349892
1.57,-23.769998815874377
1.58,-24.74765208142111
1.59,-24.55296410058984
1.6,-23.131274611076975
1.61,-23.362398392855347
1.62,-23.296286534015266
1.63,-22.661452629832084
1.64,-23.234519947415375
1.65,-22.65425338396775
1.66,-22.388500767022492
1.67,-23.358495499220567
1.68,-22.318985472902146
1.69,-22.046357690496915
1.7,-21.356536743988634
1.71,-18.478802519301272
1.72,-18.59527313014442
1.73,-20.318006181091377
1.74,-12.683588620607207
1.75,-7.469348388138281
1.76,-15.382543397395295
1.77,-10.141254096911183
1.78,-11.046469877556264
1.79,-9.811899733094
1.8,-15.60500773074809
1.81,-15.061430112955076
1.82,-21.206008275597796
1.83,-20.3070148608799
1.84,-23.063119939909733
1.85,-23.112289052396594
1.86,-25.689807584222976
1.87,-23.71697373206398
1.88,-22.448029370858794
1.89,-15.848098866325454
1.9,-17.375044073207665
1.91,-17.281499820933494
1.92,-17.46564601109545
1.93,-19.818479966666843
1.94,-19.89408926880471
1.95,-19.730664693641263
1.96,-22.806705005349855
1.97,-23.64005320925935
1.98,-23.335114893883535
1.99,-23.985396721325305
2.0,-22.726515777786524
2.01,-23.835707987032354
2.02,-25.012642239003625
2.03,-18.514473574109616
2.04,-17.883395348186063
2.05,-17.688244768459548
2.06,-17.941760076996793
2.07,-19.270244791897614
2.08,-19.15404386636499
2.09,-19.267808015436668
2.1,-21.837528304539646
2.11,-22.178195090515253
2.12,-24.97966079038953
2.13,-25.21320495125016
2.14,-23.733254692103664
2.15,-25.04101207251431
2.16,-26.264683183171726
2.17,-26.609494885229136
2.18,-27.063686413233924
2.19,-26.038643559268255
2.2,-26.237463199634906
2.21,-26.944943762341737
2.22,-26.479978409896447
2.23,-26.833622236461355
2.24,-26.37994786512657
2.25,-25.807984776433383
2.26,-27.29386990198818
2.27,-26.598155602106853
2.28,-26.248340958900144
2.29,-27.619081582500886
2.3,-26.97447758759332
2.31,-30.077589827248794
2.32,-17.641649796854217
2.33,-11.767753829334355
2.34,-9.248967291188189
2.35,-11.091975624800634
2.36,-11.797600508326834
2.37,-13.068757674190026
2.38,-15.805472670811614
2.39,-19.631016683262462
2.4,-19.577829847763756
2.41,-23.36630304099396
2.42,-24.24075728725952
2.43,-22.37455312911889
2.44,-24.41526621360549
2.45,-23.362398392855347
2.46,-24.75223203915341
2.47,-24.18049814818061
2.48,-24.665623133101526
2.49,-23.362398392855347
2.5,-26.457649632463443
2.51,-25.797644430404937
2.52,-22.81403177899228
2.53,-19.178124529524066
2.54,-20.603089924672577
2.55,-21.35343851330193
2.56,-20.2440832698921
2.57,-19.88623702511363
2.58,-23.059349204170868
2.59,-20.903729759892787
2.6,-20.766573604801106
2.61,-17.908360796668408
2.62,-20.428691204051482
2.63,-23.765908451005725
2.64,-22.246588275678
2.65,-23.432952035961257
2.66,-22.991754391143253
2.67,-23.58781314186737
2.68,-24.00639235552232
2.69,-23.811008758148088
2.7,-24.3625444150883
2.71,-25.948797839507087
2.72,-24.661088604343846
2.73,-22.81036761963059
2.74,-22.7592310316717
2.75,-23.50011640239199
2.76,-23.947731999939123
2.77,-23.93104440664462
2.78,-24.615873043424045
2.79,-25.39874534291136
2.8,-25.42840691859392
2.81,-25.588335756841637
2.82,-24.28405692647013
2.83,-23.749566226734146
2.84,-23.543854094269246
2.85,-20.24953751788173
2.86,-18.250444442010572
2.87,-17.825420184233913
2.88,-19.202272139289022
2.89,-18.11924490212865
2.9,-16.61388625702188
2.91,-11.457925092510159
2.92,-9.756299383643478
2.93,-10.985225080071615
