seconds_elapsed,dBFS
0.0,-10.042140612287426
0.01,-10.467653498641024
0.02,-10.00599663460493
0.03,-9.876117977445496
0.04,-9.67759805637235
0.05,-9.922517956120544
0.06,-10.133589700439309
0.07,-10.858462341877244
0.08,-10.98428621722272
0.09,-11.05214507516951
0.1,-10.839052524553093
0.11,-11.034186322036675
0.12,-10.522672599395328
0.13,-10.879770598702622
0.14,-10.517332912974256
0.15,-10.838129328544564
0.16,-11.307546104191207
0.17,-11.66662925861191
0.18,-11.281276801588502
0.19,-11.297807466958357
0.2,-11.960989340089345
0.21,-11.531602268934623
0.22,-11.478770046506297
0.23,-11.31729567266132
0.24,-11.583751861124806
0.25,-11.350526302559828
0.26,-11.128170852772485
0.27,-11.33389509582896
0.28,-11.850339568090124
0.29,-11.327056196936043
0.3,-11.211611277864792
0.31,-11.111006941875488
0.32,-11.312419520488085
0.33,-11.272537992876117
0.34,-11.274479190702518
0.35,-11.267686895493352
0.36,-11.202942243960523
0.37,-11.258961741933886
0.38,-11.500661405561054
0.39,-11.392736167447588
0.4,-11.63419270925565
0.41,-11.111006941875488
0.42,-11.622060164429246
0.43,-11.080576817865392
0.44,-11.256055304015495
0.45,-11.17794686084638
0.46,-11.348568036372285
0.47,-10.958975204737529
0.48,-11.109101932626032
0.49,-11.319246900264284
0.5,-11.328032852881083
0.51,-11.462883641276475
0.52,-11.688999860071315
0.53,-11.377988487797255
0.54,-11.55062064623875
0.55,-11.380936021213266
0.56,-11.33389509582896
0.57,-11.424281823324755
0.58,-11.647355451798536
0.59,-11.386834090456237
0.6,-11.349547114278757
0.61,-11.142500066313296
0.62,-11.563657254966104
0.63,-11.43416338256808
0.64,-11.515619028747825
0.65,-11.451978568107608
0.66,-11.301701611671895
0.67,-11.252181565680326
0.68,-10.989920917153098
0.69,-11.337805457015124
0.7,-11.346610211583636
0.71,-11.316320223209111
0.72,-11.159726384595732
0.73,-11.077729451952969
0.74,-11.649382260730395
0.75,-11.343674301588448
0.76,-11.569680757036952
0.77,-11.257024008598897
0.78,-11.648368797146249
0.79,-12.043320663985988
0.8,-11.391752209402009
0.81,-11.777005621053808
0.82,-11.512625442766769
0.83,-11.237670414054225
0.84,-11.383884555206409
0.85,-11.462883641276475
0.86,-12.072002769205953
0.87,-12.173680908379803
0.88,-11.76467208736906
0.89,-11.892971062681273
0.9,-11.8493023850167
0.91,-11.771864520200513
0.92,-11.437130043826977
0.93,-11.481751984959134
0.94,-11.468837638748091
0.95,-11.904444470055786
0.96,-11.44702623908465
0.97,-11.696129878351071
0.98,-11.670692357569434
0.99,-11.62812431848385
1.0,-11.8275501009871
1.01,-11.596838328836972
1.02,-12.131795238848827
1.03,-12.249370703244299
1.04,-11.731868027556143
1.05,-12.029544468174935
1.06,-11.460899882072225
1.07,-11.744155036048177
1.08,-11.420332345190067
1.09,-11.403567069040161
1.1,-11.625091712236667
1.11,-12.329013281398575
1.12,-12.087978292631828
1.13,-11.956788184197013
1.14,-12.120017759569027
1.15,-11.869030073028938
1.16,-11.965192528963073
1.17,-12.324630342166902
1.18,-11.863834230535025
1.19,-11.889844580085374
1.2,-12.06136872081835
1.21,-12.040139602006443
1.22,-12.217933439658902
1.23,-12.508406975926018
1.24,-12.247198959355485
1.25,-12.1511019908687
1.26,-12.243942361315188
1.27,-12.306027484807478
1.28,-12.582568968004765
1.29,-12.793887114033266
1.3,-12.43376345803549
1.31,-12.33668875087064
1.32,-14.128584289520905
1.33,-17.244748423687483
1.34,-23.87703008988748
1.35,-34.308411514311665
1.36,-42.96188027867397
1.37,-47.3864379856296
1.38,-50.663574038402984
1.39,-57.053842065562876
1.4,-58.94496421785445
1.41,-59.18294868384861
1.42,-59.18294868384861
1.43,-63.074441978842486
1.44,-63.46054508275023
1.45,-60.48176482250891
1.46,-61.36583807234997
1.47,-62.009531739778
1.48,-60.76657360480111
1.49,-58.713326766858145
1.5,-63.86461280451597
1.51,-65.70002027162887
1.52,-59.42763781218885
1.53,-63.074441978842486
1.54,-58.713326766858145
1.55,-59.18294868384861
1.56,-61.06103874121523
1.57,-62.704773864962235
1.58,-60.48176482250891
1.59,-61.68172341601461
1.6,-64.28839878591474
1.61,-58.713326766858145
1.62,-61.68172341601461
1.63,-63.86461280451597
1.64,-61.36583807234997
1.65,-60.20599913279624
1.66,-57.24474842368748
1.67,-63.074441978842486
1.68,-59.9387199016366
1.69,-55.823481307178575
1.7,-59.67942035834925
1.71,-64.28839878591474
1.72,-58.713326766858145
1.73,-54.745973691521485
1.74,-60.76657360480111
1.75,-59.18294868384861
1.76,-60.20599913279624
1.77,-59.67942035834925
1.78,-58.053321564799646
1.79,-57.053842065562876
1.8,-58.713326766858145
1.81,-59.18294868384861
1.82,-56.15759517723562
1.83,-55.50174490930948
1.84,-54.60240199897902
1.85,-54.891958466351475
1.86,-55.0404388279356
1.87,-54.32218771012272
1.88,-55.19150158574453
1.89,-55.34523815907035
1.9,-54.60240199897902
1.91,-56.68417395168261
1.92,-53.918119988356985
1.93,-52.13929832162136
1.94,-52.807773431360346
1.95,-52.69272685357852
1.96,-53.918119988356985
1.97,-57.43994516947061
1.98,-56.32959861247397
1.99,-52.92436430457484
2.0,-54.32218771012272
2.01,-52.03272165152002
2.02,-53.04254149678523
2.03,-53.04254149678523
2.04,-51.82341297795672
2.05,-49.96833191321875
2.06,-45.85466927624269
2.07,-50.754526593417395
2.08,-49.64052358945536
2.09,-46.44650673210513
2.1,-46.39100565100968
2.11,-46.90376439129521
2.12,-50.30899869919435
2.13,-52.03272165152002
2.14,-49.56046874038188
2.15,-49.01983891465598
2.16,-45.10757093949286
2.17,-48.03013165305762
2.18,-45.10757093949286
2.19,-44.15907794093009
2.2,-43.1122890523966
2.21,-43.3040383325111
2.22,-42.246588275678
2.23,-45.95931981491623
2.24,-40.509829110697666
2.25,-42.178195090515246
2.26,-42.2123243667956
2.27,-40.17889805109691
2.28,-42.49029655712677
2.29,-40.85386971285011
2.3,-43.26534833696711
2.31,-45.54807663661845
2.32,-45.802813064677096
2.33,-45.15542720181067
2.34,-43.539868827102254
2.35,-42.246588275678
2.36,-42.59687322722811
2.37,-42.38501175727962
2.38,-41.68172341601461
2.39,-40.39811194826538
2.4,-43.0744419788425
2.41,-40.151881265277744
2.42,-36.72044076695198
2.43,-38.18137139698226
2.44,-39.3289334586786
2.45,-40.79557493270576
2.46,-39.3289334586786
2.47,-40.12494825257229
2.48,-37.38092417473297
2.49,-40.56623118965063
2.5,-38.18137139698226
2.51,-30.995559274792225
2.52,-36.72044076695198
2.53,-40.34278762340235
2.54,-38.42114769168582
2.55,-39.231338166316874
2.56,-35.28341661952751
2.57,-34.98074175694637
2.58,-31.57872384961649
2.59,-35.790766053293396
2.6,-36.277638998075815
2.61,-33.198615585838354
2.62,-24.6113644060853
2.63,-32.947871462733524
2.64,-32.433763458035486
2.65,-31.95888850814342
2.66,-36.64805793441736
2.67,-33.918119988356985
2.68,-30.7911759711585
2.69,-27.081638654494856
2.7,-34.76046225140812
2.71,-34.02404678455595
2.72,-30.19680979198875
2.73,-20.874365669593335
2.74,-11.658508758183512
2.75,-9.468520154217012
2.76,-12.53081351392373
2.77,-12.721345955707505
2.78,-11.478770046506297
2.79,-14.780786923047511
2.8,-16.46969664384715
2.81,-11.619029674323002
2.82,-13.287502594616619
2.83,-14.524437553847655
2.84,-17.091689139116973
2.85,-15.60500773074809
2.86,-15.62741055358247
2.87,-16.15078538493224
2.88,-17.3868082596174
2.89,-19.572781379363526
2.9,-17.731007410782222
2.91,-19.85750604537082
2.92,-19.679420358349255
2.93,-22.766517852265235
2.94,-20.8101119898866
2.95,-20.71749249569459
2.96,-20.211429510990037
2.97,-23.413296246541144
2.98,-20.450998477020292
2.99,-22.12048132576549
3.0,-15.887632663251175
3.01,-25.959319814916235
3.02,-19.37567819779067
3.03,-19.728095283878975
3.04,-21.3101789237276
3.05,-24.561923244899425
3.06,-25.369184714363364
3.07,-22.973071033459757
3.08,-31.771864520200506
3.09,-20.97164629211217
3.1,-21.10006302157995
3.11,-32.02213555680554
3.12,-32.87753998827678
3.13,-35.08548243607973
3.14,-37.459708294351934
3.15,-38.35509498068411
3.16,-35.88928381611958
3.17,-30.855686853872136
3.18,-32.97144241244438
3.19,-34.731509259139564
3.2,-33.80047634383789
3.21,-29.012354304422878
3.22,-33.53201688444925
3.23,-31.379953398932898
3.24,-31.95888850814342
3.25,-33.918119988356985
3.26,-34.308411514311665
3.27,-32.590471903165735
3.28,-29.14807409128872
3.29,-26.909635219256508
3.3,-29.379095412500188
3.31,-29.51278761622735
3.32,-20.543626389285162
3.33,-7.140542567496708
3.34,-8.116752893025163
3.35,-11.147281728772656
3.36,-11.303649338922588
3.37,-13.410761220951546
3.38,-15.538143880618653
3.39,-14.534321522640209
3.4,-16.140580696500102
3.41,-21.98617807582778
3.42,-24.521679668793723
3.43,-30.74538836044608
3.44,-34.77497501942614
3.45,-38.289540785459394
3.46,-38.267798872635105
3.47,-35.161078123333866
3.48,-36.45206031364975
3.49,-36.05600466665013
3.5,-35.23733752133622
3.51,-33.64605646093865
3.52,-34.433191005377985
3.53,-34.03737892783052
3.54,-24.124915105786204
3.55,-11.882553827517919
3.56,-14.03204361461727
3.57,-13.059215361076415
3.58,-14.645224877689206
3.59,-17.39269633326152
3.6,-17.018039454263423
3.61,-18.63369133349436
3.62,-19.567735843562016
3.63,-18.96141254617478
3.64,-22.486766425138306
3.65,-25.67451103262403
3.66,-32.09651060141033
3.67,-36.72044076695198
3.68,-33.431890246731136
3.69,-33.48180929009726
3.7,-34.19898153602635
3.71,-35.04043882793561
3.72,-34.19898153602635
3.73,-33.12623275330374
3.74,-33.6205846255637
3.75,-32.422677445505585
3.76,-32.54540882082786
3.77,-32.01156234839335
3.78,-13.490574695218921
3.79,-11.910709086005726
3.8,-9.77179897950313
3.81,-10.970215438772097
3.82,-11.801725352112326
3.83,-12.983251917510458
3.84,-14.162357913370549
3.85,-13.777137620513395
3.86,-14.76046225140813
3.87,-14.896376143638225
3.88,-13.9220690175853
3.89,-14.924407064462482
3.9,-14.001428999875996
3.91,-15.8103804153464
3.92,-14.581069471748272
3.93,-16.049274027306705
3.94,-15.105074110091678
3.95,-16.352211334827096
3.96,-16.274186050450105
3.97,-16.106651396958032
3.98,-17.59329398852132
3.99,-16.764161780261276
4.0,-17.607369978976894
4.01,-17.091689139116973
4.02,-16.32091706288761
4.03,-16.413385978953126
4.04,-15.159559743880997
4.05,-19.839272052329797
4.06,-28.06360333084894
4.07,-29.600403935503394
4.08,-33.67160321358432
4.09,-32.389504052013066
4.1,-32.56791113817521
4.11,-23.539868827102257
4.12,-14.740185027769702
4.13,-12.50505097499378
4.14,-13.363716663779066
4.15,-15.738676603999021
4.16,-15.975579187991647
4.17,-17.240888885904333
4.18,-17.404484468486036
4.19,-19.082199870016332
4.2,-17.74326407740407
4.21,-19.236191974567273
4.22,-19.85750604537082
4.23,-18.350709275143792
4.24,-19.802918500029577
4.25,-20.685881282633652
4.26,-19.575305246775756
4.27,-20.708859840051343
4.28,-21.254874168973778
4.29,-18.523414274475012
4.3,-17.129701845905657
4.31,-15.64505339706297
4.32,-16.466166511858685
4.33,-15.382543397395295
4.34,-17.37700366478689
4.35,-19.378145429631736
4.36,-19.545067132205272
4.37,-21.8637696829223
4.38,-24.761399205849266
4.39,-27.799373385182477
4.4,-28.50383764056803
4.41,-34.308411514311665
4.42,-38.736214499832904
4.43,-40.31525704682628
4.44,-45.34953337195822
4.45,-40.37040573773005
4.46,-42.38501175727962
4.47,-47.02194158350561
4.48,-45.49801373354236
4.49,-44.64297412512336
4.5,-44.11639535067637
4.51,-47.08163865449485
4.52,-47.574587356066225
4.53,-45.49801373354236
4.54,-47.63822053179
4.55,-48.23292428007521
4.56,-46.84527333094888
4.57,-46.50236473578853
4.58,-44.87216656846438
4.59,-45.54807663661845
4.6,-43.381939210181585
4.61,-44.96556413113407
4.62,-46.17248117855736
4.63,-47.96357278607907
4.64,-40.4259068188255
4.65,-40.48176482250891
4.66,-37.47951648911237
4.67,-39.99152182496077
4.68,-31.937908088188884
4.69,-29.560468740381882
4.7,-26.868622510703226
4.71,-26.259232357992488
4.72,-23.476351983633272
4.73,-21.759276517278646
4.74,-21.0880368657812
4.75,-21.24875087676525
4.76,-21.697823308739203
4.77,-19.71525962373603
4.78,-19.941352388287477
4.79,-20.28507385865258
4.8,-21.297858510827776
4.81,-27.62545654765903
4.82,-32.90092059361382
4.83,-32.7270811091929
4.84,-36.0391878373155
4.85,-39.13482728853104
4.86,-39.353504591437904
4.87,-37.47951648911237
4.88,-36.666097171717716
4.89,-38.24611124679071
4.9,-38.59978410902434
4.91,-37.68012331893091
4.92,-40.56623118965063
4.93,-38.18137139698226
4.94,-39.25563437695049
4.95,-36.81177588443812
4.96,-34.10434833929267
4.97,-35.92237295951982
4.98,-37.016159188071846
4.99,-35.597020705230754
5.0,-35.613002107417415
5.01,-36.277638998075815
5.02,-34.995627604014075
5.03,-36.885541844892686
5.04,-33.102238567774485
5.05,-33.60787666479203
5.06,-35.206753371292926
5.07,-33.09026628519248
5.08,-34.877249081569246
5.09,-35.75817355862323
5.1,-33.970921911681145
5.11,-36.32959861247398
5.12,-30.29164426856982
5.13,-34.308411514311665
5.14,-31.588782784890164
5.15,-32.78464188736151
5.16,-32.83096674190513
5.17,-32.422677445505585
5.18,-28.17158780962128
5.19,-30.56461410103426
5.2,-32.90092059361382
5.21,-30.83720623064922
5.22,-32.55665269247964
5.23,-34.14477924070991
5.24,-32.389504052013066
5.25,-30.645497258438095
5.26,-27.890942346903813
5.27,-31.75133049258022
5.28,-29.91006506561751
5.29,-29.36350135151077
5.3,-28.44757257167309
5.31,-28.110681438718494
5.32,-26.655000632473506
5.33,-30.600469217534325
5.34,-28.198795003794878
5.35,-26.78717351808073
5.36,-30.01019170333563
5.37,-26.42981913881062
5.38,-26.524808907548234
5.39,-24.876812671617717
5.4,-24.867522949194157
5.41,-29.843949506520126
5.42,-26.418711861545013
5.43,-26.839445830134462
5.44,-23.440826823117206
5.45,-24.74307453736888
5.46,-22.733775192866894
5.47,-22.30169323219558
5.48,-23.085778795293837
5.49,-24.4284968172879
5.5,-24.176209878709123
5.51,-23.512023038441615
5.52,-21.437481104189207
5.53,-22.64346569104135
5.54,-23.161738086891503
5.55,-26.374424246728623
5.56,-24.327573498646164
5.57,-23.708844681739173
5.58,-23.50011640239199
5.59,-25.59842976104338
5.6,-25.16022736199808
5.61,-23.668313158643993
5.62,-21.163474977967844
5.63,-24.129178119191074
5.64,-24.679240940392727
5.65,-22.928394263011292
5.66,-23.660229500882252
5.67,-23.77818532886312
5.68,-24.388865312920913
5.69,-22.29478596372973
5.7,-25.247086982213727
5.71,-21.20296326605283
5.72,-21.982846957996706
5.73,-21.356536743988634
5.74,-20.688750280062898
5.75,-23.856344465349892
5.76,-24.775168122293564
5.77,-23.374117607097382
5.78,-25.548076636618447
5.79,-24.393259894162167
5.8,-23.048046808772487
5.81,-25.247086982213727
5.82,-21.736585245755577
5.83,-24.900080538835105
5.84,-26.21574846422998
5.85,-25.443275777525432
5.86,-24.040091290666076
5.87,-19.30932647600058
5.88,-22.90243854360415
5.89,-25.413563469288455
5.9,-22.346724864584306
5.91,-23.339007293517604
5.92,-21.592111379505532
5.93,-23.108496915406405
5.94,-17.297020735741217
5.95,-16.0914263454909
5.96,-19.834069362963064
5.97,-16.54772476026747
5.98,-18.863186576166
5.99,-19.132428202854122
6.0,-17.741220098188123
6.01,-15.675612062621632
6.02,-17.190870335590056
6.03,-16.51217051644426
6.04,-18.121379814180216
6.05,-5.819891412483008
6.06,-3.834471356087324
6.07,-8.080387663874756
6.08,-11.49568124967778
6.09,-13.169590029544512
6.1,-14.311165006057053
6.11,-14.971822478766004
6.12,-15.78097545713591
6.13,-15.754921025487276
6.14,-16.23801273442975
6.15,-16.275912352679395
6.16,-16.506849910067746
6.17,-17.86264548251747
6.18,-17.040634454140765
6.19,-19.294650229808703
6.2,-15.218974111456017
6.21,-15.643448020542722
6.22,-12.92084371155032
6.23,-14.724286065677086
6.24,-13.555967542266508
6.25,-14.60525029860712
6.26,-17.93130899928535
6.27,-19.771878956676865
6.28,-23.960268768492373
6.29,-29.11016093795526
6.3,-31.05214507516951
6.31,-32.09651060141033
6.32,-34.475185718792
6.33,-33.030651160037145
6.34,-27.825437589700854
6.35,-22.164580840646426
6.36,-29.04233152015937
6.37,-29.552503687427517
6.38,-31.813078783236115
6.39,-28.93044646555292
6.4,-15.58266254111218
6.41,-9.880250769852562
6.42,-11.755433416434528
6.43,-12.197398134489507
6.44,-13.768078359099674
6.45,-13.28627879896288
6.46,-15.826759619970115
6.47,-14.552707357933896
6.48,-16.28973513600337
6.49,-15.070441930783776
6.5,-17.330095055880907
6.51,-18.606554973058046
6.52,-24.86288181115263
6.53,-25.638923492371667
6.54,-29.860431275484626
6.55,-33.89183891040035
6.56,-35.055427424645636
6.57,-26.706481195913277
6.58,-13.362482083485885
6.59,-10.92068045211473
6.6,-12.00205745271052
6.61,-13.378545330868622
6.62,-15.26188261612434
6.63,-17.509313738362586
6.64,-15.882681087076376
6.65,-17.733048987860155
6.66,-16.680555584774186
6.67,-17.86264548251747
6.68,-17.08221189907356
6.69,-16.5263747545044
6.7,-17.37308492362497
6.71,-20.5860587630629
6.72,-20.195148550950353
6.73,-27.117654834521954
6.74,-30.90206117459249
6.75,-31.782149766681258
6.76,-38.24611124679071
6.77,-40.9125583796311
6.78,-29.82749895304583
6.79,-32.17152800475295
6.8,-18.051203313444663
6.81,-13.247208102157046
6.82,-12.918497442049812
6.83,-14.470977099002933
6.84,-14.01073507369288
6.85,-14.376124623492029
6.86,-16.819124353267355
6.87,-16.773298090810247
6.88,-18.170628180228533
6.89,-19.740949940122007
6.9,-22.19183071284162
6.91,-24.575379312095755
6.92,-29.729444595018798
6.93,-30.119980783220477
6.94,-27.950321998401524
6.95,-29.117730341169
6.96,-31.802756869201367
6.97,-35.26802974280558
6.98,-38.898139901556405
6.99,-41.58574575837924
7.0,-47.574587356066225
7.01,-36.26038797028385
7.02,-32.75005966661059
7.03,-21.743062419536766
7.04,-13.194982082485613
7.05,-10.361271011248089
7.06,-12.078389453051106
7.07,-14.117804406489004
7.08,-15.034450623880392
7.09,-16.308777452752107
7.1,-15.922372959519823
7.11,-16.327861608241
7.12,-17.870939481369746
7.13,-16.12529610818945
7.14,-18.04485165711916
7.15,-22.02290493662772
7.16,-23.055580104681013
7.17,-30.29164426856982
7.18,-33.27160668459903
7.19,-34.93623667424207
7.2,-40.48176482250891
7.21,-38.074532539047524
7.22,-35.83988525849064
7.23,-26.502364735788525
7.24,-17.242818440424777
7.25,-15.638633670504605
7.26,-13.637132819225233
7.27,-12.683588620607207
7.28,-13.894463442717672
7.29,-13.626945584938483
7.3,-14.735846060247253
7.31,-18.830689890763345
7.32,-22.679476893693757
7.33,-26.145548165851924
7.34,-32.24719895935549
7.35,-38.62237421184374
7.36,-43.15030175918528
7.37,-34.46116490922928
7.38,-44.11639535067637
7.39,-47.83196587985263
7.4,-41.522344822589105
7.41,-39.96508074019487
7.42,-42.41996508267003
7.43,-37.70044119869388
7.44,-39.603116298338946
7.45,-39.9387199016366
7.46,-24.129178119191074
7.47,-17.537217033340017
7.48,-13.966950614055895
7.49,-13.529499600084996
7.5,-15.440371396260685
7.51,-14.124540265405921
7.52,-14.626642369935892
7.53,-15.246533805560105
7.54,-14.906692803452323
7.55,-17.87716518201
7.56,-19.620860716436816
7.57,-22.675869047478617
7.58,-30.326387873446933
7.59,-28.631782681862894
7.6,-45.802813064677096
7.61,-52.467106645384746
7.62,-51.03324215228325
7.63,-52.807773431360346
7.64,-50.48447718534446
7.65,-46.5585842824651
7.66,-52.467106645384746
7.67,-55.19150158574453
7.68,-51.32119856629609
7.69,-50.39629480724336
7.7,-50.30899869919435
7.71,-49.72132314549016
7.72,-47.44870269411245
7.73,-48.37079843903322
7.74,-46.44650673210513
7.75,-48.653291292865354
7.76,-31.669676404630902
7.77,-32.433763458035486
7.78,-40.260456299505705
7.79,-49.481144996029855
7.8,-48.945281464271126
7.81,-50.136995263955995
7.82,-44.463877272064835
7.83,-45.34953337195822
7.84,-47.51141697116962
7.85,-44.11639535067637
7.86,-46.012121738240396
7.87,-48.097204493209375
7.88,-46.729459753330964
7.89,-44.15907794093009
7.9,-46.33585696010591
7.91,-40.34278762340235
7.92,-42.49029655712677
7.93,-43.03675910135147
7.94,-44.82584171392076
7.95,-41.84408122045819
7.96,-42.81403177899228
7.97,-42.41996508267003
7.98,-43.539868827102254
7.99,-44.073921478079264
8.0,-16.57984848981212
8.01,-8.981734654024468
8.02,-12.782332117466751
8.03,-12.320249613470807
8.04,-15.460781087584506
8.05,-14.337366804623404
8.06,-16.505077098624085
8.07,-22.493828124420013
8.08,-26.53605277920001
8.09,-27.825437589700854
8.1,-27.80588210758375
8.11,-27.41129033345151
8.12,-28.440564995949657
8.13,-28.103940352126294
8.14,-30.205388449118754
8.15,-27.306155462223188
8.16,-27.663804908573468
8.17,-29.985051628945577
8.18,-32.936109931297835
8.19,-36.63005608416411
8.2,-35.95558863914911
8.21,-39.086971026213234
8.22,-39.75640068176758
8.23,-41.1816780366135
8.24,-39.03937699130614
8.25,-39.378145429631736
8.26,-38.645023219821894
8.27,-37.439945169470604
8.28,-17.601334618244387
8.29,-10.272594358427796
8.3,-14.46116490922928
8.31,-16.381870924527714
8.32,-17.204308558508473
8.33,-20.098098495062114
8.34,-18.174923872520875
8.35,-18.886473157508124
8.36,-17.215843606203865
8.37,-21.270201311892297
8.38,-21.769019524063612
8.39,-26.752499261900724
8.4,-29.943312530663736
8.41,-34.01073507369288
8.42,-40.17889805109691
8.43,-43.94773199993912
8.44,-43.421153225492134
8.45,-42.52567701190371
8.46,-45.75126460692089
8.47,-45.85466927624269
8.48,-43.0744419788425
8.49,-42.99923900137636
8.5,-32.52296464906815
8.51,-29.75385460538329
8.52,-27.015994380508417
8.53,-27.063686413233924
8.54,-23.947731999939123
8.55,-22.773810791096757
8.56,-23.09334490172876
8.57,-23.5319037741479
8.58,-23.881173132960573
8.59,-24.3625444150883
8.6,-25.11234471792468
8.61,-26.46322644783195
8.62,-26.457649632463443
8.63,-26.22659904607586
8.64,-28.39863785273134
8.65,-29.193789405439663
8.66,-29.095041892122122
8.67,-31.875269189522314
8.68,-31.91697822351214
8.69,-32.715614586553286
8.7,-32.20387772422533
8.71,-30.13699526395601
8.72,-28.36385250532596
8.73,-29.43389615982077
8.74,-29.379095412500188
8.75,-29.648569805536145
8.76,-30.11148602495115
8.77,-30.119980783220477
8.78,-31.109101932626032
8.79,-28.79805947134374
8.8,-31.458916575832742
8.81,-29.441753138771766
8.82,-31.38978462764298
8.83,-30.95803917481711
8.84,-29.332396968627354
8.85,-28.08374842601305
8.86,-27.063686413233924
8.87,-26.9981771647469
8.88,-25.573216711008495
8.89,-25.588335756841637
8.9,-26.468806846120955
8.91,-26.502364735788525
8.92,-27.165909901068726
8.93,-28.739862338128503
8.94,-30.213975587374332
8.95,-34.10434833929267
8.96,-32.88922242398285
8.97,-31.17602711509029
8.98,-22.869180469896055
8.99,-13.159936358489029
9.0,-8.774733805393854
9.01,-6.008944554895312
9.02,-9.496160868303628
9.03,-10.519112443740173
9.04,-12.89740948814066
9.05,-12.754662681894821
9.06,-13.111828289574499
9.07,-14.212585124771111
9.08,-17.651757897189757
9.09,-20.076678287811603
9.1,-19.580355182754086
9.11,-20.88023055140837
9.12,-22.164580840646426
9.13,-25.28110169839227
9.14,-23.623945852509742
9.15,-25.954057233938485
9.16,-26.96856278338923
9.17,-27.111641757343023
9.18,-24.798164931168166
9.19,-22.98801450318965
9.2,-19.46245104371487
9.21,-17.85643017660786
9.22,-14.779333582520726
9.23,-16.684173951682613
9.24,-17.250540947835518
9.25,-19.24347777645237
9.26,-20.921395982195854
9.27,-25.06472458966602
9.28,-24.455018638315764
9.29,-23.993788885879663
9.3,-23.872889022043573
9.31,-24.065451570398785
9.32,-24.74765208142111
9.33,-24.371309188423417
9.34,-26.541680177931394
9.35,-27.417514547002032
9.36,-28.886092890172698
9.37,-29.072412553300374
9.38,-29.22440050192641
9.39,-28.77618982578752
9.4,-30.449096730567526
9.41,-33.569863958003346
9.42,-33.48180929009726
9.43,-36.45206031364975
9.44,-35.37631472044278
9.45,-32.88922242398285
9.46,-32.19308109183699
9.47,-35.32974147407113
9.48,-35.581068653661504
9.49,-34.02404678455595
9.5,-33.80047634383789
9.51,-36.39936516939041
9.52,-36.43445972072142
9.53,-32.98325191751046
9.54,-32.81936234520502
9.55,-30.27432444301435
9.56,-14.207141132340897
9.57,-11.934765391547934
9.58,-12.361956012308097
9.59,-21.169538426478
9.6,-31.11863115973439
9.61,-26.626531614400935
9.62,-11.346610211583636
9.63,-11.117677766435804
9.64,-13.08309082866044
9.65,-16.274186050450105
9.66,-19.774461352901646
9.67,-25.47309007329038
9.68,-24.97966079038953
9.69,-15.493852233038945
9.7,-12.591601481116228
9.71,-13.312014787089199
9.72,-14.475185718791996
9.73,-27.753948382534894
9.74,-41.522344822589105
9.75,-41.2426318982536
9.76,-40.623001912258644
9.77,-40.88316447801559
9.78,-41.77877347190285
9.79,-42.280987883563476
9.8,-44.779762615729474
9.81,-24.112138604872943
9.82,-16.262111532078983
9.83,-15.067436952501577
9.84,-14.243954470585216
9.85,-22.79938440682291
9.86,-36.34698778672656
9.87,-37.68012331893091
9.88,-36.70228843090309
9.89,-32.959648942013324
9.9,-22.618346389309387
9.91,-33.826482020863374
9.92,-39.552616797728874
9.93,-36.243171136821125
9.94,-18.96141254617478
9.95,-12.738562789170228
9.96,-14.562623566703405
9.97,-18.523414274475012
9.98,-21.824437285274758
9.99,-18.654099385368816
