seconds_elapsed,dBFS
0.0,-21.652818598530992
0.01,-17.1812843180206
0.02,-18.136338909393615
0.03,-18.68138492499462
0.04,-18.525650888273407
0.05,-21.079028163533984
0.06,-20.222300463145075
0.07,-21.66886495380239
0.08,-26.0121217382404
0.09,-27.670212794985865
0.1,-28.36385250532596
0.11,-27.708759705756272
0.12,-26.76981908745619
0.13,-30.119980783220477
0.14,-31.761591438413884
0.15,-32.15002826694891
0.16,-29.095041892122122
0.17,-27.825437589700854
0.18,-27.644609564544467
0.19,-23.856344465349892
0.2,-21.847359533249737
0.21,-16.608502997080077
0.22,-16.108344717879287
0.23,-17.281499820933494
0.24,-20.50420899426861
0.25,-22.788415064630755
0.26,-24.570891639746858
0.27,-29.61642956668795
0.28,-31.301701611671895
0.29,-30.466768943455364
0.3,-31.56867654989807
0.31,-32.90092059361382
0.32,-31.137721034755007
0.33,-33.09026628519248
0.34,-34.559789208826054
0.35,-36.75685964478449
0.36,-30.537819561622044
0.37,-30.672626555781086
0.38,-29.11016093795526
0.39,-28.79805947134374
0.4,-24.688331354239807
0.41,-26.346858721726324
0.42,-28.274057220267032
0.43,-25.169835647975717
0.44,-25.964585586303983
0.45,-27.00411217668814
0.46,-29.193789405439663
0.47,-27.48627689677957
0.48,-27.773387158954176
0.49,-25.87028670263425
0.5,-23.46844493744492
0.51,-23.066892313318895
0.52,-20.5860587630629
0.53,-17.72692569565163
0.54,-15.68528454651435
0.55,-14.711299435341473
0.56,-17.099278383495
0.57,-18.590764492805675
0.58,-18.28518804688769
0.59,-17.08789700212678
0.6,-17.617438242116595
0.61,-20.726133739622096
0.62,-22.93582445134982
0.63,-21.73334846925527
0.64,-19.36088950584456
0.65,-17.160232245135106
0.66,-15.300373725990312
0.67,-16.181471582400555
0.68,-17.067069790835887
0.69,-17.34960953193492
0.7,-17.80274967996088
0.71,-20.32075618574885
0.72,-21.1786415430891
0.73,-18.313519916266593
0.74,-22.346724864584306
0.75,-23.464494111978546
0.76,-24.692880131321022
0.77,-27.85812821781927
0.78,-29.61642956668795
0.79,-32.66989927240235
0.8,-32.19308109183699
0.81,-34.349805824450435
0.82,-35.95558863914911
0.83,-35.48596672215866
0.84,-35.50174490930948
0.85,-35.17627653427739
0.86,-36.277638998075815
0.87,-34.6452248776892
0.88,-32.590471903165735
0.89,-31.05214507516951
0.9,-28.17158780962128
0.91,-25.28110169839227
0.92,-21.80483767642123
0.93,-20.68014612914826
0.94,-21.560329823234934
0.95,-20.157277903934144
0.96,-18.89813990155641
0.97,-20.850945663121077
0.98,-20.8101119898866
0.99,-21.769019524063612
1.0,-21.47195518372852
1.01,-19.270244791897614
1.02,-18.527888078147477
1.03,-16.868889798735317
1.04,-17.196627028369914
1.05,-16.771470059731612
1.06,-18.011054378531664
1.07,-19.878391873620135
1.08,-21.02815459041814
1.09,-22.006191655276904
1.1,-23.311797055347732
1.11,-22.472660226929378
1.12,-27.105632840024114
1.13,-25.354442040999892
1.14,-24.99849199481288
1.15,-23.82746710440463
1.16,-23.72918159020578
1.17,-23.77818532886312
1.18,-26.237463199634906
1.19,-26.0652466111152
1.2,-23.989591790056004
1.21,-23.46844493744492
1.22,-23.815120421958863
1.23,-22.239724672288006
1.24,-24.459446825838675
1.25,-28.718138551136235
1.26,-27.081638654494856
1.27,-25.493023276847737
1.28,-28.15801610430063
1.29,-32.54540882082786
1.3,-31.42922119771892
1.31,-35.37631472044278
1.32,-35.905812631075214
1.33,-38.71332676685816
1.34,-37.72080671713998
1.35,-37.619453295979724
1.36,-39.03937699130614
1.37,-40.151881265277744
1.38,-41.42810278083282
1.39,-39.378145429631736
1.4,-37.68012331893091
1.41,-36.59416392714908
1.42,-37.034980191401395
1.43,-39.6539111193444
1.44,-36.0224035042897
1.45,-36.59416392714908
1.46,-39.231338166316874
1.47,-37.72080671713998
1.48,-38.8748220630206
1.49,-36.97863908809674
1.5,-38.96847137601314
1.51,-38.992042325724
1.52,-38.96847137601314
1.53,-38.09579543739675
1.54,-38.992042325724
1.55,-38.267798872635105
1.56,-37.09168913911697
1.57,-39.402856369877874
1.58,-39.502409203376885
1.59,-38.03216226167297
1.6,-40.151881265277744
1.61,-38.465463551277026
1.62,-39.231338166316874
1.63,-39.834069362963064
1.64,-38.18137139698226
1.65,-37.14877076605211
1.66,-35.97224423320387
1.67,-32.77309917518034
1.68,-33.46930260739208
1.69,-32.65850794009675
1.7,-30.65453094582345
1.71,-28.405611670559253
1.72,-28.62462496440958
1.73,-27.159863336509844
1.74,-29.24742982952596
1.75,-30.827980643336808
1.76,-29.355714807163157
1.77,-29.15567662099777
1.78,-27.612711292785153
1.79,-30.119980783220477
1.8,-29.77016614001377
1.81,-28.539189295546432
1.82,-28.391669629623504
1.83,-28.22608768811419
1.84,-30.36127101124809
1.85,-26.944943762341737
1.86,-28.834631692271905
1.87,-27.105632840024114
1.88,-27.536630021204505
1.89,-25.06472458966602
1.9,-25.208375432283326
1.91,-25.684705739942334
1.92,-28.00344687127633
1.93,-30.68168851762347
1.94,-33.11422737525142
1.95,-33.16234877056899
1.96,-34.077498581782486
1.97,-35.02547605138774
1.98,-34.267213541559705
1.99,-34.13128135199811
2.0,-33.49433400695822
2.01,-32.15002826694891
2.02,-30.19680979198875
2.03,-31.57872384961649
2.04,-31.090074784517725
2.05,-29.371294882440154
2.06,-29.31688644729489
2.07,-28.356912121706138
2.08,-28.96014184366674
2.09,-29.762006543699226
2.1,-32.52296464906815
2.11,-35.01053900619659
2.12,-35.47021714461037
2.13,-36.97863908809674
2.14,-34.10434833929267
2.15,-37.034980191401395
2.16,-36.75685964478449
2.17,-33.235034463670864
2.18,-30.162579640739466
2.19,-27.263231811533227
2.2,-26.474390831937228
2.21,-25.948797839507087
2.22,-25.150629692913185
2.23,-24.544014187754634
2.24,-26.188681163927466
2.25,-24.839713246767428
2.26,-25.885932260100255
2.27,-25.523009116656507
2.28,-24.6565564416331
2.29,-26.335856960105907
2.3,-25.45817013322667
2.31,-25.247086982213727
2.32,-26.717962875890603
2.33,-29.31688644729489
2.34,-34.53149638368602
2.35,-35.19150158574453
2.36,-35.75817355862323
2.37,-37.88547306369365
2.38,-41.1816780366135
2.39,-40.151881265277744
2.4,-41.71395309914619
2.41,-40.28781345483932
2.42,-36.68417395168262
2.43,-34.76046225140812
2.44,-33.054448132834864
2.45,-31.79244720669951
2.46,-31.62913542256951
2.47,-31.41934525619098
2.48,-31.64938226073039
2.49,-31.802756869201367
2.5,-32.64713152768056
2.51,-30.396294807243358
2.52,-29.46536680887903
2.53,-31.74108165406008
2.54,-33.865637111834005
2.55,-37.32230152495152
2.56,-37.11067469779735
2.57,-38.159898234900986
2.58,-36.0224035042897
2.59,-36.43445972072142
2.6,-38.13847802765047
2.61,-36.97863908809674
2.62,-36.34698778672656
2.63,-37.74122009818812
2.64,-38.01105437853166
2.65,-36.94128036539435
2.66,-38.37705678666515
2.67,-36.63005608416411
2.68,-37.499369959785916
2.69,-35.13076085123488
2.7,-38.71332676685816
2.71,-39.628476578071655
2.72,-38.69049918568197
2.73,-42.110336232568464
2.74,-40.48176482250891
2.75,-42.96188027867397
2.76,-44.64297412512336
2.77,-42.043003417569324
2.78,-43.1884815553319
2.79,-42.38501175727962
2.8,-44.073921478079264
2.81,-42.88764145375963
2.82,-40.88316447801559
2.83,-40.39811194826538
2.84,-39.99152182496077
2.85,-39.99152182496077
2.86,-42.668657847696984
2.87,-41.9098837293992
2.88,-42.07660457992975
2.89,-40.151881265277744
2.9,-41.30401653280713
2.91,-40.708859840051346
2.92,-40.48176482250891
2.93,-40.623001912258644
2.94,-41.36583807234997
2.95,-42.7410406802316
2.96,-40.623001912258644
2.97,-40.623001912258644
2.98,-39.52747672333882
2.99,-40.56623118965063
3.0,-39.834069362963064
3.01,-39.6539111193444
3.02,-38.851566655184754
3.03,-40.79557493270576
3.04,-39.80810255845745
3.05,-40.88316447801559
3.06,-43.1884815553319
3.07,-42.455059634001046
3.08,-43.61992367617574
3.09,-43.7414066304196
3.1,-42.2123243667956
3.11,-43.1122890523966
3.12,-42.49029655712677
3.13,-43.86461280451597
3.14,-44.03165429181129
3.15,-43.50011640239199
3.16,-44.33193717100022
3.17,-44.33193717100022
3.18,-43.0744419788425
3.19,-40.85386971285011
3.2,-41.3969146337224
3.21,-41.30401653280713
3.22,-42.63269137958573
3.23,-41.15136076451451
3.24,-41.5539874427866
3.25,-41.03113891947621
3.26,-41.522344822589105
3.27,-41.03113891947621
3.28,-41.876920161797734
3.29,-40.623001912258644
3.3,-40.88316447801559
3.31,-40.88316447801559
3.32,-41.30401653280713
3.33,-41.58574575837924
3.34,-40.17889805109691
3.35,-40.4259068188255
3.36,-39.452490160010754
3.37,-39.70500473513271
3.38,-41.12114894400974
3.39,-42.178195090515246
3.4,-40.04464669783558
3.41,-42.009531739778
3.42,-42.7410406802316
3.43,-42.110336232568464
3.44,-42.668657847696984
3.45,-43.46054508275023
3.46,-43.0744419788425
3.47,-41.522344822589105
3.48,-41.876920161797734
3.49,-43.1884815553319
3.5,-43.7414066304196
3.51,-43.15030175918528
3.52,-41.81136596657302
3.53,-43.82334959324051
3.54,-43.3040383325111
3.55,-44.508306471944
3.56,-43.90607297697328
3.57,-43.86461280451597
3.58,-45.34953337195822
3.59,-44.733926680137785
3.6,-43.82334959324051
3.61,-43.421153225492134
3.62,-43.782281480619325
3.63,-42.7410406802316
3.64,-43.539868827102254
3.65,-44.779762615729474
3.66,-45.95931981491623
3.67,-43.46054508275023
3.68,-44.508306471944
3.69,-43.86461280451597
3.7,-43.539868827102254
3.71,-42.81403177899228
3.72,-43.989591790056004
3.73,-45.15542720181067
3.74,-42.38501175727962
3.75,-44.463877272064835
3.76,-43.342901438231145
3.77,-44.733926680137785
3.78,-44.33193717100022
3.79,-43.26534833696711
3.8,-43.26534833696711
3.81,-43.342901438231145
3.82,-43.03675910135147
3.83,-44.28839878591474
3.84,-44.463877272064835
3.85,-44.55296410058984
3.86,-43.86461280451597
3.87,-45.54807663661845
3.88,-43.782281480619325
3.89,-45.39874534291136
3.9,-43.7414066304196
3.91,-44.20197131026188
3.92,-45.44823772546847
3.93,-45.251938079596485
3.94,-45.75126460692089
3.95,-45.75126460692089
3.96,-46.33585696010591
3.97,-47.63822053179
3.98,-46.787173518080735
3.99,-44.96556413113407
4.0,-47.263231811533224
4.01,-46.06524661111521
4.02,-44.733926680137785
4.03,-45.802813064677096
4.04,-45.20354859712824
4.05,-45.34953337195822
4.06,-42.9246815509915
4.07,-43.989591790056004
4.08,-45.15542720181067
4.09,-44.96556413113407
4.1,-42.38501175727962
4.11,-43.381939210181585
4.12,-42.7410406802316
4.13,-43.03675910135147
4.14,-41.876920161797734
4.15,-43.46054508275023
4.16,-41.77877347190285
4.17,-40.20599913279624
4.18,-39.378145429631736
4.19,-41.459403317905384
4.2,-41.5539874427866
4.21,-40.04464669783558
4.22,-41.12114894400974
4.23,-41.97618855242873
4.24,-43.421153225492134
4.25,-43.342901438231145
4.26,-43.989591790056004
4.27,-42.31552426957359
4.28,-44.87216656846438
4.29,-44.15907794093009
4.3,-43.66022950088225
4.31,-43.82334959324051
4.32,-43.50011640239199
4.33,-43.03675910135147
4.34,-42.704773864962235
4.35,-42.41996508267003
4.36,-40.260456299505705
4.37,-42.41996508267003
4.38,-40.48176482250891
4.39,-41.12114894400974
4.4,-40.34278762340235
4.41,-41.490817057890006
4.42,-40.17889805109691
4.43,-41.522344822589105
4.44,-41.03113891947621
4.45,-40.12494825257229
4.46,-40.59457016956276
4.47,-42.07660457992975
4.48,-42.3501985257536
4.49,-40.85386971285011
4.5,-42.178195090515246
4.51,-40.59457016956276
4.52,-40.680146129148255
4.53,-41.9098837293992
4.54,-39.231338166316874
4.55,-40.76657360480111
4.56,-40.07133147961686
4.57,-40.34278762340235
4.58,-41.091041844063405
4.59,-40.07133147961686
4.6,-34.906692803452316
4.61,-34.19898153602635
4.62,-31.24347196584827
4.63,-30.317688934674713
4.64,-30.213975587374332
4.65,-29.51278761622735
4.66,-30.352537084279845
4.67,-29.049842017504155
4.68,-31.19524369292424
4.69,-32.90092059361382
4.7,-35.97224423320387
4.71,-37.053842065562876
4.72,-37.59932376289611
4.73,-40.151881265277744
4.74,-40.59457016956276
4.75,-38.267798872635105
4.76,-35.26802974280558
4.77,-34.14477924070991
4.78,-31.844118326588827
4.79,-33.569863958003346
4.8,-30.727140686427823
4.81,-29.520716315671613
4.82,-29.072412553300374
4.83,-29.672753272586945
4.84,-33.67160321358432
4.85,-34.995627604014075
4.86,-34.363647882580025
4.87,-32.715614586553286
4.88,-31.57872384961649
4.89,-32.534179485536505
4.9,-31.41934525619098
4.91,-30.699840853672352
4.92,-33.53201688444925
4.93,-36.922661087872115
4.94,-37.459708294351934
4.95,-38.55477939881613
4.96,-36.46969664384714
4.97,-37.51926891382263
4.98,-35.48596672215866
4.99,-36.8301587265126
5.0,-35.517551810192515
5.01,-36.26038797028385
5.02,-37.439945169470604
5.03,-36.922661087872115
5.04,-33.984172699358695
5.05,-32.90092059361382
5.06,-33.878728131098896
5.07,-34.70265245639133
5.08,-34.80407350438963
5.09,-34.32218771012272
5.1,-34.21258512477111
5.11,-32.959648942013324
5.12,-32.80777343136036
5.13,-30.948684419321516
5.14,-30.699840853672352
5.15,-32.56791113817521
5.16,-34.37751203498576
5.17,-34.98074175694637
5.18,-35.39189479571978
5.19,-33.970921911681145
5.2,-32.51176427403059
5.21,-29.072412553300374
5.22,-26.022720750706362
5.23,-28.151238195538383
5.24,-29.072412553300374
5.25,-28.79805947134374
5.26,-27.244900697508672
5.27,-29.552503687427517
5.28,-29.632484820128152
5.29,-29.640523589455363
5.3,-28.718138551136235
5.31,-26.609494885229136
5.32,-19.2970945494078
5.33,-18.476577934927974
5.34,-19.11804758758567
5.35,-20.998367559723363
5.36,-22.64346569104135
5.37,-24.124915105786204
5.38,-25.2373929079507
5.39,-28.03013165305762
5.4,-27.06966637191286
5.41,-27.638220531790004
5.42,-16.52815191863092
5.43,-17.497382569401303
5.44,-15.764682281024507
5.45,-17.242818440424777
5.46,-15.920715505142491
5.47,-16.819124353267355
5.48,-16.660681465647187
5.49,-18.550291726467236
5.5,-16.074540862649663
5.51,-17.929220291895685
5.52,-17.53921356010161
5.53,-17.416288623831296
5.54,-18.33537672105109
5.55,-17.914613386959815
5.56,-15.94561059136822
5.57,-17.330095055880907
5.58,-15.929005941619991
5.59,-16.782444021567954
5.6,-16.34524730187191
5.61,-19.091744804645064
5.62,-17.471587789668103
5.63,-17.351563393069707
5.64,-16.87998761494446
5.65,-17.627518189444988
5.66,-16.551288202220245
5.67,-18.127787700592616
5.68,-17.5832536572241
5.69,-16.88369004025119
5.7,-16.275912352679395
5.71,-16.59595501688387
5.72,-17.14304569303056
5.73,-16.87258749552938
5.74,-17.657828408540922
5.75,-17.18511745561064
5.76,-17.051954033898433
5.77,-17.33399444523397
5.78,-18.256948290789225
5.79,-19.555134811846543
5.8,-19.37567819779067
5.81,-20.8101119898866
5.82,-17.200466944275984
5.83,-20.047311489891474
5.84,-17.657828408540922
5.85,-17.66795536507816
5.86,-20.252265926774292
5.87,-16.804433627333076
5.88,-18.80755218491811
5.89,-17.66998217401002
5.9,-17.688244768459548
5.91,-18.42114769168582
5.92,-18.16204316382609
5.93,-18.89813990155641
5.94,-19.027519119651423
5.95,-15.78097545713591
5.96,-18.046968359856102
5.97,-16.693226469060708
5.98,-16.79709757145943
5.99,-16.852269615766417
6.0,-17.706545842008115
6.01,-16.581636629733634
6.02,-16.46793139851274
6.03,-18.784475950202257
6.04,-17.50135780500299
6.05,-17.77193040585984
6.06,-18.129924713677102
6.07,-17.473569286115172
6.08,-19.301985253162048
6.09,-16.720440766951977
6.1,-17.659852855499874
6.11,-18.57725260575926
6.12,-18.28518804688769
6.13,-17.177452871272077
6.14,-16.775126506697024
6.15,-17.36721012486326
6.16,-17.86264548251747
6.17,-16.639052345598127
6.18,-16.39411319524789
6.19,-18.35509498068411
6.2,-17.48745243268687
6.21,-16.808103980076503
6.22,-16.881838630324527
6.23,-17.792464433480134
6.24,-17.567213228587747
6.25,-17.545205895377617
6.26,-17.353517693817754
6.27,-17.23510279289272
6.28,-18.3113372577206
6.29,-18.159898234900986
6.3,-18.902810990476762
6.31,-17.977388097476638
6.32,-18.403484463152367
6.33,-16.5192697319094
6.34,-18.44106185319022
6.35,-19.39790855451306
6.36,-17.625501263942354
6.37,-17.95222374485429
6.38,-18.752271873339478
6.39,-17.503346105260743
6.4,-16.678746966415115
6.41,-17.525247500479278
6.42,-17.283438419231477
6.43,-16.594163927149083
6.44,-16.734989999228272
6.45,-16.651662785947867
6.46,-17.08789700212678
6.47,-17.097380450648366
6.48,-17.20238753900754
6.49,-16.099881412485864
6.5,-17.78013819256846
6.51,-18.26128689709225
6.52,-17.639629587602627
6.53,-16.885541844892693
6.54,-16.742273764550756
6.55,-17.053842065562876
6.56,-16.17464305245918
6.57,-16.49267753957605
6.58,-16.071167701582777
6.59,-16.604916009774065
6.6,-16.16611493234545
6.61,-17.41825754362621
6.62,-16.537043197570963
6.63,-16.231139626543467
6.64,-16.868889798735317
6.65,-16.71862382527857
6.66,-16.935690390104515
6.67,-16.831999152335374
6.68,-16.97115447786363
6.69,-16.39411319524789
6.7,-17.40841740477151
6.71,-18.786780816777565
6.72,-17.854359395899976
6.73,-17.985792442242698
6.74,-16.599538304739173
6.75,-17.873014219141005
6.76,-17.414320150250507
6.77,-15.571511466225907
6.78,-15.60500773074809
6.79,-16.101573413979104
6.8,-17.37308492362497
6.81,-17.27181331425538
6.82,-17.326197416309977
6.83,-17.696373818784355
6.84,-16.52815191863092
6.85,-16.98800392958404
6.86,-16.378376299802216
6.87,-16.907794349731674
6.88,-17.547204259504245
