seconds_elapsed,dBFS
0.0,-27.330778837007227
0.01,-24.825841713920763
0.02,-26.93315829291072
0.03,-26.281056212785327
0.04,-25.927792050217132
0.05,-26.302935039562655
0.06,-24.93276062439875
0.07,-28.79805947134374
0.08,-27.6510033003047
0.09,-27.051738832755838
0.1,-27.03384821955524
0.11,-26.96856278338923
0.12,-26.043957655266425
0.13,-27.220519236901417
0.14,-27.97684381942939
0.15,-27.442456099353425
0.16,-28.747115691066142
0.17,-26.73521390368256
0.18,-26.40761876982255
0.19,-25.943541627765406
0.2,-25.75640570777418
0.21,-27.238798913177604
0.22,-27.715200855208337
0.23,-27.818914202508715
0.24,-27.663804908573468
0.25,-27.081638654494856
0.26,-28.110681438718494
0.27,-27.773387158954176
0.28,-28.482695505249897
0.29,-28.93044646555292
0.3,-28.761640593511224
0.31,-29.672753272586945
0.32,-28.24661362828008
0.33,-29.70510299205933
0.34,-29.355714807163157
0.35,-29.064882522800104
0.36,-30.035404753370504
0.37,-31.864873150414027
0.38,-32.97144241244438
0.39,-34.51738445590585
0.4,-35.66112350273499
0.41,-37.68012331893091
0.42,-41.33487230109275
0.43,-45.59842976104338
0.44,-46.67212694029891
0.45,-47.51141697116962
0.46,-55.98893182649837
0.47,-63.86461280451597
0.48,-61.36583807234997
0.49,-53.16234877056899
0.5,-51.03324215228325
0.51,-27.010051246757524
0.52,-25.720481740780453
0.53,-23.897765095289625
0.54,-23.757733495448797
0.55,-20.89784899484887
0.56,-22.05642828830685
0.57,-19.28732139547875
0.58,-22.17478952699856
0.59,-19.555134811846543
0.6,-21.89338630822305
0.61,-22.29478596372973
0.62,-19.891471065427517
0.63,-19.9703625218341
0.64,-20.431476482137896
0.65,-19.47991012424258
0.66,-19.826271167342988
0.67,-20.27959725718611
0.68,-20.028675091181366
0.69,-20.22774104562052
0.7,-20.159977481154957
0.71,-20.804294247111788
0.72,-21.72364537053099
0.73,-22.09345403165016
0.74,-20.671550492981087
0.75,-21.811365966573018
0.76,-21.19383463711162
0.77,-21.462539584282865
0.78,-24.21057546117652
0.79,-22.596873227228112
0.8,-22.950703923319303
0.81,-21.456268183549724
0.82,-21.788538385396837
0.83,-23.131274611076975
0.84,-20.127637798851126
0.85,-21.89009058075491
0.86,-23.40544636834028
0.87,-23.856344465349892
0.88,-23.070666325821488
0.89,-23.378027528224877
0.9,-27.349292285518256
0.91,-28.596052933257226
0.92,-27.753948382534894
0.93,-27.48627689677957
0.94,-20.98648129083037
0.95,-22.45154379115277
0.96,-22.636281331956766
0.97,-22.426972658393463
0.98,-23.374117607097382
0.99,-20.886099395981695
1.0,-23.786379564978468
1.01,-23.5319037741479
1.02,-22.661452629832084
1.03,-24.75223203915341
1.04,-24.112138604872943
1.05,-22.74831225004773
1.06,-24.455018638315764
1.07,-25.81315956934073
1.08,-24.20627232032157
1.09,-22.43398589223275
1.1,-22.24315579602927
1.11,-23.00298372643461
1.12,-23.595829653408327
1.13,-23.68450307877971
1.14,-20.82758863489348
1.15,-21.160444840264667
1.16,-23.444766895599404
1.17,-23.93104440664462
1.18,-23.680452768779496
1.19,-21.085032926744493
1.2,-22.887641453759628
1.21,-25.508003256941404
1.22,-22.828703893356128
1.23,-23.4882260656439
1.24,-23.64005320925935
1.25,-25.65924137213463
1.26,-24.375694893963733
1.27,-23.444766895599404
1.28,-24.17192372533418
1.29,-26.124061724126882
1.3,-26.413163544755864
1.31,-25.098031246454767
1.32,-27.34311675049944
1.33,-27.281601694245147
1.34,-27.851580241905648
1.35,-28.09720449320938
1.36,-28.849303806635746
1.37,-27.92388091363562
1.38,-24.35378847721168
1.39,-24.807380730057183
1.4,-25.901606050166464
1.41,-25.47309007329038
1.42,-26.04927500446099
1.43,-23.603853570503723
1.44,-23.20380058864679
1.45,-25.478069087263385
1.46,-25.573216711008495
1.47,-24.20627232032157
1.48,-23.889465152337888
1.49,-24.711099098961597
1.5,-24.816606317369594
1.51,-25.638923492371667
1.52,-25.37902708327834
1.53,-26.396539827455623
1.54,-24.816606317369594
1.55,-25.59842976104338
1.56,-25.184268035075895
1.57,-26.851104744150835
1.58,-26.08124764045718
1.59,-23.157924304332727
1.6,-25.354442040999892
1.61,-25.478069087263385
1.62,-25.588335756841637
1.63,-24.345041356998056
1.64,-25.943541627765406
1.65,-27.536630021204505
1.66,-26.22659904607586
1.67,-24.318852725184605
1.68,-25.12668181549303
1.69,-23.725110397425336
1.7,-23.680452768779496
1.71,-24.384472953971144
1.72,-24.93276062439875
1.73,-24.830463097183845
1.74,-26.424263724717775
1.75,-29.61642956668795
1.76,-25.844273237134402
1.77,-28.510896470406397
1.78,-24.788958899953354
1.79,-25.782156955921742
1.8,-23.20763457221734
1.81,-24.835086940592515
1.82,-25.943541627765406
1.83,-24.323212017440756
1.84,-23.535885387620347
1.85,-22.665054491645282
1.86,-24.661088604343846
1.87,-23.413296246541144
1.88,-23.615903361529533
1.89,-23.539868827102257
1.9,-23.215307620099786
1.91,-23.512023038441615
1.92,-24.116395350676385
1.93,-24.371309188423417
1.94,-23.397603578066516
1.95,-24.76598641991842
1.96,-26.022720750706362
1.97,-26.496762742922257
1.98,-25.959319814916235
1.99,-26.424263724717775
2.0,-27.423743223954546
2.01,-24.74765208142111
2.02,-26.022720750706362
2.03,-26.017419627784374
2.04,-25.839079879946464
2.05,-26.270137431161352
2.06,-25.413563469288455
2.07,-28.510896470406397
2.08,-27.238798913177604
2.09,-26.816174845985387
2.1,-26.42981913881062
2.11,-26.04927500446099
2.12,-26.36338753668197
2.13,-27.374038426581556
2.14,-28.20561013920772
2.15,-27.62545654765903
2.16,-28.768912163327354
2.17,-26.39100565100968
2.18,-26.76981908745619
2.19,-25.996247430493117
2.2,-25.2373929079507
2.21,-27.741013324838228
2.22,-26.97447758759332
2.23,-27.50512512762173
2.24,-27.238798913177604
2.25,-26.609494885229136
2.26,-27.689464867082016
2.27,-26.683563268005127
2.28,-27.78637055395467
2.29,-28.58180208569939
2.3,-28.03013165305762
2.31,-29.255119860694997
2.32,-28.036815677733795
2.33,-29.386902954273584
2.34,-29.481144996029855
2.35,-29.347935236882176
2.36,-30.422655645801623
2.37,-31.82341297795672
2.38,-33.06637111293361
2.39,-34.96588137755075
2.4,-36.540602259140144
2.41,-38.053321564799646
2.42,-40.79557493270576
2.43,-44.87216656846438
2.44,-46.39100565100968
2.45,-48.097204493209375
2.46,-50.573564013869465
2.47,-27.312304764878657
2.48,-25.503007059140103
2.49,-23.889465152337888
2.5,-24.176209878709123
2.51,-20.807202631414224
2.52,-21.5223448225891
2.53,-20.950919768738352
2.54,-23.307916827613752
2.55,-21.325604055890338
2.56,-21.209054353005158
2.57,-22.81403177899228
2.58,-19.95980216838971
2.59,-20.063317433557284
2.6,-20.084704676466597
2.61,-19.907192136937507
2.62,-20.537984369185473
2.63,-20.654384697595496
2.64,-19.85229242598376
2.65,-20.2631881408989
2.66,-19.618323579092042
2.67,-20.677279971841912
2.68,-20.14648797753037
2.69,-21.98951047166304
2.7,-20.40366381143815
2.71,-22.7446757041968
2.72,-21.239574024735642
2.73,-21.566676838232787
2.74,-24.124915105786204
2.75,-21.969535247133628
2.76,-22.71926242484888
2.77,-21.31326175947889
2.78,-21.30093697608703
2.79,-22.683086239117838
2.8,-20.640105737223653
2.81,-22.50796877001461
2.82,-23.304038332511098
2.83,-23.519969873065545
2.84,-23.165553544733687
2.85,-23.786379564978468
2.86,-27.884369596201925
2.87,-27.657401745999618
2.88,-26.479978409896447
2.89,-26.986319293092173
2.9,-21.016227517293697
2.91,-22.7592310316717
2.92,-23.135076707718145
2.93,-23.311797055347732
2.94,-22.73014472692561
2.95,-21.620814547444354
2.96,-23.46844493744492
2.97,-23.292413227535
2.98,-22.36410707898663
2.99,-25.39874534291136
3.0,-23.77409110788792
3.01,-22.7592310316717
3.02,-24.388865312920913
3.03,-25.933038736959606
3.04,-25.2373929079507
3.05,-22.94326100115174
3.06,-22.72288834418272
3.07,-22.50796877001461
3.08,-23.75364890113978
3.09,-24.4284968172879
3.1,-20.353824333448998
3.11,-21.630403387025076
3.12,-23.46844493744492
3.13,-25.285971835687263
3.14,-23.37020944521454
3.15,-22.91726088446747
3.16,-22.40596686910351
3.17,-24.602354146316667
3.18,-23.265348336967108
3.19,-24.706540773148205
3.2,-23.57980402222377
3.21,-25.65924137213463
3.22,-23.656190491445102
3.23,-23.782281480619325
3.24,-23.611884906848527
3.25,-25.849469701326527
3.26,-26.145548165851924
3.27,-25.844273237134402
3.28,-27.593628407837908
3.29,-27.021941583505612
3.3,-28.077028201586476
3.31,-28.287811601032043
3.32,-27.72164678473464
3.33,-27.473734093678598
3.34,-23.57980402222377
3.35,-24.904741601269503
3.36,-25.369184714363364
3.37,-25.523009116656507
3.38,-26.335856960105907
3.39,-23.881173132960573
3.4,-23.997988010756256
3.41,-24.99849199481288
3.42,-25.031545161889884
3.43,-23.559813473381233
3.44,-22.839724266546977
3.45,-23.769998815874377
3.46,-23.885318153148077
3.47,-25.81315956934073
3.48,-25.583293150233786
3.49,-26.335856960105907
3.5,-25.36426770905907
3.51,-25.97512671579927
3.52,-26.113338402224056
3.53,-25.77700059504721
3.54,-25.917308174909262
3.55,-22.93210856267793
3.56,-25.771847293419885
3.57,-25.508003256941404
3.58,-26.51919242520701
3.59,-25.79247886995649
3.6,-26.717962875890603
3.61,-28.482695505249897
3.62,-26.291988737372805
3.63,-24.6837849580941
3.64,-25.0742277521436
3.65,-24.679240940392727
3.66,-24.099380869940852
3.67,-25.603481165453307
3.68,-25.523009116656507
3.69,-25.04101207251431
3.7,-26.96856278338923
3.71,-29.255119860694997
3.72,-26.264683183171726
3.73,-28.42656678238313
3.74,-24.881461261312868
3.75,-25.880713942347583
3.76,-24.17192372533418
3.77,-24.253724529734725
3.78,-25.165030176407463
3.79,-24.33193717100022
3.8,-23.636023568900335
3.81,-22.75195031905927
3.82,-24.711099098961597
3.83,-23.8233495932405
3.84,-22.92097042526187
3.85,-23.484266234420513
3.86,-23.652153359307327
3.87,-24.64297412512336
3.88,-23.765908451005725
