seconds_elapsed,dBFS
0.0,-9.975015937894929
0.01,-8.71741535979174
0.02,-6.31938040194724
0.03,-3.8724750238242924
0.04,-4.643878952421238
0.05,-8.885355579392746
0.06,-6.397093439083847
0.07,-10.101303269226813
0.08,-7.105032176862986
0.09,-10.847365707167008
0.1,-6.035456661548391
0.11,-12.460427760289758
0.12,-11.41145257992045
0.13,-4.059950556145545
0.14,-7.084634305374032
0.15,-11.444056196437122
0.16,-12.70187471080963
0.17,-12.592731205984578
0.18,-13.499348954925516
0.19,-14.940676934867724
0.2,-13.90759801294784
0.21,-14.156945300864464
0.22,-15.701429327441499
0.23,-10.528015570429952
0.24,-5.13338056836915
0.25,-5.624222692253023
0.26,-10.232036258508398
0.27,-10.475618551595387
0.28,-13.131039554554288
0.29,-14.406698986587092
0.3,-14.311165006057053
0.31,-13.511899007156657
0.32,-15.188454439725534
0.33,-12.591601481116228
0.34,-9.93082981286781
0.35,-11.290024411206351
0.36,-12.43376345803549
0.37,-13.698508417249187
0.38,-16.56377177432423
0.39,-16.355695446240865
0.4,-18.248277574183923
0.41,-17.511303860868274
0.42,-19.383081996765508
0.43,-18.692779245975434
0.44,-20.637252759816477
0.45,-19.823673323854784
0.46,-9.871987150507856
0.47,-6.1546960230830265
0.48,-4.654744238489027
0.49,-5.826110055768552
0.5,-7.375277586243848
0.51,-10.885337882071129
0.52,-12.107187787312995
0.53,-13.593919348806692
0.54,-14.30565889516708
0.55,-15.748419610783987
0.56,-17.004886130502346
0.57,-16.744095660653517
0.58,-15.823481307178577
0.59,-17.13160685515511
0.6,-16.38536695582388
0.61,-15.929005941619991
0.62,-15.940625862601244
0.63,-14.850834799768922
0.64,-13.773253922868513
0.65,-12.85422214974098
0.66,-13.911542260183436
0.67,-14.610949701461262
0.68,-14.886071722894654
0.69,-10.191666661686657
0.7,-1.769019524063614
0.71,-2.7763647670236935
0.72,-1.6214534741898767
0.73,-1.6467287478000348
0.74,-1.9380014581995164
0.75,-1.6198562454403977
0.76,-2.5882988043816875
0.77,-3.0891827276159316
0.78,-5.069474871238105
0.79,-5.82662847706675
0.8,-6.983949660111152
0.81,-8.031468046573307
0.82,-9.550115595132386
0.83,-9.716453918246101
0.84,-10.505774841224778
0.85,-12.785797002681797
0.86,-13.335365618715349
0.87,-14.451363791486415
0.88,-15.40594079765635
0.89,-15.777714375949463
0.9,-15.245000415206036
0.91,-15.426269651169411
0.92,-13.201038766112983
0.93,-3.3569348326746273
0.94,-2.0621401475478374
0.95,-2.345335788995538
0.96,-3.2233716221997883
0.97,-3.330057380682403
0.98,-2.3390876964316205
0.99,-5.838560714969889
1.0,-3.03976772266249
1.01,-3.615501432391399
1.02,-6.764619512540034
1.03,-3.3976035780665157
1.04,-4.231691722340279
1.05,-8.263755709308896
1.06,-4.1625016262870265
1.07,-5.334823987176003
1.08,-9.195317400806092
1.09,-4.950084184387995
1.1,-6.556328500180488
1.11,-7.139336445209404
1.12,-6.06151727518117
1.13,-7.252839430813086
1.14,-7.573953372661098
1.15,-6.060452044662535
1.16,-7.303696959620282
1.17,-7.33694560307249
1.18,-6.76404197408189
1.19,-6.831875919468966
1.2,-7.498837838430767
1.21,-8.822179851892813
1.22,-8.727545522130676
1.23,-8.931928825764397
1.24,-8.844165746954387
1.25,-9.975015937894929
1.26,-9.92999826917486
1.27,-12.781177462810607
1.28,-11.765699213206961
1.29,-13.920752475007856
1.3,-13.812169264120344
1.31,-15.292661846199266
1.32,-14.05607837453198
1.33,-15.465497834720814
1.34,-13.400835906758491
1.35,-12.709886996739373
1.36,-14.831807651660618
1.37,-15.624206610485256
1.38,-14.983716886154445
1.39,-8.087110489007639
1.4,-6.580043483696012
1.41,-7.758480207440472
1.42,-6.705333862229811
1.43,-6.135872689049407
1.44,-7.494439442310702
1.45,-9.282088712463581
1.46,-9.684870302645116
1.47,-8.842698287981802
1.48,-10.073362088232221
1.49,-11.147281728772656
1.5,-11.193320120856129
1.51,-10.406829544299544
1.52,-9.762006543699226
1.53,-9.898458453703102
1.54,-9.229768552904359
1.55,-9.78160246771999
1.56,-10.318558436616282
1.57,-9.060367635942114
1.58,-8.953451526528012
1.59,-9.841479936403108
1.6,-9.892660958616213
1.61,-10.987103110270944
1.62,-11.657494229228544
1.63,-1.9935110350122143
1.64,-3.9293774092998888
1.65,-1.3481740560807907
1.66,-3.1324150653278755
1.67,-1.6576293932471993
1.68,-2.8063388288510764
1.69,-4.048958968453216
1.7,-2.567255925974261
1.71,-5.29864698698466
1.72,-6.141246623291277
1.73,-4.91220450765757
1.74,-6.450405121390357
1.75,-7.587911708173247
1.76,-5.9914907899688465
1.77,-7.982822406086031
1.78,-7.269350790044879
1.79,-6.567048687524814
1.8,-8.218573646827785
1.81,-6.709924106563391
1.82,-6.739819970150339
1.83,-7.412534819396482
1.84,-6.296365602992289
1.85,-6.182197543593023
1.86,-6.726009091971383
1.87,-8.076356465022354
1.88,-6.0631153659473345
1.89,-6.239637661941435
1.9,-6.610629628145124
1.91,-7.469348388138281
1.92,-9.344825358711445
1.93,-10.551206499239449
1.94,-9.358828587314113
1.95,-8.654727095767718
1.96,-7.032061183310266
1.97,-8.131612116869722
1.98,-7.7798764305582715
1.99,-9.432325616531422
2.0,-10.292511167082248
2.01,-10.531579377901455
2.02,-10.154043139179558
2.03,-9.767717456173449
2.04,-9.447257255867775
2.05,-9.255889238403821
2.06,-10.73625973150487
2.07,-11.088174360128118
2.08,-8.415384431771272
2.09,-5.161667927494058
2.1,-2.1326710995956684
2.11,-2.181601989809008
2.12,-2.822098374702179
2.13,-2.2541445089845302
2.14,-3.0631199399097357
2.15,-3.4890182485655186
2.16,-3.4814954263004734
2.17,-3.529515681852764
2.18,-6.690432299314537
2.19,-5.5300207329591275
2.2,-5.050015204883797
2.21,-9.17852421761235
2.22,-6.180037411863894
2.23,-7.627369949944126
2.24,-10.481818646435352
2.25,-6.897311060410486
2.26,-7.535998802161458
2.27,-10.710750492500019
2.28,-7.853544116422375
2.29,-8.476362886658197
2.3,-9.811079497044657
2.31,-7.565082460383393
2.32,-6.699026234554118
2.33,-6.2054529514288745
2.34,-7.498837838430767
2.35,-6.736940892382567
2.36,-6.234745887040223
2.37,-7.167119719252738
2.38,-8.015444878976801
2.39,-12.110393504137743
2.4,-10.270864618376663
2.41,-11.44999729765238
2.42,-10.133589700439309
2.43,-8.931928825764397
2.44,-5.437820906744757
2.45,-2.1983151398975993
