seconds_elapsed,dBFS
0.0,-11.890886615913875
0.01,-12.763876036922635
0.02,-12.571291519474187
0.03,-12.92906064945165
0.04,-12.92906064945165
0.05,-13.443097044464213
0.06,-11.635204520036464
0.07,-14.074818165270532
0.08,-13.46180723258086
0.09,-11.062559244602667
0.1,-11.8534518606184
0.11,-13.296073995533026
0.12,-12.583697518599227
0.13,-12.273295793122372
0.14,-11.923251889106705
0.15,-12.411605564289307
0.16,-13.49809494645758
0.17,-12.531935359535634
0.18,-11.459908172344818
0.19,-11.626102463344816
0.2,-13.08428632651355
0.21,-13.000996335608326
0.22,-12.11787811437085
0.23,-12.71332309738604
0.24,-12.714468766402813
0.25,-10.363018851004078
0.26,-12.54540882082786
0.27,-14.925884884906381
0.28,-12.562280091211015
0.29,-12.074131142075723
0.3,-13.186509814348351
0.31,-11.960989340089345
0.32,-10.520002345860522
0.33,-13.699791698575014
0.34,-12.36635783155247
0.35,-12.098644988849028
0.36,-13.681842990353008
0.37,-11.292942239901187
0.38,-11.648368797146249
0.39,-11.087224303836434
0.4,-12.017904728841684
0.41,-10.837206230649219
0.42,-11.507638424407308
0.43,-10.993679415540633
0.44,-12.14037071987423
0.45,-11.762618200001235
0.46,-11.267686895493352
0.47,-10.875133920197138
0.48,-11.287107562361097
0.49,-12.844912513653544
0.5,-13.214378354915512
0.51,-11.31729567266132
0.52,-12.657369628105332
0.53,-11.629135422569512
0.54,-12.62669145896098
0.55,-12.557777880594177
0.56,-11.517615326076324
0.57,-11.96729488638301
0.58,-12.224428372392788
0.59,-11.290996911866614
0.6,-12.896239434978245
0.61,-11.392736167447588
0.62,-13.276494636128175
0.63,-13.153908258005513
0.64,-11.43416338256808
0.65,-12.32791733923094
0.66,-12.996260945201783
0.67,-12.276563417327216
0.68,-12.655093451562415
0.69,-13.768078359099674
0.7,-13.555967542266508
0.71,-12.249370703244299
0.72,-11.77597715741658
0.73,-11.727776217499049
0.74,-12.100779900900594
0.75,-11.278362888347395
0.76,-12.979707379759551
0.77,-15.662732149769507
0.78,-11.515619028747825
0.79,-11.998891464106826
0.8,-12.53530176600038
0.81,-12.32791733923094
0.82,-11.836865838845174
0.83,-13.923385759744733
0.84,-11.754407503761268
0.85,-11.208720638433356
0.86,-13.390921921218709
0.87,-12.775406490810347
0.88,-11.397657630346586
0.89,-10.585212704457875
0.9,-11.282248323276002
0.91,-13.239901871833023
0.92,-11.186590971333967
0.93,-11.182748082370466
0.94,-11.38880100387906
0.95,-11.152066025031356
0.96,-11.076780537368744
0.97,-10.059847135178885
0.98,-9.620440598686296
0.99,-10.899271722241352
1.0,-11.159726384595732
1.01,-12.153249836982035
1.02,-12.329013281398575
1.03,-10.767336292877305
1.04,-10.327258246676589
1.05,-10.98428621722272
1.06,-10.507552005351297
1.07,-10.332482318388639
1.08,-9.177761662005166
1.09,-10.171124540236349
1.1,-11.90235726840257
1.11,-15.633821987450302
1.12,-13.266721482199127
1.13,-10.620252803272836
1.14,-9.590802730062183
1.15,-11.13389970181257
1.16,-11.640265342668748
1.17,-12.095443604340252
1.18,-11.161642530563809
1.19,-13.187719632532362
1.2,-14.135328516614972
1.21,-11.327056196936043
1.22,-11.836865838845174
1.23,-11.321198566296102
1.24,-10.32203731505993
1.25,-12.17152800475295
1.26,-11.259930770733693
1.27,-11.433174720608324
1.28,-11.869030073028938
1.29,-12.17045175301524
1.3,-12.537546762042357
1.31,-10.904851523057264
1.32,-11.079627592178632
1.33,-11.517615326076324
1.34,-12.126439859409142
1.35,-12.369660660531263
1.36,-11.564660881940249
1.37,-11.67272462001157
1.38,-11.36326580563839
1.39,-12.147881217219014
1.4,-11.557637927186699
1.41,-12.204958125947984
1.42,-11.016264623424327
1.43,-12.408286750147903
1.44,-12.357556422679746
1.45,-12.13822605575517
1.46,-11.809980920882143
1.47,-11.985185499583606
1.48,-10.448214063056167
1.49,-12.414925647009758
1.5,-12.099712379282083
1.51,-11.674757358059244
1.52,-11.528603170221029
1.53,-11.738009359161081
1.54,-12.580312306615593
1.55,-10.837206230649219
1.56,-11.435152157074025
1.57,-11.728798989315134
1.58,-12.001001994948961
1.59,-11.041743377119635
1.6,-11.16835237225559
1.61,-11.010612813461506
1.62,-10.878843064969232
1.63,-11.891928776769172
1.64,-11.877349891326027
1.65,-10.932804420937195
1.66,-13.509387545627504
1.67,-11.13676554389677
1.68,-12.916151806162464
1.69,-10.702566979019231
1.7,-12.095443604340252
1.71,-11.570685080289278
1.72,-13.060407577074178
1.73,-11.142500066313296
1.74,-13.080700326474425
1.75,-12.44597443659704
1.76,-11.621049883574596
1.77,-10.981470237415898
1.78,-11.275449952328344
1.79,-12.705307642665689
1.8,-12.167223797708447
1.81,-13.308333545398977
1.82,-12.634634659915164
1.83,-13.238684764055783
1.84,-11.786267277845381
1.85,-11.872149071077198
1.86,-11.497672969392553
1.87,-14.793877942312397
1.88,-12.252629337549287
1.89,-12.685872277683083
1.9,-12.183375583751296
1.91,-12.28092216268932
1.92,-10.866794131137747
1.93,-12.488290392888139
1.94,-12.35865611118385
1.95,-10.775581086698132
1.96,-11.759538279288842
1.97,-10.850138537082994
1.98,-12.879875218735283
1.99,-14.688259926771721
2.0,-12.585955059778424
2.01,-12.094376738326744
2.02,-11.988346495422968
2.03,-11.925344118344345
2.04,-11.63925294222025
2.05,-11.17602711509029
2.06,-12.091176926303792
2.07,-13.503112066965633
2.08,-12.676741249627387
2.09,-13.4244270731618
2.1,-10.591491553026485
2.11,-10.930938093117796
2.12,-11.283219953640915
2.13,-12.387296990728656
2.14,-12.023193585875378
2.15,-13.742246698014268
2.16,-10.223431255191109
2.17,-10.500445529489086
2.18,-11.302675420702354
2.19,-10.696207350319613
2.2,-11.250245344174745
2.21,-11.552625005227238
2.22,-11.565664624893703
2.23,-12.43376345803549
2.24,-12.743159714198438
2.25,-11.659523405651292
2.26,-11.706325782372005
2.27,-10.829824977060285
2.28,-11.640265342668748
2.29,-12.333398433397846
2.3,-12.332301937828875
2.31,-12.042260180541893
2.32,-11.090074784517729
2.33,-11.55062064623875
2.34,-10.899271722241352
2.35,-10.739910031889785
2.36,-11.743130454550313
2.37,-12.692726853578531
2.38,-11.310469825836112
2.39,-13.038972686365355
2.4,-12.389504052013066
2.41,-11.582746025950495
2.42,-10.628359093770747
2.43,-11.523606972419733
2.44,-11.941051922320353
2.45,-10.96834105602031
2.46,-12.458202606021649
2.47,-10.752698177530624
2.48,-12.089044372981501
2.49,-12.86004574341409
2.5,-11.092926200958962
2.51,-10.713480044600646
2.52,-11.371114797147822
2.53,-10.530688288940624
2.54,-11.115771293724448
2.55,-10.532470558288843
2.56,-11.464867853652452
2.57,-11.43416338256808
2.58,-10.114882931383995
2.59,-10.942142080015449
2.6,-11.673740929570805
2.61,-11.09577855377472
2.62,-11.858641494302129
2.63,-11.448016479026222
2.64,-11.290996911866614
2.65,-11.277391801126521
2.66,-10.544956694018738
2.67,-10.03793008836084
2.68,-11.431197734224902
2.69,-12.431545123292729
2.7,-12.812407141599921
2.71,-10.154043139179558
2.72,-9.811079497044657
2.73,-13.282608446219452
2.74,-11.269627009336142
2.75,-11.585763880971205
2.76,-10.639179262891027
2.77,-11.184669314326555
2.78,-12.290737344440977
2.79,-10.777414326392158
2.8,-12.014732959721881
2.81,-11.437130043826977
2.82,-12.277652898625357
2.83,-13.091462771128402
2.84,-9.92002594932162
2.85,-9.923348783959723
2.86,-10.865867982004485
2.87,-10.36564127027768
2.88,-10.328128707131102
2.89,-11.442076732062542
2.9,-13.07233874603546
2.91,-14.513155344580849
2.92,-13.48306094938872
2.93,-11.676790571935118
2.94,-10.157456733107583
2.95,-9.7963284779804
2.96,-13.010474868414247
2.97,-11.350526302559828
2.98,-14.406698986587092
2.99,-12.827483794733661
3.0,-12.128581614971237
3.01,-11.720620184908503
3.02,-11.525605106690808
3.03,-11.451978568107608
3.04,-14.231666013494673
3.05,-14.681072595258541
3.06,-12.303841530438806
3.07,-12.086912343113639
3.08,-13.374835790074222
3.09,-12.36855957798709
3.1,-12.53081351392373
3.11,-10.585212704457875
3.12,-13.339058337387026
3.13,-11.449006831873547
3.14,-13.578718721380929
3.15,-13.977544778672295
3.16,-12.733968295734314
3.17,-12.448196460052
3.18,-13.642230920406407
3.19,-12.597251575401236
3.2,-13.989478679754647
3.21,-12.19847773049339
3.22,-14.60525029860712
3.23,-10.654530945823451
3.24,-9.37441425386462
3.25,-10.228593234129526
3.26,-13.08428632651355
3.27,-12.680164260366492
3.28,-11.943148444087246
3.29,-12.395024160008246
3.3,-12.79157488464704
3.31,-13.71649163203337
3.32,-13.099842790724935
3.33,-13.604067899268138
3.34,-14.711299435341473
3.35,-14.143428507539
3.36,-13.49809494645758
3.37,-13.898401728723961
3.38,-14.980741756946367
3.39,-15.576288745457932
3.4,-14.069459812455278
3.41,-17.198546774126005
3.42,-15.712748555975644
3.43,-17.390733198517474
3.44,-17.649735335849133
3.45,-16.813612418885832
3.46,-16.497989468987186
3.47,-16.744095660653517
3.48,-17.62348480667548
3.49,-17.359383235720838
3.5,-16.294924356293972
3.51,-17.394659911802282
3.52,-16.958071908964026
3.53,-19.224062535872147
3.54,-17.77808551865177
3.55,-18.153466624360494
3.56,-18.28083748850068
3.57,-17.378963698562117
3.58,-18.617851488680863
3.59,-16.535264213511887
3.6,-17.70044119869388
3.61,-14.880188966396119
3.62,-18.40789690400828
3.63,-17.238959759935703
3.64,-16.20883951252764
3.65,-15.854675349424461
3.66,-16.155892228570618
3.67,-19.267808015436668
3.68,-14.629498630940937
3.69,-17.55720298242036
3.7,-17.244748423687483
3.71,-17.162143962901833
3.72,-16.53348559373746
3.73,-15.3096370290063
3.74,-14.530084158719403
3.75,-15.511225597503495
3.76,-15.096026307567236
3.77,-14.767715604345767
3.78,-13.634584890301692
3.79,-15.278797693793532
3.8,-15.899197330193326
3.81,-15.963912443943364
3.82,-15.593827950319579
3.83,-13.73451215641853
3.84,-14.925884884906381
3.85,-13.582516385059321
3.86,-14.173193267513023
3.87,-12.875205385484051
3.88,-12.468220292368526
3.89,-13.861713650363367
3.9,-12.14358870927988
3.91,-13.238684764055783
3.92,-12.957292168253634
3.93,-12.684730374093974
3.94,-12.630094798508761
3.95,-13.590116697317395
3.96,-13.08906996405044
3.97,-12.616489434069669
3.98,-9.347935236882176
3.99,-6.982765086002524
4.0,-6.155234432482738
4.01,-8.998898237226555
4.02,-8.753648891553219
4.03,-7.787020233422274
4.04,-8.573974074353224
4.05,-7.713912243138906
4.06,-6.689287083459749
4.07,-7.834578570393642
4.08,-9.043082277723952
4.09,-7.494439442310702
4.1,-8.237713098175215
4.11,-8.388187613285808
4.12,-9.55967190632435
4.13,-9.722134948812226
4.14,-7.551793056137156
4.15,-9.313013140814627
4.16,-7.290801225171922
4.17,-6.6248264369643035
4.18,-9.173187733706701
4.19,-9.473252319759322
4.2,-6.381053010447497
4.21,-7.6580418498827365
4.22,-8.833898736730516
4.23,-9.982541618918555
4.24,-8.090473853865952
4.25,-8.978753142062448
4.26,-9.895973339107522
4.27,-9.728632108264726
4.28,-8.966093121486452
4.29,-8.325057591595948
4.3,-8.037484363182998
4.31,-11.704285643868658
4.32,-10.825214876831016
4.33,-10.029515158776036
4.34,-8.833165843034088
4.35,-11.365227388672487
4.36,-9.20296141224555
4.37,-9.863731385569185
4.38,-11.364246541781029
4.39,-8.371493338000604
4.4,-9.00412867546508
4.41,-10.30378872824655
4.42,-7.549264044723724
4.43,-7.212001868779472
4.44,-9.902601892048175
4.45,-11.139632331855484
4.46,-6.488366522222002
4.47,-9.509618161845141
4.48,-9.135923867746953
4.49,-8.712354705649961
4.5,-8.271995940431848
4.51,-8.525031363091381
4.52,-10.8132400549232
4.53,-9.678405783125903
4.54,-7.659962444614291
4.55,-9.941647131437458
4.56,-12.35865611118385
4.57,-13.573657751310249
4.58,-11.702245984439756
4.59,-11.398642257637565
4.6,-11.744155036048177
4.61,-10.290777456569892
4.62,-9.891005241943633
4.63,-8.751470612008747
4.64,-11.096729546236181
4.65,-8.998151288811588
4.66,-8.379140898107135
4.67,-7.405692352181258
4.68,-10.194237846165862
4.69,-7.819566320804605
4.7,-9.56365680782016
4.71,-10.422655645801623
4.72,-7.1858934814006155
4.73,-6.101558018688566
4.74,-5.846351449762592
4.75,-4.8300008481941905
4.76,-3.119878296774626
4.77,-5.678077819255937
4.78,-5.2918196072084625
4.79,-5.652124706731948
4.8,-3.5978349378771357
4.81,-3.857997503634081
4.82,-4.163785856294255
4.83,-5.625235742130316
4.84,-3.785559793410866
4.85,-6.67784322193863
4.86,-7.624181180262559
4.87,-7.62864578567469
4.88,-7.9927958709986395
4.89,-11.571689519681904
4.9,-11.503650870274118
4.91,-14.111073767145577
4.92,-12.064557568546048
4.93,-13.37978219660771
4.94,-15.62741055358247
4.95,-16.80626860983448
4.96,-18.302612104161135
4.97,-19.370745835569505
4.98,-23.311797055347732
4.99,-23.017978792114917
5.0,-21.992844146483492
5.01,-23.311797055347732
5.02,-26.08658787403337
5.03,-22.45154379115277
5.04,-22.205487774834573
5.05,-19.275120396649864
5.06,-13.34644848783686
5.07,-9.531034456903706
5.08,-7.31907402987952
5.09,-6.78138485432895
5.1,-9.044583987554468
5.11,-9.900944279516796
5.12,-9.356493147558684
5.13,-9.890177501947953
5.14,-10.764589766486651
5.15,-10.743561866981652
5.16,-10.026992268801946
5.17,-10.066601983104091
5.18,-9.918365008569248
5.19,-10.118281166809995
5.2,-9.485884046600123
5.21,-8.775461785081502
5.22,-8.708019347617324
5.23,-6.875639521698621
5.24,-7.856818227674557
5.25,-8.576819807735403
5.26,-10.075898484698797
5.27,-8.402821471486735
5.28,-8.568996283274544
5.29,-6.664701393843647
5.3,-8.768184732345137
5.31,-7.593628407837913
5.32,-7.575221385749198
5.33,-7.722936544873338
5.34,-7.344351506296258
5.35,-6.982172859524399
5.36,-7.224781055054875
5.37,-7.5277971262083305
5.38,-6.989282243705271
5.39,-6.891448553682756
5.4,-7.644609564544471
5.41,-8.30089846787658
5.42,-7.868615257593742
5.43,-8.636796595948148
5.44,-8.023452767962633
5.45,-8.161407043105388
5.46,-7.958270044987595
5.47,-8.496784542626225
5.48,-7.931804791002622
5.49,-8.146496804422368
5.5,-8.187901897318628
5.51,-8.083076169549107
5.52,-8.377054532036478
5.53,-8.671975268845275
5.54,-7.941719813925539
5.55,-8.265815034320653
5.56,-7.522753787620964
5.57,-7.192564904835024
5.58,-7.535367628986885
5.59,-8.143788599664887
5.6,-8.13566904811492
5.61,-8.020782651237619
5.62,-7.964235856397961
5.63,-7.950321998401528
5.64,-7.655481717335113
5.65,-8.378445387065561
5.66,-9.109404360311121
5.67,-8.638229674591567
5.68,-7.976179785971777
5.69,-8.330589124747757
5.7,-8.86694312149084
5.71,-8.393062827098314
5.72,-7.22112794005441
5.73,-7.236969213426137
5.74,-6.742123919669965
5.75,-7.673418511810617
5.76,-7.70167995389021
5.77,-7.606345671658861
5.78,-7.7701443403098045
5.79,-7.7061845828088416
5.8,-8.858118986321404
5.81,-6.629374320902521
5.82,-7.3610379122412635
5.83,-7.579026536060375
5.84,-8.534939492164874
5.85,-7.682400818338161
5.86,-6.2755951062627275
5.87,-6.097278201091228
5.88,-5.684195720292852
5.89,-5.935138299367235
5.9,-6.218459839197546
5.91,-8.750018729073805
5.92,-6.483891854269055
