seconds_elapsed,dBFS
0.0,-22.80304393484758
0.01,-22.991754391143253
0.02,-23.119878296774626
0.03,-22.40946430810307
0.04,-23.089561024675636
0.05,-22.74831225004773
0.06,-24.06968549182703
0.07,-24.318852725184605
0.08,-24.24507755078458
0.09,-24.51276191684193
0.1,-24.97966079038953
0.11,-25.13146611175173
0.12,-25.290844705177236
0.13,-25.65415744477962
0.14,-24.701984838274242
0.15,-25.26164840999638
0.16,-25.766697047411853
0.17,-25.67451103262403
0.18,-25.649076491351277
0.19,-25.608535509289887
0.2,-25.985680653474496
0.21,-27.22660818887742
0.22,-26.956745244643756
0.23,-28.15801610430063
0.24,-29.16328581083006
0.25,-26.9272715494539
0.26,-27.039807663794555
0.27,-28.151238195538383
0.28,-30.01019170333563
0.29,-28.93044646555292
0.3,-29.46536680887903
0.31,-26.717962875890603
0.32,-27.695891718753742
0.33,-29.087492226598517
0.34,-30.026992268801944
0.35,-28.070313172540725
0.36,-32.433763458035486
0.37,-30.911365824264358
0.38,-29.170901672464904
0.39,-27.20835412337495
0.4,-26.73521390368256
0.41,-28.77618982578752
0.42,-28.06360333084894
0.43,-28.25346640152553
0.44,-27.549264044723728
0.45,-29.473252319759318
0.46,-27.442456099353425
0.47,-26.752499261900724
0.48,-27.638220531790004
0.49,-28.22608768811419
0.5,-29.072412553300374
0.51,-29.095041892122122
0.52,-29.79469102116754
0.53,-30.413859807441792
0.54,-30.308998699194355
0.55,-30.052254205090914
0.56,-30.846441627200385
0.57,-30.257039084796183
0.58,-29.672753272586945
0.59,-30.001803591010074
0.6,-31.46883763874809
0.61,-31.79244720669951
0.62,-26.564226302564784
0.63,-33.16234877056899
0.64,-35.48596672215866
0.65,-37.559204108944144
0.66,-30.56461410103426
0.67,-38.66773144096018
0.68,-37.42022690983759
0.69,-38.224477637504954
0.7,-36.39936516939041
0.71,-35.32974147407113
0.72,-30.077589827248794
0.73,-29.75385460538329
0.74,-30.90206117459249
0.75,-30.145515019065826
0.76,-26.74673365290172
0.77,-27.20835412337495
0.78,-24.86288181115263
0.79,-24.323212017440756
0.8,-21.8440812204582
0.81,-23.672357810469382
0.82,-23.16937067933173
0.83,-23.997988010756256
0.84,-23.13888046938965
0.85,-23.1274741780091
0.86,-23.86461280451597
0.87,-22.50796877001461
0.88,-23.607868310412528
0.89,-22.96188027867398
0.9,-22.21574468171991
0.91,-22.02290493662772
0.92,-22.766517852265235
0.93,-21.63360202069704
0.94,-22.195242965738807
0.95,-22.898736907222506
0.96,-21.325604055890338
0.97,-22.657852261018636
0.98,-22.497361128185652
0.99,-22.01621576445418
1.0,-22.19865655966683
1.01,-22.7446757041968
1.02,-23.656190491445102
1.03,-23.977012657317136
1.04,-26.330361300550177
1.05,-25.09326532609483
1.06,-24.09088611167153
1.07,-24.27537971332283
1.08,-24.761399205849266
1.09,-25.083741323344487
1.1,-24.279717236328363
1.11,-26.962652004230833
1.12,-27.232701412303776
1.13,-27.549264044723728
1.14,-27.40507057691072
1.15,-27.549264044723728
1.16,-26.939049028733702
1.17,-25.573216711008495
1.18,-24.288398785914733
1.19,-25.24223859267223
1.2,-25.305479737515853
1.21,-26.107981701691614
1.22,-26.402077532225967
1.23,-26.156311351415127
1.24,-24.455018638315764
1.25,-25.07898323522875
1.26,-23.910229899588185
1.27,-25.638923492371667
1.28,-25.102799783295957
1.29,-25.20354859712824
1.3,-22.367587700006183
1.31,-22.05307012486349
1.32,-22.701155498053808
1.33,-23.063119939909733
1.34,-24.279717236328363
1.35,-25.623716211618568
