seconds_elapsed,dBFS
0.0,-10.046353178274291
0.01,-10.613053557408502
0.02,-11.883594988998105
0.03,-13.249644878617989
0.04,-13.1780458020594
0.05,-12.805457502900278
0.06,-12.481595205271393
0.07,-13.525725040901355
0.08,-11.348568036372285
0.09,-11.941051922320353
0.1,-12.840261434753618
0.11,-14.014726445274823
0.12,-12.356456873385529
0.13,-10.775581086698132
0.14,-12.073066890449315
0.15,-10.672626555781084
0.16,-11.087224303836434
0.17,-12.00205745271052
0.18,-12.836774759265012
0.19,-14.466770517450989
0.2,-11.67272462001157
0.21,-11.087224303836434
0.22,-11.554629826849078
0.23,-11.252181565680326
0.24,-11.44702623908465
0.25,-11.796569603377778
0.26,-11.278362888347395
0.27,-11.170270422310434
0.28,-11.811013418908686
0.29,-12.606299377925678
0.3,-11.186590971333967
0.31,-11.629135422569512
0.32,-10.926274027260106
0.33,-11.323150670953845
0.34,-11.200054487640445
0.35,-11.14919513105775
0.36,-11.892971062681273
0.37,-12.00628056675412
0.38,-10.569982942024028
0.39,-10.189096238100532
0.4,-11.020977275939732
0.41,-10.659955671494563
0.42,-10.03961405301095
0.43,-10.575355103604245
0.44,-11.409480530953399
0.45,-11.512625442766769
0.46,-13.28383172481285
0.47,-12.288555234232774
0.48,-12.360855905962751
0.49,-12.63917689541576
0.5,-12.080519391668465
0.51,-11.623070562806245
0.52,-11.560647069651601
0.53,-11.204867948355524
0.54,-11.58174030723947
0.55,-11.524605982097993
0.56,-14.203060376034655
0.57,-12.105051299874336
0.58,-13.318153659094023
0.59,-12.1114623393865
0.6,-12.986797902306828
0.61,-12.307120668326391
0.62,-13.343984405653508
0.63,-14.653814846714415
0.64,-14.994137870773468
0.65,-13.692094853022127
0.66,-13.232601782059096
0.67,-13.91022731208645
0.68,-14.203060376034655
0.69,-14.27818057538799
0.7,-13.642230920406407
0.71,-12.746609005251006
0.72,-12.910290486257159
0.73,-13.079505322050984
0.74,-13.97357045252743
0.75,-11.869030073028938
0.76,-12.387296990728656
0.77,-11.754407503761268
