seconds_elapsed,dBFS
0.0,-6.6418932939841095
0.01,-6.452076395417524
0.02,-6.363387536681971
0.03,-6.349060747251638
0.04,-6.439827847010137
0.05,-6.628237126656583
0.06,-6.524247095857728
0.07,-6.784857589620654
0.08,-6.470481664965634
0.09,-6.345207568857928
0.1,-6.394325733730135
0.11,-6.479978409896448
0.12,-6.7127942416184405
0.13,-6.959698122332595
0.14,-6.383263723016842
0.15,-6.546747955893869
0.16,-6.544495245088773
0.17,-6.657852673096098
0.18,-6.787173518080733
0.19,-6.671555518987686
0.2,-6.739819970150339
0.21,-7.035635623540984
0.22,-6.8773946605530885
0.23,-6.962652004230836
0.24,-6.7191118790853555
0.25,-7.067273894377264
0.26,-6.888518783479897
0.27,-7.2816016942451505
0.28,-7.392023567383483
0.29,-7.219910576403075
0.3,-6.919036805495001
0.31,-6.878564950185426
0.32,-6.961470330922699
0.33,-7.42561269836103
0.34,-7.380855993453293
0.35,-7.1321032264946025
0.36,-7.251617614854106
0.37,-6.856356365468493
0.38,-7.574587356066223
0.39,-7.544208229890605
0.4,-6.873299888111932
0.41,-7.550528458386059
0.42,-7.138733446865722
0.43,-6.87505455421764
0.44,-7.198027156123768
0.45,-7.411290333451513
0.46,-7.087630989770867
0.47,-7.22112794005441
0.48,-7.078045236679808
0.49,-7.100228366363456
0.5,-7.263843515441229
0.51,-7.206530824980112
0.52,-7.018967473002986
0.53,-7.106233544726321
0.54,-7.111641757343024
0.55,-6.888518783479897
0.56,-6.403185496974972
0.57,-6.78312104841903
0.58,-6.568177898347784
0.59,-7.7061845828088416
0.6,-8.231556531133245
0.61,-8.906023976148246
0.62,-10.898342103827872
0.63,-11.808948545574808
0.64,-12.05287084596851
0.65,-14.468172484952714
0.66,-17.023682696240854
0.67,-16.25177528773577
0.68,-17.20815187257032
0.69,-16.38711549928989
0.7,-17.033096254806207
0.71,-16.34002793888778
0.72,-15.601812039160144
0.73,-15.179319410342169
0.74,-14.541388392803093
0.75,-15.01203155532614
0.76,-15.643448020542722
0.77,-17.46564601109545
0.78,-18.534603107193227
0.79,-20.205999132796236
0.8,-21.169538426478
0.81,-20.29603743175612
0.82,-20.22774104562052
0.83,-20.340030635714363
0.84,-19.75382364877492
0.85,-19.915063355997297
0.86,-20.57755568882723
0.87,-20.983512263408514
0.88,-22.185010225928103
0.89,-22.67226269922749
0.9,-24.103631366545404
0.91,-25.73585953701565
0.92,-27.461209376817635
0.93,-29.17852421761235
0.94,-31.449006831873547
0.95,-34.15829813781729
0.96,-37.7616815673397
0.97,-43.342901438231145
0.98,-53.787502645177824
0.99,-53.787502645177824
1.0,-43.989591790056004
1.01,-42.07660457992975
1.02,-38.532364187310215
1.03,-36.63005608416411
1.04,-35.07044193078378
1.05,-32.31258865065243
1.06,-32.26894087217977
1.07,-31.42922119771892
1.08,-29.536595460200303
1.09,-30.74538836044608
1.1,-31.49866900054301
1.11,-30.422655645801623
1.12,-30.043825393524028
1.13,-31.458916575832742
1.14,-33.27160668459903
1.15,-33.878728131098896
1.16,-36.70228843090309
1.17,-31.46883763874809
1.18,-33.878728131098896
1.19,-33.16234877056899
1.2,-31.82341297795672
1.21,-31.7206201849085
1.22,-32.98325191751046
1.23,-34.308411514311665
1.24,-32.78464188736151
1.25,-35.22203198497398
1.26,-36.45206031364975
1.27,-35.01053900619659
1.28,-32.92436430457484
1.29,-34.280924498847256
1.3,-33.39463833986118
1.31,-33.054448132834864
1.32,-35.32974147407113
1.33,-37.400553312212516
1.34,-38.35509498068411
1.35,-38.82837334463998
1.36,-40.88316447801559
1.37,-40.151881265277744
1.38,-36.43445972072142
1.39,-40.94205209095121
1.4,-40.73766878731749
1.41,-39.378145429631736
1.42,-39.99152182496077
1.43,-42.99923900137636
1.44,-44.20197131026188
1.45,-46.5585842824651
1.46,-43.61992367617574
1.47,-46.44650673210513
1.48,-46.17248117855736
1.49,-43.22682991624633
1.5,-42.9246815509915
1.51,-42.14419939295736
1.52,-46.61517008284237
1.53,-43.90607297697328
1.54,-40.4259068188255
1.55,-46.22659904607586
1.56,-41.273269988708556
1.57,-38.55477939881613
1.58,-40.09809849506211
1.59,-41.490817057890006
1.6,-39.86011402906796
1.61,-40.509829110697666
1.62,-46.96265200423083
1.63,-42.850758639792225
1.64,-42.3501985257536
1.65,-44.59785251903888
1.66,-45.75126460692089
1.67,-41.459403317905384
1.68,-45.59842976104338
1.69,-43.46054508275023
1.7,-41.68172341601461
1.71,-47.51141697116962
1.72,-40.94205209095121
1.73,-43.22682991624633
1.74,-43.539868827102254
1.75,-38.48770655866437
1.76,-42.043003417569324
1.77,-46.84527333094888
1.78,-44.20197131026188
1.79,-43.50011640239199
1.8,-46.118698408341736
1.81,-39.231338166316874
1.82,-40.623001912258644
1.83,-31.57872384961649
1.84,-28.219256472946455
1.85,-21.010270116759706
1.86,-18.17277576081509
1.87,-15.539729909955309
1.88,-12.502814361195389
1.89,-9.259737149527785
1.9,-10.482704735662141
1.91,-10.224291372005007
1.92,-9.949977322579514
1.93,-8.999645249881333
1.94,-8.22745457609216
1.95,-7.308614660891387
1.96,-7.860748790968751
1.97,-6.136409932880601
1.98,-6.57382615556208
1.99,-6.404847709139277
2.0,-6.072176771687513
2.01,-6.203828459113165
2.02,-5.516003155861112
2.03,-5.364267709059076
2.04,-5.432864904306256
2.05,-5.286946190911584
2.06,-5.200171407791029
2.07,-4.81476041583506
2.08,-5.0966011957469215
2.09,-5.236908488127478
2.1,-5.243692825391212
2.11,-5.5280168363905275
2.12,-5.4130691242419084
2.13,-5.5676796480862825
2.14,-5.800745241875271
2.15,-5.9487978395070895
2.16,-6.057789539771483
2.17,-6.57156641190366
2.18,-6.072176771687513
2.19,-6.02643346272616
2.2,-6.737516631595853
2.21,-6.207077747624678
2.22,-6.345757918272847
2.23,-6.163314580950399
2.24,-5.76052078052109
2.25,-5.299622765184648
2.26,-5.365742518407735
2.27,-5.455189218146888
2.28,-5.757434293202359
2.29,-5.457176381193318
2.3,-5.361318841389243
2.31,-5.805915722198238
2.32,-6.033863651064683
2.33,-5.73996488490636
2.34,-5.998362329368453
2.35,-5.944067105828309
2.36,-5.5315239588369565
2.37,-5.4740856477814805
2.38,-6.01794959450946
2.39,-6.037581130101985
2.4,-6.1203070553762595
2.41,-5.737398815095956
2.42,-6.111195325569203
2.43,-6.1074462132886165
2.44,-5.969854551972418
2.45,-5.690828312779068
2.46,-5.87132886348955
2.47,-6.124061724126884
2.48,-5.671454952264793
2.49,-5.463637802640604
2.5,-5.84998951877413
2.51,-5.542555571683277
2.52,-5.874456096516334
2.53,-5.779062772083977
2.54,-6.004710117449807
2.55,-6.451519268343919
2.56,-6.738092408974214
2.57,-6.386580847226746
2.58,-5.6566990364987255
2.59,-5.501009384421537
2.6,-5.809536890617707
2.61,-6.239637661941435
2.62,-5.798161155449742
2.63,-5.6633106575864645
2.64,-5.496516295449169
2.65,-5.288407928716295
2.66,-5.535032497934632
2.67,-5.601965435646119
2.68,-5.745099299927336
2.69,-6.138559240565694
2.7,-6.181657460294976
2.71,-6.805142931462292
2.72,-6.691577666183484
2.73,-7.050544978085815
2.74,-6.53942878091566
2.75,-6.514701852720756
2.76,-5.9761815326853895
2.77,-5.949849463654879
2.78,-5.930939681937776
2.79,-6.318283075227561
2.8,-6.310057540689984
2.81,-5.853629112222761
2.82,-6.586265265358763
2.83,-6.0460842043376575
2.84,-6.289801131357451
2.85,-6.299649700191184
2.86,-6.578347407346418
2.87,-6.184358212668362
2.88,-6.307865379750071
2.89,-6.305673771932208
2.9,-6.7191118790853555
2.91,-6.178417665539747
2.92,-6.631080391482151
2.93,-6.364490576830519
2.94,-6.8301299535068285
2.95,-6.9549739997669935
2.96,-6.855189064077399
2.97,-7.018372773085733
2.98,-7.461209376817636
2.99,-7.188318860721944
3.0,-6.381053010447497
3.01,-7.24184926953488
3.02,-6.705333862229811
3.03,-6.556328500180488
3.04,-6.858691438978911
3.05,-7.010645377175217
3.06,-6.542243118379308
3.07,-6.397647085999806
3.08,-6.44038422465745
3.09,-6.378842860400442
3.1,-6.816174845985389
3.11,-6.068444459701877
3.12,-6.503485568055142
3.13,-6.255963504047591
3.14,-6.302935039562659
3.15,-6.236376172584109
3.16,-6.569307255993124
3.17,-6.385474998394892
3.18,-6.633355673653135
3.19,-6.445949962152815
3.2,-6.258142603315935
3.21,-6.936103161438021
3.22,-6.4755080600097825
3.23,-6.631649156151055
3.24,-6.354017346742108
3.25,-6.497322779650785
3.26,-6.428152141465889
3.27,-6.49788285249091
3.28,-6.7507691773141705
3.29,-6.585699464646055
3.3,-6.96383383832179
3.31,-6.774443546310575
3.32,-6.35897677632919
3.33,-6.226056194937405
