seconds_elapsed,dBFS
0.0,-57.844012891236346
0.01,-54.745973691521485
0.02,-56.505077098624085
0.03,-57.24474842368748
0.04,-56.15759517723562
0.05,-56.505077098624085
0.06,-57.844012891236346
0.07,-56.505077098624085
0.08,-56.505077098624085
0.09,-56.32959861247397
0.1,-55.98893182649837
0.11,-59.18294868384861
0.12,-56.86704154048
0.13,-58.053321564799646
0.14,-56.505077098624085
0.15,-55.66112350273499
0.16,-55.50174490930948
0.17,-56.86704154048
0.18,-53.53201688444925
0.19,-52.57918419574472
0.2,-49.72132314549016
0.21,-50.136995263955995
0.22,-50.22257122354151
0.23,-46.84527333094888
0.24,-45.70002027162887
0.25,-49.40253912346121
0.26,-50.05225420509091
0.27,-52.13929832162136
0.28,-50.573564013869465
0.29,-52.13929832162136
0.3,-54.46116490922928
0.31,-51.518613646821976
0.32,-52.92436430457484
0.33,-54.60240199897902
0.34,-54.891958466351475
0.35,-53.65882044506962
0.36,-52.69272685357852
0.37,-52.92436430457484
0.38,-53.16234877056899
0.39,-55.19150158574453
0.4,-55.50174490930948
0.41,-54.891958466351475
0.42,-52.57918419574472
0.43,-35.28341661952751
0.44,-38.645023219821894
0.45,-41.5539874427866
0.46,-44.03165429181129
0.47,-47.96357278607907
0.48,-47.263231811533224
0.49,-47.89752007507736
0.5,-48.581802085699394
0.51,-50.05225420509091
0.52,-54.18539921951661
0.53,-53.65882044506962
0.54,-53.53201688444925
0.55,-53.04254149678523
0.56,-54.891958466351475
0.57,-52.69272685357852
0.58,-55.823481307178575
0.59,-54.60240199897902
0.6,-54.18539921951661
0.61,-54.745973691521485
0.62,-53.53201688444925
0.63,-55.98893182649837
0.64,-56.32959861247397
0.65,-56.32959861247397
0.66,-58.26779887263511
0.67,-57.053842065562876
0.68,-56.68417395168261
0.69,-58.26779887263511
0.7,-57.63962958760263
0.71,-55.823481307178575
0.72,-56.68417395168261
0.73,-53.40703789890922
0.74,-55.66112350273499
0.75,-56.505077098624085
0.76,-54.60240199897902
0.77,-56.15759517723562
0.78,-52.57918419574472
0.79,-56.32959861247397
0.8,-53.53201688444925
0.81,-39.88623702511363
0.82,-31.49866900054301
0.83,-26.30841336811895
0.84,-23.265348336967108
0.85,-21.169538426478
0.86,-20.4817648225089
0.87,-21.103072164044853
0.88,-20.856794747273465
0.89,-21.30093697608703
0.9,-22.026251455504827
0.91,-20.743442060802266
0.92,-22.236294903383396
0.93,-20.395337346856053
0.94,-19.445026986441423
0.95,-20.763678790697305
0.96,-18.121379814180216
0.97,-19.888853651022277
0.98,-18.093666803728937
0.99,-18.525650888273407
1.0,-18.559269390975075
1.01,-18.192127918032572
1.02,-19.163668121796274
1.03,-17.72692569565163
1.04,-17.388770507369575
1.05,-16.865193675429307
1.06,-16.61927285541967
1.07,-16.241451328947363
1.08,-16.413385978953126
1.09,-16.819124353267355
1.1,-17.61340953627532
1.11,-24.0274388636101
1.12,-23.964451715665952
1.13,-21.66565331034259
1.14,-26.330361300550177
1.15,-25.623716211618568
1.16,-22.229439425807264
1.17,-17.41825754362621
1.18,-17.443894198698924
1.19,-18.235287706900362
1.2,-21.409376457435464
1.21,-18.14061767284865
1.22,-18.534603107193227
1.23,-19.190189942824134
1.24,-20.16537915398954
1.25,-21.316345689792865
1.26,-22.675869047478617
1.27,-23.32344814983525
1.28,-23.173189492160038
1.29,-24.93276062439875
1.3,-24.46830997929963
1.31,-26.717962875890603
1.32,-25.059976904585763
1.33,-20.939098209052972
1.34,-20.51826610955245
1.35,-20.32075618574885
1.36,-20.945006977742104
1.37,-21.35343851330193
1.38,-21.573028494558283
1.39,-21.89009058075491
1.4,-22.08334043884667
1.41,-21.873630675055878
1.42,-21.3101789237276
1.43,-22.232866488245904
1.44,-21.86705543656015
1.45,-22.94326100115174
1.46,-25.912070978707142
1.47,-29.386902954273584
1.48,-28.588924586826717
1.49,-33.90496950948155
1.5,-29.77016614001377
1.51,-19.72039161185464
1.52,-17.283438419231477
1.53,-17.69027631791053
1.54,-18.518942773919083
1.55,-20.326258808446703
1.56,-21.27633975005454
1.57,-18.474353920157643
1.58,-15.395014167144243
1.59,-12.649405618448375
1.6,-16.40637274511384
1.61,-12.155398214345958
1.62,-14.821579502196025
1.63,-13.861713650363367
1.64,-14.081520758116493
1.65,-18.617851488680863
1.66,-25.344627475392866
1.67,-23.25377486471774
1.68,-21.620814547444354
1.69,-17.053842065562876
1.7,-19.71269476630175
1.71,-19.808102558457453
1.72,-19.66920767094335
1.73,-20.769469384003813
1.74,-20.58322347998303
1.75,-21.54131655850008
1.76,-23.13888046938965
1.77,-23.62796989225652
1.78,-21.50656663543828
1.79,-20.122259538841476
1.8,-22.391991178818735
1.81,-20.75210917241919
1.82,-21.640002823962433
1.83,-20.620154546346217
1.84,-20.91844911545408
1.85,-20.47336318751104
1.86,-19.572781379363526
1.87,-19.85750604537082
1.88,-20.42034072466638
1.89,-19.0180444640754
1.9,-19.805510142488927
1.91,-20.509829110697662
1.92,-21.22735328457256
1.93,-20.974611265562384
1.94,-21.759276517278646
1.95,-24.214880734939047
1.96,-24.271044355290194
1.97,-22.611182768583276
1.98,-22.332844095129065
1.99,-26.547311224895594
2.0,-27.232701412303776
2.01,-33.569863958003346
2.02,-33.12623275330374
2.03,-37.59932376289611
2.04,-36.32959861247398
2.05,-33.735800768487955
2.06,-32.4005477784062
2.07,-30.069136406009214
2.08,-28.81998432010253
2.09,-27.511416971169623
2.1,-28.768912163327354
2.11,-29.379095412500188
2.12,-25.71024498103568
2.13,-23.860477651075303
2.14,-22.465615709399636
2.15,-21.169538426478
2.16,-20.729016065727212
2.17,-22.185010225928103
2.18,-20.859720767054565
2.19,-17.85228910876395
2.2,-19.25320169533872
2.21,-19.0251494866704
2.22,-19.185361766136133
2.23,-18.123515251102603
2.24,-19.211950011753267
2.25,-14.668150366783275
2.26,-16.44677638995153
2.27,-18.96847137601315
2.28,-14.847904831909107
2.29,-18.427780673785993
2.3,-15.006062897033853
2.31,-16.913366395023626
2.32,-17.8171695166574
2.33,-14.842047859577898
2.34,-16.132085938230777
2.35,-14.298781161306998
2.36,-14.74307887741768
2.37,-13.376072127652009
2.38,-16.310510644344824
2.39,-16.27763899807581
2.4,-14.706974869836124
2.41,-13.730647466860638
2.42,-13.961658373442473
2.43,-15.669169718815768
2.44,-14.911117982950977
2.45,-13.456813906983115
2.46,-14.922929495412722
2.47,-15.473364776331024
2.48,-15.899197330193326
2.49,-16.36790085374287
2.5,-14.945119466532926
2.51,-15.144390530039367
2.52,-14.985204832991156
2.53,-16.03079161661525
2.54,-15.698197969651975
2.55,-14.989670203480081
2.56,-14.492040619885723
2.57,-16.604916009774065
2.58,-15.794032039283392
2.59,-16.042548599453802
2.6,-16.738631118392078
2.61,-15.598617522890933
2.62,-16.826479044340193
2.63,-15.669169718815768
2.64,-17.231247537774806
2.65,-14.967366271927913
2.66,-14.115111524855878
