seconds_elapsed,dBFS
0.0,-33.0069192063718
0.01,-37.341798479575715
0.02,-41.84408122045819
0.03,-44.073921478079264
0.04,-45.39874534291136
0.05,-47.3864379856296
0.06,-50.30899869919435
0.07,-50.39629480724336
0.08,-51.518613646821976
0.09,-43.82334959324051
0.1,-46.012121738240396
0.11,-37.16788164205228
0.12,-31.64938226073039
0.13,-30.54674189382732
0.14,-31.042688471472133
0.15,-26.40761876982255
0.16,-23.146492993661383
0.17,-23.081998212149028
0.18,-26.30841336811895
0.19,-29.91006506561751
0.2,-29.672753272586945
0.21,-31.99045446525204
0.22,-34.89195846635147
0.23,-37.927132086659505
0.24,-40.85386971285011
0.25,-42.14419939295736
0.26,-49.17090167246491
0.27,-53.53201688444925
0.28,-51.7206201849085
0.29,-52.92436430457484
0.3,-47.32461644608676
0.31,-45.802813064677096
0.32,-49.56046874038188
0.33,-42.9246815509915
0.34,-34.226210052487346
0.35,-28.82730491862948
0.36,-27.683042767241894
0.37,-26.113338402224056
0.38,-29.324638245790723
0.39,-30.077589827248794
0.4,-35.055427424645636
0.41,-37.68012331893091
0.42,-39.67942035834925
0.43,-40.20599913279624
0.44,-40.20599913279624
0.45,-44.03165429181129
0.46,-45.802813064677096
0.47,-47.574587356066225
0.48,-46.61517008284237
0.49,-36.17464305245918
0.5,-29.745710310704958
0.51,-26.502364735788525
0.52,-27.257117140644958
0.53,-32.51176427403059
0.54,-33.569863958003346
0.55,-32.88922242398285
0.56,-30.65453094582345
0.57,-30.809558813232975
0.58,-30.911365824264358
0.59,-32.624423306542276
0.6,-28.09047385386595
0.61,-29.943312530663736
0.62,-28.81998432010253
0.63,-30.809558813232975
0.64,-34.077498581782486
0.65,-31.854489539329155
0.66,-32.17152800475295
0.67,-35.69335318586658
0.68,-37.80274967996088
0.69,-34.70265245639133
0.7,-32.70416318128475
0.71,-29.78650836428535
0.72,-28.454585805512373
0.73,-31.36032426145334
0.74,-29.536595460200303
0.75,-32.44486363799739
0.76,-39.03937699130614
0.77,-37.459708294351934
0.78,-35.01053900619659
0.79,-33.48180929009726
0.8,-31.761591438413884
0.81,-28.79805947134374
0.82,-29.968331913218748
0.83,-29.648569805536145
0.84,-24.193375674094714
0.85,-27.349292285518256
0.86,-28.50383764056803
0.87,-28.050199177512752
0.88,-31.864873150414027
0.89,-34.23985638622608
0.9,-38.59978410902434
0.91,-39.353504591437904
0.92,-42.178195090515246
0.93,-43.94773199993912
0.94,-46.50236473578853
0.95,-46.61517008284237
0.96,-45.05997690458577
0.97,-46.28105621278533
0.98,-45.01264223900363
0.99,-43.782281480619325
1.0,-41.61762061851039
1.01,-43.782281480619325
1.02,-44.03165429181129
1.03,-46.90376439129521
1.04,-41.36583807234997
1.05,-35.88928381611958
1.06,-32.85422214974098
1.07,-32.76157178179887
1.08,-32.579184195744716
1.09,-30.718031205112453
1.1,-33.0069192063718
1.11,-34.29465713354666
1.12,-36.97863908809674
1.13,-33.53201688444925
1.14,-31.458916575832742
1.15,-31.639252942220246
1.16,-32.12858161497124
1.17,-38.8748220630206
1.18,-42.07660457992975
1.19,-42.38501175727962
1.2,-39.15885466108119
1.21,-36.75685964478449
1.22,-29.918365008569246
1.23,-23.721041111973502
1.24,-21.025171286374366
1.25,-26.592491506935115
1.26,-27.355472214372384
1.27,-31.11863115973439
1.28,-34.906692803452316
1.29,-37.59932376289611
1.3,-38.159898234900986
1.31,-45.70002027162887
1.32,-49.01983891465598
1.33,-52.807773431360346
1.34,-49.095041892122126
1.35,-43.94773199993912
1.36,-34.96588137755075
1.37,-28.989939092916963
1.38,-22.836049255010003
1.39,-27.766902731898206
1.4,-32.06455756854605
1.41,-29.968331913218748
1.42,-28.790763469538803
1.43,-27.62545654765903
1.44,-32.345469029240824
1.45,-32.44486363799739
1.46,-33.32061042325637
1.47,-36.05600466665013
1.48,-40.85386971285011
1.49,-41.84408122045819
1.5,-44.59785251903888
1.51,-50.136995263955995
1.52,-51.7206201849085
1.53,-52.57918419574472
1.54,-55.19150158574453
1.55,-55.98893182649837
1.56,-55.823481307178575
1.57,-57.43994516947061
1.58,-58.94496421785445
1.59,-60.76657360480111
1.6,-57.053842065562876
1.61,-50.05225420509091
1.62,-41.942972872799444
1.63,-40.37040573773005
1.64,-35.25267007542893
1.65,-31.36032426145334
1.66,-28.718138551136235
1.67,-28.834631692271905
1.68,-30.0606912039457
1.69,-31.730844894315304
1.7,-29.301403573965196
1.71,-28.739862338128503
1.72,-29.860431275484626
1.73,-29.835720335238488
1.74,-28.834631692271905
1.75,-30.11148602495115
1.76,-28.52503136309138
1.77,-30.63647295670367
1.78,-30.62745802113774
1.79,-28.52503136309138
1.8,-29.355714807163157
1.81,-31.56867654989807
1.82,-31.885677686439582
1.83,-31.185630089687088
1.84,-30.600469217534325
1.85,-30.308998699194355
1.86,-28.768912163327354
1.87,-28.64611583633331
1.88,-27.670212794985865
1.89,-26.666414418134387
1.9,-26.97447758759332
1.91,-28.01677901455089
1.92,-26.950842499164757
1.93,-26.286520755046766
1.94,-27.141748857289365
1.95,-26.418711861545013
1.96,-29.15567662099777
1.97,-32.06455756854605
1.98,-35.517551810192515
1.99,-36.81177588443812
2.0,-34.545631276371005
2.01,-34.545631276371005
2.02,-36.46969664384714
2.03,-35.25267007542893
2.04,-36.31224418184944
2.05,-32.85422214974098
2.06,-29.27823088888781
2.07,-30.83720623064922
2.08,-38.117110514689955
2.09,-44.68833135423981
2.1,-45.64907649135128
2.11,-48.510896470406394
2.12,-48.87135855307185
2.13,-50.754526593417395
2.14,-54.05073156633725
2.15,-52.24719895935549
2.16,-50.22257122354151
2.17,-52.69272685357852
2.18,-52.57918419574472
2.19,-54.745973691521485
2.2,-53.65882044506962
2.21,-52.13929832162136
2.22,-53.16234877056899
2.23,-51.41934525619099
2.24,-54.745973691521485
2.25,-53.787502645177824
2.26,-52.57918419574472
2.27,-48.301587796843094
2.28,-39.9387199016366
2.29,-33.46930260739208
2.3,-29.004876138108116
2.31,-27.40507057691072
2.32,-29.13288896567622
2.33,-30.326387873446933
2.34,-28.036815677733795
2.35,-28.144465571695786
2.36,-26.446506732105128
2.37,-24.0274388636101
2.38,-22.973071033459757
2.39,-20.233185038050735
2.4,-19.98622716485287
2.41,-22.430478567477618
2.42,-23.219146687405626
2.43,-24.340671097968464
2.44,-25.553098833715904
2.45,-26.851104744150835
2.46,-28.747115691066142
2.47,-30.727140686427823
2.48,-28.32920591117081
2.49,-29.68891307192362
2.5,-31.4094805309534
2.51,-26.82780254469385
2.52,-22.950703923319303
2.53,-20.71749249569459
2.54,-19.552616797728874
2.55,-21.270201311892297
2.56,-22.20207149568018
2.57,-25.75640570777418
2.58,-27.97684381942939
2.59,-31.099583148508376
2.6,-29.449617231330755
2.61,-25.4234562831575
2.62,-32.7270811091929
2.63,-32.715614586553286
2.64,-32.4005477784062
2.65,-33.95769130799874
2.66,-35.11564180540175
2.67,-38.62237421184374
2.68,-43.22682991624633
2.69,-47.20227794989312
2.7,-47.44870269411245
2.71,-46.96265200423083
2.72,-45.49801373354236
2.73,-49.247429829525956
2.74,-50.663574038402984
2.75,-54.891958466351475
2.76,-49.80288139389895
2.77,-54.18539921951661
2.78,-50.754526593417395
2.79,-51.41934525619099
2.8,-54.32218771012272
2.81,-54.18539921951661
2.82,-56.32959861247397
2.83,-39.730664693641266
2.84,-31.690018075843895
2.85,-24.21057546117652
2.86,-21.949605854899616
2.87,-20.159977481154957
2.88,-24.738499404454007
2.89,-29.309141560791502
2.9,-31.19524369292424
2.91,-29.918365008569246
2.92,-29.80288139389895
2.93,-30.50222160344233
2.94,-30.282980038785997
2.95,-30.026992268801944
2.96,-31.813078783236115
2.97,-37.053842065562876
2.98,-34.10434833929267
2.99,-28.66047268197892
3.0,-28.62462496440958
3.01,-29.371294882440154
3.02,-29.324638245790723
3.03,-31.03324215228325
3.04,-31.03324215228325
3.05,-31.62913542256951
3.06,-31.147281728772654
3.07,-33.13825474780157
3.08,-35.11564180540175
3.09,-35.11564180540175
3.1,-34.280924498847256
3.11,-35.36076254146589
3.12,-33.53201688444925
3.13,-34.21258512477111
3.14,-37.68012331893091
3.15,-37.9480367649525
3.16,-37.53921356010161
3.17,-39.78221315139747
3.18,-38.267798872635105
3.19,-34.40530690554588
3.2,-33.33290467815828
3.21,-26.944943762341737
3.22,-26.177877817213762
3.23,-24.665623133101526
3.24,-31.99045446525204
3.25,-30.069136406009214
3.26,-29.584407817468467
3.27,-28.900852264391965
3.28,-28.010110384942664
3.29,-25.36426770905907
3.3,-31.05214507516951
3.31,-32.842586662886376
3.32,-30.431460400370135
3.33,-29.43389615982077
3.34,-24.103631366545404
3.35,-30.33509553296124
3.36,-28.96014184366674
3.37,-31.449006831873547
3.38,-31.05214507516951
3.39,-30.052254205090914
3.4,-35.50174490930948
3.41,-36.612091466306104
3.42,-36.191724453515974
3.43,-35.11564180540175
3.44,-30.754526593417395
3.45,-30.939339728115655
3.46,-31.253149838312517
3.47,-31.99045446525204
3.48,-30.352537084279845
3.49,-32.959648942013324
3.5,-32.06455756854605
3.51,-31.31144461845686
3.52,-32.17152800475295
3.53,-36.39936516939041
