seconds_elapsed,dBFS
0.0,-41.00134167022599
0.01,-40.53798436918547
0.02,-39.75640068176758
0.03,-37.559204108944144
0.04,-40.59457016956276
0.05,-37.32230152495152
0.06,-39.402856369877874
0.07,-36.31224418184944
0.08,-38.944964217854455
0.09,-34.951046378832544
0.1,-37.782191351693506
0.11,-36.94128036539435
0.12,-38.37705678666515
0.13,-38.66773144096018
0.14,-37.59932376289611
0.15,-38.311337257720595
0.16,-38.96847137601314
0.17,-38.92152050689344
0.18,-39.304431638092474
0.19,-37.07274498844913
0.2,-36.576273313948484
0.21,-39.628476578071655
0.22,-41.21210149902416
0.23,-39.78221315139747
0.24,-38.289540785459394
0.25,-38.944964217854455
0.26,-39.67942035834925
0.27,-42.455059634001046
0.28,-38.13847802765047
0.29,-39.78221315139747
0.3,-38.805241800641134
0.31,-38.20289777637217
0.32,-38.7821716950785
0.33,-40.39811194826538
0.34,-41.00134167022599
0.35,-38.71332676685816
0.36,-40.9125583796311
0.37,-38.074532539047524
0.38,-41.3969146337224
0.39,-39.91243882367998
0.4,-39.452490160010754
0.41,-42.52567701190371
0.42,-42.043003417569324
0.43,-39.730664693641266
0.44,-39.6539111193444
0.45,-42.704773864962235
0.46,-40.28781345483932
0.47,-40.9125583796311
0.48,-40.623001912258644
0.49,-38.48770655866437
0.5,-40.37040573773005
0.51,-38.48770655866437
0.52,-36.848580556616426
0.53,-38.57725260575926
0.54,-38.55477939881613
0.55,-38.20289777637217
0.56,-39.452490160010754
0.57,-37.9062775997192
0.58,-38.8748220630206
0.59,-41.00134167022599
0.6,-37.302848236555626
0.61,-38.92152050689344
0.62,-37.034980191401395
0.63,-38.851566655184754
0.64,-37.53921356010161
0.65,-40.23318503805073
0.66,-39.52747672333882
0.67,-39.15885466108119
0.68,-38.645023219821894
0.69,-35.07044193078378
0.7,-38.71332676685816
0.71,-38.71332676685816
0.72,-36.63005608416411
0.73,-37.07274498844913
0.74,-34.51738445590585
0.75,-37.59932376289611
0.76,-38.159898234900986
0.77,-37.016159188071846
0.78,-36.922661087872115
0.79,-33.878728131098896
0.8,-37.74122009818812
0.81,-38.09579543739675
0.82,-36.73863111839208
0.83,-39.70500473513271
0.84,-36.522821516721955
0.85,-39.182948683848615
0.86,-37.28343841923147
0.87,-36.43445972072142
0.88,-35.517551810192515
0.89,-34.18539921951661
0.9,-36.32959861247398
0.91,-37.559204108944144
0.92,-36.904081637711876
0.93,-37.9062775997192
0.94,-38.44327735878521
0.95,-38.944964217854455
0.96,-33.247208102157046
0.97,-31.321198566296097
0.98,-37.42022690983759
0.99,-40.09809849506211
1.0,-37.20623000296671
1.01,-36.95993964139527
1.02,-38.289540785459394
1.03,-38.18137139698226
1.04,-38.532364187310215
1.05,-38.267798872635105
1.06,-41.091041844063405
1.07,-36.10665139695803
1.08,-37.80274967996088
1.09,-39.834069362963064
1.1,-35.75817355862323
1.11,-34.70265245639133
1.12,-33.6205846255637
1.13,-34.717068874037864
1.14,-34.98074175694637
1.15,-30.300317149607984
1.16,-35.22203198497398
1.17,-36.793431865712655
1.18,-36.15759517723562
1.19,-35.34523815907035
1.2,-34.51738445590585
1.21,-33.93129040731416
1.22,-38.01105437853166
1.23,-35.438803404625766
1.24,-34.63092711373966
1.25,-33.16234877056899
1.26,-37.80274967996088
1.27,-34.995627604014075
1.28,-36.277638998075815
1.29,-34.17183810881801
1.3,-36.05600466665013
1.31,-37.12970184590566
1.32,-31.896098671058603
1.33,-35.08548243607973
1.34,-35.565145845099615
1.35,-34.280924498847256
1.36,-35.533387529506975
1.37,-33.78750264517783
1.38,-35.77445451866291
1.39,-23.4526524064797
1.4,-32.51176427403059
1.41,-31.042688471472133
1.42,-23.62796989225652
1.43,-22.965608928500743
1.44,-28.178381622746727
1.45,-26.302935039562655
1.46,-31.53860419566452
1.47,-34.10434833929267
1.48,-35.39189479571978
1.49,-36.576273313948484
1.5,-35.82348130717857
1.51,-36.39936516939041
1.52,-30.069136406009214
1.53,-27.392644409357803
1.54,-27.010051246757524
1.55,-29.640523589455363
1.56,-33.78750264517783
1.57,-35.98893182649837
1.58,-35.77445451866291
1.59,-34.25352419335484
1.6,-34.10434833929267
1.61,-34.76046225140812
1.62,-36.540602259140144
1.63,-35.613002107417415
1.64,-35.04043882793561
1.65,-33.054448132834864
1.66,-31.43910838107231
1.67,-31.64938226073039
1.68,-30.78199911912889
1.69,-30.83720623064922
1.7,-34.09091308582035
1.71,-25.59842976104338
1.72,-26.740971868519253
1.73,-17.95222374485429
1.74,-24.830463097183845
1.75,-25.917308174909262
1.76,-25.67451103262403
1.77,-29.78650836428535
1.78,-18.423358122958234
1.79,-29.355714807163157
1.8,-26.468806846120955
1.81,-27.766902731898206
1.82,-32.534179485536505
1.83,-32.6813055637829
1.84,-36.540602259140144
1.85,-37.96899187677637
1.86,-38.66773144096018
1.87,-38.053321564799646
1.88,-39.15885466108119
1.89,-38.42114769168582
1.9,-38.18137139698226
1.91,-31.262838505951855
1.92,-38.01105437853166
1.93,-37.341798479575715
1.94,-38.69049918568197
1.95,-40.17889805109691
1.96,-38.645023219821894
1.97,-39.13482728853104
1.98,-41.12114894400974
1.99,-37.98999766606634
2.0,-40.76657360480111
2.01,-20.95683658752169
2.02,-29.293672474533512
2.03,-21.19383463711162
2.04,-26.199497964376537
2.05,-29.77016614001377
2.06,-24.588856257604867
2.07,-33.28383172481285
2.08,-32.107187787312995
2.09,-34.363647882580025
2.1,-37.24474842368748
2.11,-38.7821716950785
2.12,-38.074532539047524
2.13,-42.31552426957359
2.14,-41.21210149902416
2.15,-42.49029655712677
2.16,-41.2426318982536
2.17,-42.41996508267003
2.18,-43.86461280451597
2.19,-42.9246815509915
2.2,-40.708859840051346
2.21,-33.48180929009726
2.22,-32.25806311291453
2.23,-35.95558863914911
2.24,-40.9125583796311
2.25,-43.0744419788425
2.26,-43.700723232210535
2.27,-44.508306471944
2.28,-31.528603170221025
2.29,-40.680146129148255
2.3,-40.31525704682628
2.31,-39.502409203376885
2.32,-24.688331354239807
2.33,-32.01156234839335
2.34,-32.90092059361382
2.35,-34.847904831909105
2.36,-36.55841947490166
2.37,-37.20623000296671
2.38,-41.71395309914619
2.39,-40.20599913279624
2.4,-42.3501985257536
2.41,-42.14419939295736
2.42,-42.96188027867397
2.43,-41.58574575837924
2.44,-42.455059634001046
2.45,-42.77745955806411
2.46,-43.66022950088225
2.47,-42.668657847696984
2.48,-39.552616797728874
2.49,-40.88316447801559
2.5,-38.898139901556405
2.51,-35.629012968426615
2.52,-38.39907426268287
2.53,-39.9387199016366
2.54,-39.502409203376885
2.55,-40.76657360480111
2.56,-39.96508074019487
2.57,-39.834069362963064
2.58,-40.94205209095121
2.59,-40.708859840051346
2.6,-35.47021714461037
2.61,-34.01073507369288
2.62,-33.67160321358432
2.63,-30.690759943657483
2.64,-31.42922119771892
2.65,-27.612711292785153
2.66,-27.135719082914566
2.67,-33.64605646093865
2.68,-35.454496073100394
2.69,-35.17627653427739
2.7,-39.52747672333882
2.71,-32.0539326257679
2.72,-37.034980191401395
2.73,-27.46746947772866
2.74,-36.64805793441736
2.75,-36.20883951252764
2.76,-37.619453295979724
2.77,-35.161078123333866
2.78,-38.805241800641134
2.79,-41.36583807234997
2.8,-34.717068874037864
2.81,-41.459403317905384
2.82,-42.3501985257536
2.83,-41.091041844063405
2.84,-39.70500473513271
2.85,-40.82467341766925
2.86,-42.110336232568464
2.87,-41.459403317905384
2.88,-44.11639535067637
2.89,-41.36583807234997
2.9,-40.4537909186576
2.91,-36.97863908809674
2.92,-42.14419939295736
2.93,-42.009531739778
2.94,-43.50011640239199
2.95,-42.77745955806411
2.96,-43.7414066304196
2.97,-41.942972872799444
2.98,-29.835720335238488
2.99,-39.6539111193444
3.0,-35.28341661952751
3.01,-38.053321564799646
3.02,-40.04464669783558
3.03,-41.5539874427866
3.04,-43.3040383325111
3.05,-42.9246815509915
3.06,-43.26534833696711
3.07,-41.3969146337224
3.08,-39.88623702511363
3.09,-43.539868827102254
3.1,-42.38501175727962
3.11,-43.0744419788425
3.12,-42.52567701190371
3.13,-42.99923900137636
3.14,-38.992042325724
3.15,-36.15759517723562
3.16,-40.4259068188255
3.17,-39.20710972762797
3.18,-42.455059634001046
3.19,-43.26534833696711
3.2,-46.17248117855736
3.21,-44.64297412512336
3.22,-42.14419939295736
3.23,-22.96188027867398
3.24,-26.374424246728623
3.25,-29.22440050192641
3.26,-30.967404016304414
3.27,-34.83326979957049
3.28,-36.9973788788353
3.29,-28.99740440462539
3.3,-23.98120367773045
3.31,-34.80407350438963
3.32,-36.243171136821125
3.33,-35.07044193078378
3.34,-32.66989927240235
3.35,-37.32230152495152
3.36,-37.823356782480985
3.37,-40.623001912258644
3.38,-41.942972872799444
3.39,-42.2123243667956
3.4,-42.56120217241977
3.41,-41.58574575837924
3.42,-42.81403177899228
3.43,-43.22682991624633
3.44,-45.15542720181067
3.45,-42.14419939295736
3.46,-43.700723232210535
3.47,-44.24507755078458
3.48,-41.97618855242873
3.49,-44.55296410058984
3.5,-43.7414066304196
3.51,-27.454953784442043
3.52,-28.232924280075217
3.53,-28.043504849907347
3.54,-32.80777343136036
3.55,-31.730844894315304
3.56,-35.82348130717857
3.57,-36.922661087872115
3.58,-33.710064780361634
3.59,-35.741923058769785
3.6,-38.24611124679071
3.61,-39.3289334586786
3.62,-39.6539111193444
3.63,-38.59978410902434
3.64,-39.730664693641266
3.65,-37.96899187677637
3.66,-40.28781345483932
3.67,-42.52567701190371
3.68,-40.651527027019284
3.69,-41.03113891947621
3.7,-40.88316447801559
3.71,-37.341798479575715
3.72,-40.48176482250891
3.73,-41.091041844063405
3.74,-41.03113891947621
3.75,-43.15030175918528
3.76,-23.872889022043573
3.77,-28.747115691066142
3.78,-33.09026628519248
3.79,-32.225511333511086
3.8,-33.83951411578833
3.81,-37.016159188071846
3.82,-35.77445451866291
3.83,-37.9062775997192
3.84,-36.904081637711876
3.85,-33.80047634383789
3.86,-29.43389615982077
3.87,-40.04464669783558
3.88,-36.904081637711876
3.89,-25.73585953701565
3.9,-36.243171136821125
3.91,-35.88928381611958
3.92,-38.053321564799646
3.93,-39.86011402906796
3.94,-42.178195090515246
3.95,-43.22682991624633
3.96,-43.421153225492134
3.97,-41.77877347190285
3.98,-42.81403177899228
3.99,-42.56120217241977
4.0,-41.942972872799444
4.01,-43.342901438231145
4.02,-42.9246815509915
4.03,-41.2426318982536
4.04,-42.14419939295736
4.05,-45.44823772546847
4.06,-27.263231811533227
4.07,-33.16234877056899
4.08,-34.83326979957049
4.09,-36.0391878373155
4.1,-38.992042325724
4.11,-38.944964217854455
4.12,-33.710064780361634
4.13,-32.12858161497124
4.14,-27.587276751512412
4.15,-21.982846957996706
4.16,-29.17852421761235
4.17,-21.74954442703018
4.18,-30.026992268801944
4.19,-29.125306346566934
4.2,-32.865873244228496
4.21,-32.97144241244438
4.22,-36.0391878373155
4.23,-37.07274498844913
4.24,-36.15759517723562
4.25,-31.75133049258022
4.26,-33.48180929009726
4.27,-37.20623000296671
4.28,-37.63962958760262
4.29,-38.944964217854455
4.3,-41.942972872799444
4.31,-23.815120421958863
4.32,-31.885677686439582
4.33,-31.099583148508376
4.34,-32.51176427403059
4.35,-36.64805793441736
4.36,-35.23733752133622
4.37,-34.789512076606975
4.38,-36.64805793441736
4.39,-33.0783104820136
4.4,-34.906692803452316
4.41,-35.13076085123488
4.42,-27.232701412303776
4.43,-21.808101208166583
4.44,-23.296286534015266
4.45,-20.29329524084524
4.46,-22.416463413750172
4.47,-20.523895331809147
4.48,-21.966210504647844
4.49,-23.885318153148077
