seconds_elapsed,dBFS
0.0,-16.756859644784495
0.01,-16.529929446445998
0.02,-15.982252941403383
0.03,-16.24833260452064
0.04,-17.414320150250507
0.05,-18.631426729221836
0.06,-18.235287706900362
0.07,-18.954359448232974
0.08,-18.647291372240606
0.09,-18.24611124679071
0.1,-18.454363371315115
0.11,-18.59527313014442
0.12,-18.791392385581435
0.13,-19.24347777645237
0.14,-19.1492357346961
0.15,-19.250769694864182
0.16,-18.472130474698666
0.17,-18.638222314107317
0.18,-18.28083748850068
0.19,-18.13847802765047
0.2,-17.75144480759493
0.21,-17.66998217401002
0.22,-17.171708868216015
0.23,-18.26779887263511
0.24,-20.039319565109217
0.25,-20.683013232537242
0.26,-19.746097134132228
0.27,-21.7755209387669
0.28,-23.456597848127394
0.29,-28.349977279311354
0.3,-27.766902731898206
0.31,-26.96856278338923
0.32,-29.170901672464904
0.33,-28.02345276796263
0.34,-31.37013328523785
0.35,-37.016159188071846
0.36,-37.823356782480985
0.37,-38.59978410902434
0.38,-41.68172341601461
0.39,-40.623001912258644
0.4,-41.61762061851039
0.41,-41.942972872799444
0.42,-42.81403177899228
0.43,-43.989591790056004
0.44,-51.32119856629609
0.45,-49.17090167246491
0.46,-51.22414851040786
0.47,-46.67212694029891
0.48,-47.3864379856296
0.49,-40.708859840051346
0.5,-32.7270811091929
0.51,-26.14017157042301
0.52,-23.40152408801259
0.53,-25.16022736199808
0.54,-24.793560695895728
0.55,-23.8233495932405
0.56,-25.31036356651046
0.57,-27.159863336509844
0.58,-34.51738445590585
0.59,-34.6452248776892
0.6,-35.88928381611958
0.61,-37.559204108944144
0.62,-36.72044076695198
0.63,-34.81865938462336
0.64,-32.225511333511086
0.65,-28.72537377824186
0.66,-25.797644430404937
0.67,-27.85812821781927
0.68,-29.520716315671613
0.69,-31.478770046506295
0.7,-34.995627604014075
0.71,-35.161078123333866
0.72,-38.18137139698226
0.73,-41.64961288170624
0.74,-41.06103874121523
0.75,-42.280987883563476
0.76,-41.00134167022599
0.77,-31.844118326588827
0.78,-26.845273330948878
0.79,-25.23254992503289
0.8,-23.977012657317136
0.81,-23.745485470427905
0.82,-23.059349204170868
0.83,-22.483237727288405
0.84,-21.67529180547412
0.85,-21.929722085121902
0.86,-23.413296246541144
0.87,-24.74307453736888
0.88,-28.294696967732726
0.89,-24.086641845944246
0.9,-23.161738086891503
0.91,-25.208375432283326
0.92,-25.548076636618447
0.93,-23.835707987032354
0.94,-26.413163544755864
0.95,-26.270137431161352
0.96,-23.906072976973274
0.97,-26.502364735788525
0.98,-26.775600045831368
0.99,-34.280924498847256
1.0,-39.13482728853104
1.01,-40.509829110697666
1.02,-45.44823772546847
1.03,-44.508306471944
1.04,-45.85466927624269
1.05,-45.64907649135128
1.06,-46.90376439129521
1.07,-46.96265200423083
1.08,-49.56046874038188
1.09,-50.939339728115655
1.1,-54.18539921951661
1.11,-53.65882044506962
1.12,-53.16234877056899
1.13,-53.53201688444925
1.14,-54.46116490922928
1.15,-55.19150158574453
1.16,-55.34523815907035
1.17,-54.60240199897902
1.18,-56.68417395168261
1.19,-56.505077098624085
1.2,-56.86704154048
1.21,-57.24474842368748
1.22,-55.34523815907035
1.23,-58.26779887263511
1.24,-57.844012891236346
1.25,-55.823481307178575
1.26,-56.68417395168261
1.27,-54.18539921951661
1.28,-51.32119856629609
1.29,-50.573564013869465
1.3,-52.24719895935549
1.31,-48.798059471343734
1.32,-47.83196587985263
1.33,-50.663574038402984
1.34,-55.0404388279356
1.35,-52.807773431360346
1.36,-52.57918419574472
1.37,-52.13929832162136
1.38,-51.82341297795672
1.39,-48.301587796843094
1.4,-46.17248117855736
1.41,-43.86461280451597
1.42,-44.91873981483603
1.43,-46.61517008284237
1.44,-48.44056499594966
1.45,-48.301587796843094
1.46,-50.30899869919435
1.47,-50.48447718534446
1.48,-49.96833191321875
1.49,-50.39629480724336
1.5,-45.05997690458577
1.51,-38.48770655866437
1.52,-32.947871462733524
1.53,-34.01073507369288
1.54,-35.872786394943425
1.55,-34.67389120614498
