seconds_elapsed,dBFS
0.0,-35.19150158574453
0.01,-38.96847137601314
0.02,-36.55841947490166
0.03,-38.8748220630206
0.04,-36.522821516721955
0.05,-40.20599913279624
0.06,-38.992042325724
0.07,-35.88928381611958
0.08,-37.72080671713998
0.09,-38.117110514689955
0.1,-33.80047634383789
0.11,-35.08548243607973
0.12,-37.2640718791279
0.13,-37.20623000296671
0.14,-38.66773144096018
0.15,-37.09168913911697
0.16,-38.289540785459394
0.17,-40.97164629211217
0.18,-39.96508074019487
0.19,-34.37751203498576
0.2,-40.48176482250891
0.21,-33.12623275330374
0.22,-36.904081637711876
0.23,-41.21210149902416
0.24,-33.970921911681145
0.25,-35.92237295951982
0.26,-37.09168913911697
0.27,-37.9480367649525
0.28,-40.56623118965063
0.29,-40.708859840051346
0.3,-38.75916270244985
0.31,-29.632484820128152
0.32,-35.100549030730114
0.33,-38.053321564799646
0.34,-38.532364187310215
0.35,-39.47741382026274
0.36,-36.32959861247398
0.37,-37.96899187677637
0.38,-26.992246205391794
0.39,-26.683563268005127
0.4,-37.302848236555626
0.41,-32.03272165152002
0.42,-36.243171136821125
0.43,-28.617473140507737
0.44,-27.28773363211935
0.45,-36.55841947490166
0.46,-38.48770655866437
0.47,-36.140580696500095
0.48,-28.739862338128503
0.49,-27.606345671658858
0.5,-33.174420891536705
0.51,-31.82341297795672
0.52,-39.75640068176758
0.53,-38.71332676685816
0.54,-36.43445972072142
0.55,-38.57725260575926
0.56,-36.793431865712655
0.57,-34.717068874037864
0.58,-38.18137139698226
0.59,-38.5100066726802
0.6,-40.4259068188255
0.61,-35.629012968426615
0.62,-38.57725260575926
0.63,-28.588924586826717
0.64,-28.124179327430294
0.65,-36.70228843090309
0.66,-36.15759517723562
0.67,-36.17464305245918
0.68,-27.461209376817635
0.69,-26.530429023977288
0.7,-36.86704154048001
0.71,-35.629012968426615
0.72,-35.88928381611958
0.73,-27.561916471779696
0.74,-27.838499080339716
0.75,-33.6205846255637
0.76,-36.8301587265126
0.77,-33.09026628519248
0.78,-37.823356782480985
0.79,-40.04464669783558
0.8,-37.225467861635146
0.81,-37.9480367649525
0.82,-39.88623702511363
0.83,-30.846441627200385
0.84,-33.684404821853086
0.85,-35.23733752133622
0.86,-36.95993964139527
0.87,-34.23985638622608
0.88,-28.01677901455089
0.89,-28.050199177512752
0.9,-35.613002107417415
0.91,-35.26802974280558
0.92,-35.13076085123488
0.93,-28.588924586826717
0.94,-28.62462496440958
0.95,-35.26802974280558
0.96,-36.97863908809674
0.97,-38.333188563932055
0.98,-27.41129033345151
0.99,-27.129693491526155
1.0,-37.42022690983759
1.01,-36.32959861247398
1.02,-37.341798479575715
1.03,-36.41689472052298
1.04,-36.522821516721955
1.05,-39.378145429631736
1.06,-27.251006771319407
1.07,-21.490817057890006
1.08,-21.996179101271274
1.09,-33.33290467815828
1.1,-35.438803404625766
1.11,-37.36133929690196
1.12,-39.91243882367998
1.13,-39.603116298338946
1.14,-40.17889805109691
1.15,-37.53921356010161
1.16,-34.17183810881801
1.17,-40.34278762340235
1.18,-26.302935039562655
1.19,-25.65415744477962
1.2,-35.11564180540175
1.21,-37.20623000296671
1.22,-36.73863111839208
1.23,-25.885932260100255
1.24,-26.637908026817122
1.25,-35.72570290533895
1.26,-37.98999766606634
1.27,-37.16788164205228
1.28,-27.105632840024114
1.29,-28.667660013492096
1.3,-37.07274498844913
1.31,-35.31427238781313
1.32,-39.75640068176758
1.33,-38.62237421184374
1.34,-40.76657360480111
1.35,-33.64605646093865
1.36,-26.96856278338923
1.37,-24.844342018333446
1.38,-34.308411514311665
1.39,-39.182948683848615
1.4,-36.540602259140144
1.41,-41.5539874427866
1.42,-36.522821516721955
1.43,-34.53149638368602
1.44,-33.60787666479203
1.45,-39.9387199016366
1.46,-39.353504591437904
1.47,-40.680146129148255
1.48,-39.67942035834925
1.49,-36.59416392714908
1.5,-39.6539111193444
1.51,-37.9062775997192
1.52,-36.848580556616426
1.53,-40.97164629211217
1.54,-39.25563437695049
1.55,-36.072854118370536
1.56,-32.85422214974098
1.57,-39.730664693641266
1.58,-41.273269988708556
1.59,-41.12114894400974
1.6,-34.731509259139564
1.61,-37.053842065562876
1.62,-39.603116298338946
1.63,-41.42810278083282
1.64,-38.75916270244985
1.65,-36.885541844892686
1.66,-36.576273313948484
1.67,-34.23985638622608
1.68,-34.96588137755075
1.69,-36.72044076695198
1.7,-35.790766053293396
1.71,-38.66773144096018
1.72,-37.302848236555626
1.73,-39.452490160010754
1.74,-37.80274967996088
1.75,-39.834069362963064
1.76,-37.11067469779735
1.77,-33.970921911681145
