seconds_elapsed,dBFS
0.0,-1.3649074911689973
0.01,-1.03472146835689
0.02,-0.6953525726846194
0.03,-1.154993254832206
0.04,-1.2008323943486447
0.05,-1.1341271507934023
0.06,-1.1707516242784304
0.07,-1.2319340474306315
0.08,-1.119339572138171
0.09,-0.9016710391942238
0.1,-1.2536491651443655
0.11,-0.9686823304256484
0.12,-1.008185991517339
0.13,-1.2444671392305486
0.14,-1.0892387323443566
0.15,-1.015631593336274
0.16,-1.0224871885404243
0.17,-1.4741536263293957
0.18,-1.0922441265261231
0.19,-1.29385813645296
0.2,-1.7683696501612445
0.21,-1.5296124244346245
0.22,-1.519502632858694
0.23,-1.771294465706329
0.24,-2.9109582987139726
0.25,-2.9898842458807713
0.26,-2.2885741150210457
0.27,-2.52000644559291
0.28,-4.3472273113667255
0.29,-4.246806258052317
0.3,-7.93246544052856
0.31,-5.8572702313865666
0.32,-8.143788599664887
0.33,-7.985480877187376
0.34,-10.525343674083407
0.35,-13.940521597352781
0.36,-11.723686334133046
0.37,-14.562623566703405
0.38,-7.980164748408121
0.39,-15.360762541465892
0.4,-16.155892228570618
0.41,-16.855960242394307
0.42,-15.44507707022033
0.43,-15.504903989045363
0.44,-15.81365378626815
0.45,-16.529929446445998
0.46,-14.430398563740665
0.47,-16.27763899807581
0.48,-16.020726853451933
0.49,-20.836340161717537
0.5,-14.95252873904402
0.51,-15.440371396260685
0.52,-16.569127373900784
0.53,-16.736810368015835
0.54,-13.33044443465279
0.55,-17.264071879127894
0.56,-14.986693034766077
0.57,-17.033096254806207
0.58,-14.915545418084509
0.59,-19.740949940122007
0.6,-16.45911054913267
0.61,-19.95980216838971
0.62,-16.865193675429307
0.63,-20.871434713048544
0.64,-18.900475132014904
0.65,-19.638641458855005
0.66,-17.42810884289938
0.67,-21.046075964667367
0.68,-17.308679649757586
0.69,-19.774461352901646
0.7,-19.20952953252956
0.71,-24.715659818225248
0.72,-20.95979650904908
0.73,-22.832375797717752
0.74,-19.928197926227465
0.75,-22.256893860796062
0.76,-23.815120421958863
0.77,-23.960268768492373
0.78,-24.94212042017306
0.79,-25.478069087263385
0.8,-27.063686413233924
0.81,-21.64961288170624
0.82,-26.992246205391794
0.83,-28.056898668502868
0.84,-25.608535509289887
0.85,-27.20835412337495
0.86,-27.374038426581556
0.87,-23.021731606879744
0.88,-23.848083989560326
0.89,-26.37994786512657
0.9,-28.461604706611944
0.91,-28.287811601032043
0.92,-22.82136473817671
0.93,-23.014227598086382
0.94,-23.652153359307327
0.95,-26.598155602106853
0.96,-27.105632840024114
0.97,-30.573564013869458
0.98,-28.384706992266256
0.99,-28.287811601032043
1.0,-25.42840691859392
1.01,-31.023806095257378
1.02,-22.639872768699295
1.03,-19.1708933180854
1.04,-11.350526302559828
1.05,-10.4800467391183
1.06,-9.634895669837313
1.07,-16.865193675429307
1.08,-12.027426991412117
1.09,-9.201432071694356
1.1,-7.183468779134032
1.11,-8.28849989214046
1.12,-9.280545377413668
1.13,-11.472809239017593
1.14,-10.919748539701619
1.15,-11.106245201918465
1.16,-14.058753013394705
1.17,-19.457469173983764
1.18,-19.904569981555156
1.19,-21.814631952563012
1.2,-23.81923403304123
1.21,-21.694600941928712
1.22,-24.530606585959823
1.23,-26.592491506935115
1.24,-24.21057546117652
1.25,-19.292206597878657
1.26,-7.355472214372384
1.27,-4.785739092811527
1.28,-5.941965384291694
1.29,-2.160500723306204
1.3,-2.0038543601096506
1.31,-1.5882914470369869
1.32,-6.322124325406504
1.33,-9.046837039221952
1.34,-12.719052954205786
1.35,-11.795538820769547
1.36,-10.939339728115655
1.37,-13.252082338894422
1.38,-15.019498150506179
1.39,-22.708393739837746
1.4,-18.617851488680863
1.41,-19.3068787122425
1.42,-19.020412159234688
1.43,-21.53815172347214
1.44,-23.048046808772487
1.45,-24.44616903017574
1.46,-26.586831102930255
1.47,-25.75640570777418
1.48,-21.870342433624188
1.49,-7.396370393387802
1.5,-2.4049179119573654
1.51,-1.1859309117004884
1.52,-1.2898596036429262
1.53,-1.3531287510067223
1.54,-1.6714351238575604
1.55,-2.2854698558102977
1.56,-2.568680951962949
1.57,-1.935351200079694
1.58,-1.5921113795055322
1.59,-1.722998882522201
1.6,-1.8335989266675836
1.61,-1.957904211925262
1.62,-2.8118330978925608
1.63,-2.6888643132627754
1.64,-1.958568423108431
1.65,-1.9645486105189707
1.66,-2.1547238359491434
1.67,-1.8188795711062922
1.68,-1.8657409859465557
1.69,-2.7617807235721106
1.7,-2.324872685768206
1.71,-3.557417696331689
1.72,-3.3506949691605326
1.73,-5.572713195768912
1.74,-7.583467985988514
1.75,-4.862881811152629
1.76,-9.354936536508271
1.77,-11.614990664885859
1.78,-11.77906291372995
1.79,-13.404556570614082
1.8,-15.05842825025436
1.81,-16.935690390104515
1.82,-20.708859840051343
1.83,-21.795054431942535
1.84,-19.65136431104641
1.85,-23.476351983633272
1.86,-24.375694893963733
1.87,-23.852213245467937
1.88,-20.781062164687754
1.89,-18.390260573810885
1.9,-23.165553544733687
1.91,-15.683671717684526
1.92,-18.399074262682873
1.93,-20.370405737730056
1.94,-23.021731606879744
1.95,-21.115119169634944
1.96,-26.346858721726324
1.97,-23.04052004085083
1.98,-22.72288834418272
1.99,-26.204911420231465
2.0,-25.92254853080762
2.01,-24.844342018333446
2.02,-29.355714807163157
2.03,-26.08124764045718
2.04,-30.537819561622044
2.05,-28.26032458556763
2.06,-24.544014187754634
2.07,-26.775600045831368
2.08,-24.74765208142111
2.09,-22.76287367783038
2.1,-22.77016355625918
2.11,-20.637252759816477
2.12,-26.700746042427884
2.13,-26.440940637946007
2.14,-27.517713375677356
2.15,-25.912070978707142
2.16,-28.103940352126294
2.17,-30.0606912039457
2.18,-27.147782820462254
2.19,-31.03324215228325
2.2,-26.85694007499716
2.21,-22.16798240310935
2.22,-29.560468740381882
2.23,-25.117121121475382
2.24,-29.27823088888781
2.25,-26.706481195913277
2.26,-30.7911759711585
2.27,-26.156311351415127
2.28,-24.288398785914733
2.29,-29.504866147700135
2.3,-29.004876138108116
2.31,-26.874469626129734
2.32,-30.645497258438095
2.33,-28.32920591117081
2.34,-25.31036356651046
2.35,-28.945281464271126
2.36,-26.868622510703226
2.37,-28.191985211491485
2.38,-25.42840691859392
2.39,-27.689464867082016
2.4,-25.2713696081438
2.41,-27.380235993478866
2.42,-31.57872384961649
2.43,-28.377749931711644
2.44,-27.799373385182477
2.45,-25.67451103262403
2.46,-28.97502769073445
2.47,-32.936109931297835
2.48,-33.16234877056899
2.49,-34.433191005377985
2.5,-30.484477185344456
2.51,-37.42022690983759
2.52,-34.98074175694637
