seconds_elapsed,dBFS
0.0,-38.992042325724
0.01,-39.20710972762797
0.02,-41.36583807234997
0.03,-39.91243882367998
0.04,-43.1884815553319
0.05,-41.273269988708556
0.06,-38.805241800641134
0.07,-32.21468779362074
0.08,-29.324638245790723
0.09,-24.96087032413627
0.1,-19.76929732799444
0.11,-18.33537672105109
0.12,-15.779344763497765
0.13,-18.902810990476762
0.14,-14.415056161354386
0.15,-13.303427648833615
0.16,-11.88463627529535
0.17,-10.108090446472387
0.18,-12.26676423023427
0.19,-11.935812830757893
0.2,-14.65524733449503
0.21,-13.063985207235858
0.22,-13.764198709081448
0.23,-11.892971062681273
0.24,-12.79157488464704
0.25,-13.81086927315211
0.26,-12.078389453051106
0.27,-14.569713510479698
0.28,-13.720350026842386
0.29,-11.474795720361431
0.3,-9.834075436144836
0.31,-15.318910221671512
0.32,-19.73323486369643
0.33,-24.9749593615126
0.34,-22.37106971634388
0.35,-23.10091760459558
0.36,-28.391669629623504
0.37,-29.70510299205933
0.38,-29.843949506520126
0.39,-32.117878114370846
0.4,-29.737573645343605
0.41,-30.317688934674713
0.42,-31.43910838107231
0.43,-30.154043139179556
0.44,-30.052254205090914
0.45,-33.633311206064775
0.46,-33.684404821853086
0.47,-33.18650981434835
0.48,-32.715614586553286
0.49,-32.17152800475295
0.5,-32.635769996122
0.51,-32.01156234839335
0.52,-32.55665269247964
0.53,-33.74869741471482
0.54,-34.89195846635147
0.55,-36.32959861247398
0.56,-37.38092417473297
0.57,-36.63005608416411
0.58,-36.225988362398375
0.59,-34.37751203498576
0.6,-37.559204108944144
0.61,-37.579240772127044
0.62,-35.597020705230754
0.63,-35.26802974280558
0.64,-34.18539921951661
0.65,-34.93623667424207
0.66,-33.0783104820136
0.67,-34.37751203498576
0.68,-35.13076085123488
0.69,-35.08548243607973
0.7,-36.34698778672656
0.71,-34.93623667424207
0.72,-32.715614586553286
0.73,-31.071089225837348
0.74,-33.44434313723417
0.75,-35.70951298520325
0.76,-35.39189479571978
0.77,-36.45206031364975
0.78,-35.29883080216743
0.79,-35.47021714461037
0.8,-36.522821516721955
0.81,-33.722923242573856
0.82,-35.533387529506975
0.83,-32.590471903165735
0.84,-35.82348130717857
0.85,-39.03937699130614
0.86,-38.62237421184374
0.87,-41.459403317905384
0.88,-41.490817057890006
0.89,-43.539868827102254
0.9,-43.782281480619325
0.91,-44.733926680137785
0.92,-46.44650673210513
0.93,-41.00134167022599
0.94,-42.110336232568464
0.95,-39.834069362963064
0.96,-41.64961288170624
0.97,-42.38501175727962
0.98,-43.61992367617574
0.99,-45.802813064677096
1.0,-46.39100565100968
1.01,-45.54807663661845
1.02,-45.251938079596485
1.03,-47.02194158350561
1.04,-47.89752007507736
1.05,-45.95931981491623
1.06,-46.17248117855736
1.07,-47.3864379856296
1.08,-49.64052358945536
1.09,-46.06524661111521
1.1,-46.5585842824651
1.11,-47.574587356066225
1.12,-47.51141697116962
1.13,-46.44650673210513
1.14,-48.03013165305762
1.15,-46.06524661111521
1.16,-46.118698408341736
1.17,-46.118698408341736
1.18,-45.10757093949286
1.19,-46.28105621278533
1.2,-46.33585696010591
1.21,-46.729459753330964
1.22,-45.01264223900363
1.23,-42.99923900137636
1.24,-47.20227794989312
1.25,-44.82584171392076
1.26,-45.85466927624269
1.27,-45.802813064677096
1.28,-43.82334959324051
1.29,-44.24507755078458
1.3,-42.9246815509915
1.31,-43.1122890523966
1.32,-39.78221315139747
1.33,-41.12114894400974
1.34,-39.231338166316874
1.35,-35.66112350273499
1.36,-38.35509498068411
1.37,-36.005651542225195
1.38,-38.13847802765047
1.39,-34.02404678455595
1.4,-37.927132086659505
1.41,-31.79244720669951
1.42,-34.67389120614498
1.43,-34.745973691521485
1.44,-34.419237766010966
1.45,-31.291969521423425
1.46,-30.257039084796183
1.47,-30.484477185344456
1.48,-30.754526593417395
1.49,-32.44486363799739
1.5,-31.82341297795672
1.51,-34.01073507369288
1.52,-34.226210052487346
1.53,-33.93129040731416
1.54,-33.28383172481285
1.55,-31.927436851672873
1.56,-32.77309917518034
1.57,-33.5068768100592
1.58,-33.39463833986118
1.59,-30.213975587374332
1.6,-31.57872384961649
1.61,-33.16234877056899
1.62,-35.100549030730114
1.63,-36.94128036539435
1.64,-35.438803404625766
1.65,-32.865873244228496
1.66,-31.70020680386035
1.67,-29.959984108983633
1.68,-27.80588210758375
1.69,-27.117654834521954
1.7,-26.86277932875527
1.71,-26.592491506935115
1.72,-24.633931032543824
1.73,-23.64811810272461
1.74,-20.018043645988634
1.75,-20.874365669593335
1.76,-21.765770640675047
1.77,-22.4761846293466
1.78,-24.99849199481288
1.79,-23.611884906848527
1.8,-21.956243906149766
1.81,-24.82122278818678
1.82,-26.232029424269662
1.83,-25.36426770905907
1.84,-24.890765910984733
1.85,-24.49495383343727
1.86,-22.127251310237654
