seconds_elapsed,dBFS
0.0,-15.771195884357924
0.01,-14.23985638622608
0.02,-15.040438827935612
0.03,-13.310787533164437
0.04,-13.903655555975067
0.05,-11.457925092510159
0.06,-13.225307822522225
0.07,-11.163559099335501
0.08,-12.580312306615593
0.09,-12.884547564000215
0.1,-13.390921921218709
0.11,-12.420461939910599
0.12,-11.431197734224902
0.13,-10.810478977399109
0.14,-13.83038959668308
0.15,-13.620584625563705
0.16,-14.541388392803093
0.17,-11.77494881554146
0.18,-13.55722993448413
0.19,-13.091462771128402
0.2,-12.236348377509605
0.21,-12.332301937828875
0.22,-13.500603144464634
0.23,-14.586753024797828
0.24,-15.3685351501618
0.25,-13.576187867738877
0.26,-13.002180586702679
0.27,-12.632364432605307
0.28,-13.480557811147172
0.29,-13.19256059107376
0.3,-13.12142861068234
0.31,-15.653084733407773
0.32,-11.797600508326834
0.33,-15.371646142185769
0.34,-15.291120291551849
0.35,-13.316925537545414
0.36,-14.856697702210939
0.37,-15.449785294911308
0.38,-15.136815845999482
0.39,-14.391398352312851
0.4,-15.32509785480091
0.41,-14.468172484952714
0.42,-14.426211583838878
0.43,-15.019498150506179
0.44,-16.241451328947363
0.45,-16.822800920364813
0.46,-15.467070653129468
0.47,-12.817043325130363
0.48,-11.227044289610566
0.49,-14.016057310157235
0.5,-14.417843674099126
0.51,-11.975709408366415
0.52,-9.232837500781198
0.53,-9.802062008997815
0.54,-10.569087904706727
0.55,-13.185300164650961
0.56,-14.390008721138292
0.57,-13.966950614055895
0.58,-13.646056460938656
0.59,-13.115427166625391
0.6,-12.761571781798878
0.61,-14.081520758116493
0.62,-13.9220690175853
0.63,-13.985498890618324
0.64,-14.825961520100151
0.65,-15.889283816119574
0.66,-14.073478267136284
0.67,-16.108344717879287
0.68,-14.376124623492029
0.69,-14.831807651660618
0.7,-13.927337184320304
0.71,-11.98307880793174
0.72,-11.060664830279332
0.73,-15.561964783120068
0.74,-14.696892582414964
0.75,-11.404552366487541
0.76,-13.553443308119693
0.77,-14.228937604602104
0.78,-13.158730403660561
0.79,-11.757485605372146
0.8,-11.843081886084278
0.81,-11.43416338256808
0.82,-10.538711382521036
0.83,-11.858641494302129
0.84,-11.31729567266132
0.85,-13.216805937278453
0.86,-13.981520924147118
0.87,-14.40252341260808
0.88,-14.815740248437912
0.89,-15.76142731016458
0.9,-15.489120067496636
0.91,-15.65629934841044
0.92,-12.88571604313537
0.93,-9.371294882440154
0.94,-9.385340884376726
0.95,-12.245027758334789
0.96,-11.1453687478954
0.97,-8.612470365245692
0.98,-6.740971868519253
0.99,-9.038578705394542
1.0,-9.860431275484627
1.01,-10.41561826268377
1.02,-11.46586012984455
1.03,-11.039853496860205
1.04,-11.15110895493639
1.05,-10.323777276932349
1.06,-11.76467208736906
1.07,-11.770836665085643
1.08,-8.811938781569413
1.09,-8.23224037868216
1.1,-11.355423900455627
1.11,-9.886039984774463
1.12,-10.34032432190498
1.13,-11.509632888167634
1.14,-10.4085865766992
1.15,-10.854761888253027
1.16,-13.707495370599354
1.17,-12.87287141001977
1.18,-11.174107793540538
1.19,-13.4455894087964
1.2,-13.238684764055783
1.21,-10.084358492807038
1.22,-12.146807891343315
1.23,-12.395024160008246
1.24,-11.542607832351246
1.25,-10.107241759223868
1.26,-12.571291519474187
1.27,-11.186590971333967
1.28,-12.360855905962751
1.29,-9.99174853724808
1.3,-13.186509814348351
1.31,-14.415056161354386
1.32,-15.485966722158658
1.33,-14.422026621272703
1.34,-16.20198944148012
1.35,-14.692575182124898
1.36,-13.94580097125065
1.37,-13.280162405753256
1.38,-13.53705364286123
1.39,-13.826482020863377
1.4,-15.43253426711935
1.41,-14.334604995494232
1.42,-14.022714695045167
1.43,-12.995077500872947
1.44,-11.206794079783322
1.45,-10.406829544299544
1.46,-9.762822158483438
1.47,-10.692575366307647
1.48,-12.517362656201882
1.49,-13.73837856629233
1.5,-13.081895495329157
1.51,-12.422677445505588
1.52,-10.632865859626053
1.53,-9.7963284779804
1.54,-11.677807357378251
1.55,-11.066349313229647
1.56,-12.049686285112282
1.57,-10.417377073996462
1.58,-8.966837318003043
1.59,-9.820927445535045
1.6,-11.812046039683615
1.61,-12.1511019908687
1.62,-11.668660570510331
1.63,-9.131371912203136
1.64,-10.200240238177914
1.65,-9.680829414161874
1.66,-9.924179691277336
1.67,-12.789263270624598
1.68,-12.120017759569027
1.69,-12.403863636296466
1.7,-13.119027535438835
1.71,-14.235760234469872
1.72,-14.586753024797828
1.73,-14.008075177901746
1.74,-12.774252756381067
1.75,-11.201016966409016
1.76,-12.426001763835917
1.77,-11.533602243532009
1.78,-13.73966775214079
1.79,-13.708779980472002
1.8,-11.889844580085374
1.81,-13.403316172234527
1.82,-14.976280972989006
1.83,-14.948082417146022
1.84,-14.068120740589825
1.85,-12.677882103328123
1.86,-13.067564311594474
1.87,-12.23309584437365
1.88,-14.013395784278265
1.89,-16.727712336768104
1.9,-14.539974558725246
1.91,-15.147422254202107
1.92,-16.780614064827155
1.93,-15.579475058640423
1.94,-16.610297046376562
1.95,-18.300432184551735
1.96,-16.09311670058781
1.97,-18.647291372240606
1.98,-16.380123436414372
