seconds_elapsed,dBFS
0.0,-17.39269633326152
0.01,-17.825420184233913
0.02,-17.92087048145881
0.03,-17.519268913822636
0.04,-17.246678835883017
0.05,-17.60938269816979
0.06,-17.531230205092847
0.07,-18.96141254617478
0.08,-19.0251494866704
0.09,-18.20289777637217
0.1,-18.350709275143792
0.11,-18.22663857535366
0.12,-18.57500266671337
0.13,-19.34858480108374
0.14,-18.64048869106422
0.15,-19.507416923110906
0.16,-19.245907735801847
0.17,-19.392963556008837
0.18,-19.216792994671078
0.19,-18.222317237136135
0.2,-16.409878654197993
0.21,-16.87628676715176
0.22,-18.063920577265613
0.23,-18.672280218041397
0.24,-17.839877737795685
0.25,-17.016159188071846
0.26,-17.165968661175025
0.27,-16.976767330813757
0.28,-17.233174951438116
0.29,-17.16788164205228
0.3,-18.070286198391905
0.31,-18.49884945902269
0.32,-18.68594085986858
0.33,-18.980248855292952
0.34,-18.252611850540358
0.35,-17.37308492362497
0.36,-17.238959759935703
0.37,-17.27181331425538
0.38,-17.173623113874022
0.39,-17.688244768459548
0.4,-17.27956165521351
0.41,-17.73713358216917
0.42,-17.543207990909217
0.43,-18.344134866121905
0.44,-18.708756448605868
0.45,-18.819113333487806
0.46,-18.03427587395693
0.47,-17.406450714026533
0.48,-17.493409152297215
0.49,-17.30673541032293
0.5,-17.475551234700625
0.51,-17.89586910280194
0.52,-18.530125844394057
0.53,-18.521178236455697
0.54,-18.43220547756893
0.55,-18.980248855292952
0.56,-19.067902106066782
0.57,-18.926204189745167
0.58,-18.08515748182567
0.59,-17.587268397132902
0.6,-18.412311587528
0.61,-17.981589253368966
0.62,-18.272142903552393
0.63,-17.455752070353647
0.64,-17.945944031623966
0.65,-17.599323762896113
0.66,-17.839877737795685
0.67,-18.65864102711311
0.68,-18.679107853376372
0.69,-19.899328044378517
0.7,-19.507416923110906
0.71,-18.328813902727486
0.72,-18.429992793914607
0.73,-19.341210336535994
0.74,-19.346125950497445
0.75,-18.663185044814476
0.76,-19.103690741940063
0.77,-18.761460860854065
0.78,-18.826057416179903
0.79,-18.58400592187352
0.8,-18.534603107193227
0.81,-18.527888078147477
0.82,-18.613331119264203
0.83,-18.63595652835348
0.84,-18.33537672105109
0.85,-18.72934184513855
0.86,-18.392463157729892
0.87,-18.772960782616106
0.88,-18.863186576166
0.89,-17.86264548251747
0.9,-17.933398209070063
0.91,-17.796577070696205
0.92,-18.211523288141642
0.93,-18.03427587395693
0.94,-18.01949137738645
0.95,-17.941760076996793
0.96,-18.43884691255905
0.97,-19.132428202854122
0.98,-21.563502750991887
0.99,-18.000519641475478
1.0,-19.555134811846543
1.01,-17.798634119761605
1.02,-18.114976651606366
1.03,-17.761681567339703
1.04,-17.765779651698843
1.05,-18.14275784524781
1.06,-18.701905477062525
1.07,-17.839877737795685
1.08,-17.162143962901833
1.09,-17.599323762896113
1.1,-18.881810844117563
1.11,-19.48740334366178
1.12,-18.736214499832908
1.13,-18.57725260575926
1.14,-18.6268992912053
1.15,-18.530125844394057
1.16,-17.804808191556734
1.17,-16.969284332601145
1.18,-17.441919459657097
1.19,-17.513294439457955
1.2,-17.49936995978592
1.21,-17.806867191125004
1.22,-18.45214503657235
1.23,-19.15404386636499
1.24,-18.590764492805675
1.25,-18.189975547896896
1.26,-18.94496421785446
1.27,-19.717825238771095
1.28,-19.728095283878975
1.29,-18.954359448232974
1.3,-20.97164629211217
1.31,-20.254995192983102
1.32,-17.84815001426672
1.33,-18.16204316382609
1.34,-18.530125844394057
1.35,-17.81510807375273
1.36,-17.692308342633346
1.37,-17.88755127632184
1.38,-18.29825281190498
1.39,-19.19502080481633
1.4,-18.786780816777565
1.41,-19.2970945494078
1.42,-19.053627838863974
1.43,-19.540037664990013
1.44,-17.26213759794006
1.45,-21.450001307637123
1.46,-18.514473574109616
1.47,-19.096521208195757
1.48,-19.951890320593783
1.49,-18.902810990476762
1.5,-17.916698584338228
1.51,-19.862722796061007
1.52,-17.371126215839453
1.53,-16.922661087872115
1.54,-17.32230152495152
1.55,-18.006838950330476
1.56,-19.425156483893705
1.57,-18.75456820901394
1.58,-16.753210877817136
1.59,-19.93608821258813
1.6,-17.96270003322848
1.61,-16.439736154803736
1.62,-20.214145973760598
1.63,-18.061799739838868
1.64,-18.7453865066388
1.65,-16.795264525206335
1.66,-17.873014219141005
1.67,-17.90419490227773
1.68,-17.116378467054346
1.69,-18.590764492805675
1.7,-17.363295798687023
1.71,-16.517494383995594
1.72,-16.416894720522983
1.73,-19.821076257117518
1.74,-16.96367631154887
1.75,-19.13962744871846
1.76,-17.347656110215663
1.77,-17.782191351693513
1.78,-16.02911334598148
1.79,-18.548048759472703
1.8,-17.177452871272077
1.81,-16.80626860983448
1.82,-18.38365617128405
1.83,-16.931965737543983
1.84,-17.674037211262966
1.85,-18.059679420131513
1.86,-17.80274967996088
1.87,-18.348517252510565
1.88,-18.588511051454844
1.89,-19.61071661059702
1.9,-18.68594085986858
1.91,-18.79831433279707
1.92,-20.068659309271823
1.93,-17.757585415583495
1.94,-17.733048987860155
1.95,-17.49936995978592
1.96,-17.645691625516296
1.97,-17.375044073207665
1.98,-18.293895706401994
1.99,-18.550291726467236
2.0,-18.322256039344577
2.01,-19.029889399278105
2.02,-19.17330305305385
2.03,-21.65923358378423
2.04,-17.477533635630852
2.05,-18.097924592852465
2.06,-19.262936512427274
2.07,-19.101300239754046
2.08,-19.241048496716754
2.09,-19.641184538843326
2.1,-18.695059904945623
2.11,-20.28781345483933
2.12,-17.889629986308563
2.13,-18.241780212226747
2.14,-18.14061767284865
2.15,-20.84217941547565
2.16,-19.565214174321465
2.17,-15.853030761776253
2.18,-17.211996887966475
2.19,-20.594570169562758
2.2,-18.392463157729892
2.21,-21.010270116759706
2.22,-18.40789690400828
2.23,-18.18352163579459
2.24,-19.236191974567273
2.25,-17.645691625516296
2.26,-18.445493429632304
2.27,-17.154499615092192
2.28,-17.883395348186063
2.29,-18.772960782616106
2.3,-16.40637274511384
2.31,-19.86011402906796
2.32,-17.20815187257032
2.33,-17.449821110998545
2.34,-20.082028389390096
2.35,-20.098098495062114
2.36,-17.724885557148284
2.37,-18.061799739838868
2.38,-19.87577839695289
2.39,-18.708756448605868
2.4,-17.19278880928931
2.41,-18.300432184551735
2.42,-16.915224538070195
2.43,-16.506849910067746
2.44,-17.412352122681632
2.45,-17.96479680804568
2.46,-16.581636629733634
2.47,-17.625501263942354
2.48,-16.101573413979104
2.49,-19.58793559601026
2.5,-19.17571345674299
2.51,-17.25827032733385
2.52,-18.377056786665154
2.53,-17.661877774412893
2.54,-18.074532539047517
2.55,-18.45214503657235
2.56,-19.996819714504753
2.57,-18.46102177688308
2.58,-19.363352539928293
2.59,-18.44106185319022
2.6,-17.93130899928535
2.61,-17.461687082294894
2.62,-18.620112555890834
2.63,-17.72080671713998
2.64,-18.79369908845997
2.65,-18.597528326739734
2.66,-16.961807775532616
2.67,-18.58400592187352
2.68,-17.96479680804568
2.69,-18.177072515608653
2.7,-18.70418853388683
2.71,-18.984964322096097
2.72,-19.417716749273495
2.73,-17.757585415583495
2.74,-17.773981625526496
2.75,-18.40127908301152
2.76,-17.326197416309977
2.77,-18.980248855292952
2.78,-18.394666300325866
2.79,-18.7453865066388
2.8,-18.816799872390614
2.81,-21.528664131444103
2.82,-20.34554548646348
2.83,-16.691415210658135
2.84,-19.25806774008115
2.85,-20.95979650904908
2.86,-21.18471559203458
2.87,-19.351044347932415
2.88,-18.15775383552259
2.89,-20.58322347998303
2.9,-19.764136371432585
2.91,-17.912528690048795
2.92,-19.14202852396196
2.93,-18.881810844117563
2.94,-18.23096206456093
2.95,-17.080317691315955
2.96,-15.853030761776253
2.97,-20.09273848894443
2.98,-21.09404786231042
2.99,-19.19985435510137
3.0,-18.465463551277022
3.01,-17.016159188071846
3.02,-16.455584716066976
3.03,-16.538822546063933
3.04,-17.016159188071846
3.05,-21.453134180398973
3.06,-19.32402756211324
3.07,-15.745170727395424
3.08,-17.198546774126005
3.09,-19.834069362963064
3.1,-17.16788164205228
3.11,-18.24394545956142
3.12,-17.941760076996793
3.13,-17.497382569401303
3.14,-17.943851802386327
3.15,-17.12398932374114
3.16,-16.976767330813757
3.17,-15.561964783120068
3.18,-17.50135780500299
3.19,-19.003851830790083
3.2,-17.424166982319782
3.21,-18.977892081533255
3.22,-17.495395633641053
3.23,-16.624662796416747
3.24,-19.592992882696404
3.25,-17.384846455060654
3.26,-18.42114769168582
3.27,-18.06604193266462
3.28,-17.9668940891468
3.29,-18.361677693873805
3.3,-19.19985435510137
3.31,-19.12044270400456
3.32,-19.512427531636394
3.33,-18.604297431878848
3.34,-18.414519770999423
3.35,-17.555202316826332
3.36,-19.08458512051548
3.37,-20.122259538841476
3.38,-18.276489108115463
3.39,-18.45214503657235
3.4,-19.535011108346218
3.41,-19.452490160010758
3.42,-19.355965531994975
3.43,-19.70244290363263
3.44,-18.7821716950785
3.45,-17.441919459657097
3.46,-19.740949940122007
3.47,-19.370745835569505
3.48,-20.19785992591792
3.49,-18.50331062483112
3.5,-18.104315192506583
3.51,-20.442626534552325
3.52,-17.82954845885443
3.53,-19.301985253162048
3.54,-20.67441475999404
3.55,-17.469606745153172
3.56,-17.13160685515511
3.57,-19.47991012424258
3.58,-22.25002211230626
3.59,-20.138404319768625
3.6,-19.482407145860485
3.61,-19.555134811846543
3.62,-19.472423363568108
3.63,-18.333188563932055
3.64,-18.074532539047517
3.65,-22.046357690496915
3.66,-17.796577070696205
3.67,-19.692203126863948
3.68,-18.56600873410748
3.69,-17.854359395899976
3.7,-20.977577251467274
3.71,-16.77695530755399
3.72,-16.755035069704146
3.73,-15.957252762085147
3.74,-15.867843272565075
3.75,-16.00899935095351
3.76,-18.093666803728937
3.77,-21.103072164044853
3.78,-20.574723179544648
3.79,-17.31062432448597
3.8,-19.248338375145558
3.81,-21.86705543656015
3.82,-18.980248855292952
3.83,-18.485479692958528
3.84,-21.484525214342106
3.85,-19.507416923110906
3.86,-21.22735328457256
3.87,-17.347656110215663
3.88,-18.731632125873784
3.89,-16.41864962297123
3.9,-16.56198730803381
3.91,-17.75553806386204
3.92,-19.943985673024358
3.93,-17.269877308532873
3.94,-17.757585415583495
3.95,-16.40462032109134
3.96,-16.841207135428256
3.97,-19.06076204019981
3.98,-17.87716518201
3.99,-18.12565121315396
4.0,-18.40789690400828
4.01,-19.202272139289022
4.02,-18.272142903552393
4.03,-19.101300239754046
4.04,-18.507774083119507
4.05,-19.47741382026274
4.06,-18.545806371532517
4.07,-17.461687082294894
4.08,-18.708756448605868
4.09,-18.660912738813796
4.1,-18.1556099654295
4.11,-20.151881265277737
4.12,-19.166075852827092
4.13,-19.248338375145558
4.14,-18.660912738813796
4.15,-18.030049163587364
4.16,-18.469907598259645
4.17,-18.259117323048738
4.18,-19.917688681584174
4.19,-17.85021931496456
4.2,-18.423358122958234
4.21,-18.289540785459394
4.22,-20.815933631953104
4.23,-19.522457428406852
4.24,-19.34858480108374
4.25,-19.831469186431733
4.26,-17.93757813679176
4.27,-17.31646096238377
4.28,-19.764136371432585
4.29,-19.512427531636394
4.3,-17.252472647974265
4.31,-17.200466944275984
4.32,-18.994402942571817
4.33,-16.691415210658135
4.34,-18.791392385581435
4.35,-22.661452629832084
4.36,-18.306973585366542
4.37,-18.902810990476762
4.38,-17.981589253368966
4.39,-19.267808015436668
4.4,-16.747740599707452
4.41,-20.189728338831834
4.42,-20.057978841110142
4.43,-19.370745835569505
4.44,-16.95433764852901
4.45,-19.40038210988733
4.46,-20.9953944672288
4.47,-19.353504591437904
4.48,-17.059508624188165
4.49,-17.33789558594094
4.5,-17.529235512320717
4.51,-18.56151525773305
4.52,-18.025824509010853
4.53,-18.909822337262476
4.54,-17.33399444523397
4.55,-17.82335678248099
4.56,-19.053627838863974
4.57,-20.688750280062898
4.58,-18.278663026194153
4.59,-18.541323331619804
4.6,-18.04485165711916
4.61,-17.549203083500654
4.62,-20.775263840281465
4.63,-17.503346105260743
4.64,-16.71862382527857
4.65,-16.67693872457699
4.66,-17.587268397132902
4.67,-16.90037051198225
4.68,-17.841945068434516
4.69,-16.924521220578242
4.7,-17.41825754362621
4.71,-17.281499820933494
4.72,-18.43884691255905
4.73,-19.279998739736854
4.74,-18.083031453265782
4.75,-16.76781515135113
4.76,-18.58400592187352
4.77,-18.458801741180753
4.78,-17.469606745153172
4.79,-19.457469173983764
4.8,-17.511303860868274
4.81,-18.368265399641288
4.82,-20.111512999099972
4.83,-18.412311587528
4.84,-17.86264548251747
4.85,-19.722958743434745
4.86,-18.09153869159332
4.87,-17.42613768899598
4.88,-17.9984142264517
4.89,-19.25320169533872
4.9,-19.54255203456556
4.91,-18.713326766858152
4.92,-17.870939481369746
4.93,-18.62916271522803
4.94,-18.676831378553203
4.95,-18.95200968773222
4.96,-18.256948290789225
4.97,-21.00431679943407
4.98,-17.215843606203865
4.99,-19.022780499982304
5.0,-21.772269623124195
5.01,-19.407807005314297
5.02,-21.209054353005158
5.03,-22.954427777454825
5.04,-17.916698584338228
5.05,-18.50554206726807
5.06,-20.509829110697662
5.07,-18.93323445288742
5.08,-20.927292716731948
5.09,-19.95452680251965
5.1,-19.211950011753267
5.11,-17.371126215839453
5.12,-18.399074262682873
5.13,-17.66795536507816
5.14,-18.11711051468996
5.15,-17.106874264729473
5.16,-16.457347453696176
5.17,-17.34960953193492
5.18,-19.04649949243347
5.19,-16.27763899807581
5.2,-20.32075618574885
5.21,-18.996764201153184
5.22,-19.12763201850362
5.23,-19.027519119651423
5.24,-17.30090530183372
5.25,-21.32869237223863
5.26,-19.056005254956023
5.27,-20.662963354725502
5.28,-18.791392385581435
5.29,-19.93871990163661
5.3,-17.914613386959815
5.31,-18.96847137601315
5.32,-18.708756448605868
5.33,-16.501532560873176
5.34,-17.31062432448597
5.35,-17.70247560311542
5.36,-17.973188972600042
5.37,-17.475551234700625
5.38,-16.448537340720474
5.39,-15.114131347239857
5.4,-17.973188972600042
5.41,-17.645691625516296
5.42,-20.509829110697662
5.43,-17.80274967996088
5.44,-19.32402756211324
5.45,-18.23096206456093
5.46,-16.31571229514689
5.47,-19.03226032590346
5.48,-16.388864394823447
5.49,-17.242818440424777
5.5,-16.939416640542643
5.51,-18.478802519301272
5.52,-18.775262595174446
5.53,-17.902112704104493
5.54,-17.757585415583495
5.55,-17.657828408540922
5.56,-18.973180451562524
5.57,-17.511303860868274
5.58,-17.475551234700625
5.59,-17.461687082294894
5.6,-17.682152969515702
5.61,-18.14275784524781
5.62,-18.283012495307606
5.63,-18.570504536297953
5.64,-18.241780212226747
5.65,-18.252611850540358
5.66,-18.22880005094975
5.67,-18.348517252510565
5.68,-18.923862032622154
5.69,-18.656369909401626
5.7,-17.81510807375273
5.71,-18.487706558664375
5.72,-19.9571640849562
5.73,-19.319124434894096
5.74,-18.812174797926662
5.75,-18.620112555890834
5.76,-18.11924490212865
5.77,-18.839962258484654
5.78,-18.425569116896114
5.79,-18.541323331619804
5.8,-18.888805253008258
5.81,-18.568256344325246
5.82,-18.492162003562306
5.83,-19.07743133317514
5.84,-19.17330305305385
5.85,-19.211950011753267
5.86,-19.353504591437904
5.87,-19.319124434894096
5.88,-19.262936512427274
5.89,-19.514933920237844
5.9,-19.70244290363263
5.91,-19.07028343291873
5.92,-18.821427410932714
5.93,-18.676831378553203
5.94,-18.16848113049864
5.95,-17.759633250000167
5.96,-17.798634119761605
5.97,-17.981589253368966
5.98,-17.759633250000167
5.99,-18.185672407041945
6.0,-19.740949940122007
6.01,-22.270653688842863
6.02,-19.925569422761175
6.03,-17.9668940891468
6.04,-18.27431573399226
6.05,-18.613331119264203
6.06,-19.204690596672897
6.07,-19.224062535872147
6.08,-19.467435772481846
6.09,-18.82374210505382
6.1,-18.860861348033243
6.11,-21.44060946353801
6.12,-19.44005509756035
6.13,-19.166075852827092
6.14,-18.984964322096097
6.15,-18.761460860854065
6.16,-17.404484468486036
6.17,-17.55720298242036
6.18,-18.940270410856648
6.19,-17.96899187677638
6.2,-20.055310774851087
6.21,-19.746097134132228
6.22,-18.3529018511085
6.23,-18.68594085986858
6.24,-18.692779245975434
6.25,-19.405331334886235
6.26,-20.56623118965063
6.27,-17.810986655104553
6.28,-18.74309259677783
6.29,-18.992042325724004
6.3,-18.291717972997567
6.31,-17.65378092960558
6.32,-20.30152441212688
6.33,-18.28083748850068
6.34,-16.941280365394352
6.35,-19.64881824928465
6.36,-20.532346011546345
6.37,-18.004732003167188
6.38,-19.47741382026274
6.39,-18.207209461562748
6.4,-19.001488644912882
6.41,-17.089792863672685
6.42,-17.469606745153172
6.43,-18.302612104161135
6.44,-18.12565121315396
6.45,-21.697823308739203
6.46,-17.537217033340017
6.47,-16.585214014313884
6.48,-17.92504438333541
6.49,-16.87813699394288
6.5,-19.328933458678602
6.51,-17.581246982931223
6.52,-20.318006181091377
6.53,-19.161261058004214
6.54,-16.196855431102257
6.55,-19.415238253140807
6.56,-19.284879824236235
6.57,-18.48993399543464
6.58,-19.190189942824134
6.59,-17.256337337532155
6.6,-20.431476482137896
6.61,-17.48745243268687
6.62,-19.277559225709282
6.63,-16.764161780261276
6.64,-19.33384212772027
6.65,-17.870939481369746
6.66,-23.547841190799232
6.67,-16.57984848981212
6.68,-16.130387983062032
6.69,-15.214389318719286
6.7,-17.757585415583495
6.71,-22.839724266546977
6.72,-16.44149567869065
6.73,-15.376314720442782
6.74,-16.039187837315506
6.75,-16.443255559081248
6.76,-17.211996887966475
6.77,-15.992273195894482
6.78,-15.732187332394929
6.79,-15.278797693793532
6.8,-16.843049904001642
6.81,-17.846081206435564
6.82,-15.124710074509478
6.83,-18.28083748850068
6.84,-18.102184470151222
6.85,-18.390260573810885
6.86,-18.237451336165023
6.87,-19.425156483893705
6.88,-20.173487967061487
6.89,-16.707730149555385
6.9,-17.561205696610116
6.91,-19.689645067756054
6.92,-21.876920161797734
6.93,-20.312508782402766
6.94,-17.08221189907356
6.95,-15.77282504869508
6.96,-18.563761705343673
6.97,-16.26900920140162
6.98,-19.625937215493106
6.99,-18.72934184513855
7.0,-20.807202631414224
7.01,-18.900475132014904
7.02,-17.631553446027702
7.03,-21.03412427425317
7.04,-19.2264870689341
7.05,-18.423358122958234
7.06,-18.543564562347775
7.07,-17.135418127545382
7.08,-16.85780614392884
7.09,-17.72692569565163
7.1,-17.798634119761605
7.11,-18.013162860066007
7.12,-16.549506298503246
7.13,-15.135301701545538
7.14,-17.680123318930917
7.15,-17.347656110215663
7.16,-18.800622874907155
7.17,-18.237451336165023
7.18,-20.894910104738592
7.19,-20.836340161717537
7.2,-17.724885557148284
7.21,-19.435086053009464
7.22,-18.886473157508124
7.23,-20.38424779585965
7.24,-23.910229899588185
7.25,-24.00218916664859
7.26,-26.145548165851924
7.27,-26.09727820109122
7.28,-27.105632840024114
7.29,-26.474390831937228
7.3,-26.188681163927466
7.31,-26.36890413873344
7.32,-28.631782681862894
7.33,-28.739862338128503
7.34,-30.119980783220477
7.35,-28.539189295546432
7.36,-27.361656543318627
7.37,-28.00344687127633
7.38,-28.18518075392605
7.39,-28.878722597292573
7.4,-29.125306346566934
7.41,-30.855686853872136
7.42,-32.01156234839335
7.43,-30.231175374456143
7.44,-28.915636760962443
7.45,-31.185630089687088
7.46,-30.34381193072038
7.47,-29.729444595018798
7.48,-29.893488935323198
7.49,-28.191985211491485
7.5,-29.034827511366007
7.51,-27.06966637191286
7.52,-25.78731637967788
7.53,-27.530319894055882
7.54,-28.87135855307185
7.55,-28.790763469538803
7.56,-32.64713152768056
7.57,-36.59416392714908
7.58,-35.69335318586658
7.59,-36.072854118370536
7.6,-36.505077098624085
7.61,-36.505077098624085
7.62,-31.619029674323002
7.63,-15.833319959887769
7.64,-34.77497501942614
7.65,-36.64805793441736
7.66,-38.289540785459394
7.67,-38.59978410902434
7.68,-39.13482728853104
7.69,-37.88547306369365
7.7,-37.7616815673397
7.71,-37.439945169470604
7.72,-38.7821716950785
7.73,-37.09168913911697
7.74,-38.62237421184374
7.75,-37.07274498844913
7.76,-37.782191351693506
7.77,-38.96847137601314
7.78,-37.782191351693506
7.79,-38.96847137601314
7.8,-37.63962958760262
7.81,-37.782191351693506
7.82,-37.7616815673397
7.83,-37.28343841923147
7.84,-38.224477637504954
7.85,-38.82837334463998
7.86,-38.159898234900986
7.87,-38.01105437853166
7.88,-38.35509498068411
7.89,-37.9480367649525
7.9,-38.39907426268287
7.91,-37.36133929690196
7.92,-37.18703465893772
7.93,-38.55477939881613
7.94,-39.353504591437904
7.95,-37.499369959785916
7.96,-38.01105437853166
7.97,-38.01105437853166
7.98,-38.66773144096018
7.99,-38.053321564799646
8.0,-37.65985285549987
8.01,-38.66773144096018
8.02,-38.66773144096018
8.03,-39.452490160010754
8.04,-39.13482728853104
8.05,-39.75640068176758
8.06,-37.28343841923147
8.07,-38.224477637504954
8.08,-38.59978410902434
8.09,-38.59978410902434
8.1,-37.2640718791279
8.11,-36.72044076695198
8.12,-36.97863908809674
8.13,-39.3289334586786
8.14,-37.499369959785916
8.15,-35.88928381611958
8.16,-35.69335318586658
8.17,-32.796199959110986
8.18,-27.87123899712073
8.19,-26.85694007499716
8.2,-28.682052543111705
8.21,-29.22440050192641
8.22,-31.071089225837348
8.23,-32.09651060141033
8.24,-33.53201688444925
8.25,-33.174420891536705
8.26,-31.782149766681258
8.27,-31.4094805309534
8.28,-32.81936234520502
8.29,-32.590471903165735
8.3,-32.17152800475295
8.31,-32.001001994948965
8.32,-33.0783104820136
8.33,-30.967404016304414
8.34,-27.90410278826705
8.35,-28.384706992266256
8.36,-26.199497964376537
8.37,-25.13146611175173
8.38,-27.97020576817924
8.39,-25.37410450471753
8.4,-23.112289052396594
8.41,-27.46746947772866
8.42,-29.379095412500188
8.43,-32.37847434940325
8.44,-31.75133049258022
8.45,-31.185630089687088
8.46,-31.864873150414027
8.47,-31.31144461845686
8.48,-31.875269189522314
8.49,-35.905812631075214
8.5,-36.70228843090309
8.51,-35.66112350273499
8.52,-35.100549030730114
8.53,-31.061611985793935
8.54,-32.69272685357853
8.55,-32.117878114370846
8.56,-31.619029674323002
8.57,-32.90092059361382
8.58,-29.68891307192362
8.59,-30.68168851762347
8.6,-32.0539326257679
8.61,-35.36076254146589
8.62,-36.9973788788353
8.63,-37.28343841923147
8.64,-37.51926891382263
8.65,-37.579240772127044
8.66,-37.782191351693506
8.67,-33.697225325491466
8.68,-35.92237295951982
8.69,-34.25352419335484
8.7,-33.99744373270901
8.71,-34.76046225140812
8.72,-35.22203198497398
