seconds_elapsed,dBFS
0.0,-42.38501175727962
0.01,-33.6205846255637
0.02,-30.690759943657483
0.03,-37.499369959785916
0.04,-40.680146129148255
0.05,-36.43445972072142
0.06,-39.78221315139747
0.07,-38.66773144096018
0.08,-45.251938079596485
0.09,-42.56120217241977
0.1,-39.353504591437904
0.11,-42.07660457992975
0.12,-33.6205846255637
0.13,-43.1122890523966
0.14,-42.96188027867397
0.15,-39.47741382026274
0.16,-41.06103874121523
0.17,-44.33193717100022
0.18,-46.33585696010591
0.19,-43.26534833696711
0.2,-46.44650673210513
0.21,-45.05997690458577
0.22,-33.198615585838354
0.23,-37.499369959785916
0.24,-38.117110514689955
0.25,-36.0224035042897
0.26,-31.588782784890164
0.27,-26.712220138730626
0.28,-26.752499261900724
0.29,-29.16328581083006
0.3,-32.81936234520502
0.31,-28.377749931711644
0.32,-29.293672474533512
0.33,-30.90206117459249
0.34,-33.407037898909216
0.35,-31.75133049258022
0.36,-30.511107424818892
0.37,-30.92068045211473
0.38,-30.4933448631316
0.39,-29.664684633234724
0.4,-32.15002826694891
0.41,-33.684404821853086
0.42,-29.80288139389895
0.43,-27.612711292785153
0.44,-26.21032825211146
0.45,-27.3184584241074
0.46,-27.50512512762173
0.47,-28.923038456883774
0.48,-29.394717520377004
0.49,-30.609456170884485
0.5,-31.49866900054301
0.51,-33.826482020863374
0.52,-36.576273313948484
0.53,-39.402856369877874
0.54,-44.508306471944
0.55,-44.68833135423981
0.56,-36.43445972072142
0.57,-36.922661087872115
0.58,-39.96508074019487
0.59,-39.25563437695049
0.6,-45.300598653016465
0.61,-35.565145845099615
0.62,-29.2167376080566
0.63,-24.397656699944775
0.64,-21.42810278083283
0.65,-20.654384697595496
0.66,-20.370405737730056
0.67,-20.804294247111788
0.68,-21.743062419536766
0.69,-22.336312208426516
0.7,-22.01621576445418
0.71,-22.755589912507897
0.72,-23.358495499220567
0.73,-22.69753863785661
0.74,-23.25377486471774
0.75,-23.656190491445102
0.76,-23.319562714906642
0.77,-22.82136473817671
0.78,-19.628476578071655
0.79,-15.792398892782751
0.8,-16.319181793750268
0.81,-21.53815172347214
0.82,-21.09404786231042
0.83,-18.96847137601315
0.84,-16.630056084164114
0.85,-16.915224538070195
0.86,-18.501079755514102
0.87,-17.873014219141005
0.88,-18.550291726467236
0.89,-18.306973585366542
0.9,-18.17277576081509
0.91,-18.207209461562748
0.92,-16.439736154803736
0.93,-17.839877737795685
0.94,-17.215843606203865
0.95,-17.233174951438116
0.96,-19.11804758758567
0.97,-20.282335126283037
0.98,-19.915063355997297
0.99,-19.166075852827092
1.0,-18.879480625555484
1.01,-20.176192587864307
1.02,-22.839724266546977
1.03,-25.797644430404937
1.04,-26.51357957225688
1.05,-30.08605148367841
1.06,-37.53921356010161
1.07,-35.42313903674083
1.08,-43.90607297697328
1.09,-41.876920161797734
1.1,-39.378145429631736
1.11,-38.7821716950785
1.12,-39.402856369877874
1.13,-38.13847802765047
1.14,-37.927132086659505
1.15,-38.532364187310215
1.16,-37.74122009818812
1.17,-38.09579543739675
1.18,-38.7821716950785
1.19,-43.03675910135147
1.2,-33.102238567774485
1.21,-29.15567662099777
1.22,-25.543057341686477
1.23,-22.256893860796062
1.24,-18.786780816777565
1.25,-19.277559225709282
1.26,-20.331764919336678
1.27,-19.764136371432585
1.28,-18.912160711119125
1.29,-20.176192587864307
1.3,-18.593018518934336
1.31,-19.01331100911462
1.32,-19.04649949243347
1.33,-19.336297502899324
1.34,-20.10346181084726
1.35,-20.683013232537242
1.36,-21.285555548943563
1.37,-23.656190491445102
1.38,-27.171960677794132
1.39,-27.263231811533227
1.4,-25.42840691859392
1.41,-24.970260476010896
1.42,-25.359353485653273
1.43,-27.300010509976744
1.44,-32.76157178179887
1.45,-38.55477939881613
1.46,-34.58817449434327
1.47,-31.60893567012126
1.48,-30.645497258438095
1.49,-28.878722597292573
1.5,-31.301701611671895
1.51,-32.29073734444098
1.52,-31.710407497502597
1.53,-29.86868390283995
1.54,-30.892766481744005
1.55,-30.7636744506485
1.56,-33.18650981434835
1.57,-30.077589827248794
1.58,-26.330361300550177
1.59,-24.989071289292774
1.6,-27.517713375677356
1.61,-35.75817355862323
1.62,-45.44823772546847
1.63,-47.63822053179
1.64,-47.83196587985263
1.65,-47.141748857289365
1.66,-38.074532539047524
1.67,-35.69335318586658
1.68,-33.944480826915246
1.69,-39.06314141006486
1.7,-34.92145217767158
1.71,-30.026992268801944
1.72,-27.473734093678598
1.73,-27.818914202508715
1.74,-26.69501467327366
1.75,-25.912070978707142
1.76,-22.51504773506664
1.77,-20.28781345483933
1.78,-17.078423896554707
1.79,-16.802599032408516
1.8,-16.116816277741382
1.81,-17.267941734232256
1.82,-16.784274363928127
1.83,-16.863346203415944
1.84,-17.26213759794006
1.85,-15.83660198888509
1.86,-16.09311670058781
1.87,-17.097380450648366
1.88,-19.103690741940063
1.89,-20.82758863489348
1.9,-23.25377486471774
1.91,-31.782149766681258
1.92,-32.345469029240824
1.93,-35.206753371292926
1.94,-33.826482020863374
1.95,-31.43910838107231
1.96,-24.9749593615126
1.97,-22.232866488245904
1.98,-20.22774104562052
1.99,-19.9571640849562
2.0,-21.18471559203458
2.01,-22.636281331956766
2.02,-24.75223203915341
2.03,-25.083741323344487
2.04,-23.856344465349892
2.05,-21.160444840264667
2.06,-19.88623702511363
2.07,-21.031138919476213
2.08,-21.969535247133628
2.09,-22.607603172555663
2.1,-23.57980402222377
2.11,-22.3606278521674
2.12,-21.53815172347214
2.13,-22.205487774834573
2.14,-23.24606777491477
2.15,-22.792069973011237
2.16,-23.358495499220567
2.17,-23.38193921018158
2.18,-23.939384195704008
2.19,-23.951908912564974
2.2,-24.086641845944246
2.21,-24.688331354239807
2.22,-25.543057341686477
2.23,-25.948797839507087
2.24,-26.810366828625504
2.25,-26.85694007499716
2.26,-24.895421976300227
2.27,-25.266507649081472
2.28,-25.12668181549303
2.29,-25.07898323522875
2.3,-26.479978409896447
2.31,-25.184268035075895
2.32,-23.512023038441615
2.33,-23.484266234420513
2.34,-25.463140599535738
2.35,-24.526141980547695
2.36,-27.492555097008147
2.37,-26.810366828625504
2.38,-26.764041974081888
2.39,-27.715200855208337
2.4,-26.93315829291072
2.41,-26.21574846422998
2.42,-23.782281480619325
2.43,-23.535885387620347
2.44,-22.88394611669557
2.45,-22.906141758172318
2.46,-23.142685897550443
2.47,-24.6565564416331
2.48,-25.839079879946464
2.49,-26.36890413873344
2.5,-26.86277932875527
2.51,-26.86277932875527
2.52,-27.141748857289365
2.53,-26.845273330948878
2.54,-26.352364832616296
2.55,-25.782156955921742
2.56,-25.689807584222976
2.57,-26.11869840834174
2.58,-26.16169794981292
2.59,-28.39863785273134
2.6,-29.860431275484626
2.61,-30.827980643336808
2.62,-32.467106645384746
2.63,-37.59932376289611
2.64,-43.342901438231145
2.65,-43.700723232210535
2.66,-40.73766878731749
2.67,-44.91873981483603
2.68,-45.10757093949286
2.69,-40.20599913279624
2.7,-32.865873244228496
2.71,-43.66022950088225
2.72,-46.39100565100968
2.73,-45.01264223900363
2.74,-41.2426318982536
2.75,-39.304431638092474
2.76,-46.50236473578853
2.77,-45.15542720181067
2.78,-46.50236473578853
2.79,-39.57782984776375
2.8,-41.03113891947621
2.81,-41.490817057890006
2.82,-43.1884815553319
2.83,-17.83161333218831
2.84,-17.798634119761605
2.85,-16.44149567869065
2.86,-14.663847225928322
2.87,-16.637252347739015
2.88,-13.721636539417952
2.89,-15.547664403644973
2.9,-15.100549030730114
2.91,-15.032954217702505
2.92,-17.038749290891243
2.93,-16.780614064827155
2.94,-15.331289899004021
2.95,-15.410627850367295
2.96,-16.874436934403196
2.97,-15.821842614665826
2.98,-15.467070653129468
2.99,-15.003080105233224
3.0,-13.71649163203337
3.01,-15.619402910682812
3.02,-14.143428507539
3.03,-14.494852952640763
3.04,-14.58817449434327
3.05,-13.702358830155122
3.06,-14.78805727555876
3.07,-14.79096712136087
3.08,-17.053842065562876
3.09,-18.55477939881613
3.1,-20.170784188163996
3.11,-23.24221679296826
3.12,-23.409370420649193
3.13,-26.16708789080999
3.14,-21.209054353005158
3.15,-25.21803715701488
3.16,-21.133221064977455
