seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-42.009531739778
0.05,-38.333188563932055
0.06,-39.52747672333882
0.07,-36.29492435629397
0.08,-37.68012331893091
0.09,-38.44327735878521
0.1,-41.68172341601461
0.11,-37.80274967996088
0.12,-39.91243882367998
0.13,-40.04464669783558
0.14,-37.823356782480985
0.15,-36.848580556616426
0.16,-37.72080671713998
0.17,-39.086971026213234
0.18,-39.20710972762797
0.19,-39.628476578071655
0.2,-40.85386971285011
0.21,-42.31552426957359
0.22,-41.03113891947621
0.23,-42.41996508267003
0.24,-42.88764145375963
0.25,-44.64297412512336
0.26,-43.0744419788425
0.27,-37.36133929690196
0.28,-38.267798872635105
0.29,-35.77445451866291
0.3,-35.629012968426615
0.31,-34.80407350438963
0.32,-36.73863111839208
0.33,-37.51926891382263
0.34,-38.117110514689955
0.35,-37.59932376289611
0.36,-37.09168913911697
0.37,-35.04043882793561
0.38,-34.68825992677172
0.39,-33.89183891040035
0.4,-32.88922242398285
0.41,-34.280924498847256
0.42,-35.905812631075214
0.43,-35.34523815907035
0.44,-36.123599479677736
0.45,-39.15885466108119
0.46,-39.1108661984721
0.47,-37.36133929690196
0.48,-39.86011402906796
0.49,-36.95993964139527
0.5,-34.68825992677172
0.51,-38.96847137601314
0.52,-36.75685964478449
0.53,-38.311337257720595
0.54,-38.805241800641134
0.55,-34.877249081569246
0.56,-37.2640718791279
0.57,-35.790766053293396
0.58,-36.364411844
0.59,-38.03216226167297
0.6,-37.619453295979724
0.61,-36.63005608416411
0.62,-36.72044076695198
0.63,-35.93896492184887
0.64,-34.86256456473596
0.65,-43.66022950088225
0.66,-46.012121738240396
0.67,-42.668657847696984
0.68,-37.63962958760262
0.69,-40.79557493270576
0.7,-40.708859840051346
0.71,-42.49029655712677
0.72,-43.700723232210535
0.73,-42.59687322722811
0.74,-42.07660457992975
0.75,-43.90607297697328
0.76,-45.95931981491623
0.77,-48.72537377824186
0.78,-41.84408122045819
0.79,-42.56120217241977
0.8,-42.704773864962235
0.81,-46.118698408341736
0.82,-45.10757093949286
0.83,-50.663574038402984
0.84,-45.251938079596485
0.85,-46.118698408341736
0.86,-44.37569489396373
0.87,-48.72537377824186
0.88,-42.704773864962235
0.89,-41.03113891947621
0.9,-44.33193717100022
0.91,-45.64907649135128
0.92,-44.59785251903888
0.93,-44.733926680137785
0.94,-45.802813064677096
0.95,-42.9246815509915
0.96,-44.55296410058984
0.97,-40.23318503805073
0.98,-42.81403177899228
0.99,-45.95931981491623
1.0,-43.46054508275023
1.01,-50.573564013869465
1.02,-44.463877272064835
1.03,-41.091041844063405
1.04,-42.3501985257536
1.05,-47.08163865449485
1.06,-46.67212694029891
1.07,-42.52567701190371
1.08,-39.70500473513271
1.09,-37.844012891236346
1.1,-40.28781345483932
1.11,-40.76657360480111
1.12,-39.20710972762797
1.13,-41.942972872799444
1.14,-46.44650673210513
1.15,-43.15030175918528
1.16,-45.15542720181067
1.17,-42.455059634001046
1.18,-45.85466927624269
1.19,-45.90683693839325
1.2,-44.11639535067637
1.21,-46.118698408341736
1.22,-38.37705678666515
1.23,-44.11639535067637
1.24,-41.58574575837924
1.25,-38.074532539047524
1.26,-38.7821716950785
1.27,-31.782149766681258
1.28,-29.23974660068525
1.29,-23.21147024886968
1.3,-18.70418853388683
1.31,-19.878391873620135
1.32,-24.103631366545404
1.33,-18.64048869106422
1.34,-24.052762174952594
1.35,-21.362736522722994
1.36,-19.831469186431733
1.37,-17.190870335590056
1.38,-18.552535272815255
1.39,-16.062740525567047
1.4,-11.017206949396293
1.41,-17.485467766932075
1.42,-17.58526079521987
1.43,-16.97489597679638
1.44,-16.452060313649756
1.45,-16.104958406086663
1.46,-16.179763946567263
1.47,-17.85228910876395
1.48,-19.66410582666271
1.49,-19.740949940122007
1.5,-17.77808551865177
1.51,-19.674312513663352
1.52,-17.37308492362497
1.53,-18.00894640870259
1.54,-20.428691204051482
1.55,-23.79458153880612
1.56,-26.05459561083751
1.57,-31.64938226073039
1.58,-31.95888850814342
1.59,-30.754526593417395
1.6,-30.699840853672352
1.61,-29.762006543699226
1.62,-30.78199911912889
1.63,-30.699840853672352
1.64,-33.30833354539897
1.65,-37.499369959785916
1.66,-31.875269189522314
1.67,-27.392644409357803
1.68,-22.84707895761982
1.69,-22.318985472902146
1.7,-24.570891639746858
1.71,-26.96856278338923
1.72,-26.39100565100968
1.73,-27.251006771319407
1.74,-28.689257760976613
1.75,-28.103940352126294
1.76,-30.052254205090914
1.77,-31.291969521423425
1.78,-33.456813906983115
1.79,-31.321198566296097
1.8,-26.950842499164757
1.81,-24.03165429181129
1.82,-19.49240241697276
1.83,-17.12398932374114
1.84,-19.103690741940063
1.85,-19.567735843562016
1.86,-19.445026986441423
1.87,-20.845100515095602
1.88,-21.979517117189943
1.89,-14.75176621566952
1.9,-17.655804433316085
1.91,-16.9375533155032
1.92,-16.462637814008783
1.93,-14.30428291264728
1.94,-16.212266574966282
1.95,-20.392563631476243
1.96,-16.200277767489347
1.97,-18.14061767284865
1.98,-19.279998739736854
1.99,-17.579240772127047
2.0,-17.033096254806207
2.01,-17.31840738023798
2.02,-19.096521208195757
2.03,-19.73580579449456
2.04,-22.02290493662772
2.05,-23.92687751299883
2.06,-28.617473140507737
2.07,-28.219256472946455
2.08,-31.60893567012126
2.09,-32.51176427403059
2.1,-32.61309142021474
2.11,-30.265677464064204
2.12,-25.443275777525432
2.13,-23.839831362205004
2.14,-18.51670788656903
2.15,-18.665457945426184
2.16,-19.336297502899324
2.17,-18.638222314107317
2.18,-16.0023050233481
2.19,-18.132062252666124
2.2,-17.698407270657878
2.21,-21.1121058514302
2.22,-22.046357690496915
2.23,-27.5682496034041
2.24,-30.573564013869458
2.25,-30.864941931613068
2.26,-29.57642079195113
2.27,-30.7911759711585
2.28,-25.4234562831575
2.29,-22.77016355625918
2.3,-19.25320169533872
2.31,-19.28243893911744
2.32,-21.267133718839727
