seconds_elapsed,dBFS
0.0,-3.7892493749055225
0.01,-3.6010443562825256
0.02,-3.531107670427247
0.03,-3.6861237317628737
0.04,-3.817588354817652
0.05,-2.77818949542646
0.06,-3.346407661810078
0.07,-2.610466731351258
0.08,-2.983528762185457
0.09,-3.1305143914241302
0.1,-3.991690084458783
0.11,-3.6796429333737484
0.12,-3.328890680333017
0.13,-3.4400390230497297
0.14,-3.511228754719417
0.15,-2.642387658277656
0.16,-2.810001288695383
0.17,-3.1888642020703544
0.18,-3.0642514799123868
0.19,-3.3351148938835355
0.2,-3.043153667772724
0.21,-3.1092552103685263
0.22,-2.7588668510616814
0.23,-3.0420248727392223
0.24,-3.051435983415762
0.25,-2.82980530168502
0.26,-2.9853975394120695
0.27,-2.956662856500845
0.28,-3.652960635634695
0.29,-3.47318830134076
0.3,-3.2137724681625865
0.31,-2.9697122928760016
0.32,-2.8802523511123406
0.33,-3.4973405342437984
0.34,-2.7537699251491032
0.35,-2.800482103347495
0.36,-2.7906078251013704
0.37,-3.0699113921251246
0.38,-2.642746987665982
0.39,-2.7822052477736534
0.4,-3.3659124971824674
0.41,-2.643106331920137
0.42,-3.370209445214546
0.43,-2.938054747841228
0.44,-3.3316132249636787
0.45,-3.27693725081178
0.46,-1.9360136888023143
0.47,-3.151063712748477
0.48,-2.325912020030028
0.49,-3.4775386616374497
0.5,-2.7847616935409025
0.51,-2.37072145188891
0.52,-3.2137724681625865
0.53,-3.649731980402625
0.54,-2.8419300200539177
0.55,-2.948842594770864
0.56,-2.507968770014613
0.57,-3.322670923792224
0.58,-2.5843716876038543
0.59,-2.938426519606563
0.6,-3.20073461980519
0.61,-3.058595253418427
0.62,-2.149969282540899
0.63,-2.5943714794186716
0.64,-1.9506012392395427
0.65,-2.9317370612284592
0.66,-2.9853975394120695
0.67,-2.6398727686992967
0.68,-2.5444872487203902
0.69,-1.922773505394769
0.7,-2.3394346947992464
0.71,-2.3700249648676035
0.72,-3.281577149233048
0.73,-2.7745404218786645
0.74,-2.4157632493357815
0.75,-2.7218004094417516
0.76,-3.7667263698949878
0.77,-3.5898165762294005
0.78,-3.3222823368493986
0.79,-2.3787350693239224
0.8,-2.892077934474828
0.81,-2.8327430735434285
0.82,-2.4438139426576044
0.83,-2.708031684455852
0.84,-3.0661377075551584
0.85,-2.803043934847578
0.86,-2.631255813986553
0.87,-2.4490835476472794
0.88,-3.3479664378271945
0.89,-3.1172213068936827
0.9,-3.4898105037435267
0.91,-2.8125659297544647
0.92,-2.7679759502438266
0.93,-2.8489186038488845
0.94,-2.706945608851053
0.95,-2.709479996541923
0.96,-3.0348792420998825
0.97,-3.1590682632831344
0.98,-1.753435954710897
0.99,-1.4377938894262112
1.0,-2.2603317748081193
1.01,-2.6881418437561777
1.02,-2.7697989169930337
1.03,-3.347576717596593
1.04,-3.171661765546644
1.05,-3.3999556716778736
1.06,-3.691392943305734
1.07,-3.190012243438441
1.08,-3.6146976299071993
1.09,-3.497737032526937
1.1,-3.6958540049664776
1.11,-2.8180641404151725
1.12,-3.844369336898871
1.13,-3.545448713263639
1.14,-3.1976697328157093
1.15,-3.250305828005957
1.16,-3.5199698730655453
1.17,-3.157924304332727
1.18,-3.7434458109990048
1.19,-3.3518646021678515
1.2,-3.41722384762008
1.21,-3.508449333541146
1.22,-3.2730725612538887
1.23,-2.496654412458639
1.24,-3.5582162152601358
1.25,-3.437282285366302
1.26,-2.5444872487203902
1.27,-3.3405647419058653
1.28,-3.6784283218205447
1.29,-2.501956182529898
1.3,-3.253774864717742
1.31,-2.643825065030855
1.32,-2.54129018483371
1.33,-2.895036847682821
1.34,-3.081242292942421
1.35,-2.665054491645285
1.36,-4.255022319358583
1.37,-3.517187653833554
1.38,-3.1240552094004737
1.39,-3.546246132556195
1.4,-2.914665148223146
1.41,-2.75741028129546
1.42,-3.3897678629315333
1.43,-2.983528762185457
1.44,-2.8750837168401784
1.45,-3.5382752320811757
1.46,-3.3265577496672893
1.47,-2.4864134908363127
1.48,-3.060103220373267
1.49,-3.2533893477678517
1.5,-3.691798399701563
1.51,-3.5726021233595944
1.52,-2.7406772614897656
1.53,-2.0443449713040245
1.54,-2.5051387986160947
1.55,-2.1096603141495383
1.56,-3.471211584908373
1.57,-3.760185174339254
1.58,-4.104481715524309
1.59,-4.090037092596708
1.6,-3.2986113472436034
1.61,-3.0487998444171636
1.62,-2.4192646359426613
1.63,-2.3151782250868633
1.64,-3.1617380868915026
1.65,-3.4562032233056295
1.66,-2.8331103648997242
1.67,-3.2268299162463396
1.68,-2.9977415632831694
1.69,-3.5354871441303093
1.7,-2.8217315486938017
1.71,-2.7946293242585347
1.72,-3.0314965203737247
1.73,-3.5782030841235644
1.74,-3.466469300079857
1.75,-3.2607170973809483
1.76,-3.410940538086242
1.77,-3.2049506060333006
1.78,-3.480703929157766
1.79,-3.1705161468989123
1.8,-3.5275261063720755
1.81,-3.9565058375931854
1.82,-3.6699307933703547
1.83,-3.4329520359612573
1.84,-3.3172322879451
1.85,-3.4961511479802523
1.86,-3.4074081728970236
1.87,-3.152968889136994
1.88,-3.685313367472687
1.89,-3.108496915406408
1.9,-3.357324973022709
1.91,-3.4164381853122707
1.92,-3.4945655529342154
1.93,-3.4003477492114254
1.94,-3.3281129671536402
1.95,-3.1632640689119533
1.96,-3.3141260242953416
1.97,-2.695007731540022
1.98,-3.3885931151032116
1.99,-3.204567249986099
2.0,-3.043906279300624
2.01,-3.0247350265632185
2.02,-2.9324800800174557
2.03,-2.8158644384859595
2.04,-3.2568596164639403
2.05,-3.0119776590405034
2.06,-2.7044119604336108
2.07,-2.1012157689296975
2.08,-2.262395176561039
2.09,-1.9648809639077531
2.1,-2.25345730698741
2.11,-3.368646672695385
2.12,-3.480703929157766
2.13,-3.9431397148104663
2.14,-3.622336758463261
2.15,-3.5938248317864865
2.16,-3.8134755228652137
2.17,-4.100230802877398
2.18,-3.78514993663891
2.19,-3.6788331734665696
2.2,-3.840243807402644
2.21,-3.2912515723201032
2.22,-3.3940766314709823
2.23,-3.6521533593073268
2.24,-3.4846621363161594
2.25,-3.6768091039125017
2.26,-3.4902066584327955
2.27,-3.512817394803967
2.28,-3.0831322143228546
2.29,-3.3882015677982533
2.3,-3.5862107270232246
2.31,-2.917260884467472
2.32,-3.058972220614114
2.33,-3.82129156938582
2.34,-2.8570176792868174
2.35,-3.337450124342034
2.36,-3.6183153270112403
2.37,-3.113047678506349
2.38,-3.4913952309214427
2.39,-3.587412510440993
2.4,-2.748312250047729
2.41,-3.235674039536312
2.42,-2.9131822185788314
2.43,-2.696815446512116
2.44,-3.3086927345005135
2.45,-3.046164505235365
2.46,-2.614405666797679
2.47,-3.0555801046810194
2.48,-3.295511734528734
