seconds_elapsed,dBFS
0.0,-48.37079843903322
0.01,-50.573564013869465
0.02,-47.7669027318982
0.03,-48.37079843903322
0.04,-50.30899869919435
0.05,-47.89752007507736
0.06,-49.40253912346121
0.07,-48.23292428007521
0.08,-49.72132314549016
0.09,-49.72132314549016
0.1,-50.136995263955995
0.11,-49.72132314549016
0.12,-49.481144996029855
0.13,-48.581802085699394
0.14,-49.01983891465598
0.15,-48.37079843903322
0.16,-52.24719895935549
0.17,-47.70232332929424
0.18,-48.510896470406394
0.19,-50.663574038402984
0.2,-47.3864379856296
0.21,-50.05225420509091
0.22,-47.89752007507736
0.23,-46.012121738240396
0.24,-49.247429829525956
0.25,-46.44650673210513
0.26,-49.247429829525956
0.27,-48.301587796843094
0.28,-47.7669027318982
0.29,-48.03013165305762
0.3,-48.164799306236986
0.31,-48.164799306236986
0.32,-48.581802085699394
0.33,-47.70232332929424
0.34,-51.22414851040786
0.35,-48.301587796843094
0.36,-47.96357278607907
0.37,-50.939339728115655
0.38,-49.40253912346121
0.39,-48.510896470406394
0.4,-48.945281464271126
0.41,-47.02194158350561
0.42,-48.798059471343734
0.43,-50.48447718534446
0.44,-50.84644162720038
0.45,-50.136995263955995
0.46,-50.05225420509091
0.47,-48.23292428007521
0.48,-48.37079843903322
0.49,-49.481144996029855
0.5,-49.96833191321875
0.51,-48.097204493209375
0.52,-49.32463824579072
0.53,-47.141748857289365
0.54,-47.83196587985263
0.55,-49.01983891465598
0.56,-47.141748857289365
0.57,-47.83196587985263
0.58,-46.787173518080735
0.59,-48.23292428007521
0.6,-47.83196587985263
0.61,-47.32461644608676
0.62,-48.581802085699394
0.63,-48.44056499594966
0.64,-48.03013165305762
0.65,-48.653291292865354
0.66,-49.80288139389895
0.67,-49.96833191321875
0.68,-47.63822053179
0.69,-47.574587356066225
0.7,-50.84644162720038
0.71,-49.247429829525956
0.72,-48.87135855307185
0.73,-48.72537377824186
0.74,-50.48447718534446
0.75,-51.518613646821976
0.76,-47.89752007507736
0.77,-48.653291292865354
0.78,-51.619029674323
0.79,-47.96357278607907
0.8,-49.96833191321875
0.81,-49.885212717795596
0.82,-48.37079843903322
0.83,-48.301587796843094
0.84,-46.90376439129521
0.85,-48.510896470406394
0.86,-47.263231811533224
0.87,-47.3864379856296
0.88,-49.17090167246491
0.89,-45.802813064677096
0.9,-47.574587356066225
0.91,-47.263231811533224
0.92,-45.54807663661845
0.93,-48.581802085699394
0.94,-46.39100565100968
0.95,-47.20227794989312
0.96,-47.44870269411245
0.97,-47.89752007507736
0.98,-50.573564013869465
0.99,-47.44870269411245
1.0,-48.581802085699394
1.01,-49.01983891465598
1.02,-49.247429829525956
1.03,-50.39629480724336
1.04,-49.17090167246491
1.05,-50.30899869919435
1.06,-49.247429829525956
1.07,-48.23292428007521
1.08,-50.48447718534446
1.09,-49.247429829525956
1.1,-48.37079843903322
1.11,-49.40253912346121
1.12,-48.72537377824186
1.13,-49.32463824579072
1.14,-49.32463824579072
1.15,-48.23292428007521
1.16,-49.80288139389895
1.17,-47.44870269411245
1.18,-49.247429829525956
1.19,-47.32461644608676
1.2,-48.653291292865354
1.21,-48.44056499594966
1.22,-47.02194158350561
1.23,-47.574587356066225
1.24,-48.72537377824186
1.25,-46.22659904607586
1.26,-48.37079843903322
1.27,-45.90683693839325
1.28,-44.68833135423981
1.29,-43.700723232210535
1.3,-47.08163865449485
1.31,-49.481144996029855
1.32,-48.23292428007521
1.33,-49.247429829525956
1.34,-48.164799306236986
1.35,-48.798059471343734
1.36,-49.56046874038188
1.37,-45.64907649135128
1.38,-40.73766878731749
1.39,-39.80810255845745
1.4,-42.63269137958573
1.41,-45.34953337195822
1.42,-48.03013165305762
1.43,-48.23292428007521
1.44,-48.164799306236986
1.45,-45.802813064677096
1.46,-46.96265200423083
1.47,-46.39100565100968
1.48,-47.3864379856296
1.49,-46.729459753330964
1.5,-47.263231811533224
1.51,-46.729459753330964
1.52,-46.50236473578853
1.53,-46.012121738240396
1.54,-47.02194158350561
1.55,-45.802813064677096
1.56,-46.5585842824651
1.57,-46.06524661111521
1.58,-47.70232332929424
1.59,-47.51141697116962
1.6,-47.44870269411245
1.61,-48.23292428007521
1.62,-47.83196587985263
1.63,-48.87135855307185
1.64,-48.72537377824186
1.65,-47.3864379856296
1.66,-49.96833191321875
1.67,-49.56046874038188
1.68,-48.164799306236986
1.69,-49.72132314549016
1.7,-50.48447718534446
1.71,-49.095041892122126
1.72,-50.136995263955995
1.73,-49.01983891465598
1.74,-50.573564013869465
1.75,-48.164799306236986
1.76,-49.01983891465598
1.77,-48.03013165305762
1.78,-48.164799306236986
1.79,-49.96833191321875
1.8,-46.67212694029891
1.81,-47.96357278607907
1.82,-48.87135855307185
1.83,-47.02194158350561
1.84,-47.44870269411245
1.85,-47.3864379856296
1.86,-47.3864379856296
1.87,-47.51141697116962
1.88,-46.787173518080735
1.89,-48.097204493209375
1.9,-48.37079843903322
1.91,-45.85466927624269
1.92,-45.05997690458577
1.93,-39.378145429631736
1.94,-33.944480826915246
1.95,-31.5988533827001
1.96,-26.3248691159612
1.97,-25.643998508372352
1.98,-30.01858792403588
1.99,-28.42656678238313
2.0,-30.29164426856982
2.01,-29.584407817468467
2.02,-30.317688934674713
2.03,-34.906692803452316
2.04,-38.75916270244985
2.05,-41.68172341601461
2.06,-41.9098837293992
2.07,-46.90376439129521
2.08,-38.57725260575926
2.09,-35.454496073100394
2.1,-18.40789690400828
2.11,-15.21744557829975
2.12,-16.143980927366805
2.13,-15.001589093361387
2.14,-14.725730223904383
2.15,-14.117804406489004
2.16,-14.569713510479698
2.17,-14.58817449434327
2.18,-15.323550533225951
2.19,-15.509644764004172
2.2,-15.512806718767179
2.21,-15.7062786192608
2.22,-19.034631899880804
2.23,-17.629535583400887
2.24,-15.887632663251175
2.25,-16.603123071458675
2.26,-22.0497132592611
2.27,-24.692880131321022
2.28,-22.298238911355433
2.29,-20.723252369670956
