seconds_elapsed,dBFS
0.0,-9.712398312981186
0.01,-9.683253721654395
0.02,-13.955047603933878
0.03,-18.987323015834438
0.04,-20.93614533136413
0.05,-18.501079755514102
0.06,-18.235287706900362
0.07,-14.14748133736822
0.08,-15.504903989045363
0.09,-18.049085578547405
0.1,-19.697321506292003
0.11,-17.164056101520032
0.12,-15.711130619929602
0.13,-9.7963284779804
0.14,-11.72982188157776
0.15,-11.971501128420691
0.16,-15.820204231252863
0.17,-17.52325418098962
0.18,-22.40247083780734
0.19,-25.21803715701488
0.2,-23.806899039766204
0.21,-22.701155498053808
0.22,-22.895036847682817
0.23,-24.890765910984733
0.24,-22.976804491345764
0.25,-18.722474624089255
0.26,-13.94316088319444
0.27,-13.092659421903605
0.28,-11.795538820769547
0.29,-12.580312306615593
0.3,-18.676831378553203
0.31,-16.86704154048001
0.32,-18.886473157508124
0.33,-25.4234562831575
0.34,-22.305148927342838
0.35,-23.378027528224877
0.36,-26.16708789080999
0.37,-25.42840691859392
0.38,-24.397656699944775
0.39,-23.28467179240752
0.4,-20.775263840281465
0.41,-15.867843272565075
0.42,-14.745973691521485
0.43,-10.579834444448228
0.44,-10.578938391459547
0.45,-12.320249613470807
0.46,-19.60311629833895
0.47,-16.73317001186948
0.48,-22.20207149568018
0.49,-24.223497689651794
0.5,-21.992844146483492
0.51,-20.271388824093183
0.52,-16.190014800988443
0.53,-17.357427614945255
0.54,-15.426269651169411
0.55,-13.385969168618049
0.56,-14.87431019145897
0.57,-12.17045175301524
0.58,-11.765699213206961
0.59,-10.698932335326454
0.6,-11.264777537020978
0.61,-10.832592212140685
0.62,-11.946294175867171
0.63,-13.027087230709409
0.64,-15.451355270448898
0.65,-14.921452177671588
0.66,-15.659515153570487
0.67,-20.462173634094867
0.68,-25.344627475392866
0.69,-26.37994786512657
0.7,-26.070577013024167
0.71,-24.323212017440756
0.72,-15.725702905338956
0.73,-12.228761027246593
0.74,-10.851987582249755
0.75,-11.890886615913875
0.76,-9.721323145490164
0.77,-9.907576628517532
0.78,-8.952708475957555
0.79,-10.705293960247657
0.8,-10.948684419321523
0.81,-10.576250786991281
0.82,-10.348173411925792
0.83,-10.308998699194358
0.84,-10.334224374078003
0.85,-9.868683902839953
0.86,-10.539603294996846
0.87,-10.042140612287426
0.88,-10.85568685387214
0.89,-10.442919940804867
0.9,-11.803788508805651
0.91,-11.997836390963947
0.92,-11.073934415458705
0.93,-10.509329533166376
0.94,-9.869509596993154
0.95,-10.016908030473337
0.96,-10.435866126885117
0.97,-10.877915630273133
0.98,-11.13198966560079
0.99,-12.153249836982035
1.0,-12.853057899402389
1.01,-13.633311206064779
1.02,-13.050874427934394
1.03,-14.363647882580029
1.04,-14.858164046375489
1.05,-15.463925301062481
1.06,-16.78976770635097
1.07,-17.481499795351844
1.08,-16.94687394053973
1.09,-17.414320150250507
1.1,-16.52104544276871
1.11,-15.76142731016458
1.12,-14.945119466532926
1.13,-16.42742945757917
1.14,-15.633821987450302
1.15,-14.92736295682998
1.16,-14.925884884906381
1.17,-16.017374522403735
1.18,-15.288038002790596
1.19,-14.216670359449255
1.2,-15.533387529506975
1.21,-13.866945326255948
1.22,-14.821579502196025
1.23,-14.770618642353428
1.24,-15.972244233203867
1.25,-15.15197182548276
1.26,-13.625673020341955
1.27,-14.207141132340897
1.28,-14.94215752630369
1.29,-13.965627251573245
1.3,-11.254118218896389
1.31,-13.385969168618049
1.32,-14.061428476110471
1.33,-10.918816727263021
1.34,-13.061599956736709
1.35,-14.423421384766357
1.36,-12.404969203616494
1.37,-14.825961520100151
1.38,-13.238684764055783
1.39,-11.683910570866088
1.4,-12.572418605654716
1.41,-11.086274351449852
1.42,-11.625091712236667
1.43,-11.964141541045032
1.44,-11.613981205922776
1.45,-10.951489788233694
1.46,-10.905781838448084
1.47,-10.015228461747604
1.48,-11.77494881554146
1.49,-11.054037632021545
1.5,-12.440421863603458
1.51,-12.167223797708447
1.52,-10.446448997080156
1.53,-11.002141987981915
1.54,-10.20796369931444
1.55,-10.780164911617467
1.56,-10.070826432211275
1.57,-11.422306859778715
1.58,-11.13198966560079
1.59,-11.7155123402226
1.6,-13.606606890703365
1.61,-12.902091277575163
1.62,-11.150151990286265
1.63,-11.412438772330031
1.64,-12.3773721490797
1.65,-12.147881217219014
1.66,-11.206794079783322
1.67,-11.303649338922588
1.68,-12.985615746518944
1.69,-13.894463442717672
1.7,-13.796582199124355
1.71,-13.066371112933615
1.72,-13.187719632532362
1.73,-13.080700326474425
1.74,-11.462883641276475
1.75,-12.247198959355485
1.76,-10.738084689939583
1.77,-12.008392894011141
1.78,-11.355423900455627
1.79,-10.496006932817268
1.8,-9.680021462006689
1.81,-11.817210985805993
1.82,-13.702358830155122
1.83,-11.965192528963073
1.84,-12.708741931858922
1.85,-11.964141541045032
1.86,-10.324647388592286
1.87,-11.692054865544417
1.88,-13.342752626648668
1.89,-14.419237766010966
1.9,-13.327984887804114
1.91,-14.209862702044525
1.92,-13.981520924147118
1.93,-13.054448132834864
1.94,-12.979707379759551
1.95,-13.226523057171015
1.96,-12.675600545753129
1.97,-13.566071821013159
1.98,-12.812407141599921
1.99,-13.23625106002247
2.0,-13.96827417819378
2.01,-12.395024160008246
2.02,-12.557777880594177
2.03,-12.982070244202323
2.04,-14.809904917591584
2.05,-14.689698107028018
2.06,-14.463967261129074
2.07,-15.741923058769789
2.08,-14.744526163872427
2.09,-13.955047603933878
2.1,-13.331674469298772
2.11,-13.255739812302973
2.12,-11.44504609781583
2.13,-11.442076732062542
2.14,-11.890886615913875
2.15,-11.460899882072225
2.16,-13.496841119008554
2.17,-12.465993141167075
2.18,-11.739033336720542
2.19,-14.61380080591426
2.2,-13.65498927998301
2.21,-12.543161792064051
2.22,-11.726753566101145
2.23,-13.578718721380929
2.24,-14.209862702044525
2.25,-13.562281338894062
2.26,-13.752570145538314
2.27,-16.02743539955724
2.28,-15.756547139811609
2.29,-15.932324333117114
2.3,-15.241934446364438
2.31,-14.53290883830139
2.32,-15.000098337391357
2.33,-15.816928391260024
2.34,-17.59329398852132
2.35,-16.881838630324527
2.36,-15.373202056142112
2.37,-14.616652846536851
2.38,-13.28627879896288
2.39,-15.22968138189115
2.4,-19.532498920436282
2.41,-17.233174951438116
2.42,-17.30673541032293
2.43,-16.926381751727707
2.44,-17.45377463388795
2.45,-17.30673541032293
2.46,-14.955494218635156
2.47,-16.88739404441737
2.48,-15.561964783120068
2.49,-14.756113145264658
2.5,-10.439392317794427
2.51,-10.33945263846423
2.52,-12.40275820967861
2.53,-11.076780537368744
2.54,-11.935812830757893
2.55,-12.463766560883654
2.56,-14.129932716076134
2.57,-14.94215752630369
2.58,-14.30841151431167
2.59,-14.633784784315875
2.6,-15.059929051923419
2.61,-14.820119320695056
2.62,-14.342893058754827
2.63,-14.837657720673183
2.64,-15.167154296815706
2.65,-13.985498890618324
2.66,-12.870538061546888
2.67,-13.982846710555561
2.68,-14.943638370163395
2.69,-11.5496186401653
2.7,-13.724210136366576
2.71,-13.868253737742652
2.72,-15.076455007962704
2.73,-14.271324556689564
2.74,-15.489120067496636
2.75,-16.19172445351597
2.76,-15.409065218423157
2.77,-15.790766053293394
2.78,-14.779333582520726
2.79,-13.029463021106622
2.8,-12.23743282593327
2.81,-11.664598421651975
2.82,-13.46930260739208
2.83,-14.593862699941496
2.84,-14.747421460445258
2.85,-12.752360869336481
2.86,-14.21122380674653
2.87,-11.852414305861378
2.88,-13.13705179930051
2.89,-13.51943775171039
2.9,-12.029544468174935
2.91,-11.8493023850167
2.92,-11.747229505894941
2.93,-12.53081351392373
2.94,-12.202797456872647
2.95,-12.52296464906815
2.96,-14.69113652545278
2.97,-14.482204619891569
2.98,-12.846075672629244
2.99,-12.861210930837942
3.0,-12.319154776431722
3.01,-12.799670381866646
3.02,-11.990454465252043
3.03,-11.984132089887563
3.04,-11.937908088188887
3.05,-11.523606972419733
3.06,-11.882553827517919
3.07,-10.740822846733574
3.08,-11.252181565680326
3.09,-13.179254441821744
3.1,-12.919670497577027
3.11,-12.79619995911099
3.12,-14.660979649263762
3.13,-16.693226469060708
3.14,-16.020726853451933
3.15,-15.884331298848807
3.16,-17.044406008537003
3.17,-16.915224538070195
3.18,-15.677223395459583
3.19,-14.182685303032086
3.2,-15.876083373399432
3.21,-14.578229089238308
3.22,-15.215917314085715
3.23,-18.194280821659426
3.24,-16.85780614392884
3.25,-15.39657427305559
3.26,-15.212861592105892
3.27,-14.86256456473596
3.28,-15.771195884357924
3.29,-14.86256456473596
3.3,-14.933277761034073
3.31,-15.123198038708278
3.32,-13.609146624533759
3.33,-15.043434478814785
3.34,-15.802202380999615
3.35,-15.629012968426618
3.36,-16.37313699755947
3.37,-16.93010401003968
3.38,-17.649735335849133
3.39,-17.371126215839453
3.4,-15.589041017358483
3.41,-16.171230799562
3.42,-14.995627604014075
3.43,-14.347040057944637
3.44,-14.632355831505537
3.45,-15.33593683070901
3.46,-13.847342768538283
3.47,-9.982541618918555
3.48,-17.792464433480134
3.49,-18.588511051454844
3.5,-17.244748423687483
3.51,-16.581636629733634
3.52,-14.719955031113122
3.53,-15.787501294886956
3.54,-15.059929051923419
3.55,-15.576288745457932
3.56,-15.527049776844857
3.57,-15.155006197439583
3.58,-14.223483356612478
3.59,-15.162596768260912
3.6,-15.754921025487276
3.61,-13.628218336005025
3.62,-15.479663463799259
3.63,-15.463925301062481
3.64,-16.610297046376562
3.65,-16.338288847954335
3.66,-16.014023484693162
3.67,-16.301848142741157
3.68,-15.724082554688223
3.69,-14.569713510479698
3.7,-12.295103210146399
3.71,-14.352572471913884
3.72,-14.71851183269856
3.73,-12.326821535326369
3.74,-12.562280091211015
3.75,-12.75926813780233
3.76,-13.034216552290015
3.77,-15.487543251727928
3.78,-10.981470237415898
3.79,-13.927337184320304
3.8,-13.460558632041362
3.81,-11.67272462001157
3.82,-12.840261434753618
3.83,-14.669585220943318
3.84,-15.4294013943575
3.85,-14.323566532196905
3.86,-15.87938160379337
3.87,-16.142280645549086
3.88,-16.554853106697976
3.89,-15.342136609443369
3.9,-16.171230799562
3.91,-15.838243468553221
3.92,-15.026971169669782
3.93,-15.538143880618653
3.94,-14.440176039641086
3.95,-13.278939643783465
3.96,-11.358363785282496
3.97,-13.984172699358696
3.98,-13.468052929001598
3.99,-13.128635821416472
4.0,-13.940521597352781
4.01,-13.774548295814515
4.02,-13.66137549425354
4.03,-11.653437297983347
4.04,-14.57255110921061
4.05,-14.487823827357849
4.06,-13.97092191168115
4.07,-13.460558632041362
4.08,-11.674757358059244
4.09,-11.488713825082964
4.1,-13.67672159301238
4.11,-14.681072595258541
4.12,-13.698508417249187
4.13,-11.732891281328673
4.14,-12.159696563877233
4.15,-11.7083664001749
4.16,-11.154937868217731
4.17,-10.92161246452381
4.18,-11.076780537368744
4.19,-11.820311428329743
4.2,-12.169375634617275
4.21,-16.33481171034262
4.22,-17.160232245135106
4.23,-17.943851802386327
4.24,-19.572781379363526
4.25,-18.302612104161135
4.26,-17.611395883863835
4.27,-17.10497467158072
4.28,-17.086001554298626
4.29,-18.92152050689344
4.3,-22.543421430001573
4.31,-21.396914633722407
4.32,-22.525677011903706
4.33,-21.337963915162796
4.34,-20.743442060802266
4.35,-21.81789916706009
4.36,-19.915063355997297
4.37,-19.962441053306886
4.38,-17.619453295979724
4.39,-16.742273764550756
4.4,-16.52104544276871
4.41,-11.643303252220461
4.42,-15.311181873765918
4.43,-19.810695748397016
4.44,-20.00212083742674
4.45,-19.71013066602097
4.46,-20.07935292667433
4.47,-19.537524023057244
4.48,-20.804294247111788
4.49,-18.7453865066388
4.5,-18.64956011709824
4.51,-19.631016683262462
4.52,-19.95452680251965
4.53,-18.75456820901394
4.54,-19.946619756331295
4.55,-18.982606268698127
4.56,-18.518942773919083
