seconds_elapsed,dBFS
0.0,-33.65882044506963
0.01,-30.690759943657483
0.02,-28.93044646555292
0.03,-27.593628407837908
0.04,-22.350198525753605
0.05,-19.659006977301107
0.06,-24.18478853583913
0.07,-27.19013833975762
0.08,-27.392644409357803
0.09,-25.13146611175173
0.1,-17.509313738362586
0.11,-18.09579543739676
0.12,-18.361677693873805
0.13,-20.743442060802266
0.14,-23.18083215841473
0.15,-17.55720298242036
0.16,-23.712908255912968
0.17,-18.416728515992396
0.18,-18.996764201153184
0.19,-22.37106971634388
0.2,-22.7592310316717
0.21,-24.07392147807927
0.22,-26.124061724126882
0.23,-27.29386990198818
0.24,-30.043825393524028
0.25,-32.31258865065243
0.26,-33.89183891040035
0.27,-36.08973631928884
0.28,-37.302848236555626
0.29,-39.1108661984721
0.3,-40.17889805109691
0.31,-38.645023219821894
0.32,-38.267798872635105
0.33,-40.79557493270576
0.34,-42.31552426957359
0.35,-44.20197131026188
0.36,-43.7414066304196
0.37,-42.77745955806411
0.38,-40.37040573773005
0.39,-35.07044193078378
0.4,-27.549264044723728
0.41,-22.504431449811758
0.42,-20.0900597257349
0.43,-22.357150018432023
0.44,-20.141098036533297
0.45,-19.920314800920302
0.46,-18.89347132329939
0.47,-18.80986318390422
0.48,-19.292206597878657
0.49,-19.202272139289022
0.5,-18.2331246164551
0.51,-19.48490488552919
0.52,-18.33975468971135
0.53,-20.569060930557907
0.54,-21.23651722736534
0.55,-20.512640533165346
0.56,-20.122259538841476
0.57,-22.90243854360415
0.58,-23.496151147980253
0.59,-22.950703923319303
0.6,-27.996788465708363
0.61,-29.410367776211153
0.62,-27.50512512762173
0.63,-28.553370343003508
0.64,-29.004876138108116
0.65,-30.396294807243358
0.66,-33.01877707802652
0.67,-29.87694437862951
0.68,-32.624423306542276
0.69,-34.419237766010966
0.7,-32.796199959110986
0.71,-36.20883951252764
0.72,-34.32218771012272
0.73,-36.94128036539435
0.74,-37.51926891382263
0.75,-36.15759517723562
0.76,-31.730844894315304
0.77,-29.441753138771766
0.78,-36.32959861247398
0.79,-30.754526593417395
0.8,-27.657401745999618
0.81,-25.39874534291136
0.82,-23.575802230105957
0.83,-23.389767862931528
0.84,-24.35816534283116
0.85,-19.91243882367998
0.86,-19.289763653230835
0.87,-21.013248306275617
0.88,-18.322256039344577
0.89,-19.77704451712531
0.9,-18.68138492499462
0.91,-17.380924174732968
0.92,-22.954427777454825
0.93,-18.992042325724004
0.94,-19.125234919098844
0.95,-19.01094524861026
0.96,-20.082028389390096
0.97,-18.91449971467118
0.98,-19.096521208195757
0.99,-20.974611265562384
1.0,-21.592111379505532
1.01,-21.06103874121523
1.02,-23.680452768779496
1.03,-24.21057546117652
1.04,-25.563151947845185
1.05,-25.07898323522875
1.06,-26.31938040194724
1.07,-25.828702471737074
1.08,-25.017364114432805
1.09,-25.74612654723952
1.1,-23.52792398501157
1.11,-19.044124676386396
1.12,-22.38501175727963
1.13,-22.954427777454825
1.14,-18.672280218041397
1.15,-19.58793559601026
1.16,-18.337565429551535
1.17,-23.362398392855347
1.18,-18.00894640870259
1.19,-20.786864362390528
1.2,-20.66868717018012
1.21,-18.853889396109963
1.22,-19.901948617527996
1.23,-19.722958743434745
1.24,-19.472423363568108
1.25,-19.70244290363263
1.26,-18.977892081533255
1.27,-18.557024104769457
1.28,-18.372659980882545
1.29,-16.707730149555385
1.3,-18.076656488107638
1.31,-23.273072561253887
1.32,-20.755000132551743
1.33,-24.24507755078458
1.34,-22.16798240310935
1.35,-24.9749593615126
1.36,-26.655000632473506
1.37,-26.346858721726324
1.38,-32.624423306542276
1.39,-30.36127101124809
1.4,-30.413859807441792
1.41,-31.137721034755007
