seconds_elapsed,dBFS
0.0,-23.615903361529533
0.01,-29.019838914655985
0.02,-30.12848385745615
0.03,-32.865873244228496
0.04,-36.225988362398375
0.05,-41.876920161797734
0.06,-45.44823772546847
0.07,-47.574587356066225
0.08,-49.247429829525956
0.09,-53.40703789890922
0.1,-50.573564013869465
0.11,-52.807773431360346
0.12,-50.22257122354151
0.13,-47.70232332929424
0.14,-46.729459753330964
0.15,-44.28839878591474
0.16,-45.34953337195822
0.17,-46.06524661111521
0.18,-40.97164629211217
0.19,-43.539868827102254
0.2,-40.73766878731749
0.21,-37.9062775997192
0.22,-38.898139901556405
0.23,-37.844012891236346
0.24,-36.612091466306104
0.25,-38.117110514689955
0.26,-37.88547306369365
0.27,-36.904081637711876
0.28,-40.20599913279624
0.29,-39.78221315139747
0.3,-41.58574575837924
0.31,-45.15542720181067
0.32,-46.96265200423083
0.33,-44.15907794093009
0.34,-48.87135855307185
0.35,-47.96357278607907
0.36,-48.44056499594966
0.37,-48.72537377824186
0.38,-52.35645687338553
0.39,-49.72132314549016
0.4,-49.80288139389895
0.41,-51.41934525619099
0.42,-49.80288139389895
0.43,-49.96833191321875
0.44,-51.518613646821976
0.45,-52.24719895935549
0.46,-51.41934525619099
0.47,-54.32218771012272
0.48,-55.66112350273499
0.49,-55.19150158574453
0.5,-52.807773431360346
0.51,-55.823481307178575
0.52,-42.96188027867397
0.53,-30.995559274792225
0.54,-20.597409159500785
0.55,-12.053932625767896
0.56,-14.437381351831242
0.57,-17.256337337532155
0.58,-12.032721651520024
0.59,-12.651680304761774
0.6,-9.511995144201066
0.61,-10.608557057003654
0.62,-13.791392720470768
0.63,-11.44999729765238
0.64,-11.941051922320353
0.65,-9.447257255867775
0.66,-8.294696967732726
0.67,-6.873299888111932
0.68,-6.779649007211679
0.69,-6.934925094212822
0.7,-7.5524254240627435
0.71,-7.278537347895474
0.72,-6.9549739997669935
0.73,-6.7628870123571545
0.74,-6.73003499685832
0.75,-6.711646073786225
0.76,-6.715665325384398
0.77,-6.710498057707622
0.78,-6.76404197408189
0.79,-6.481096356952251
0.8,-6.98691180236203
0.81,-7.197420069655719
0.82,-7.243069712088253
0.83,-7.377756436043224
0.84,-7.235749627684445
0.85,-6.961470330922699
0.86,-7.212001868779472
0.87,-7.567616082406189
0.88,-7.474360803851537
0.89,-7.294483767470469
0.9,-7.492555097008147
0.91,-7.843075246288075
0.92,-6.845273330948878
0.93,-6.97921233267544
0.94,-6.183277810945709
0.95,-7.271799588944115
0.96,-7.079841759759341
0.97,-6.42981913881062
0.98,-7.236969213426137
0.99,-7.077446478216945
1.0,-7.046964398314849
1.01,-7.719712503546814
1.02,-7.498209359747516
1.03,-8.139051272229175
1.04,-7.712623822215672
1.05,-7.935108541237601
1.06,-8.451078480757241
1.07,-8.249354088829099
1.08,-8.098551247167897
1.09,-7.796120852046525
1.1,-8.050868894128074
1.11,-7.816306218811574
1.12,-7.736490601675348
1.13,-7.629921808835213
1.14,-7.921241226747639
1.15,-7.897520075077361
1.16,-7.354854023586168
1.17,-7.287120243493127
1.18,-7.813699017940111
1.19,-7.456204542546024
1.2,-7.304311520036436
1.21,-7.853544116422375
1.22,-8.256209025368356
1.23,-8.129584361604747
1.24,-7.977507903656026
1.25,-8.221988314339653
1.26,-8.678452174298265
1.27,-7.353617773991416
1.28,-7.63758188691357
1.29,-7.60889136031661
1.3,-7.5663491790144946
1.31,-8.268561560711305
1.32,-8.624624964409582
1.33,-8.654727095767718
1.34,-8.256894816663022
1.35,-7.765606427196438
1.36,-7.514564602890273
1.37,-8.349284099498687
1.38,-8.375663899686716
1.39,-8.123503934588456
1.4,-7.9364303932623805
1.41,-8.349977279311357
1.42,-7.735198827485271
1.43,-8.097877844086732
1.44,-7.648445241196809
1.45,-7.879114974361054
1.46,-7.965562148909023
1.47,-7.840459999105934
1.48,-7.967551967474802
1.49,-8.264442096731758
1.5,-7.400097976438245
1.51,-7.414401882701362
1.52,-8.411892897520751
1.53,-8.02278516182587
1.54,-7.954957475008058
1.55,-8.155304306077522
1.56,-7.4312235370088615
1.57,-7.769495921837772
1.58,-8.192665950520643
1.59,-7.4231201552237405
1.6,-7.725516639839009
1.61,-8.146496804422368
1.62,-7.8378455391153725
1.63,-8.231556531133245
1.64,-7.109838645623981
1.65,-7.4825121536860095
1.66,-7.915964258396954
1.67,-8.008110794026095
1.68,-7.144765314912341
1.69,-7.572685544657377
1.7,-7.416891924899469
1.71,-7.462461036109097
1.72,-8.11203028407225
1.73,-7.956282351404473
1.74,-7.95893271060974
1.75,-7.849616811319418
1.76,-7.618444343247598
1.77,-7.370322007939083
1.78,-8.10259276238842
1.79,-7.568249603404105
1.8,-7.926521402982017
1.81,-7.853544116422375
1.82,-8.230872737419997
1.83,-8.047520827310201
1.84,-8.344433389135556
1.85,-8.63035066642184
1.86,-8.211748336372809
1.87,-8.062932631675755
1.88,-8.040828562830848
1.89,-9.526270714752453
1.9,-8.305035262511721
1.91,-8.507366338417931
1.92,-8.806092158117316
1.93,-8.79295162665784
1.94,-8.490441647562205
1.95,-8.307794220571308
1.96,-9.26127679140686
1.97,-9.125306346566935
1.98,-9.986725372016188
1.99,-9.7180766907194
2.0,-9.333949545204565
2.01,-9.360385896083512
2.02,-8.982480191953602
2.03,-9.114701788265913
