seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-90.30899869919435
0.37,-90.30899869919435
0.38,-48.301587796843094
0.39,-35.055427424645636
0.4,-31.639252942220246
0.41,-29.713209282557244
0.42,-29.262816706247886
0.43,-26.897897528770187
0.44,-26.36890413873344
0.45,-24.455018638315764
0.46,-22.865492976893073
0.47,-25.47309007329038
0.48,-21.896683286679057
0.49,-23.82746710440463
0.5,-18.370462412334945
0.51,-17.66998217401002
0.52,-19.442540686256113
0.53,-18.608813101145138
0.54,-17.5912849935689
0.55,-18.388058548285574
0.56,-24.336303036705647
0.57,-21.643204995293843
0.58,-23.04428260952048
0.59,-22.72288834418272
0.6,-18.147039772688764
0.61,-17.108774273407743
0.62,-19.110866198472106
0.63,-18.02371295202025
0.64,-18.179221690341397
0.65,-17.070852843873944
0.66,-16.662486325838216
0.67,-15.463925301062481
0.68,-15.818566156823104
0.69,-17.365252741274567
0.7,-14.610949701461262
0.71,-14.922929495412722
0.72,-16.90037051198225
0.73,-16.38536695582388
0.74,-15.643448020542722
0.75,-15.675612062621632
0.76,-14.909642672605507
0.77,-15.337486360574516
0.78,-16.98987811011522
0.79,-19.407807005314297
0.8,-19.420195952840512
0.81,-19.459959751674827
0.82,-16.457347453696176
0.83,-19.49240241697276
0.84,-16.926381751727707
0.85,-16.423916458688787
0.86,-15.62741055358247
0.87,-16.281093318915953
0.88,-14.988181491566577
0.89,-15.10960154810821
0.9,-14.283669289401955
0.91,-14.67963584235839
0.92,-12.824002243626296
0.93,-14.403915047576701
0.94,-12.864707431242646
0.95,-11.514621052112265
0.96,-11.64229049764133
0.97,-13.12383034984822
0.98,-13.9947879034151
0.99,-14.599554633066594
1.0,-14.78224050679085
1.01,-16.822800920364813
1.02,-15.418445229743025
1.03,-17.806867191125004
1.04,-19.314224073896376
1.05,-16.111732350386372
1.06,-13.712634950416806
1.07,-15.434101127345132
1.08,-17.351563393069707
1.09,-16.622865777761724
1.1,-16.099881412485864
1.11,-16.253497141173476
1.12,-15.322003487244825
1.13,-15.52863378152474
1.14,-16.617476951425253
1.15,-16.25177528773577
1.16,-18.040619798502895
1.17,-17.93966885521275
1.18,-15.643448020542722
1.19,-15.263418989991983
1.2,-15.059929051923419
1.21,-12.39833790951295
1.22,-10.54674189382732
1.23,-11.013438258746838
1.24,-11.887760883388786
1.25,-11.817210985805993
1.26,-12.246113291003587
1.27,-13.028275044678857
1.28,-10.91415916393727
1.29,-9.664684633234726
1.3,-10.673532326639412
1.31,-12.210362151281304
1.32,-13.376072127652009
1.33,-14.636643395379384
1.34,-15.159559743880997
1.35,-13.683123811654166
1.36,-12.57805623137224
1.37,-13.774548295814515
1.38,-13.62440064216081
1.39,-13.908912563028
1.4,-13.19256059107376
1.41,-13.637132819225233
1.42,-15.12924776184197
1.43,-15.456066900419634
1.44,-15.460781087584506
1.45,-15.132274204255191
1.46,-16.378376299802216
1.47,-19.28732139547875
1.48,-18.708756448605868
1.49,-19.707567322446792
1.5,-16.714991081755073
1.51,-15.950598182454485
1.52,-9.096552612995236
1.53,-6.620280933026948
1.54,-8.927482503866399
1.55,-9.944978249268532
1.56,-9.618835963610966
1.57,-10.05478444435862
1.58,-11.507638424407308
1.59,-14.334604995494232
1.6,-14.834732193653926
1.61,-18.074532539047517
1.62,-17.33789558594094
1.63,-16.26728427047786
1.64,-14.371963718196616
1.65,-15.053927400526879
1.66,-13.964304090684394
1.67,-13.439359838395204
1.68,-13.91022731208645
1.69,-13.67800165927924
1.7,-13.601529649794182
1.71,-13.920752475007856
1.72,-12.585955059778424
1.73,-12.562280091211015
1.74,-12.161846536570902
1.75,-11.691036410992266
1.76,-13.113027749583043
1.77,-14.209862702044525
1.78,-12.75926813780233
1.79,-12.49052326941408
1.8,-11.526604346224618
1.81,-9.258197780513907
1.82,-11.127216411846515
1.83,-13.956369355384052
1.84,-13.573657751310249
1.85,-13.30710681146034
1.86,-14.02671157661185
1.87,-13.33659635051168
1.88,-16.538822546063933
1.89,-15.246533805560105
1.9,-15.614601866080761
1.91,-16.517494383995594
1.92,-16.184887861554948
1.93,-17.698407270657878
1.94,-18.10857820591145
1.95,-17.137324391053102
1.96,-15.272642944456774
1.97,-11.668660570510331
1.98,-6.753076033350057
1.99,-8.914157178361462
2.0,-11.279334084148493
2.01,-10.043825393524026
2.02,-12.560028694195285
2.03,-14.71851183269856
2.04,-15.838243468553221
2.05,-15.737053831525724
2.06,-16.34524730187191
2.07,-13.540833129310624
2.08,-9.975015937894929
2.09,-10.245822020177117
2.1,-13.313242214440649
2.11,-15.691738858264479
2.12,-15.297288152374183
2.13,-15.988931826498373
2.14,-16.87998761494446
2.15,-15.624206610485256
2.16,-15.905812631075218
2.17,-16.331335964142554
2.18,-15.298830802167434
2.19,-16.258664750431343
2.2,-15.637029479967573
2.21,-11.834794811263102
2.22,-10.008513432701854
2.23,-8.189943314454759
2.24,-9.687295738404737
2.25,-11.562653743944473
2.26,-11.045524371689325
2.27,-12.604036543566634
2.28,-14.897849202174456
2.29,-15.92568881741009
2.3,-15.343687245819543
2.31,-17.674037211262966
2.32,-15.597020705230758
2.33,-16.186596505140287
2.34,-12.590471903165737
2.35,-10.15574976844884
2.36,-12.342175384644172
2.37,-11.226078922603397
2.38,-10.95710324575656
2.39,-14.442971626932055
2.4,-14.767715604345767
2.41,-18.76375962747806
2.42,-18.040619798502895
2.43,-21.0072929480457
2.44,-20.25772531704709
2.45,-22.806705005349855
2.46,-18.040619798502895
