seconds_elapsed,dBFS
0.0,-19.527476723338822
0.01,-18.891137974826513
0.02,-18.724763094564373
0.03,-20.04997709974454
0.04,-19.64372836362006
0.05,-22.322448056020782
0.06,-22.02290493662772
0.07,-21.566676838232787
0.08,-20.685881282633652
0.09,-23.676404346595707
0.1,-23.025486043781967
0.11,-22.332844095129065
0.12,-22.973071033459757
0.13,-23.273072561253887
0.14,-22.25002211230626
0.15,-20.45937849661682
0.16,-19.930827225366073
0.17,-22.219166344020636
0.18,-23.319562714906642
0.19,-24.14197972745984
0.2,-24.04853649272959
0.21,-21.32869237223863
0.22,-25.633851439884143
0.23,-24.402055732521998
0.24,-23.188481555331904
0.25,-28.841964651456337
0.26,-30.094521391358896
0.27,-28.370798439033223
0.28,-25.098031246454767
0.29,-23.4526524064797
0.3,-24.176209878709123
0.31,-24.97966079038953
0.32,-22.346724864584306
0.33,-21.1121058514302
0.34,-21.206008275597796
0.35,-22.65425338396775
0.36,-22.71926242484888
0.37,-22.25345730698741
0.38,-20.373172385193513
0.39,-22.40946430810307
0.4,-22.357150018432023
0.41,-20.631549614740884
0.42,-18.884141687989878
0.43,-18.749976144599255
0.44,-20.50701859792826
0.45,-25.86507777315996
0.46,-24.262380125506372
0.47,-22.869180469896055
0.48,-21.453134180398973
0.49,-18.733923010665663
0.5,-18.501079755514102
0.51,-17.85021931496456
0.52,-20.127637798851126
0.53,-23.38193921018158
0.54,-23.985396721325305
0.55,-22.965608928500743
0.56,-22.99923900137636
0.57,-22.455059634001042
0.58,-21.512874471327752
0.59,-24.340671097968464
0.6,-24.738499404454007
0.61,-24.807380730057183
0.62,-24.271044355290194
0.63,-26.25378495133036
0.64,-28.58180208569939
0.65,-26.281056212785327
0.66,-26.956745244643756
0.67,-26.281056212785327
0.68,-25.169835647975717
0.69,-23.910229899588185
0.7,-27.00411217668814
0.71,-23.972823658133912
0.72,-23.839831362205004
0.73,-22.683086239117838
0.74,-22.479710462412292
0.75,-22.950703923319303
0.76,-20.1303281781937
0.77,-22.995495890076004
0.78,-23.146492993661383
0.79,-23.025486043781967
0.8,-20.950919768738352
0.81,-21.560329823234934
0.82,-19.9703625218341
0.83,-21.12416540163272
0.84,-18.796006404089972
0.85,-20.222300463145075
0.86,-20.170784188163996
0.87,-19.457469173983764
0.88,-17.34960953193492
0.89,-19.72039161185464
0.9,-17.603345939230117
0.91,-18.881810844117563
0.92,-19.301985253162048
0.93,-21.923104264125147
0.94,-22.64706010021247
0.95,-20.968682330425644
0.96,-22.9805395546749
0.97,-25.583293150233786
0.98,-24.624897345158473
0.99,-25.807984776433383
1.0,-24.06968549182703
1.01,-24.706540773148205
1.02,-23.472397560784152
1.03,-24.099380869940852
1.04,-26.55294592482597
1.05,-27.00411217668814
1.06,-25.136253044712827
1.07,-26.868622510703226
1.08,-26.833622236461355
1.09,-29.473252319759318
1.1,-27.619081582500886
1.11,-27.799373385182477
1.12,-25.06472458966602
1.13,-26.851104744150835
1.14,-25.839079879946464
1.15,-24.839713246767428
1.16,-26.08658787403337
1.17,-26.42981913881062
1.18,-28.51796104146527
1.19,-27.62545654765903
1.2,-28.384706992266256
1.21,-25.007922929114063
1.22,-25.65415744477962
1.23,-26.0121217382404
1.24,-26.637908026817122
1.25,-23.219146687405626
1.26,-24.86288181115263
1.27,-27.015994380508417
1.28,-26.90376439129521
1.29,-27.74747844582005
1.3,-25.89115371480397
1.31,-25.14104261728418
1.32,-24.04853649272959
1.33,-23.346797329589602
1.34,-20.874365669593335
1.35,-18.94966056273127
1.36,-18.388058548285574
1.37,-20.743442060802266
1.38,-22.05978775059513
