seconds_elapsed,dBFS
0.0,-13.770665755495948
0.01,-13.783614311319832
0.02,-14.238490787663709
0.03,-15.222031984973977
0.04,-16.088046621853678
0.05,-17.525247500479278
0.06,-21.03412427425317
0.07,-24.13344322589993
0.08,-26.712220138730626
0.09,-28.482695505249897
0.1,-31.253149838312517
0.11,-35.98893182649837
0.12,-40.20599913279624
0.13,-43.57980402222377
0.14,-46.33585696010591
0.15,-47.141748857289365
0.16,-48.945281464271126
0.17,-50.754526593417395
0.18,-51.03324215228325
0.19,-50.84644162720038
0.2,-49.247429829525956
0.21,-51.128170852772485
0.22,-53.787502645177824
0.23,-52.13929832162136
0.24,-53.918119988356985
0.25,-55.19150158574453
0.26,-56.68417395168261
0.27,-58.713326766858145
0.28,-57.63962958760263
0.29,-59.18294868384861
0.3,-57.844012891236346
0.31,-58.053321564799646
0.32,-58.48770655866437
0.33,-58.26779887263511
0.34,-59.42763781218885
0.35,-58.94496421785445
0.36,-59.42763781218885
0.37,-58.94496421785445
0.38,-58.26779887263511
0.39,-59.67942035834925
0.4,-59.18294868384861
0.41,-56.86704154048
0.42,-53.28383172481285
0.43,-55.98893182649837
0.44,-58.053321564799646
0.45,-56.86704154048
0.46,-57.24474842368748
0.47,-57.844012891236346
0.48,-56.32959861247397
0.49,-55.66112350273499
0.5,-56.32959861247397
0.51,-56.86704154048
0.52,-56.86704154048
0.53,-40.85386971285011
0.54,-30.948684419321516
0.55,-24.711099098961597
0.56,-21.103072164044853
0.57,-16.931965737543983
0.58,-13.686967409167167
0.59,-11.947343006350613
0.6,-11.119584657692217
0.61,-12.520723418340179
0.62,-14.26173521300341
0.63,-13.377308641233434
0.64,-19.39790855451306
0.65,-23.085778795293837
0.66,-23.38193921018158
0.67,-21.53815172347214
0.68,-22.586156520577987
0.69,-21.896683286679057
0.7,-21.899981517072995
0.71,-21.09404786231042
0.72,-14.378899668128433
0.73,-11.58174030723947
0.74,-11.62711333208475
0.75,-13.582516385059321
0.76,-14.552707357933896
0.77,-15.138330254448626
0.78,-17.285377450300597
0.79,-16.976767330813757
0.8,-16.37313699755947
0.81,-17.833678696515737
0.82,-19.14202852396196
0.83,-19.810695748397016
0.84,-20.757892055214736
0.85,-25.45817013322667
0.86,-29.340162628186267
