seconds_elapsed,dBFS
0.0,-33.09026628519248
0.01,-34.433191005377985
0.02,-39.03937699130614
0.03,-39.96508074019487
0.04,-40.85386971285011
0.05,-41.84408122045819
0.06,-44.64297412512336
0.07,-47.02194158350561
0.08,-48.03013165305762
0.09,-47.08163865449485
0.1,-47.32461644608676
0.11,-46.61517008284237
0.12,-47.3864379856296
0.13,-51.518613646821976
0.14,-51.128170852772485
0.15,-49.64052358945536
0.16,-40.97164629211217
0.17,-44.37569489396373
0.18,-45.300598653016465
0.19,-43.0744419788425
0.2,-46.84527333094888
0.21,-49.64052358945536
0.22,-44.15907794093009
0.23,-39.25563437695049
0.24,-48.03013165305762
0.25,-49.095041892122126
0.26,-47.02194158350561
0.27,-41.091041844063405
0.28,-32.32353495284228
0.29,-31.508635599041092
0.3,-40.85386971285011
0.31,-46.22659904607586
0.32,-52.35645687338553
0.33,-52.24719895935549
0.34,-55.66112350273499
0.35,-52.467106645384746
0.36,-55.50174490930948
0.37,-54.745973691521485
0.38,-53.53201688444925
0.39,-51.82341297795672
0.4,-54.05073156633725
0.41,-47.32461644608676
0.42,-52.69272685357852
0.43,-51.7206201849085
0.44,-53.65882044506962
0.45,-53.918119988356985
0.46,-51.7206201849085
0.47,-55.0404388279356
0.48,-55.0404388279356
0.49,-55.34523815907035
0.5,-54.60240199897902
0.51,-55.823481307178575
0.52,-55.66112350273499
0.53,-55.19150158574453
0.54,-49.01983891465598
0.55,-48.03013165305762
0.56,-47.89752007507736
0.57,-46.50236473578853
0.58,-42.455059634001046
0.59,-41.15136076451451
0.6,-43.381939210181585
0.61,-45.05997690458577
0.62,-46.118698408341736
0.63,-47.83196587985263
0.64,-51.518613646821976
0.65,-52.03272165152002
0.66,-53.787502645177824
0.67,-55.34523815907035
0.68,-54.18539921951661
0.69,-53.40703789890922
0.7,-53.65882044506962
0.71,-53.04254149678523
0.72,-54.60240199897902
0.73,-53.918119988356985
0.74,-55.98893182649837
0.75,-54.745973691521485
0.76,-54.745973691521485
0.77,-52.92436430457484
0.78,-54.46116490922928
0.79,-51.03324215228325
0.8,-46.67212694029891
0.81,-45.251938079596485
0.82,-41.71395309914619
0.83,-41.9098837293992
0.84,-40.76657360480111
0.85,-43.1122890523966
0.86,-40.01804364598864
0.87,-39.70500473513271
0.88,-38.03216226167297
0.89,-39.13482728853104
0.9,-36.0391878373155
0.91,-33.09026628519248
0.92,-30.0606912039457
0.93,-22.096827847827
0.94,-22.079971856435606
0.95,-31.24347196584827
0.96,-36.277638998075815
0.97,-36.05600466665013
0.98,-32.467106645384746
0.99,-34.60240199897902
1.0,-35.75817355862323
1.01,-37.927132086659505
1.02,-35.597020705230754
1.03,-39.1108661984721
1.04,-41.5539874427866
1.05,-40.20599913279624
1.06,-40.651527027019284
1.07,-43.0744419788425
1.08,-42.850758639792225
1.09,-45.64907649135128
1.1,-44.91873981483603
1.11,-44.96556413113407
1.12,-42.850758639792225
1.13,-45.34953337195822
1.14,-46.22659904607586
