seconds_elapsed,dBFS
0.0,-48.164799306236986
0.01,-50.84644162720038
0.02,-52.807773431360346
0.03,-52.35645687338553
0.04,-54.05073156633725
0.05,-54.891958466351475
0.06,-56.505077098624085
0.07,-57.43994516947061
0.08,-57.844012891236346
0.09,-57.63962958760263
0.1,-56.505077098624085
0.11,-58.053321564799646
0.12,-58.94496421785445
0.13,-60.20599913279624
0.14,-59.9387199016366
0.15,-59.42763781218885
0.16,-58.48770655866437
0.17,-58.053321564799646
0.18,-56.32959861247397
0.19,-60.20599913279624
0.2,-61.06103874121523
0.21,-61.36583807234997
0.22,-59.9387199016366
0.23,-58.48770655866437
0.24,-55.34523815907035
0.25,-57.053842065562876
0.26,-58.053321564799646
0.27,-58.94496421785445
0.28,-58.053321564799646
0.29,-57.844012891236346
0.3,-58.26779887263511
0.31,-61.68172341601461
0.32,-61.36583807234997
0.33,-63.074441978842486
0.34,-60.48176482250891
0.35,-60.48176482250891
0.36,-58.26779887263511
0.37,-57.844012891236346
0.38,-59.18294868384861
0.39,-57.43994516947061
0.4,-57.844012891236346
0.41,-56.68417395168261
0.42,-56.15759517723562
0.43,-55.50174490930948
0.44,-51.82341297795672
0.45,-50.30899869919435
0.46,-52.807773431360346
0.47,-53.787502645177824
0.48,-52.13929832162136
0.49,-55.823481307178575
0.5,-54.745973691521485
0.51,-58.713326766858145
0.52,-59.67942035834925
0.53,-60.20599913279624
0.54,-57.053842065562876
0.55,-57.43994516947061
0.56,-48.37079843903322
0.57,-45.05997690458577
0.58,-42.110336232568464
0.59,-37.24474842368748
0.6,-37.9062775997192
0.61,-36.666097171717716
0.62,-36.904081637711876
0.63,-37.68012331893091
0.64,-37.579240772127044
0.65,-38.66773144096018
0.66,-37.98999766606634
0.67,-39.70500473513271
0.68,-36.612091466306104
0.69,-37.034980191401395
0.7,-37.439945169470604
0.71,-35.438803404625766
0.72,-17.844012891236346
0.73,-31.969397752786712
0.74,-32.13929832162136
0.75,-35.54925217252573
0.76,-35.82348130717857
0.77,-39.25563437695049
0.78,-33.852565793132264
0.79,-28.9824801919536
0.8,-24.4284968172879
0.81,-21.778773471902856
0.82,-12.698443135218254
0.83,-11.38290159932486
0.84,-10.971152781851629
0.85,-17.93548792149156
0.86,-27.257117140644958
0.87,-26.145548165851924
0.88,-23.68450307877971
0.89,-27.087630989770865
0.9,-26.479978409896447
0.91,-30.08605148367841
0.92,-29.15567662099777
0.93,-33.99744373270901
0.94,-38.96847137601314
0.95,-44.91873981483603
0.96,-47.08163865449485
0.97,-48.164799306236986
0.98,-51.82341297795672
0.99,-51.03324215228325
1.0,-57.053842065562876
1.01,-56.15759517723562
1.02,-55.34523815907035
1.03,-52.467106645384746
1.04,-54.891958466351475
1.05,-57.43994516947061
1.06,-56.15759517723562
1.07,-57.844012891236346
1.08,-60.48176482250891
1.09,-58.26779887263511
1.1,-56.86704154048
1.11,-57.053842065562876
1.12,-53.28383172481285
1.13,-54.745973691521485
1.14,-50.573564013869465
1.15,-52.57918419574472
1.16,-56.505077098624085
1.17,-58.053321564799646
1.18,-53.28383172481285
1.19,-53.40703789890922
1.2,-57.43994516947061
1.21,-55.66112350273499
1.22,-55.66112350273499
1.23,-55.0404388279356
1.24,-59.42763781218885
1.25,-60.76657360480111
1.26,-59.18294868384861
1.27,-58.26779887263511
1.28,-53.918119988356985
1.29,-56.15759517723562
1.3,-43.82334959324051
1.31,-48.798059471343734
1.32,-52.69272685357852
1.33,-53.28383172481285
1.34,-57.24474842368748
1.35,-55.19150158574453
1.36,-55.98893182649837
1.37,-55.98893182649837
1.38,-57.63962958760263
1.39,-57.844012891236346
1.4,-57.053842065562876
1.41,-50.48447718534446
1.42,-45.75126460692089
1.43,-42.704773864962235
1.44,-46.28105621278533
1.45,-49.40253912346121
1.46,-49.64052358945536
1.47,-45.95931981491623
1.48,-46.96265200423083
1.49,-41.97618855242873
1.5,-43.82334959324051
1.51,-42.455059634001046
1.52,-43.7414066304196
1.53,-44.68833135423981
1.54,-39.834069362963064
1.55,-41.21210149902416
1.56,-42.7410406802316
1.57,-41.74630281861858
1.58,-41.942972872799444
1.59,-37.053842065562876
1.6,-39.52747672333882
1.61,-17.979488421423046
1.62,-24.733926680137778
1.63,-28.461604706611944
1.64,-29.24742982952596
1.65,-30.663574038402984
1.66,-33.35754551635211
1.67,-33.44434313723417
1.68,-34.80407350438963
1.69,-36.75685964478449
1.7,-36.73863111839208
1.71,-38.24611124679071
1.72,-38.5100066726802
1.73,-40.509829110697666
1.74,-40.680146129148255
1.75,-40.88316447801559
1.76,-44.073921478079264
1.77,-43.26534833696711
1.78,-45.20354859712824
1.79,-47.44870269411245
1.8,-42.9246815509915
1.81,-39.70500473513271
1.82,-33.74869741471482
1.83,-30.62745802113774
1.84,-20.83342200625986
1.85,-18.94966056273127
1.86,-14.17048316151972
1.87,-13.079505322050984
1.88,-12.691584048545888
1.89,-11.33682770166563
1.9,-11.418358279354736
1.91,-12.6119590442744
1.92,-12.691584048545888
1.93,-11.818244343684562
1.94,-12.216851422885398
1.95,-12.150028266948912
1.96,-14.454162982499383
1.97,-12.714468766402813
1.98,-13.558492510202331
1.99,-13.781023055442002
2.0,-12.913806803546152
2.01,-14.61380080591426
2.02,-13.595187269345846
2.03,-13.339058337387026
2.04,-14.535734436777208
2.05,-15.029962178527875
2.06,-14.86843539269726
2.07,-15.509644764004172
2.08,-15.487543251727928
2.09,-13.831692512704132
2.1,-14.26173521300341
2.11,-16.863346203415944
2.12,-15.751669709844574
2.13,-15.245000415206036
2.14,-14.101659625561853
2.15,-15.83660198888509
2.16,-14.330463927650328
2.17,-13.113027749583043
2.18,-13.438114460281653
2.19,-12.821681984593381
2.2,-12.211443359926266
2.21,-11.456933722351225
2.22,-12.283102355883013
2.23,-11.246374195525457
2.24,-11.4460361120231
2.25,-10.547634631341653
2.26,-10.703475877637555
2.27,-10.170269671908503
2.28,-10.337709533975525
2.29,-10.848289885455698
2.3,-11.161642530563809
2.31,-11.026635836164658
2.32,-11.8161777508511
2.33,-10.801281719405011
2.34,-10.65814705313549
2.35,-11.257024008598897
2.36,-12.195239344957313
2.37,-13.876108348350014
2.38,-16.0914263454909
2.39,-14.351189038027378
2.4,-16.420404880052697
2.41,-19.029889399278105
2.42,-23.276937250811777
2.43,-25.608535509289887
2.44,-24.4284968172879
2.45,-27.171960677794132
2.46,-28.532107444654272
2.47,-30.035404753370504
2.48,-31.156852957992452
2.49,-33.174420891536705
2.5,-34.60240199897902
2.51,-32.15002826694891
2.52,-33.15029340480577
2.53,-32.7270811091929
2.54,-33.198615585838354
2.55,-30.718031205112453
2.56,-25.198724442803687
2.57,-24.340671097968464
2.58,-28.783473591110003
2.59,-35.22203198497398
2.6,-34.433191005377985
2.61,-37.53921356010161
2.62,-38.59978410902434
2.63,-38.159898234900986
2.64,-38.311337257720595
2.65,-42.56120217241977
2.66,-44.15907794093009
2.67,-44.87216656846438
2.68,-45.01264223900363
2.69,-46.06524661111521
2.7,-44.073921478079264
2.71,-45.251938079596485
2.72,-42.52567701190371
2.73,-43.1122890523966
2.74,-42.41996508267003
2.75,-40.623001912258644
2.76,-40.97164629211217
2.77,-43.94773199993912
2.78,-39.6539111193444
2.79,-38.55477939881613
2.8,-37.400553312212516
2.81,-37.68012331893091
2.82,-37.559204108944144
2.83,-42.246588275678
2.84,-42.2123243667956
2.85,-41.00134167022599
2.86,-44.87216656846438
2.87,-44.11639535067637
2.88,-49.17090167246491
2.89,-46.5585842824651
2.9,-48.164799306236986
2.91,-45.44823772546847
2.92,-35.32974147407113
2.93,-33.60787666479203
2.94,-32.75005966661059
2.95,-19.19743724373526
2.96,-16.61927285541967
2.97,-14.833269799570486
2.98,-12.355357463265959
2.99,-13.765491733220504
3.0,-11.92011448988962
3.01,-11.515619028747825
3.02,-11.310469825836112
3.03,-12.598382035432515
3.04,-11.10529316710214
3.05,-9.867858287171057
3.06,-12.1511019908687
3.07,-14.238490787663709
3.08,-19.87055380152435
3.09,-21.172571738762382
3.1,-20.642959652031013
3.11,-22.458576900555713
3.12,-20.877297615490562
3.13,-18.849244535230255
3.14,-21.79831428922909
3.15,-19.459959751674827
3.16,-20.41755901459039
3.17,-16.04086805584054
3.18,-11.15110895493639
3.19,-10.603164327336593
3.2,-12.192002166347983
3.21,-11.479763912247762
3.22,-12.330109361864167
3.23,-12.289646220811871
3.24,-14.267213541559702
3.25,-13.407037898909222
3.26,-13.069951200765324
3.27,-12.19847773049339
3.28,-12.202797456872647
3.29,-12.029544468174935
3.3,-12.16399704156779
3.31,-11.734938150582417
3.32,-10.728963729699936
3.33,-12.521843961415726
3.34,-13.505621714379238
3.35,-14.215308401055548
3.36,-17.786299126486583
3.37,-15.694967813557453
3.38,-14.917021731445427
3.39,-14.475185718791996
3.4,-14.174548637670732
3.41,-14.219394917074501
3.42,-13.752570145538314
3.43,-12.75696510460892
3.44,-17.493409152297215
3.45,-15.314272387813135
3.46,-15.823481307178577
3.47,-20.189728338831834
3.48,-23.40544636834028
3.49,-18.805241800641138
3.5,-12.493873660829994
3.51,-12.1061194779041
3.52,-11.180827275277705
3.53,-11.055930601330132
3.54,-11.201016966409016
3.55,-10.215694034236815
3.56,-10.535144648198022
3.57,-10.74538836044608
3.58,-11.72982188157776
3.59,-11.837901537843369
3.6,-12.614223943801722
3.61,-12.176911264694752
3.62,-12.911462433859027
3.63,-11.534602403546707
3.64,-12.680164260366492
3.65,-12.6051678870574
3.66,-11.373078153765146
3.67,-12.82052208746432
3.68,-12.484942153988447
3.69,-11.68492819017931
3.7,-11.64127786113327
3.71,-10.427937427440854
3.72,-9.590003108460875
3.73,-9.659847044895773
3.74,-10.882553794338099
3.75,-10.917885014777486
3.76,-9.861256185465594
3.77,-11.256055304015495
3.78,-12.508406975926018
3.79,-11.67272462001157
3.8,-11.338783322441214
3.81,-11.296834203509743
3.82,-10.525343674083407
3.83,-10.640983935583591
3.84,-10.597774943727456
3.85,-11.16260076208754
3.86,-11.675773905504734
3.87,-11.518613646821986
3.88,-12.18014282285371
3.89,-10.58252315817905
3.9,-11.070141036366614
3.91,-10.297714375886846
3.92,-12.02531003072943
3.93,-10.564614101034259
3.94,-11.859679793226093
3.95,-10.99461929430994
3.96,-11.068244967894106
3.97,-10.822449990722019
3.98,-11.466852519407247
3.99,-11.438119156125271
4.0,-11.535602678740773
4.01,-11.290024411206351
4.02,-11.636216448695855
4.03,-12.105051299874336
4.04,-11.881512790824868
4.05,-11.210647624495182
4.06,-11.80069395750943
4.07,-12.661923771420078
4.08,-11.988346495422968
4.09,-11.743130454550313
4.1,-11.8275501009871
4.11,-12.219015591237959
4.12,-11.9515395952174
4.13,-11.785237717050238
4.14,-13.041351730378603
4.15,-12.85189380509815
4.16,-11.540605783330495
4.17,-11.456933722351225
4.18,-12.420461939910599
4.19,-11.90340080653539
4.2,-11.44009771869375
4.21,-10.178822143688556
4.22,-9.813540437601725
4.23,-10.72440683875125
4.24,-11.293915067324287
4.25,-10.561930924478485
4.26,-12.90911869675952
4.27,-10.913227950895582
4.28,-12.020019885223272
4.29,-10.517332912974256
4.3,-10.60945617088449
4.31,-10.533361830121553
4.32,-10.887194436452049
4.33,-11.24347196584827
4.34,-11.552625005227238
4.35,-12.249370703244299
4.36,-11.391752209402009
4.37,-10.802201007085191
4.38,-10.026151468294241
4.39,-11.02757928803525
4.4,-10.188239599248014
4.41,-10.74538836044608
4.42,-10.40595116136528
4.43,-10.458811997838849
4.44,-10.173689650154504
4.45,-9.626862105041482
4.46,-9.253581309696724
4.47,-8.628203085835287
4.48,-9.670331893682249
4.49,-8.750018729073805
4.5,-9.063377299741479
4.51,-9.536595460200303
4.52,-10.053097536286106
4.53,-10.289044092038484
4.54,-10.157456733107583
4.55,-10.091132437106749
4.56,-10.041298344200651
4.57,-11.377006198891703
4.58,-10.456161301626404
4.59,-9.711587419115308
4.6,-10.72714068642783
4.61,-10.922544576950315
4.62,-10.082665831856916
4.63,-10.955231690128105
4.64,-11.048361198116389
4.65,-10.429698735291979
4.66,-9.95748133137287
4.67,-13.081895495329157
4.68,-12.326821535326369
4.69,-13.08309082866044
4.7,-12.817043325130363
4.71,-11.890886615913875
4.72,-12.69958684311879
4.73,-12.00205745271052
4.74,-13.520694845516486
4.75,-12.520723418340179
4.76,-11.721642114392365
4.77,-12.460427760289758
4.78,-13.208312365676676
4.79,-13.146680055393036
4.8,-13.009289485998476
4.81,-12.819362345205027
4.82,-15.401256272794182
4.83,-16.709544813645987
4.84,-19.93608821258813
4.85,-21.929722085121902
4.86,-22.305148927342838
4.87,-25.503007059140103
4.88,-24.42408437643199
4.89,-26.547311224895594
4.9,-27.963572786079073
4.91,-27.498837838430763
4.92,-27.524014347762215
4.93,-28.64611583633331
4.94,-30.396294807243358
4.95,-30.154043139179556
4.96,-30.74538836044608
4.97,-32.2363483775096
4.98,-32.085846524394825
4.99,-32.19308109183699
5.0,-24.48606346455664
5.01,-18.672280218041397
5.02,-17.038749290891243
5.03,-17.20238753900754
5.04,-16.05600466665013
5.05,-17.067069790835887
5.06,-16.374883080516014
5.07,-17.12398932374114
5.08,-17.51528547434073
5.09,-16.045910662448392
5.1,-19.255634376950496
5.11,-19.527476723338822
5.12,-20.631549614740884
5.13,-22.13741619102101
5.14,-22.836049255010003
5.15,-27.312304764878657
5.16,-22.63269137958573
5.17,-16.6968501193586
5.18,-14.194904610517067
