seconds_elapsed,dBFS
0.0,-12.660785011714996
0.01,-12.410499152003489
0.02,-12.758116544875477
0.03,-12.210362151281304
0.04,-12.635769996122006
0.05,-12.325725869649979
0.06,-12.32791733923094
0.07,-11.788326765617466
0.08,-12.16399704156779
0.09,-11.84826532577864
0.1,-12.128581614971237
0.11,-11.851376875028487
0.12,-12.321344588529055
0.13,-12.073066890449315
0.14,-12.001001994948961
0.15,-11.895056009795956
0.16,-11.254118218896389
0.17,-11.587776366994586
0.18,-11.536603069140735
0.19,-11.330963479790084
0.2,-11.504647587199655
0.21,-11.568676549898074
0.22,-11.601876840282895
0.23,-12.100779900900594
0.24,-12.15432395924125
0.25,-12.182297863092547
0.26,-11.700206803860354
0.27,-11.307546104191207
0.28,-11.314369652880217
0.29,-11.444056196437122
0.3,-11.512625442766769
0.31,-11.75030506437077
0.32,-11.742105993897114
0.33,-11.49568124967778
0.34,-11.661553056236079
0.35,-11.72470862444648
0.36,-11.799662685363598
0.37,-12.40718076050637
0.38,-12.967902689660324
0.39,-13.378545330868622
0.4,-13.555967542266508
0.41,-13.766784949874133
0.42,-13.649883687102388
0.43,-13.812169264120344
0.44,-14.27818057538799
0.45,-14.579649164388705
0.46,-14.571132193968042
0.47,-14.858164046375489
0.48,-14.750317722438771
0.49,-14.523026476005537
0.5,-14.02671157661185
0.51,-13.891838910400358
0.52,-14.212585124771111
0.53,-14.371963718196616
0.54,-14.033377135712708
0.55,-13.770665755495948
0.56,-13.813469449683444
0.57,-13.778432572381327
0.58,-14.045388047474122
0.59,-14.082861897567634
0.6,-14.018719651829594
0.61,-13.719063704790708
0.62,-13.117827246673288
0.63,-12.347665486361663
0.64,-11.87110928061231
0.65,-11.75338171224687
0.66,-11.778034206481982
0.67,-11.973605013531635
0.68,-11.915933052987073
0.69,-12.024251743839535
0.7,-12.167223797708447
0.71,-12.014732959721881
0.72,-12.080519391668465
0.73,-12.44153209427386
0.74,-12.898579698939072
0.75,-13.612957618220374
0.76,-13.893151077430282
0.77,-14.417843674099126
0.78,-14.138027674386247
0.79,-14.335985790288978
0.8,-14.185399219516611
0.81,-14.131281351998116
0.82,-13.844732433541008
0.83,-14.078839100287823
0.84,-13.65498927998301
0.85,-13.9947879034151
0.86,-13.881348704248374
0.87,-13.978869958267218
0.88,-14.038713268356695
0.89,-13.853872040166543
0.9,-14.241222199522088
0.91,-14.237125403767468
0.92,-13.765491733220504
0.93,-13.836906132091197
0.94,-13.37978219660771
0.95,-13.233818037698983
0.96,-13.243554218780693
0.97,-13.179254441821744
0.98,-12.688156535326247
0.99,-12.660785011714996
1.0,-12.692726853578531
1.01,-12.43376345803549
1.02,-12.338882988507184
1.03,-12.75121019176468
1.04,-12.758116544875477
1.05,-12.715614586553286
1.06,-12.272206858169767
1.07,-11.984132089887563
1.08,-11.754407503761268
1.09,-11.538604195664519
1.1,-11.36228518021956
1.11,-11.247341820952634
1.12,-11.537603574773135
1.13,-12.161846536570902
1.14,-12.343273127411898
1.15,-11.7083664001749
1.16,-12.00205745271052
1.17,-11.904444470055786
1.18,-11.956788184197013
1.19,-12.378474349403252
1.2,-13.011660412623833
1.21,-13.564808143170225
1.22,-14.014726445274823
1.23,-14.449964534191714
1.24,-14.56404109255528
1.25,-14.57255110921061
1.26,-14.444369758063939
1.27,-14.410876568858274
1.28,-14.297406267811754
1.29,-14.241222199522088
1.3,-14.514564819575922
1.31,-14.789512076606977
1.32,-14.785148404252919
1.33,-14.514564819575922
1.34,-14.117804406489004
1.35,-13.923385759744733
1.36,-13.65626614726029
1.37,-13.490574695218921
1.38,-13.230169781584557
1.39,-13.228954036654576
1.4,-13.198615585838356
1.41,-13.313242214440649
1.42,-13.320610423256369
1.43,-13.473052721707251
1.44,-13.618041545575386
1.45,-13.662653300749124
1.46,-13.277717053924587
1.47,-13.904969509481553
1.48,-14.235760234469872
1.49,-14.709857674256238
1.5,-14.538560954744899
1.51,-14.94660081549841
1.52,-15.21744557829975
1.53,-16.350469803064257
1.54,-16.437976987276087
1.55,-16.9375533155032
1.56,-16.705915864506895
1.57,-16.143980927366805
1.58,-15.995615851174552
1.59,-16.55663610775896
1.6,-16.348728620410725
1.61,-16.494447821787016
1.62,-17.511303860868274
1.63,-17.625501263942354
1.64,-16.97115447786363
1.65,-17.80274967996088
1.66,-18.061799739838868
1.67,-17.543207990909217
1.68,-16.894806794718416
1.69,-16.813612418885832
1.7,-16.935690390104515
1.71,-17.21969202879144
1.72,-17.75553806386204
1.73,-17.692308342633346
1.74,-17.42810884289938
1.75,-17.493409152297215
1.76,-18.237451336165023
1.77,-18.481027673569383
1.78,-19.091744804645064
1.79,-19.008580132288483
1.8,-19.358427169998716
1.81,-19.47491823350859
1.82,-19.32402756211324
1.83,-19.21921549911798
1.84,-19.30932647600058
1.85,-18.92152050689344
1.86,-18.980248855292952
1.87,-19.190189942824134
1.88,-19.091744804645064
1.89,-19.560173031035404
1.9,-19.899328044378517
1.91,-19.847081934143002
1.92,-19.540037664990013
1.93,-18.963764852116867
1.94,-19.001488644912882
1.95,-19.808102558457453
1.96,-20.233185038050735
1.97,-19.0180444640754
1.98,-19.728095283878975
1.99,-19.499906425766117
2.0,-19.442540686256113
2.01,-20.21686328635528
2.02,-20.5860587630629
2.03,-19.88623702511363
2.04,-20.018043645988634
2.05,-20.108828440389665
2.06,-19.85229242598376
2.07,-20.076678287811603
2.08,-19.598053115661
2.09,-19.888853651022277
2.1,-20.378708325239458
2.11,-20.877297615490562
2.12,-20.329011427591293
2.13,-20.348304225453816
2.14,-20.532346011546345
2.15,-21.279410596697122
2.16,-20.945006977742104
2.17,-20.19785992591792
2.18,-20.645814504854766
2.19,-20.603089924672577
2.2,-20.977577251467274
2.21,-21.273269988708556
2.22,-21.503414434482593
2.23,-20.98648129083037
2.24,-21.36894072987111
2.25,-21.0430864999543
2.26,-21.187754210095328
2.27,-21.160444840264667
2.28,-20.755000132551743
2.29,-20.726133739622096
2.3,-21.230406858039785
2.31,-20.52108026465177
2.32,-20.953877674313695
2.33,-21.001341670225994
2.34,-20.645814504854766
2.35,-21.415614080423868
2.36,-21.325604055890338
2.37,-21.672077785219845
2.38,-21.415614080423868
2.39,-21.344150446505576
2.4,-21.57620606534114
2.41,-21.36894072987111
2.42,-21.880210894793365
2.43,-21.636801832719993
2.44,-21.66886495380239
2.45,-22.329377366031732
2.46,-21.857201902164714
2.47,-21.926412544354843
2.48,-22.03294836380733
2.49,-21.926412544354843
2.5,-22.229439425807264
2.51,-22.346724864584306
2.52,-22.686697084997345
2.53,-22.486766425138306
2.54,-22.43398589223275
2.55,-22.9246815509915
2.56,-23.977012657317136
2.57,-23.769998815874377
2.58,-23.559813473381233
2.59,-23.39368483690459
2.6,-24.065451570398785
2.61,-23.914388812589866
2.62,-23.93521330023944
2.63,-23.977012657317136
2.64,-24.18049814818061
2.65,-23.87703008988748
2.66,-23.951908912564974
2.67,-24.150524626956727
2.68,-23.843956695760617
2.69,-23.835707987032354
2.7,-23.72918159020578
2.71,-24.15480023109822
2.72,-24.318852725184605
2.73,-23.93104440664462
2.74,-24.03587176683373
2.75,-24.544014187754634
2.76,-25.47309007329038
2.77,-25.628782347450773
