seconds_elapsed,dBFS
0.0,-35.454496073100394
0.01,-35.17627653427739
0.02,-35.26802974280558
0.03,-35.581068653661504
0.04,-35.69335318586658
0.05,-35.54925217252573
0.06,-35.407502867553205
0.07,-35.32974147407113
0.08,-35.454496073100394
0.09,-35.25267007542893
0.1,-35.26802974280558
0.11,-35.454496073100394
0.12,-35.48596672215866
0.13,-35.438803404625766
0.14,-35.25267007542893
0.15,-35.37631472044278
0.16,-35.37631472044278
0.17,-35.39189479571978
0.18,-35.25267007542893
0.19,-35.100549030730114
0.2,-35.22203198497398
0.21,-35.36076254146589
0.22,-35.100549030730114
0.23,-35.438803404625766
0.24,-34.89195846635147
0.25,-35.11564180540175
0.26,-35.565145845099615
0.27,-35.613002107417415
0.28,-35.145906259846555
0.29,-35.01053900619659
0.3,-35.04043882793561
0.31,-35.28341661952751
0.32,-34.86256456473596
0.33,-35.22203198497398
0.34,-34.77497501942614
0.35,-35.100549030730114
0.36,-34.77497501942614
0.37,-34.789512076606975
0.38,-32.02213555680554
0.39,-34.03737892783052
0.4,-34.616652846536844
0.41,-34.363647882580025
0.42,-34.76046225140812
0.43,-34.25352419335484
0.44,-34.363647882580025
0.45,-34.67389120614498
0.46,-34.29465713354666
0.47,-34.6452248776892
0.48,-34.731509259139564
0.49,-33.456813906983115
0.5,-25.2373929079507
0.51,-34.18539921951661
0.52,-34.68825992677172
0.53,-34.81865938462336
0.54,-35.08548243607973
0.55,-34.76046225140812
0.56,-34.70265245639133
0.57,-34.67389120614498
0.58,-34.67389120614498
0.59,-33.64605646093865
0.6,-34.63092711373966
0.61,-34.58817449434327
0.62,-34.06410476318697
0.63,-34.70265245639133
0.64,-34.29465713354666
0.65,-34.349805824450435
0.66,-34.80407350438963
0.67,-34.93623667424207
0.68,-34.83326979957049
0.69,-34.745973691521485
0.7,-34.80407350438963
0.71,-34.77497501942614
0.72,-34.60240199897902
0.73,-34.67389120614498
0.74,-34.83326979957049
0.75,-34.57397025628313
0.76,-34.559789208826054
0.77,-34.23985638622608
0.78,-33.80047634383789
0.79,-19.412760464038833
0.8,-33.878728131098896
0.81,-34.33598579028897
0.82,-33.174420891536705
0.83,-34.40530690554588
0.84,-34.37751203498576
0.85,-34.6452248776892
0.86,-34.503295418529525
0.87,-32.13929832162136
0.88,-33.198615585838354
0.89,-32.76157178179887
0.9,-26.909635219256508
0.91,-30.68168851762347
0.92,-31.449006831873547
0.93,-32.534179485536505
0.94,-32.590471903165735
0.95,-32.590471903165735
0.96,-33.39463833986118
0.97,-33.89183891040035
0.98,-34.475185718792
0.99,-34.280924498847256
1.0,-34.65954621586863
1.01,-34.6452248776892
1.02,-34.67389120614498
1.03,-34.53149638368602
1.04,-34.68825992677172
1.05,-34.77497501942614
1.06,-34.58817449434327
1.07,-34.63092711373966
1.08,-29.309141560791502
1.09,-26.950842499164757
1.1,-28.01677901455089
1.11,-28.43356306921976
1.12,-30.29164426856982
1.13,-33.81346944968344
1.14,-34.03737892783052
1.15,-34.39139835231285
1.16,-34.616652846536844
1.17,-34.68825992677172
1.18,-34.67389120614498
1.19,-34.70265245639133
1.2,-34.92145217767158
1.21,-34.76046225140812
1.22,-34.37751203498576
1.23,-34.80407350438963
1.24,-34.419237766010966
1.25,-34.57397025628313
1.26,-34.847904831909105
1.27,-34.63092711373966
1.28,-33.64605646093865
1.29,-34.433191005377985
1.3,-34.489229197418034
1.31,-34.545631276371005
1.32,-34.76046225140812
1.33,-34.68825992677172
1.34,-34.877249081569246
1.35,-34.58817449434327
1.36,-34.717068874037864
1.37,-34.86256456473596
1.38,-34.37751203498576
1.39,-34.40530690554588
1.4,-34.37751203498576
1.41,-34.53149638368602
1.42,-34.616652846536844
1.43,-34.789512076606975
1.44,-34.489229197418034
1.45,-34.51738445590585
1.46,-34.745973691521485
1.47,-34.559789208826054
1.48,-34.81865938462336
1.49,-34.489229197418034
1.5,-34.847904831909105
1.51,-34.58817449434327
1.52,-34.717068874037864
1.53,-34.308411514311665
1.54,-34.267213541559705
1.55,-34.13128135199811
1.56,-34.489229197418034
1.57,-34.76046225140812
1.58,-34.6452248776892
1.59,-34.433191005377985
1.6,-34.81865938462336
1.61,-34.68825992677172
1.62,-34.81865938462336
1.63,-34.906692803452316
1.64,-34.76046225140812
1.65,-34.65954621586863
1.66,-34.68825992677172
1.67,-34.33598579028897
1.68,-34.77497501942614
1.69,-34.6452248776892
1.7,-34.745973691521485
1.71,-34.559789208826054
1.72,-34.81865938462336
1.73,-34.51738445590585
1.74,-34.745973691521485
1.75,-33.054448132834864
1.76,-34.32218771012272
1.77,-31.948391963496753
1.78,-31.57872384961649
1.79,-34.57397025628313
1.8,-34.433191005377985
1.81,-34.58817449434327
1.82,-34.57397025628313
1.83,-34.616652846536844
1.84,-34.86256456473596
1.85,-34.76046225140812
1.86,-34.39139835231285
1.87,-34.53149638368602
1.88,-34.58817449434327
1.89,-34.559789208826054
1.9,-34.58817449434327
1.91,-34.6452248776892
1.92,-34.67389120614498
1.93,-34.57397025628313
1.94,-35.01053900619659
1.95,-34.280924498847256
1.96,-34.789512076606975
1.97,-34.559789208826054
1.98,-34.60240199897902
1.99,-34.503295418529525
2.0,-34.83326979957049
2.01,-34.731509259139564
2.02,-34.616652846536844
2.03,-34.877249081569246
2.04,-34.60240199897902
2.05,-34.76046225140812
2.06,-34.349805824450435
2.07,-34.363647882580025
2.08,-34.545631276371005
2.09,-34.68825992677172
2.1,-34.51738445590585
2.11,-34.80407350438963
2.12,-35.02547605138774
2.13,-34.475185718792
2.14,-34.68825992677172
2.15,-34.53149638368602
2.16,-34.847904831909105
2.17,-34.83326979957049
2.18,-34.503295418529525
2.19,-34.545631276371005
2.2,-34.433191005377985
2.21,-34.60240199897902
2.22,-34.76046225140812
2.23,-34.745973691521485
2.24,-34.6452248776892
2.25,-34.731509259139564
2.26,-34.32218771012272
2.27,-34.616652846536844
2.28,-34.44716669566275
2.29,-34.67389120614498
2.3,-34.67389120614498
2.31,-34.80407350438963
2.32,-34.877249081569246
2.33,-34.433191005377985
2.34,-34.76046225140812
2.35,-34.616652846536844
2.36,-34.745973691521485
2.37,-34.68825992677172
2.38,-34.58817449434327
2.39,-34.226210052487346
2.4,-33.722923242573856
2.41,-34.37751203498576
2.42,-34.475185718792
2.43,-34.433191005377985
2.44,-34.37751203498576
2.45,-34.96588137755075
2.46,-34.77497501942614
2.47,-34.51738445590585
2.48,-34.58817449434327
2.49,-34.559789208826054
2.5,-34.65954621586863
2.51,-34.68825992677172
2.52,-34.67389120614498
2.53,-34.475185718792
2.54,-34.29465713354666
2.55,-34.39139835231285
2.56,-34.489229197418034
2.57,-34.23985638622608
2.58,-34.363647882580025
2.59,-34.40530690554588
2.6,-32.075195524117134
2.61,-29.2167376080566
2.62,-33.90496950948155
2.63,-34.308411514311665
2.64,-34.349805824450435
2.65,-34.60240199897902
2.66,-34.489229197418034
2.67,-34.53149638368602
2.68,-34.67389120614498
2.69,-34.545631276371005
2.7,-34.65954621586863
2.71,-34.433191005377985
2.72,-34.545631276371005
2.73,-34.77497501942614
2.74,-34.60240199897902
2.75,-34.67389120614498
2.76,-34.67389120614498
2.77,-34.46116490922928
2.78,-34.89195846635147
2.79,-34.877249081569246
2.8,-34.616652846536844
2.81,-34.63092711373966
2.82,-34.70265245639133
2.83,-34.21258512477111
2.84,-33.65882044506963
2.85,-28.144465571695786
2.86,-33.11422737525142
2.87,-33.852565793132264
2.88,-33.89183891040035
2.89,-34.23985638622608
2.9,-34.6452248776892
2.91,-34.6452248776892
2.92,-34.60240199897902
2.93,-34.545631276371005
2.94,-34.60240199897902
2.95,-33.0069192063718
2.96,-34.65954621586863
2.97,-34.731509259139564
2.98,-34.559789208826054
2.99,-34.717068874037864
3.0,-34.847904831909105
3.01,-34.60240199897902
3.02,-32.87753998827678
3.03,-32.77309917518034
3.04,-31.340739383622335
3.05,-27.670212794985865
3.06,-30.205388449118754
3.07,-34.15829813781729
3.08,-33.865637111834005
3.09,-33.722923242573856
3.1,-33.826482020863374
3.11,-33.53201688444925
3.12,-32.78464188736151
3.13,-32.80777343136036
3.14,-32.83096674190513
3.15,-30.248409288121998
3.16,-31.128170852772485
3.17,-30.727140686427823
3.18,-29.885212717795593
3.19,-28.703686152397463
3.2,-28.03013165305762
3.21,-26.874469626129734
3.22,-27.063686413233924
3.23,-26.892034626328165
3.24,-27.367845278627158
3.25,-26.683563268005127
3.26,-25.533027444916016
3.27,-24.099380869940852
3.28,-22.843400833644438
3.29,-21.067031076491244
3.3,-24.584361618623298
3.31,-23.964451715665952
3.32,-20.41755901459039
3.33,-19.301985253162048
3.34,-19.432602596341205
3.35,-17.008642190944904
3.36,-13.049683519639109
3.37,-9.336278930541388
3.38,-6.704760252215531
3.39,-5.185231047398862
3.4,-9.882731389500455
3.41,-16.28282099463285
3.42,-23.512023038441615
3.43,-28.18518075392605
3.44,-21.172571738762382
3.45,-27.015994380508417
3.46,-10.863090126971567
3.47,-6.642462767161698
3.48,-6.959107466479927
3.49,-8.881669964011751
3.5,-6.162775670471673
3.51,-6.043957655266424
3.52,-6.879735397517486
3.53,-13.553443308119693
3.54,-13.96033581696667
3.55,-9.375194271793216
3.56,-8.10259276238842
