seconds_elapsed,dBFS
0.0,-36.576273313948484
0.01,-41.03113891947621
0.02,-44.463877272064835
0.03,-42.704773864962235
0.04,-35.36076254146589
0.05,-44.64297412512336
0.06,-43.15030175918528
0.07,-38.333188563932055
0.08,-39.06314141006486
0.09,-42.9246815509915
0.1,-42.81403177899228
0.11,-43.46054508275023
0.12,-32.51176427403059
0.13,-28.475659547280667
0.14,-28.532107444654272
0.15,-31.05214507516951
0.16,-31.49866900054301
0.17,-28.864000746924063
0.18,-31.802756869201367
0.19,-34.847904831909105
0.2,-35.70951298520325
0.21,-38.59978410902434
0.22,-43.61992367617574
0.23,-44.508306471944
0.24,-46.012121738240396
0.25,-43.989591790056004
0.26,-42.9246815509915
0.27,-34.906692803452316
0.28,-44.11639535067637
0.29,-43.22682991624633
0.3,-35.48596672215866
0.31,-42.280987883563476
0.32,-44.41967417596249
0.33,-36.277638998075815
0.34,-41.273269988708556
0.35,-45.05997690458577
0.36,-44.28839878591474
0.37,-45.75126460692089
0.38,-36.793431865712655
0.39,-40.651527027019284
0.4,-44.55296410058984
0.41,-44.87216656846438
0.42,-45.59842976104338
0.43,-38.053321564799646
0.44,-39.91243882367998
0.45,-46.118698408341736
0.46,-38.7821716950785
0.47,-36.55841947490166
0.48,-44.073921478079264
0.49,-43.50011640239199
0.5,-35.88928381611958
0.51,-41.64961288170624
0.52,-45.49801373354236
0.53,-36.848580556616426
0.54,-38.159898234900986
0.55,-44.073921478079264
0.56,-38.224477637504954
0.57,-35.29883080216743
0.58,-44.33193717100022
0.59,-43.782281480619325
0.6,-31.91697822351214
0.61,-41.74630281861858
0.62,-43.989591790056004
0.63,-32.51176427403059
0.64,-39.452490160010754
0.65,-43.700723232210535
0.66,-44.20197131026188
0.67,-44.11639535067637
0.68,-31.710407497502597
0.69,-36.364411844
0.7,-45.05997690458577
0.71,-40.23318503805073
0.72,-33.6205846255637
0.73,-35.533387529506975
0.74,-34.117804406489
0.75,-37.68012331893091
0.76,-38.074532539047524
0.77,-43.342901438231145
0.78,-43.86461280451597
0.79,-42.38501175727962
0.8,-35.97224423320387
0.81,-43.421153225492134
0.82,-43.421153225492134
0.83,-37.42022690983759
0.84,-38.159898234900986
0.85,-44.64297412512336
0.86,-40.34278762340235
0.87,-35.613002107417415
0.88,-42.99923900137636
0.89,-44.733926680137785
0.9,-34.68825992677172
0.91,-42.41996508267003
0.92,-45.15542720181067
0.93,-44.463877272064835
0.94,-45.70002027162887
0.95,-45.05997690458577
0.96,-43.15030175918528
0.97,-43.539868827102254
0.98,-45.34953337195822
0.99,-45.75126460692089
1.0,-45.10757093949286
1.01,-39.91243882367998
1.02,-36.29492435629397
1.03,-41.522344822589105
1.04,-37.2640718791279
1.05,-41.97618855242873
1.06,-44.508306471944
1.07,-42.59687322722811
1.08,-43.86461280451597
1.09,-44.37569489396373
1.1,-45.251938079596485
1.11,-42.52567701190371
1.12,-44.28839878591474
1.13,-44.33193717100022
1.14,-44.33193717100022
1.15,-44.463877272064835
1.16,-46.39100565100968
1.17,-44.55296410058984
1.18,-44.59785251903888
1.19,-29.608413055146997
1.2,-21.44060946353801
1.21,-30.205388449118754
1.22,-27.50512512762173
1.23,-32.635769996122
1.24,-29.27823088888781
1.25,-33.054448132834864
1.26,-23.296286534015266
1.27,-15.000098337391357
1.28,-13.701075169524978
1.29,-11.387817491491884
1.3,-7.835885210431918
1.31,-6.008944554895312
1.32,-11.255086707456023
1.33,-13.981520924147118
1.34,-14.345657504875573
1.35,-14.148832700986356
1.36,-13.429401809631155
1.37,-16.324388641526177
1.38,-24.74307453736888
1.39,-36.48736885673499
1.4,-40.151881265277744
1.41,-40.97164629211217
1.42,-41.03113891947621
1.43,-40.82467341766925
1.44,-43.22682991624633
1.45,-42.56120217241977
1.46,-41.81136596657302
1.47,-43.86461280451597
1.48,-43.50011640239199
1.49,-43.94773199993912
1.5,-44.508306471944
1.51,-45.251938079596485
1.52,-44.87216656846438
1.53,-46.118698408341736
1.54,-46.118698408341736
1.55,-45.10757093949286
1.56,-45.49801373354236
1.57,-44.68833135423981
1.58,-44.87216656846438
1.59,-46.61517008284237
1.6,-46.33585696010591
1.61,-45.300598653016465
1.62,-44.463877272064835
1.63,-45.251938079596485
1.64,-44.96556413113407
1.65,-44.33193717100022
1.66,-44.28839878591474
1.67,-44.508306471944
1.68,-45.59842976104338
1.69,-46.22659904607586
1.7,-45.70002027162887
1.71,-45.15542720181067
1.72,-45.75126460692089
1.73,-45.10757093949286
1.74,-45.300598653016465
1.75,-45.85466927624269
1.76,-45.20354859712824
1.77,-45.01264223900363
1.78,-44.779762615729474
1.79,-44.779762615729474
1.8,-45.44823772546847
1.81,-45.15542720181067
1.82,-45.39874534291136
1.83,-45.01264223900363
1.84,-45.59842976104338
1.85,-45.39874534291136
1.86,-45.05997690458577
1.87,-45.20354859712824
1.88,-45.39874534291136
1.89,-44.03165429181129
1.9,-45.802813064677096
1.91,-46.012121738240396
1.92,-44.96556413113407
1.93,-44.64297412512336
1.94,-45.802813064677096
1.95,-45.20354859712824
1.96,-45.01264223900363
1.97,-44.03165429181129
1.98,-45.64907649135128
1.99,-44.87216656846438
2.0,-45.15542720181067
2.01,-45.49801373354236
2.02,-44.96556413113407
2.03,-44.55296410058984
2.04,-46.06524661111521
2.05,-46.22659904607586
2.06,-44.073921478079264
2.07,-44.82584171392076
2.08,-45.01264223900363
2.09,-45.44823772546847
2.1,-38.39907426268287
2.11,-25.07898323522875
2.12,-25.985680653474496
2.13,-25.45817013322667
2.14,-26.672126940298906
2.15,-29.28594825024673
2.16,-32.590471903165735
2.17,-33.030651160037145
2.18,-36.005651542225195
2.19,-36.10665139695803
2.2,-37.053842065562876
