seconds_elapsed,dBFS
0.0,-9.036327794578664
0.01,-10.287311073349958
0.02,-12.564532071943898
0.03,-13.51315501028777
0.04,-12.047563893009341
0.05,-12.162921722514968
0.06,-12.12429863182821
0.07,-12.268940872179769
0.08,-13.209525224666018
0.09,-16.549506298503246
0.1,-16.762335670796322
0.11,-16.691415210658135
0.12,-16.651662785947867
0.13,-16.140580696500102
0.14,-14.213946656185147
0.15,-14.061428476110471
0.16,-10.347300940463244
0.17,-10.966467077666103
0.18,-9.711587419115308
0.19,-7.651642932812671
0.2,-7.508270479688718
0.21,-7.024321605342144
0.22,-7.214434550391246
0.23,-7.5202332160309995
0.24,-10.19595239209288
0.25,-13.521952121285935
0.26,-11.272537992876117
0.27,-13.248426404934563
0.28,-12.459315111900604
0.29,-12.947871462733527
0.3,-12.94198870623499
0.31,-11.028522842393686
0.32,-14.331844064244645
0.33,-13.652436108407286
0.34,-11.744155036048177
0.35,-13.72292324257386
0.36,-15.490697169568705
0.37,-20.637252759816477
0.38,-18.507774083119507
0.39,-18.38365617128405
0.4,-12.418246999279429
0.41,-8.880933028564987
0.42,-11.688999860071315
0.43,-9.60040393550339
0.44,-9.302177062512673
0.45,-10.888122862473784
0.46,-11.492694526178331
0.47,-10.819685984449507
0.48,-12.847238987388643
0.49,-13.712634950416806
0.5,-16.089736319288843
0.51,-17.308679649757586
0.52,-21.500263377078884
0.53,-23.257630975608183
0.54,-23.055580104681013
0.55,-22.69753863785661
0.56,-23.960268768492373
0.57,-22.367587700006183
0.58,-22.636281331956766
0.59,-21.847359533249737
0.6,-20.337274522844005
0.61,-19.65136431104641
0.62,-18.902810990476762
0.63,-18.672280218041397
0.64,-19.681975407533162
0.65,-21.67529180547412
0.66,-20.523895331809147
0.67,-18.3091551475124
0.68,-14.179972234249114
0.69,-11.41145257992045
0.7,-13.181672226009397
0.71,-16.015698841943617
0.72,-12.92671215960685
0.73,-15.61620191944037
0.74,-17.784244996256348
0.75,-19.452490160010758
0.76,-14.363647882580029
0.77,-12.75696510460892
0.78,-13.782318586749955
0.79,-13.777137620513395
0.8,-15.643448020542722
0.81,-14.408091290771857
0.82,-14.840584233382156
0.83,-16.505077098624085
0.84,-18.14918152825086
0.85,-21.959564835128496
0.86,-22.586156520577987
0.87,-23.119878296774626
0.88,-25.46811391180334
0.89,-27.561916471779696
0.9,-30.300317149607984
0.91,-31.969397752786712
0.92,-36.05600466665013
0.93,-37.96899187677637
0.94,-41.03113891947621
0.95,-45.20354859712824
0.96,-42.246588275678
0.97,-41.522344822589105
0.98,-44.82584171392076
0.99,-46.96265200423083
1.0,-47.44870269411245
1.01,-51.22414851040786
1.02,-50.573564013869465
1.03,-52.24719895935549
1.04,-53.65882044506962
1.05,-55.823481307178575
1.06,-59.18294868384861
1.07,-61.06103874121523
1.08,-58.94496421785445
1.09,-51.32119856629609
1.1,-35.533387529506975
1.11,-27.799373385182477
1.12,-20.58322347998303
1.13,-13.230169781584557
1.14,-8.298830809155117
1.15,-7.115249104098577
1.16,-5.8085021170117574
1.17,-6.002064641951007
1.18,-8.418877370105259
1.19,-9.063377299741479
1.2,-7.477495033177959
1.21,-9.192261678826268
1.22,-10.560142600478333
1.23,-7.702323329294236
1.24,-9.026580582601921
1.25,-9.45355194924088
1.26,-11.649382260730395
1.27,-9.147314204175858
1.28,-8.02278516182587
