seconds_elapsed,dBFS
0.0,-26.107981701691614
0.01,-24.490507511539267
0.02,-25.700020271628876
0.03,-28.588924586826717
0.04,-32.02213555680554
0.05,-28.952708475957554
0.06,-28.72537377824186
0.07,-31.224148510407858
0.08,-35.161078123333866
0.09,-38.09579543739675
0.1,-36.86704154048001
0.11,-35.872786394943425
0.12,-39.13482728853104
0.13,-41.30401653280713
0.14,-39.27999873973685
0.15,-42.49029655712677
0.16,-46.012121738240396
0.17,-43.94773199993912
0.18,-44.03165429181129
0.19,-44.28839878591474
0.2,-42.96188027867397
0.21,-42.96188027867397
0.22,-43.1884815553319
0.23,-45.49801373354236
0.24,-46.17248117855736
0.25,-47.44870269411245
0.26,-47.89752007507736
0.27,-51.41934525619099
0.28,-51.92743685167287
0.29,-45.70002027162887
0.3,-39.9387199016366
0.31,-34.489229197418034
0.32,-33.33290467815828
0.33,-37.341798479575715
0.34,-26.86277932875527
0.35,-22.64346569104135
0.36,-22.246588275678
0.37,-24.292742816832018
0.38,-25.150629692913185
0.39,-26.9981771647469
0.4,-25.184268035075895
0.41,-22.9805395546749
0.42,-21.933032887387284
0.43,-21.640002823962433
0.44,-21.437481104189207
0.45,-23.048046808772487
0.46,-25.03627732743219
0.47,-28.370798439033223
0.48,-30.4933448631316
0.49,-31.518613646821983
0.5,-36.26038797028385
0.51,-35.206753371292926
0.52,-34.40530690554588
0.53,-36.243171136821125
0.54,-38.48770655866437
0.55,-36.48736885673499
0.56,-39.353504591437904
0.57,-43.86461280451597
0.58,-41.00134167022599
0.59,-40.28781345483932
0.6,-38.96847137601314
0.61,-35.48596672215866
0.62,-28.937860797747096
0.63,-25.344627475392866
0.64,-28.67485329724737
0.65,-31.17602711509029
0.66,-27.40507057691072
0.67,-26.723709412413854
0.68,-25.885932260100255
0.69,-27.051738832755838
0.7,-27.349292285518256
0.71,-29.24742982952596
0.72,-32.81936234520502
0.73,-32.467106645384746
0.74,-37.341798479575715
0.75,-36.922661087872115
0.76,-39.06314141006486
0.77,-40.260456299505705
0.78,-38.851566655184754
0.79,-37.499369959785916
0.8,-39.353504591437904
0.81,-42.99923900137636
0.82,-43.0744419788425
0.83,-42.49029655712677
0.84,-38.311337257720595
0.85,-36.26038797028385
0.86,-37.053842065562876
0.87,-37.016159188071846
0.88,-40.48176482250891
0.89,-40.39811194826538
0.9,-36.95993964139527
