seconds_elapsed,dBFS
0.0,-16.62825794946396
0.01,-17.870939481369746
0.02,-17.27956165521351
0.03,-16.45911054913267
0.04,-14.300156272469223
0.05,-15.132274204255191
0.06,-16.510396618829997
0.07,-16.874436934403196
0.08,-16.612091466306108
0.09,-14.90079606891623
0.1,-16.453822336099872
0.11,-16.617476951425253
0.12,-16.232857393707786
0.13,-18.902810990476762
0.14,-17.78835374261398
0.15,-18.819113333487806
0.16,-15.52863378152474
0.17,-18.38365617128405
0.18,-18.1342003178186
0.19,-17.420226909837588
0.2,-16.88369004025119
0.21,-17.549203083500654
0.22,-17.559204108944144
0.23,-16.232857393707786
0.24,-20.007425197675907
0.25,-19.044124676386396
0.26,-16.5263747545044
0.27,-18.552535272815255
0.28,-17.01427932882026
0.29,-16.624662796416747
0.3,-18.617851488680863
0.31,-16.673323369836734
0.32,-18.170628180228533
0.33,-18.34194450180868
0.34,-16.97489597679638
0.35,-16.26728427047786
0.36,-17.631553446027702
0.37,-17.615423655620713
0.38,-17.611395883863835
0.39,-18.08515748182567
0.4,-20.111512999099972
0.41,-20.211429510990037
0.42,-18.631426729221836
0.43,-18.250444442010572
0.44,-18.006838950330476
0.45,-16.32091706288761
0.46,-18.458801741180753
0.47,-15.653084733407773
0.48,-18.346325782929604
0.49,-16.755035069704146
0.5,-15.818566156823104
0.51,-15.938964921848871
0.52,-17.96899187677638
0.53,-16.695038105241657
0.54,-16.460874002521745
0.55,-15.495430194645259
0.56,-16.585214014313884
0.57,-17.08789700212678
0.58,-15.489120067496636
0.59,-16.072854118370536
0.6,-17.784244996256348
0.61,-18.049085578547405
0.62,-16.94687394053973
0.63,-18.17277576081509
0.64,-17.537217033340017
0.65,-18.34194450180868
0.66,-17.380924174732968
0.67,-19.628476578071655
0.68,-17.88755127632184
0.69,-16.87998761494446
0.7,-15.948935333854006
0.71,-19.988874091473402
0.72,-15.812016946606644
0.73,-18.132062252666124
0.74,-19.30932647600058
0.75,-18.12565121315396
0.76,-15.235805753474382
0.77,-16.587003259276038
0.78,-16.28627737734383
0.79,-16.578060717934232
0.8,-16.505077098624085
0.81,-15.66595033789008
0.82,-16.841207135428256
0.83,-16.457347453696176
0.84,-16.333073663385733
0.85,-13.629491273596235
0.86,-12.984433751601415
0.87,-11.398642257637565
0.88,-12.71676055787734
0.89,-12.477134612215053
0.9,-11.911753628083597
0.91,-12.542038495633376
0.92,-12.277652898625357
0.93,-12.967902689660324
0.94,-14.849369692295083
0.95,-14.82742268414398
0.96,-14.727174622284377
0.97,-13.977544778672295
0.98,-12.02636844657648
0.99,-12.330109361864167
1.0,-11.98307880793174
1.01,-16.397614158470645
1.02,-14.606674798755957
1.03,-14.656680058562287
1.04,-14.349805824450435
1.05,-13.54713593028239
1.06,-13.593919348806692
1.07,-13.308333545398977
1.08,-12.062431539986157
