seconds_elapsed,dBFS
0.0,-34.80407350438963
0.01,-34.70265245639133
0.02,-29.201432071694352
0.03,-36.72044076695198
0.04,-32.842586662886376
0.05,-34.98074175694637
0.06,-33.95769130799874
0.07,-32.97144241244438
0.08,-33.35754551635211
0.09,-32.912634539607794
0.1,-28.356912121706138
0.11,-33.34521635936638
0.12,-30.77283195243303
0.13,-32.66989927240235
0.14,-36.0391878373155
0.15,-31.528603170221025
0.16,-32.085846524394825
0.17,-34.29465713354666
0.18,-32.995077500872945
0.19,-33.89183891040035
0.2,-32.947871462733524
0.21,-31.38978462764298
0.22,-28.560469558468643
0.23,-29.371294882440154
0.24,-30.68168851762347
0.25,-34.44716669566275
0.26,-34.09091308582035
0.27,-30.528906385223618
0.28,-29.347935236882176
0.29,-32.35645687338553
0.3,-32.422677445505585
0.31,-29.034827511366007
0.32,-34.06410476318697
0.33,-32.37847434940325
0.34,-32.4005477784062
0.35,-37.12970184590566
0.36,-32.61309142021474
0.37,-33.984172699358695
0.38,-32.16077148370263
0.39,-33.36989219879788
0.4,-29.473252319759318
0.41,-29.324638245790723
0.42,-30.8003625290091
0.43,-27.32461644608676
0.44,-29.79469102116754
0.45,-33.0783104820136
0.46,-30.431460400370135
0.47,-28.99740440462539
0.48,-32.20387772422533
0.49,-32.88922242398285
0.5,-29.632484820128152
0.51,-30.74538836044608
0.52,-32.13929832162136
0.53,-34.33598579028897
0.54,-29.371294882440154
0.55,-28.689257760976613
0.56,-35.88928381611958
0.57,-31.864873150414027
0.58,-34.01073507369288
0.59,-32.534179485536505
0.6,-28.349977279311354
0.61,-33.407037898909216
0.62,-40.4259068188255
0.63,-32.225511333511086
0.64,-32.947871462733524
0.65,-29.69700425987533
0.66,-31.782149766681258
0.67,-25.75640570777418
0.68,-28.689257760976613
0.69,-31.885677686439582
0.7,-29.426046281619897
0.71,-29.78650836428535
0.72,-34.32218771012272
0.73,-32.30165612606495
0.74,-34.51738445590585
0.75,-29.959984108983633
0.76,-27.530319894055882
0.77,-35.565145845099615
0.78,-29.15567662099777
0.79,-30.231175374456143
0.8,-31.272537992876117
0.81,-26.21032825211146
0.82,-31.099583148508376
0.83,-29.087492226598517
0.84,-32.624423306542276
0.85,-33.735800768487955
0.86,-31.19524369292424
0.87,-32.76157178179887
0.88,-30.043825393524028
0.89,-32.13929832162136
0.9,-37.016159188071846
0.91,-31.33096347979008
0.92,-32.26894087217977
0.93,-35.11564180540175
0.94,-33.83951411578833
0.95,-34.39139835231285
0.96,-36.8301587265126
0.97,-31.937908088188884
0.98,-37.18703465893772
0.99,-34.51738445590585
1.0,-32.37847434940325
1.01,-32.467106645384746
1.02,-28.908241367039253
1.03,-33.01877707802652
1.04,-34.68825992677172
1.05,-37.32230152495152
1.06,-34.847904831909105
1.07,-35.04043882793561
1.08,-28.689257760976613
1.09,-35.69335318586658
