seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-72.24719895935547
0.09,-61.36583807234997
0.1,-66.22659904607586
0.11,-61.68172341601461
0.12,-59.67942035834925
0.13,-63.074441978842486
0.14,-63.86461280451597
0.15,-59.42763781218885
0.16,-55.34523815907035
0.17,-49.80288139389895
0.18,-46.33585696010591
0.19,-42.14419939295736
0.2,-40.37040573773005
0.21,-37.63962958760262
0.22,-36.29492435629397
0.23,-36.81177588443812
0.24,-36.904081637711876
0.25,-34.57397025628313
0.26,-37.034980191401395
0.27,-34.86256456473596
0.28,-36.48736885673499
0.29,-36.63005608416411
0.3,-36.904081637711876
0.31,-37.782191351693506
0.32,-35.93896492184887
0.33,-35.565145845099615
0.34,-33.13825474780157
0.35,-33.28383172481285
0.36,-35.145906259846555
0.37,-31.340739383622335
0.38,-28.178381622746727
0.39,-31.23380486452978
0.4,-33.27160668459903
0.41,-39.86011402906796
0.42,-38.59978410902434
0.43,-31.253149838312517
0.44,-27.196206023998826
0.45,-31.548616749670153
0.46,-29.901773046240198
0.47,-27.19013833975762
0.48,-32.81936234520502
0.49,-33.35754551635211
0.5,-27.461209376817635
0.51,-27.74747844582005
0.52,-32.4005477784062
0.53,-25.664328276899685
0.54,-25.969854551972418
0.55,-26.821986749606754
0.56,-35.31427238781313
0.57,-30.7911759711585
0.58,-28.198795003794878
0.59,-30.591491553026483
0.6,-35.77445451866291
0.61,-45.20354859712824
0.62,-49.481144996029855
0.63,-42.3501985257536
0.64,-39.91243882367998
0.65,-44.37569489396373
0.66,-46.44650673210513
0.67,-46.61517008284237
0.68,-50.30899869919435
0.69,-51.7206201849085
0.7,-47.51141697116962
0.71,-40.4259068188255
0.72,-38.224477637504954
0.73,-39.353504591437904
0.74,-41.942972872799444
0.75,-33.36989219879788
0.76,-32.25806311291453
0.77,-36.922661087872115
0.78,-40.17889805109691
0.79,-42.110336232568464
0.8,-36.46969664384714
0.81,-31.844118326588827
0.82,-34.06410476318697
0.83,-41.64961288170624
0.84,-43.782281480619325
0.85,-42.41996508267003
0.86,-41.273269988708556
0.87,-40.07133147961686
0.88,-37.927132086659505
0.89,-36.95993964139527
0.9,-38.66773144096018
0.91,-30.555673400668866
0.92,-31.19524369292424
0.93,-33.35754551635211
0.94,-26.56987198988611
0.95,-27.48627689677957
0.96,-29.87694437862951
0.97,-22.086710328176263
0.98,-13.698508417249187
0.99,-11.980972627116843
1.0,-16.91708307870809
1.01,-14.124540265405921
1.02,-17.238959759935703
1.03,-12.817043325130363
1.04,-10.953360537678371
1.05,-16.705915864506895
1.06,-32.579184195744716
1.07,-28.900852264391965
1.08,-27.97020576817924
1.09,-30.069136406009214
1.1,-30.08605148367841
1.11,-21.588927985796428
1.12,-22.291334388227103
1.13,-25.980402081669336
1.14,-20.178898051096912
1.15,-23.58380765891049
1.16,-32.085846524394825
1.17,-28.739862338128503
1.18,-29.9266728902529
1.19,-28.51796104146527
1.2,-13.782318586749955
1.21,-12.659646401286931
1.22,-13.855178483673265
1.23,-9.691339637001024
1.24,-13.620584625563705
1.25,-17.45377463388795
1.26,-16.678746966415115
1.27,-14.040047813897933
1.28,-20.515452865920384
1.29,-20.425906818825503
1.3,-27.306155462223188
1.31,-18.166334611363023
1.32,-23.98120367773045
1.33,-23.165553544733687
1.34,-23.116082845703502
1.35,-29.860431275484626
1.36,-31.17602711509029
1.37,-32.19308109183699
1.38,-31.95888850814342
1.39,-40.20599913279624
1.4,-34.57397025628313
1.41,-31.710407497502597
1.42,-29.46536680887903
1.43,-35.77445451866291
1.44,-33.38225645659825
1.45,-34.877249081569246
1.46,-41.33487230109275
1.47,-42.49029655712677
1.48,-37.12970184590566
1.49,-35.54925217252573
1.5,-38.898139901556405
1.51,-33.55722993448413
1.52,-32.66989927240235
1.53,-36.08973631928884
1.54,-39.086971026213234
1.55,-34.23985638622608
1.56,-37.42022690983759
1.57,-40.31525704682628
1.58,-41.12114894400974
1.59,-39.88623702511363
1.6,-34.226210052487346
1.61,-37.400553312212516
1.62,-40.34278762340235
1.63,-39.15885466108119
1.64,-37.400553312212516
1.65,-37.782191351693506
1.66,-40.708859840051346
1.67,-42.3501985257536
1.68,-42.2123243667956
1.69,-41.71395309914619
1.7,-42.59687322722811
1.71,-43.1122890523966
1.72,-43.782281480619325
1.73,-43.26534833696711
1.74,-42.52567701190371
1.75,-45.10757093949286
1.76,-40.09809849506211
1.77,-40.37040573773005
1.78,-39.3289334586786
1.79,-40.79557493270576
1.8,-39.834069362963064
1.81,-40.37040573773005
1.82,-39.231338166316874
1.83,-40.48176482250891
1.84,-39.603116298338946
1.85,-40.59457016956276
1.86,-38.645023219821894
1.87,-38.645023219821894
1.88,-39.3289334586786
1.89,-39.603116298338946
1.9,-43.3040383325111
1.91,-39.9387199016366
1.92,-40.94205209095121
1.93,-40.509829110697666
1.94,-41.00134167022599
1.95,-42.455059634001046
1.96,-42.704773864962235
1.97,-41.459403317905384
1.98,-41.61762061851039
1.99,-43.22682991624633
2.0,-41.12114894400974
2.01,-43.421153225492134
2.02,-41.97618855242873
2.03,-45.20354859712824
2.04,-40.59457016956276
2.05,-38.736214499832904
2.06,-40.59457016956276
2.07,-39.57782984776375
2.08,-39.67942035834925
2.09,-40.4259068188255
2.1,-40.17889805109691
2.11,-42.043003417569324
2.12,-43.0744419788425
2.13,-46.06524661111521
2.14,-44.87216656846438
2.15,-43.61992367617574
2.16,-39.06314141006486
2.17,-41.1816780366135
2.18,-44.64297412512336
2.19,-43.0744419788425
2.2,-43.381939210181585
2.21,-45.251938079596485
2.22,-44.68833135423981
2.23,-42.07660457992975
2.24,-42.043003417569324
2.25,-43.86461280451597
2.26,-42.81403177899228
2.27,-43.342901438231145
2.28,-46.17248117855736
2.29,-46.96265200423083
2.3,-51.22414851040786
2.31,-45.85466927624269
2.32,-48.510896470406394
2.33,-47.51141697116962
