seconds_elapsed,dBFS
0.0,-24.214880734939047
0.01,-22.40946430810307
0.02,-21.614427863599204
0.03,-22.002852854683006
0.04,-21.070028795119118
0.05,-22.11709831125804
0.06,-25.649076491351277
0.07,-30.094521391358896
0.08,-32.085846524394825
0.09,-29.457488450390542
0.1,-31.147281728772654
0.11,-32.467106645384746
0.12,-30.449096730567526
0.13,-32.225511333511086
0.14,-33.30833354539897
0.15,-33.36989219879788
0.16,-32.279832271272106
0.17,-31.061611985793935
0.18,-32.76157178179887
0.19,-33.247208102157046
0.2,-33.030651160037145
0.21,-36.29492435629397
0.22,-36.32959861247398
0.23,-33.90496950948155
0.24,-34.789512076606975
0.25,-37.619453295979724
0.26,-37.24474842368748
0.27,-37.499369959785916
0.28,-37.68012331893091
0.29,-36.77512650669703
0.3,-36.922661087872115
0.31,-37.42022690983759
0.32,-40.88316447801559
0.33,-42.63269137958573
0.34,-39.57782984776375
0.35,-40.79557493270576
0.36,-40.28781345483932
0.37,-39.70500473513271
0.38,-40.4259068188255
0.39,-41.12114894400974
0.4,-41.273269988708556
0.41,-37.68012331893091
0.42,-37.70044119869388
0.43,-40.260456299505705
0.44,-43.22682991624633
0.45,-43.3040383325111
0.46,-40.260456299505705
0.47,-39.99152182496077
0.48,-40.53798436918547
0.49,-42.280987883563476
0.5,-46.96265200423083
0.51,-46.67212694029891
0.52,-44.33193717100022
0.53,-45.75126460692089
0.54,-43.539868827102254
0.55,-46.012121738240396
0.56,-46.44650673210513
0.57,-44.87216656846438
0.58,-47.08163865449485
0.59,-46.61517008284237
0.6,-48.23292428007521
0.61,-47.63822053179
0.62,-47.83196587985263
0.63,-47.574587356066225
0.64,-44.55296410058984
0.65,-45.10757093949286
0.66,-42.52567701190371
0.67,-46.61517008284237
0.68,-48.23292428007521
0.69,-48.798059471343734
0.7,-49.01983891465598
0.71,-48.945281464271126
0.72,-45.05997690458577
0.73,-48.510896470406394
0.74,-47.51141697116962
0.75,-50.22257122354151
0.76,-46.06524661111521
0.77,-49.17090167246491
0.78,-47.44870269411245
0.79,-49.32463824579072
0.8,-49.64052358945536
0.81,-50.84644162720038
0.82,-49.095041892122126
0.83,-47.141748857289365
0.84,-51.41934525619099
0.85,-50.05225420509091
0.86,-52.467106645384746
0.87,-51.518613646821976
0.88,-50.939339728115655
0.89,-49.01983891465598
0.9,-52.69272685357852
0.91,-51.22414851040786
0.92,-52.13929832162136
0.93,-58.94496421785445
0.94,-53.16234877056899
0.95,-52.92436430457484
0.96,-52.92436430457484
0.97,-53.40703789890922
0.98,-53.28383172481285
0.99,-51.03324215228325
1.0,-53.04254149678523
1.01,-50.754526593417395
1.02,-32.865873244228496
1.03,-25.700020271628876
1.04,-23.35069496916053
1.05,-21.765770640675047
1.06,-21.465676983499954
1.07,-21.15136076451451
1.08,-19.58540805644985
1.09,-17.71672979163069
1.1,-18.645023219821905
1.11,-18.888805253008258
1.12,-17.473569286115172
1.13,-18.736214499832908
1.14,-17.83161333218831
1.15,-17.223542157240146
1.16,-17.012399876332548
1.17,-17.950130002614898
1.18,-16.327861608241
1.19,-17.513294439457955
1.2,-17.12398932374114
1.21,-17.304791605987177
1.22,-17.084106520007687
1.23,-16.907794349731674
1.24,-16.89295301397548
1.25,-18.21583925823694
1.26,-18.248277574183923
1.27,-18.388058548285574
1.28,-17.674037211262966
1.29,-18.902810990476762
1.3,-18.22880005094975
1.31,-19.575305246775756
1.32,-18.011054378531664
1.33,-17.14113817361188
1.34,-17.647713245364372
1.35,-16.978639088096738
1.36,-19.241048496716754
1.37,-17.076530514609757
1.38,-17.659852855499874
1.39,-16.89295301397548
1.4,-18.837643238409985
1.41,-18.656369909401626
1.42,-18.357288664150264
1.43,-19.47991012424258
1.44,-19.137227037030367
1.45,-18.959060877109906
1.46,-19.072665412815205
1.47,-18.24611124679071
1.48,-18.259117323048738
1.49,-19.417716749273495
1.5,-20.775263840281465
1.51,-20.694491119424605
1.52,-19.9756475172135
1.53,-19.71013066602097
1.54,-20.3070148608799
1.55,-19.764136371432585
1.56,-19.740949940122007
1.57,-20.552096296965647
1.58,-21.456268183549724
1.59,-19.489902520671702
1.6,-20.903729759892787
1.61,-22.318985472902146
1.62,-24.16763968596839
1.63,-24.692880131321022
1.64,-25.069474871238103
1.65,-27.417514547002032
1.66,-27.34311675049944
1.67,-30.10299956639812
1.68,-30.23978805700423
1.69,-29.762006543699226
1.7,-30.976778965555667
1.71,-33.53201688444925
1.72,-29.51278761622735
1.73,-26.73521390368256
1.74,-22.222589354759744
1.75,-18.34194450180868
1.76,-17.31256943470305
1.77,-17.455752070353647
1.78,-16.29665478555322
1.79,-15.975579187991647
1.8,-16.03582837502723
1.81,-16.651662785947867
1.82,-17.173623113874022
1.83,-18.895805298763676
1.84,-19.12763201850362
1.85,-18.982606268698127
1.86,-18.94966056273127
1.87,-18.909822337262476
1.88,-20.192438022097633
1.89,-21.853919873167392
1.9,-22.40946430810307
1.91,-23.8233495932405
1.92,-23.733254692103664
1.93,-22.93210856267793
1.94,-22.50089556959274
1.95,-22.02959926423313
1.96,-21.636801832719993
1.97,-21.743062419536766
1.98,-20.839259297902988
1.99,-21.218198999897982
2.0,-21.608045872395067
2.01,-21.347245365347533
2.02,-20.677279971841912
2.03,-21.896683286679057
2.04,-21.230406858039785
2.05,-22.130638282258758
2.06,-17.51528547434073
2.07,-19.522457428406852
2.08,-19.15404386636499
2.09,-17.60938269816979
2.1,-18.975535947072025
2.11,-15.632218685251368
2.12,-23.161738086891503
2.13,-15.374758248861149
2.14,-21.86705543656015
2.15,-16.32959861247398
2.16,-21.47509598638002
2.17,-16.95993964139528
2.18,-21.57938479900446
2.19,-16.693226469060708
2.2,-20.71749249569459
2.21,-17.672009455997994
2.22,-20.230462615324146
2.23,-16.976767330813757
2.24,-21.876920161797734
2.25,-18.44106185319022
2.26,-20.192438022097633
2.27,-20.620154546346217
2.28,-18.75456820901394
2.29,-20.52671131161597
2.3,-18.980248855292952
2.31,-20.801386836327133
2.32,-19.03226032590346
2.33,-21.500263377078884
2.34,-19.978291221278365
2.35,-21.013248306275617
2.36,-21.055050537160014
2.37,-23.749566226734146
2.38,-19.915063355997297
2.39,-23.188481555331904
2.4,-19.410283381564305
2.41,-22.381524148464223
2.42,-20.983512263408514
2.43,-25.031545161889884
2.44,-22.726515777786524
2.45,-23.539868827102257
2.46,-22.353673576665358
2.47,-21.98617807582778
2.48,-22.44100479333232
2.49,-22.06651057572801
2.5,-22.02290493662772
2.51,-22.3606278521674
2.52,-20.498592511927384
2.53,-21.85063908384111
2.54,-19.73580579449456
2.55,-22.543421430001573
2.56,-20.27959725718611
2.57,-20.824673417669253
2.58,-19.849686789354628
2.59,-19.472423363568108
2.6,-19.59552263067935
2.61,-20.298780488667614
2.62,-20.039319565109217
2.63,-19.137227037030367
2.64,-18.624636456846257
2.65,-19.891471065427517
2.66,-19.909815084152992
2.67,-21.592111379505532
2.68,-20.26592084176714
2.69,-23.135076707718145
2.7,-21.362736522722994
2.71,-21.01920775051493
2.72,-19.925569422761175
2.73,-22.219166344020636
2.74,-21.187754210095328
2.75,-21.221249356255253
2.76,-21.652818598530992
2.77,-18.76835898667373
2.78,-21.35963608019924
2.79,-19.236191974567273
2.8,-21.769019524063612
2.81,-19.572781379363526
2.82,-24.18478853583913
2.83,-18.14275784524781
2.84,-21.942972872799448
2.85,-17.31062432448597
2.86,-22.832375797717752
2.87,-17.519268913822636
2.88,-22.315524269573594
2.89,-18.492162003562306
2.9,-23.656190491445102
2.91,-18.550291726467236
2.92,-22.127251310237654
2.93,-20.063317433557284
2.94,-18.919179612218695
2.95,-24.570891639746858
2.96,-19.04649949243347
2.97,-25.290844705177236
2.98,-20.38424779585965
2.99,-22.976804491345764
3.0,-19.321575652530814
3.01,-24.044312865299876
3.02,-19.76929732799444
3.03,-25.184268035075895
3.04,-20.714613990402935
3.05,-23.165553544733687
3.06,-19.3117749297555
3.07,-22.525677011903706
3.08,-20.772366128949145
3.09,-22.80304393484758
3.1,-21.8637696829223
3.11,-21.710724743919265
3.12,-21.285555548943563
3.13,-21.001341670225994
3.14,-23.03299978961217
3.15,-22.04300341756932
3.16,-20.28781345483933
3.17,-19.12763201850362
3.18,-18.606554973058046
3.19,-17.477533635630852
3.2,-18.485479692958528
3.21,-18.337565429551535
3.22,-19.779628449804807
3.23,-19.575305246775756
3.24,-22.332844095129065
3.25,-19.0251494866704
3.26,-22.4691372540001
