seconds_elapsed,dBFS
0.0,-46.787173518080735
0.01,-47.263231811533224
0.02,-47.7669027318982
0.03,-47.263231811533224
0.04,-46.118698408341736
0.05,-48.164799306236986
0.06,-49.17090167246491
0.07,-49.72132314549016
0.08,-52.69272685357852
0.09,-51.92743685167287
0.1,-52.69272685357852
0.11,-51.03324215228325
0.12,-49.96833191321875
0.13,-49.247429829525956
0.14,-47.32461644608676
0.15,-46.28105621278533
0.16,-45.85466927624269
0.17,-45.39874534291136
0.18,-45.802813064677096
0.19,-45.44823772546847
0.2,-45.59842976104338
0.21,-45.54807663661845
0.22,-47.20227794989312
0.23,-47.08163865449485
0.24,-47.08163865449485
0.25,-46.39100565100968
0.26,-46.90376439129521
0.27,-48.097204493209375
0.28,-48.87135855307185
0.29,-50.136995263955995
0.3,-51.82341297795672
0.31,-52.807773431360346
0.32,-54.05073156633725
0.33,-56.68417395168261
0.34,-58.053321564799646
0.35,-59.42763781218885
0.36,-59.67942035834925
0.37,-62.3501985257536
0.38,-63.074441978842486
0.39,-62.009531739778
0.4,-62.704773864962235
0.41,-56.505077098624085
0.42,-37.499369959785916
0.43,-43.7414066304196
0.44,-48.510896470406394
0.45,-48.87135855307185
0.46,-50.39629480724336
0.47,-56.15759517723562
0.48,-55.98893182649837
0.49,-56.15759517723562
0.5,-58.713326766858145
0.51,-58.94496421785445
0.52,-60.20599913279624
0.53,-56.68417395168261
0.54,-59.67942035834925
0.55,-57.63962958760263
0.56,-51.7206201849085
0.57,-44.508306471944
0.58,-32.70416318128475
0.59,-29.893488935323198
0.6,-23.897765095289625
0.61,-28.989939092916963
0.62,-34.077498581782486
0.63,-35.438803404625766
0.64,-36.17464305245918
0.65,-39.9387199016366
0.66,-37.341798479575715
0.67,-35.517551810192515
0.68,-37.927132086659505
0.69,-38.03216226167297
0.7,-35.07044193078378
0.71,-38.35509498068411
0.72,-35.454496073100394
0.73,-32.624423306542276
0.74,-23.25377486471774
0.75,-25.012642239003625
0.76,-25.169835647975717
0.77,-26.781384854328948
0.78,-26.603823393262655
0.79,-25.679606890580725
0.8,-26.752499261900724
0.81,-27.46746947772866
0.82,-26.666414418134387
0.83,-27.442456099353425
0.84,-26.939049028733702
0.85,-27.07565045043964
0.86,-32.715614586553286
0.87,-29.86868390283995
0.88,-34.33598579028897
0.89,-33.99744373270901
0.9,-35.29883080216743
0.91,-39.78221315139747
0.92,-42.31552426957359
0.93,-38.55477939881613
0.94,-39.231338166316874
0.95,-41.21210149902416
0.96,-44.508306471944
0.97,-40.12494825257229
0.98,-34.05073156633725
0.99,-33.95769130799874
1.0,-28.81998432010253
1.01,-26.043957655266425
1.02,-23.50805234596649
1.03,-24.839713246767428
1.04,-27.15382097825708
1.05,-26.892034626328165
1.06,-25.720481740780453
1.07,-25.996247430493117
1.08,-27.03384821955524
1.09,-30.591491553026483
1.1,-32.2363483775096
1.11,-37.70044119869388
1.12,-40.39811194826538
1.13,-40.82467341766925
1.14,-40.23318503805073
1.15,-41.81136596657302
1.16,-44.073921478079264
1.17,-43.381939210181585
1.18,-39.9387199016366
1.19,-27.657401745999618
1.2,-26.833622236461355
1.21,-27.708759705756272
1.22,-27.392644409357803
1.23,-29.186153458013308
1.24,-26.485569584623185
1.25,-26.35787443612363
1.26,-27.129693491526155
1.27,-31.19524369292424
1.28,-34.83326979957049
1.29,-37.823356782480985
1.3,-40.651527027019284
1.31,-43.57980402222377
1.32,-45.85466927624269
1.33,-47.08163865449485
1.34,-50.22257122354151
1.35,-50.39629480724336
1.36,-49.095041892122126
1.37,-42.668657847696984
1.38,-31.669676404630902
1.39,-30.90206117459249
1.4,-31.458916575832742
1.41,-27.910690494034537
1.42,-19.522457428406852
1.43,-19.87316570641189
1.44,-24.040091290666076
1.45,-20.839259297902988
1.46,-20.047311489891474
1.47,-25.003206181977756
1.48,-20.176192587864307
1.49,-17.885473063693656
1.5,-18.62916271522803
1.51,-20.574723179544648
1.52,-21.242631898253602
1.53,-17.879241407581752
1.54,-22.511507531374647
1.55,-21.959564835128496
1.56,-19.896708261629637
1.57,-21.40314331067492
1.58,-22.50089556959274
1.59,-22.976804491345764
1.6,-21.1453099877891
1.61,-20.470564447471343
1.62,-20.076678287811603
1.63,-21.8277081908446
1.64,-25.305479737515853
1.65,-27.147782820462254
1.66,-28.886092890172698
1.67,-30.967404016304414
1.68,-31.46883763874809
1.69,-31.558640858847422
1.7,-29.648569805536145
1.71,-30.035404753370504
1.72,-35.01053900619659
1.73,-36.29492435629397
1.74,-36.72044076695198
1.75,-39.6539111193444
1.76,-37.844012891236346
1.77,-37.42022690983759
1.78,-41.1816780366135
1.79,-38.053321564799646
1.8,-39.75640068176758
1.81,-42.88764145375963
1.82,-41.84408122045819
1.83,-39.353504591437904
1.84,-27.232701412303776
1.85,-28.62462496440958
1.86,-28.945281464271126
1.87,-25.906836938393255
1.88,-29.77016614001377
1.89,-28.00344687127633
1.9,-25.012642239003625
1.91,-22.147592981450646
1.92,-19.73580579449456
1.93,-22.465615709399636
1.94,-25.349533371958227
1.95,-16.881838630324527
1.96,-16.480295656313114
1.97,-8.42167273247167
1.98,-7.722291640864572
1.99,-12.255889194835838
2.0,-26.950842499164757
2.01,-29.41820349134614
2.02,-31.01438027812177
2.03,-34.15829813781729
2.04,-36.73863111839208
2.05,-35.629012968426615
2.06,-34.731509259139564
2.07,-23.77409110788792
2.08,-20.82758863489348
2.09,-19.091744804645064
2.1,-18.002625566964777
2.11,-19.430119849536226
2.12,-19.560173031035404
2.13,-19.697321506292003
2.14,-19.60564899689547
2.15,-16.524597953917645
2.16,-17.684183094484172
2.17,-17.680123318930917
2.18,-19.19743724373526
2.19,-23.15411219558684
2.2,-20.11419838778671
2.21,-20.127637798851126
2.22,-22.416463413750172
2.23,-22.490296557126776
2.24,-20.178898051096912
2.25,-22.455059634001042
2.26,-22.64706010021247
2.27,-24.340671097968464
2.28,-29.672753272586945
2.29,-33.878728131098896
2.3,-35.055427424645636
2.31,-38.71332676685816
2.32,-39.6539111193444
2.33,-41.84408122045819
2.34,-46.17248117855736
2.35,-45.85466927624269
2.36,-49.481144996029855
2.37,-50.663574038402984
2.38,-52.24719895935549
2.39,-53.918119988356985
2.4,-58.48770655866437
2.41,-58.26779887263511
2.42,-58.26779887263511
2.43,-59.42763781218885
2.44,-58.94496421785445
2.45,-59.42763781218885
2.46,-56.86704154048
2.47,-55.98893182649837
2.48,-55.19150158574453
2.49,-55.823481307178575
2.5,-55.98893182649837
2.51,-54.32218771012272
2.52,-54.891958466351475
2.53,-53.40703789890922
2.54,-55.98893182649837
2.55,-55.823481307178575
2.56,-50.136995263955995
2.57,-55.50174490930948
2.58,-40.07133147961686
2.59,-34.05073156633725
2.6,-29.536595460200303
2.61,-30.01019170333563
2.62,-24.733926680137778
2.63,-26.40761876982255
2.64,-23.951908912564974
2.65,-23.69666535330559
2.66,-24.835086940592515
2.67,-25.19390296633347
2.68,-25.61359279597603
2.69,-26.992246205391794
2.7,-26.435378108368724
2.71,-26.145548165851924
2.72,-28.841964651456337
2.73,-27.72164678473464
