seconds_elapsed,dBFS
0.0,-16.551288202220245
0.01,-15.975579187991647
0.02,-16.310510644344824
0.03,-16.231139626543467
0.04,-15.376314720442782
0.05,-16.050956198249903
0.06,-16.179763946567263
0.07,-16.262111532078983
0.08,-17.200466944275984
0.09,-19.341210336535994
0.1,-18.265627671614414
0.11,-18.50331062483112
0.12,-17.37308492362497
0.13,-17.676065440025965
0.14,-18.606554973058046
0.15,-18.996764201153184
0.16,-20.07935292667433
0.17,-18.11711051468996
0.18,-19.570258245100888
0.19,-18.042735470085162
0.2,-18.91449971467118
0.21,-16.88739404441737
0.22,-17.655804433316085
0.23,-18.11924490212865
0.24,-17.430080444233024
0.25,-18.663185044814476
0.26,-17.162143962901833
0.27,-19.30932647600058
0.28,-18.74079929256964
0.29,-18.337565429551535
0.3,-18.43884691255905
0.31,-17.156410071415316
0.32,-18.536842604340627
0.33,-15.798933322008047
0.34,-15.74029967970926
0.35,-16.76050994516941
0.36,-16.660681465647187
0.37,-17.139231073014017
0.38,-15.920715505142491
0.39,-16.48560001656228
0.4,-16.657072869983292
0.41,-17.971090171179156
0.42,-18.2331246164551
0.43,-17.357427614945255
0.44,-17.420226909837588
0.45,-17.659852855499874
0.46,-18.48993399543464
0.47,-17.619453295979724
0.48,-18.038504642121307
0.49,-17.941760076996793
0.5,-19.108473720936512
0.51,-18.919179612218695
0.52,-18.940270410856648
0.53,-18.814487027312893
0.54,-19.489902520671702
0.55,-19.36828070439415
0.56,-19.59046387128297
0.57,-19.54255203456556
0.58,-20.151881265277737
0.59,-20.233185038050735
0.6,-20.89784899484887
0.61,-18.322256039344577
0.62,-16.59774647602976
0.63,-16.583425137850334
0.64,-17.2660065911613
0.65,-17.629535583400887
0.66,-18.570504536297953
0.67,-16.695038105241657
0.68,-19.445026986441423
0.69,-17.378963698562117
0.7,-17.694340842850426
0.71,-20.141098036533297
0.72,-18.697341162907016
0.73,-21.35963608019924
0.74,-18.919179612218695
0.75,-20.442626534552325
0.76,-21.13926342323022
0.77,-19.75897847957195
0.78,-22.40946430810307
0.79,-20.100779738990816
0.8,-17.31062432448597
0.81,-20.464969671343564
0.82,-20.282335126283037
0.83,-18.676831378553203
0.84,-20.3070148608799
0.85,-17.061398298869406
0.86,-16.457347453696176
0.87,-19.70244290363263
0.88,-17.555202316826332
0.89,-17.275686620735648
0.9,-17.688244768459548
0.91,-19.922941714485784
0.92,-19.469929210029633
0.93,-19.60311629833895
0.94,-20.617308113537497
0.95,-19.122838481054107
0.96,-18.170628180228533
0.97,-16.68779382655812
0.98,-16.04422946828112
0.99,-17.651757897189757
1.0,-15.065934853122464
1.01,-14.517384455905846
1.02,-14.79096712136087
1.03,-14.814281048159291
1.04,-15.638633670504605
1.05,-14.448565502274693
1.06,-15.015017423227
1.07,-14.020051128744605
1.08,-15.126222373571029
1.09,-21.224300784229047
1.1,-22.72288834418272
1.11,-27.367845278627158
1.12,-26.655000632473506
1.13,-25.46811391180334
1.14,-25.71024498103568
1.15,-24.517219648342422
1.16,-24.112138604872943
1.17,-20.93614533136413
1.18,-17.547204259504245
1.19,-16.551288202220245
1.2,-16.961807775532616
1.21,-17.021801208171535
1.22,-15.423139036740833
1.23,-15.061430112955076
1.24,-20.5860587630629
1.25,-15.820204231252863
1.26,-17.165968661175025
