seconds_elapsed,dBFS
0.0,-18.536842604340627
0.01,-17.749398902594756
0.02,-23.87703008988748
0.03,-21.267133718839727
0.04,-18.79831433279707
0.05,-19.991521824960774
0.06,-21.726878532540425
0.07,-17.90419490227773
0.08,-15.87938160379337
0.09,-16.28282099463285
0.1,-19.95980216838971
0.11,-17.246678835883017
0.12,-19.459959751674827
0.13,-18.136338909393615
0.14,-19.748671875410327
0.15,-21.02815459041814
0.16,-17.82954845885443
0.17,-21.221249356255253
0.18,-25.14583483237847
0.19,-23.331224237765596
0.2,-21.459403317905384
0.21,-20.757892055214736
0.22,-20.903729759892787
0.23,-23.006730066642813
0.24,-22.690309432580314
0.25,-25.26164840999638
0.26,-23.543854094269246
0.27,-26.962652004230833
0.28,-25.523009116656507
0.29,-24.349413816007107
0.3,-25.059976904585763
0.31,-32.959648942013324
0.32,-26.886175678626714
0.33,-28.356912121706138
0.34,-30.600469217534325
0.35,-30.88348172443225
0.36,-31.813078783236115
0.37,-34.25352419335484
0.38,-31.042688471472133
0.39,-33.6205846255637
0.4,-33.58251638505932
0.41,-33.22287786317275
0.42,-32.13929832162136
0.43,-31.528603170221025
0.44,-34.419237766010966
0.45,-33.41945518428073
0.46,-33.81346944968344
0.47,-33.93129040731416
0.48,-32.70416318128475
0.49,-30.855686853872136
0.5,-33.15029340480577
0.51,-34.25352419335484
0.52,-34.19898153602635
0.53,-31.478770046506295
0.54,-35.02547605138774
0.55,-33.76161323811785
0.56,-30.23978805700423
0.57,-30.690759943657483
0.58,-34.117804406489
0.59,-28.164799306236986
0.6,-28.419576126361463
0.61,-29.729444595018798
0.62,-29.31688644729489
0.63,-30.4933448631316
0.64,-31.31144461845686
0.65,-30.754526593417395
0.66,-30.308998699194355
0.67,-32.78464188736151
0.68,-30.892766481744005
0.69,-30.7636744506485
0.7,-30.708931267519425
0.71,-29.91006506561751
0.72,-30.754526593417395
0.73,-28.13093614584809
0.74,-29.095041892122122
0.75,-33.06637111293361
0.76,-30.90206117459249
0.77,-31.83375948262035
0.78,-32.15002826694891
0.79,-33.15029340480577
0.8,-34.44716669566275
0.81,-31.224148510407858
0.82,-31.023806095257378
0.83,-28.89346944232566
0.84,-30.986164044413698
0.85,-33.735800768487955
0.86,-29.75385460538329
0.87,-31.56867654989807
0.88,-31.253149838312517
0.89,-34.40530690554588
0.9,-36.72044076695198
0.91,-35.93896492184887
0.92,-35.533387529506975
0.93,-30.948684419321516
0.94,-29.70510299205933
0.95,-31.64938226073039
0.96,-33.32061042325637
0.97,-29.80288139389895
0.98,-29.301403573965196
0.99,-30.466768943455364
1.0,-28.43356306921976
1.01,-28.050199177512752
1.02,-29.394717520377004
1.03,-28.761640593511224
1.04,-29.860431275484626
1.05,-31.128170852772485
1.06,-32.36745863500595
1.07,-33.13825474780157
1.08,-35.34523815907035
1.09,-35.22203198497398
1.1,-31.619029674323002
1.11,-28.908241367039253
1.12,-28.631782681862894
1.13,-30.378765256110782
1.14,-33.55722993448413
1.15,-32.85422214974098
1.16,-30.36127101124809
1.17,-29.02732997992244
1.18,-30.948684419321516
1.19,-31.291969521423425
1.2,-29.170901672464904
1.21,-27.587276751512412
1.22,-30.17112454023635
1.23,-30.609456170884485
1.24,-31.771864520200506
1.25,-33.13825474780157
1.26,-30.222571223541507
1.27,-32.69272685357853
1.28,-32.18229786309254
1.29,-31.70020680386035
1.3,-30.069136406009214
1.31,-28.732615037217386
1.32,-28.137698224537665
1.33,-30.19680979198875
1.34,-29.14047821005425
1.35,-30.449096730567526
1.36,-29.095041892122122
1.37,-32.54540882082786
1.38,-28.908241367039253
1.39,-32.48940675940057
1.4,-30.213975587374332
1.41,-33.710064780361634
1.42,-32.0539326257679
1.43,-33.74869741471482
1.44,-33.99744373270901
1.45,-34.6452248776892
1.46,-36.41689472052298
1.47,-32.55665269247964
1.48,-34.67389120614498
1.49,-31.7206201849085
1.5,-33.81346944968344
1.51,-32.19308109183699
1.52,-31.03324215228325
1.53,-28.989939092916963
1.54,-31.11863115973439
1.55,-34.503295418529525
1.56,-34.995627604014075
1.57,-32.117878114370846
1.58,-32.90092059361382
1.59,-33.633311206064775
1.6,-34.77497501942614
1.61,-35.47021714461037
1.62,-34.93623667424207
1.63,-34.995627604014075
1.64,-35.161078123333866
1.65,-33.35754551635211
1.66,-31.38978462764298
1.67,-36.73863111839208
1.68,-30.645497258438095
1.69,-33.27160668459903
1.7,-35.161078123333866
1.71,-33.944480826915246
1.72,-32.32353495284228
1.73,-33.83951411578833
1.74,-35.055427424645636
1.75,-37.341798479575715
1.76,-32.92436430457484
1.77,-34.559789208826054
1.78,-24.124915105786204
1.79,-31.24347196584827
1.8,-33.918119988356985
1.81,-32.842586662886376
1.82,-34.33598579028897
1.83,-34.05073156633725
1.84,-32.70416318128475
1.85,-31.41934525619098
1.86,-31.05214507516951
1.87,-31.60893567012126
1.88,-30.690759943657483
1.89,-31.05214507516951
1.9,-29.528652259246115
1.91,-33.55722993448413
1.92,-29.2167376080566
1.93,-26.962652004230833
1.94,-30.618452432318502
1.95,-28.336124182853215
1.96,-32.624423306542276
1.97,-28.117427761106622
1.98,-28.356912121706138
1.99,-30.352537084279845
2.0,-30.7911759711585
2.01,-32.51176427403059
2.02,-29.481144996029855
2.03,-34.46116490922928
2.04,-35.32974147407113
2.05,-32.80777343136036
2.06,-37.619453295979724
2.07,-36.59416392714908
2.08,-37.72080671713998
2.09,-34.559789208826054
2.1,-37.12970184590566
2.11,-37.400553312212516
2.12,-34.80407350438963
2.13,-36.55841947490166
2.14,-35.70951298520325
2.15,-35.85632024851811
2.16,-34.14477924070991
2.17,-33.38225645659825
2.18,-30.457928342551646
2.19,-29.536595460200303
2.2,-29.481144996029855
2.21,-31.33096347979008
2.22,-27.251006771319407
2.23,-27.930483642678823
2.24,-28.13093614584809
2.25,-28.419576126361463
2.26,-30.34381193072038
2.27,-32.77309917518034
2.28,-30.52000234586052
2.29,-31.802756869201367
2.3,-30.573564013869458
2.31,-29.721323145490164
2.32,-30.12848385745615
2.33,-34.37751203498576
2.34,-33.247208102157046
2.35,-32.17152800475295
2.36,-32.83096674190513
2.37,-34.717068874037864
2.38,-34.503295418529525
2.39,-33.735800768487955
2.4,-33.81346944968344
2.41,-32.534179485536505
2.42,-31.301701611671895
2.43,-28.232924280075217
2.44,-33.32061042325637
2.45,-31.75133049258022
2.46,-31.761591438413884
2.47,-31.558640858847422
2.48,-29.473252319759318
2.49,-29.41820349134614
2.5,-29.893488935323198
2.51,-31.95888850814342
2.52,-29.41820349134614
2.53,-27.257117140644958
2.54,-29.324638245790723
2.55,-31.166434745658094
2.56,-27.6510033003047
2.57,-26.980396422328702
2.58,-27.027892861325324
2.59,-27.330778837007227
2.6,-25.81315956934073
2.61,-26.740971868519253
2.62,-27.263231811533227
2.63,-24.697431291832828
2.64,-28.23976625730026
2.65,-26.90376439129521
2.66,-30.645497258438095
2.67,-29.82749895304583
2.68,-28.81998432010253
2.69,-27.753948382534894
2.7,-30.352537084279845
2.71,-29.87694437862951
2.72,-28.560469558468643
2.73,-27.80588210758375
2.74,-29.394717520377004
2.75,-30.17112454023635
2.76,-28.39863785273134
2.77,-30.864941931613068
2.78,-29.201432071694352
2.79,-32.865873244228496
2.8,-29.11016093795526
2.81,-31.659523405651292
2.82,-29.410367776211153
2.83,-31.08057681786539
2.84,-32.107187787312995
2.85,-31.802756869201367
2.86,-30.718031205112453
2.87,-31.508635599041092
2.88,-28.97502769073445
2.89,-32.796199959110986
2.9,-30.511107424818892
2.91,-29.347935236882176
2.92,-29.24742982952596
2.93,-29.170901672464904
2.94,-28.768912163327354
2.95,-27.03384821955524
2.96,-25.985680653474496
2.97,-22.636281331956766
