seconds_elapsed,dBFS
0.0,-41.876920161797734
0.01,-41.36583807234997
0.02,-42.77745955806411
0.03,-41.091041844063405
0.04,-43.86461280451597
0.05,-44.33193717100022
0.06,-45.54807663661845
0.07,-44.96556413113407
0.08,-45.85466927624269
0.09,-40.680146129148255
0.1,-35.613002107417415
0.11,-36.17464305245918
0.12,-39.9387199016366
0.13,-73.40703789890921
0.14,-84.28839878591472
0.15,-90.30899869919435
0.16,-90.30899869919435
0.17,-90.30899869919435
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-90.30899869919435
0.28,-90.30899869919435
0.29,-90.30899869919435
0.3,-90.30899869919435
0.31,-90.30899869919435
0.32,-90.30899869919435
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-100
0.66,-100
0.67,-100
0.68,-100
0.69,-100
0.7,-100
0.71,-100
0.72,-100
0.73,-100
0.74,-100
0.75,-100
0.76,-100
0.77,-100
0.78,-100
0.79,-100
0.8,-100
0.81,-100
0.82,-100
0.83,-100
0.84,-100
0.85,-100
0.86,-100
0.87,-100
0.88,-100
0.89,-100
0.9,-100
0.91,-100
0.92,-100
0.93,-100
0.94,-100
0.95,-100
0.96,-100
0.97,-100
0.98,-100
0.99,-100
1.0,-100
1.01,-100
1.02,-100
1.03,-100
1.04,-100
1.05,-100
1.06,-100
1.07,-100
1.08,-100
1.09,-100
1.1,-100
1.11,-100
1.12,-100
1.13,-100
1.14,-100
1.15,-100
1.16,-100
1.17,-100
1.18,-100
1.19,-100
1.2,-100
1.21,-100
1.22,-100
1.23,-100
1.24,-100
1.25,-100
1.26,-100
1.27,-100
1.28,-100
1.29,-100
1.3,-100
1.31,-100
1.32,-100
1.33,-100
1.34,-100
1.35,-100
1.36,-100
1.37,-100
1.38,-100
1.39,-100
1.4,-100
1.41,-100
1.42,-100
1.43,-100
1.44,-100
1.45,-100
1.46,-100
1.47,-100
1.48,-100
1.49,-100
1.5,-100
1.51,-100
1.52,-100
1.53,-100
1.54,-100
1.55,-100
1.56,-100
1.57,-100
1.58,-100
1.59,-100
1.6,-100
1.61,-100
1.62,-100
1.63,-100
1.64,-100
1.65,-100
1.66,-100
1.67,-100
1.68,-100
1.69,-100
1.7,-100
1.71,-100
1.72,-100
1.73,-100
1.74,-100
1.75,-100
1.76,-100
1.77,-100
1.78,-100
1.79,-100
1.8,-100
1.81,-100
1.82,-100
1.83,-100
1.84,-100
1.85,-100
1.86,-100
1.87,-100
1.88,-100
1.89,-100
1.9,-100
1.91,-100
1.92,-100
1.93,-100
1.94,-100
1.95,-100
1.96,-100
1.97,-100
1.98,-100
1.99,-100
2.0,-100
2.01,-100
2.02,-100
2.03,-100
2.04,-100
2.05,-100
2.06,-100
2.07,-100
2.08,-100
2.09,-100
2.1,-100
2.11,-100
2.12,-100
2.13,-100
2.14,-100
2.15,-100
2.16,-100
2.17,-100
2.18,-100
2.19,-100
2.2,-100
2.21,-100
2.22,-100
2.23,-100
2.24,-100
2.25,-100
2.26,-100
2.27,-100
2.28,-100
2.29,-100
2.3,-100
2.31,-100
2.32,-100
2.33,-100
2.34,-100
2.35,-100
2.36,-100
2.37,-100
2.38,-100
2.39,-100
2.4,-100
2.41,-100
2.42,-100
2.43,-100
2.44,-100
2.45,-59.18294868384861
2.46,-59.42763781218885
2.47,-55.34523815907035
2.48,-49.80288139389895
2.49,-46.012121738240396
2.5,-46.729459753330964
2.51,-49.32463824579072
2.52,-49.80288139389895
2.53,-48.72537377824186
2.54,-50.136995263955995
2.55,-50.939339728115655
2.56,-55.66112350273499
2.57,-55.0404388279356
2.58,-55.823481307178575
2.59,-56.505077098624085
2.6,-57.43994516947061
2.61,-55.0404388279356
2.62,-55.50174490930948
2.63,-54.32218771012272
2.64,-51.41934525619099
2.65,-53.53201688444925
2.66,-56.32959861247397
2.67,-54.05073156633725
2.68,-54.60240199897902
2.69,-50.754526593417395
2.7,-51.128170852772485
2.71,-54.05073156633725
2.72,-54.60240199897902
2.73,-54.18539921951661
2.74,-52.807773431360346
2.75,-52.13929832162136
2.76,-54.745973691521485
2.77,-53.28383172481285
2.78,-54.60240199897902
2.79,-51.518613646821976
2.8,-46.61517008284237
2.81,-49.96833191321875
2.82,-51.82341297795672
2.83,-52.807773431360346
2.84,-55.34523815907035
2.85,-52.807773431360346
2.86,-54.60240199897902
2.87,-54.05073156633725
2.88,-53.787502645177824
2.89,-51.7206201849085
2.9,-53.04254149678523
2.91,-51.32119856629609
2.92,-52.35645687338553
2.93,-54.891958466351475
2.94,-53.16234877056899
2.95,-51.82341297795672
2.96,-54.60240199897902
2.97,-53.16234877056899
2.98,-54.32218771012272
2.99,-50.22257122354151
3.0,-49.481144996029855
3.01,-50.39629480724336
3.02,-54.891958466351475
3.03,-52.13929832162136
3.04,-51.92743685167287
3.05,-52.69272685357852
3.06,-53.16234877056899
3.07,-51.619029674323
3.08,-52.13929832162136
3.09,-52.807773431360346
3.1,-53.65882044506962
3.11,-52.57918419574472
3.12,-52.57918419574472
3.13,-51.619029674323
3.14,-53.53201688444925
3.15,-53.787502645177824
3.16,-47.574587356066225
3.17,-54.60240199897902
3.18,-54.745973691521485
3.19,-54.05073156633725
3.2,-56.15759517723562
3.21,-55.19150158574453
