seconds_elapsed,dBFS
0.0,-7.8065332481544
0.01,-8.098551247167897
0.02,-9.671946071281779
0.03,-11.830654236932247
0.04,-14.896376143638225
0.05,-15.737053831525724
0.06,-13.012846118671417
0.07,-17.012399876332548
0.08,-14.893430775811405
0.09,-18.224477637504958
0.1,-20.492979658977255
0.11,-21.362736522722994
0.12,-20.3565857035686
0.13,-21.772269623124195
0.14,-23.79047958376503
0.15,-26.113338402224056
0.16,-25.393811579848816
0.17,-26.402077532225967
0.18,-24.67469929864844
0.19,-25.959319814916235
0.2,-23.68450307877971
0.21,-22.378037939451715
0.22,-19.12044270400456
0.23,-17.89586910280194
0.24,-17.66795536507816
0.25,-18.572753310326842
0.26,-20.484567174408696
0.27,-22.76287367783038
0.28,-20.14648797753037
0.29,-21.54764969012448
0.3,-24.375694893963733
0.31,-19.72039161185464
0.32,-15.189977879111717
0.33,-12.90911869675952
0.34,-15.168674004568345
0.35,-18.220157373979895
0.36,-13.588849516683727
0.37,-13.800476343837895
0.38,-12.468220292368526
0.39,-16.98987811011522
0.4,-14.958460711026717
0.41,-19.05125107331677
0.42,-21.778773471902856
0.43,-24.733926680137778
0.44,-28.82730491862948
0.45,-28.51796104146527
0.46,-30.352537084279845
0.47,-30.36127101124809
0.48,-32.06455756854605
0.49,-31.771864520200506
0.5,-36.191724453515974
0.51,-37.14877076605211
0.52,-32.69272685357853
0.53,-30.63647295670367
0.54,-31.340739383622335
0.55,-32.796199959110986
0.56,-30.827980643336808
0.57,-29.23974660068525
0.58,-29.664684633234724
0.59,-29.737573645343605
0.6,-29.02732997992244
0.61,-29.648569805536145
0.62,-30.01858792403588
0.63,-30.555673400668866
0.64,-33.48180929009726
0.65,-37.51926891382263
0.66,-34.995627604014075
0.67,-34.14477924070991
0.68,-32.55665269247964
0.69,-36.005651542225195
0.7,-39.06314141006486
0.71,-36.0224035042897
0.72,-35.29883080216743
0.73,-37.42022690983759
0.74,-40.651527027019284
0.75,-44.463877272064835
0.76,-45.802813064677096
0.77,-46.28105621278533
0.78,-44.20197131026188
0.79,-45.85466927624269
0.8,-48.510896470406394
0.81,-50.30899869919435
0.82,-47.7669027318982
0.83,-49.80288139389895
0.84,-51.92743685167287
0.85,-50.573564013869465
0.86,-52.24719895935549
0.87,-51.619029674323
0.88,-52.57918419574472
0.89,-51.82341297795672
0.9,-50.939339728115655
0.91,-50.573564013869465
0.92,-50.754526593417395
0.93,-51.518613646821976
0.94,-50.573564013869465
0.95,-51.619029674323
0.96,-51.03324215228325
0.97,-52.24719895935549
0.98,-52.807773431360346
0.99,-51.619029674323
1.0,-52.57918419574472
1.01,-50.754526593417395
1.02,-27.165909901068726
1.03,-51.518613646821976
1.04,-51.03324215228325
1.05,-52.69272685357852
1.06,-51.41934525619099
1.07,-49.481144996029855
1.08,-50.754526593417395
1.09,-49.72132314549016
1.1,-49.17090167246491
1.11,-50.05225420509091
1.12,-50.48447718534446
1.13,-49.64052358945536
1.14,-48.72537377824186
1.15,-50.663574038402984
1.16,-49.72132314549016
1.17,-45.802813064677096
1.18,-50.754526593417395
1.19,-23.77818532886312
1.2,-49.64052358945536
1.21,-50.48447718534446
1.22,-49.095041892122126
1.23,-49.40253912346121
1.24,-49.01983891465598
1.25,-50.573564013869465
1.26,-50.05225420509091
1.27,-50.48447718534446
1.28,-50.48447718534446
1.29,-49.17090167246491
1.3,-49.56046874038188
1.31,-50.05225420509091
1.32,-50.48447718534446
1.33,-49.56046874038188
1.34,-50.30899869919435
1.35,-49.96833191321875
1.36,-48.87135855307185
1.37,-49.56046874038188
1.38,-49.56046874038188
1.39,-50.39629480724336
1.4,-50.05225420509091
1.41,-49.96833191321875
1.42,-50.939339728115655
1.43,-49.56046874038188
1.44,-50.84644162720038
1.45,-50.136995263955995
1.46,-49.885212717795596
1.47,-49.32463824579072
1.48,-50.136995263955995
1.49,-50.05225420509091
1.5,-50.48447718534446
1.51,-51.32119856629609
1.52,-50.48447718534446
1.53,-50.30899869919435
1.54,-49.96833191321875
1.55,-50.39629480724336
1.56,-51.41934525619099
1.57,-50.939339728115655
1.58,-51.22414851040786
1.59,-50.754526593417395
1.6,-51.128170852772485
1.61,-51.92743685167287
1.62,-51.92743685167287
1.63,-52.467106645384746
1.64,-51.619029674323
1.65,-51.619029674323
1.66,-50.136995263955995
1.67,-52.03272165152002
1.68,-51.03324215228325
1.69,-50.939339728115655
1.7,-45.01264223900363
1.71,-47.70232332929424
1.72,-46.50236473578853
1.73,-51.128170852772485
1.74,-48.653291292865354
1.75,-49.247429829525956
1.76,-49.17090167246491
1.77,-49.247429829525956
1.78,-49.17090167246491
1.79,-49.481144996029855
1.8,-48.87135855307185
1.81,-49.247429829525956
1.82,-49.96833191321875
1.83,-50.48447718534446
1.84,-50.48447718534446
1.85,-50.30899869919435
1.86,-49.01983891465598
1.87,-50.05225420509091
1.88,-49.247429829525956
1.89,-49.80288139389895
1.9,-48.798059471343734
1.91,-47.63822053179
1.92,-47.51141697116962
1.93,-47.63822053179
1.94,-45.54807663661845
1.95,-45.54807663661845
1.96,-44.24507755078458
1.97,-43.15030175918528
1.98,-44.64297412512336
1.99,-43.22682991624633
2.0,-40.39811194826538
2.01,-37.619453295979724
2.02,-35.93896492184887
2.03,-34.847904831909105
2.04,-32.624423306542276
2.05,-32.09651060141033
2.06,-31.340739383622335
2.07,-31.64938226073039
2.08,-30.145515019065826
2.09,-29.568441104078858
2.1,-31.48871382508296
2.11,-31.864873150414027
2.12,-29.885212717795593
2.13,-28.137698224537665
2.14,-26.586831102930255
2.15,-26.76981908745619
2.16,-27.657401745999618
2.17,-29.737573645343605
2.18,-30.466768943455364
2.19,-27.917283199958682
2.2,-29.78650836428535
2.21,-31.782149766681258
2.22,-30.47561855159539
2.23,-33.431890246731136
2.24,-31.43910838107231
2.25,-32.345469029240824
2.26,-32.29073734444098
2.27,-34.23985638622608
2.28,-36.55841947490166
2.29,-38.311337257720595
2.3,-41.68172341601461
2.31,-42.56120217241977
2.32,-45.59842976104338
2.33,-47.20227794989312
2.34,-45.64907649135128
2.35,-34.83326979957049
2.36,-31.061611985793935
2.37,-27.6510033003047
2.38,-24.14197972745984
2.39,-20.947962870109606
2.4,-17.332044531736486
2.41,-17.881318129561294
2.42,-11.665613780778513
2.43,-14.487823827357849
2.44,-10.655434831524673
2.45,-7.362275218459605
2.46,-6.307865379750071
2.47,-8.952708475957555
2.48,-14.072138575664809
2.49,-16.291464531656285
2.5,-19.001488644912882
2.51,-20.532346011546345
2.52,-21.857201902164714
2.53,-22.98801450318965
2.54,-22.73014472692561
2.55,-22.2123243667956
2.56,-19.638641458855005
2.57,-17.018039454263423
2.58,-14.914069355605285
2.59,-11.886719222460744
2.6,-11.229941034555894
2.61,-14.497666196272824
2.62,-14.406698986587092
2.63,-11.481751984959134
2.64,-14.56404109255528
2.65,-15.977247145680508
2.66,-14.307035095698845
2.67,-12.783486925636778
2.68,-14.02671157661185
2.69,-16.357438026172094
2.7,-14.243954470585216
