seconds_elapsed,dBFS
0.0,-100
0.01,-80.76657360480111
0.02,-21.79831428922909
0.03,-41.68172341601461
0.04,-49.64052358945536
0.05,-57.43994516947061
0.06,-58.94496421785445
0.07,-30.87420688143879
0.08,-21.35343851330193
0.09,-16.179763946567263
0.1,-13.806970467234294
0.11,-9.82010635656737
0.12,-7.257728414063567
0.13,-6.906699309261322
0.14,-5.4860414509603626
0.15,-5.950375323478747
0.16,-5.8028130646771015
0.17,-5.738425152050719
0.18,-5.458170133226674
0.19,-5.902128997253417
0.2,-5.158787035382053
0.21,-5.599439806935333
0.22,-5.805915722198238
0.23,-5.87497741150242
0.24,-4.751315854390357
0.25,-5.2330341018293645
0.26,-4.901944663670691
0.27,-5.178011056150472
0.28,-6.083383339911775
0.29,-5.943016181490902
0.3,-4.66063528164141
0.31,-4.776546215160203
0.32,-5.458170133226674
0.33,-5.472592328833753
0.34,-5.24126923943892
0.35,-5.492025529487145
0.36,-5.4402999687925995
0.37,-5.322585166441672
0.38,-5.717921419571628
0.39,-6.173020691563411
0.4,-5.964058865486498
0.41,-6.589660843837529
0.42,-6.159542909574086
0.43,-7.371560637479587
0.44,-7.241239112558192
0.45,-7.222345474348256
0.46,-7.594263829004885
0.47,-7.438710297683332
0.48,-7.272411896556936
0.49,-7.526536017002767
0.5,-6.840611017558317
0.51,-7.308614660891387
0.52,-6.643601825538265
0.53,-6.048211274175168
0.54,-6.3611818765284065
0.55,-6.493403280633981
0.56,-6.269591852213399
0.57,-5.418508467792683
0.58,-5.874456096516334
0.59,-5.992019176965272
0.6,-5.518004282384896
0.61,-5.297183525190504
0.62,-5.073276967879278
0.63,-5.296208020962383
0.64,-5.904744205064722
0.65,-5.319161384689063
0.66,-5.311340661920464
0.67,-5.221421301296494
0.68,-4.5641644756274005
0.69,-4.818914246076695
0.7,-4.886577585111699
0.71,-4.994251412844544
0.72,-4.433353092593888
0.73,-4.747652081421107
0.74,-5.205479009323773
0.75,-4.491841169136601
0.76,-4.666076716205004
0.77,-5.125247040338258
0.78,-5.219003920846706
0.79,-5.183786568950222
0.8,-5.4264263258050285
0.81,-5.368692888557729
0.82,-5.378042344357942
0.83,-5.307921308758376
0.84,-5.676549017062768
0.85,-5.6566990364987255
0.86,-5.126203530773985
0.87,-5.27574769939847
0.88,-5.522007919071621
0.89,-5.262134211592641
0.9,-6.127281303939393
0.91,-6.143934837740658
0.92,-6.488366522222002
0.93,-6.380500420210452
0.94,-5.6709457100614955
0.95,-5.4740856477814805
0.96,-6.4805373654382015
0.97,-6.716814024670349
0.98,-6.2499737983895045
0.99,-6.693295999725583
1.0,-6.490604720942901
1.01,-6.618576982136135
1.02,-6.820824057731913
1.03,-6.6732698957105265
1.04,-6.3562211880829675
1.05,-6.15900423304825
1.06,-5.986208687131491
1.07,-5.760006289797524
1.08,-6.0365188308726205
1.09,-5.48803568576147
1.1,-5.563654909114501
1.11,-5.667381850366912
1.12,-6.087656314853719
1.13,-5.903174985891251
1.14,-6.574956247892333
1.15,-7.434966110698965
1.16,-7.401340859696868
1.17,-7.024321605342144
1.18,-7.166514789096972
1.19,-7.239408898755867
1.2,-7.055918616802841
1.21,-6.866284766203027
1.22,-6.73003499685832
1.23,-6.008944554895312
1.24,-5.0083947447331845
1.25,-6.329262585775698
1.26,-8.877985911855717
1.27,-9.475619369682152
1.28,-10.612154071088838
1.29,-10.363892902792294
1.3,-10.479160920991168
1.31,-10.80587913106057
1.32,-11.088174360128118
1.33,-11.140588138143993
1.34,-11.031354120618811
1.35,-11.138676630733537
1.36,-10.798524439987728
1.37,-10.203672039738983
1.38,-9.740827396884956
1.39,-9.266667688194394
1.4,-9.88686733055192
1.41,-10.331611421547473
1.42,-10.086051483678409
1.43,-9.268208559164918
1.44,-8.966837318003043
1.45,-9.58121212588052
1.46,-10.133589700439309
1.47,-9.65904104205215
1.48,-9.488254541853788
1.49,-9.509618161845141
1.5,-9.985051628945577
1.51,-10.105544633458784
1.52,-9.78160246771999
1.53,-9.789780502066776
1.54,-9.90343081695581
1.55,-9.560468740381886
1.56,-9.265897355203064
1.57,-9.095041892122126
1.58,-9.255889238403821
1.59,-8.663346900945605
1.6,-9.150354151582183
1.61,-9.452764863051401
1.62,-8.948251506918654
1.63,-8.510190329221663
1.64,-9.229001485333049
1.65,-9.674367900277828
1.66,-9.57083424078998
1.67,-9.735134131316038
1.68,-10.432341366914635
1.69,-13.117827246673288
1.7,-19.771878956676865
1.71,-21.70427163096415
1.72,-25.478069087263385
1.73,-29.68891307192362
1.74,-29.552503687427517
1.75,-29.860431275484626
1.76,-30.27432444301435
1.77,-31.979919728195853
1.78,-32.389504052013066
1.79,-32.37847434940325
1.8,-29.77833340872842
1.81,-26.524808907548234
1.82,-17.112575538080257
1.83,-10.516443284291338
1.84,-9.005623665079455
1.85,-8.26650158450384
1.86,-7.403205518111427
1.87,-5.731756128583099
1.88,-6.446506732105125
1.89,-7.580929736514558
1.9,-8.571129273005248
1.91,-10.049724702678803
1.92,-10.763674450648503
1.93,-11.747229505894941
1.94,-12.298379050139241
1.95,-13.255739812302973
1.96,-13.822576202178931
1.97,-13.38473142160661
1.98,-13.061599956736709
1.99,-13.348913269248992
2.0,-13.49809494645758
2.01,-13.788799143372348
2.02,-13.829086876075003
2.03,-13.751279043397242
2.04,-13.532016884449249
2.05,-13.989478679754647
2.06,-13.831692512704132
2.07,-13.278939643783465
2.08,-13.12503146851681
2.09,-12.655093451562415
2.1,-12.609694735179705
2.11,-12.414925647009758
2.12,-12.55440275343375
2.13,-11.823412977956725
2.14,-11.997836390963947
2.15,-11.932670891986767
2.16,-11.888802669253671
2.17,-12.040139602006443
2.18,-11.811013418908686
2.19,-11.5726940752417
2.2,-11.802756869201367
2.21,-11.64229049764133
2.22,-11.348568036372285
2.23,-11.080576817865392
2.24,-10.493344863131602
2.25,-13.0354053416764
2.26,-16.04422946828112
2.27,-23.025486043781967
2.28,-27.00411217668814
2.29,-28.718138551136235
2.3,-31.7206201849085
2.31,-39.452490160010754
2.32,-42.704773864962235
2.33,-44.15907794093009
2.34,-46.28105621278533
2.35,-46.67212694029891
2.36,-45.64907649135128
2.37,-46.90376439129521
2.38,-46.17248117855736
2.39,-33.944480826915246
2.4,-34.19898153602635
2.41,-23.559813473381233
2.42,-13.822576202178931
2.43,-10.464115818258929
2.44,-9.7270073627235
2.45,-10.643691647863449
2.46,-12.389504052013066
2.47,-13.418212656614198
2.48,-13.26427991095661
2.49,-13.849953888244723
2.5,-13.509387545627504
2.51,-13.646056460938656
2.52,-12.924364304574834
2.53,-12.792730922399205
2.54,-12.227677660904302
2.55,-12.220097877656164
2.56,-11.38290159932486
2.57,-11.699187393068966
2.58,-11.522608077629595
2.59,-11.450987876388478
2.6,-10.677156354912729
2.61,-10.740822846733574
2.62,-10.876988294593177
2.63,-10.622053547477082
2.64,-10.47827519319373
2.65,-9.863731385569185
2.66,-9.700242846653373
2.67,-9.546136899795508
2.68,-9.360385896083512
2.69,-7.718423222018831
2.7,-7.091228376294877
2.71,-8.48621562267926
2.72,-9.65662348217996
2.73,-8.497489594750324
2.74,-7.6510033003046996
2.75,-7.670853843706633
2.76,-8.465116285248037
2.77,-9.907576628517532
2.78,-10.866794131137747
2.79,-14.148832700986356
2.8,-15.489120067496636
2.81,-14.060090641739238
2.82,-14.09225567638459
2.83,-13.473052721707251
2.84,-14.694014077123311
2.85,-15.097533620306473
2.86,-19.336297502899324
2.87,-23.708844681739173
2.88,-31.927436851672873
2.89,-31.33096347979008
2.9,-32.6813055637829
2.91,-25.155427201810664
2.92,-17.451797647504527
2.93,-14.362262683687362
2.94,-12.481595205271393
2.95,-10.295112381867268
2.96,-10.599571033402604
2.97,-10.754526593417403
2.98,-11.731868027556143
2.99,-15.674001028649089
3.0,-19.792559656061105
3.01,-27.129693491526155
3.02,-32.20387772422533
3.03,-38.117110514689955
3.04,-43.3040383325111
3.05,-39.80810255845745
3.06,-38.117110514689955
3.07,-16.22770511102301
3.08,-9.292127080055979
3.09,-7.218084850776161
3.1,-9.625256283325305
3.11,-9.238210770137874
3.12,-10.586109404983945
3.13,-10.009352527484719
3.14,-9.514372777220538
3.15,-12.188766193766101
3.16,-16.744095660653517
3.17,-26.804562692333306
3.18,-33.519437751710385
3.19,-35.98893182649837
3.2,-37.38092417473297
3.21,-40.56623118965063
3.22,-39.834069362963064
3.23,-39.67942035834925
3.24,-36.793431865712655
3.25,-36.86704154048001
3.26,-38.532364187310215
3.27,-41.942972872799444
3.28,-29.78650836428535
3.29,-7.888312649748376
3.3,-8.197432618153615
3.31,-8.148528512272591
3.32,-8.626056036105393
3.33,-9.005623665079455
3.34,-8.845633453892326
3.35,-9.77179897950313
3.36,-9.371294882440154
3.37,-9.41977148298106
3.38,-10.993679415540633
3.39,-15.89258706378748
3.4,-21.067031076491244
3.41,-28.96014184366674
3.42,-38.736214499832904
3.43,-42.07660457992975
3.44,-45.95931981491623
3.45,-46.06524661111521
3.46,-47.63822053179
3.47,-49.095041892122126
