seconds_elapsed,dBFS
0.0,-17.287316914334127
0.01,-16.798931004635225
0.02,-16.935690390104515
0.03,-17.26213759794006
0.04,-17.291197142068107
0.05,-17.127797254375594
0.06,-17.661877774412893
0.07,-18.211523288141642
0.08,-21.076027337925254
0.09,-26.96856278338923
0.1,-23.32733532360255
0.11,-21.30093697608703
0.12,-18.940270410856648
0.13,-18.617851488680863
0.14,-18.842281897873004
0.15,-18.213681005116612
0.16,-17.233174951438116
0.17,-16.78976770635097
0.18,-16.350469803064257
0.19,-16.143980927366805
0.2,-16.045910662448392
0.21,-16.293194271707417
0.22,-16.610297046376562
0.23,-16.952471120180135
0.24,-21.437481104189207
0.25,-23.786379564978468
0.26,-19.034631899880804
0.27,-16.88739404441737
0.28,-15.771195884357924
0.29,-17.089792863672685
0.3,-17.767829419174564
0.31,-18.164188622559504
0.32,-16.82463978766036
0.33,-17.09358582864041
0.34,-18.002625566964777
0.35,-18.3113372577206
0.36,-19.430119849536226
0.37,-19.17571345674299
0.38,-19.437570219947048
0.39,-19.93345732065886
0.4,-23.523946018540368
0.41,-27.3864379856296
0.42,-21.387579985174256
0.43,-18.501079755514102
0.44,-17.179368383384386
0.45,-15.573103600707142
0.46,-16.68779382655812
0.47,-16.305312106750403
0.48,-16.98987811011522
0.49,-17.116378467054346
0.5,-17.225467861635146
0.51,-17.643670476085866
0.52,-18.235287706900362
0.53,-17.51528547434073
0.54,-18.68138492499462
0.55,-19.048874957958482
0.56,-20.52108026465177
0.57,-19.653911119344404
0.58,-20.41755901459039
0.59,-22.909846552273294
0.6,-20.8101119898866
0.61,-19.447513998523714
0.62,-18.895805298763676
0.63,-18.525650888273407
0.64,-18.3266273980871
0.65,-18.030049163587364
0.66,-19.771878956676865
0.67,-19.87316570641189
0.68,-21.89338630822305
0.69,-21.769019524063612
0.7,-22.60402505112996
0.71,-22.315524269573594
0.72,-22.444516371968408
0.73,-22.205487774834573
0.74,-21.33487230109276
0.75,-21.713953099146195
0.76,-21.29478113625597
0.77,-21.516030107924884
0.78,-21.468815516375315
0.79,-20.82758863489348
0.8,-20.640105737223653
0.81,-21.0880368657812
0.82,-20.348304225453816
0.83,-20.798480398408742
0.84,-20.20057214752874
0.85,-21.525503902324985
0.86,-22.618346389309387
0.87,-27.530319894055882
0.88,-35.31427238781313
0.89,-36.140580696500095
0.9,-37.7616815673397
0.91,-36.05600466665013
0.92,-33.99744373270901
0.93,-31.321198566296097
0.94,-35.23733752133622
0.95,-25.679606890580725
0.96,-25.77700059504721
0.97,-23.409370420649193
0.98,-18.29607398594647
0.99,-18.786780816777565
1.0,-19.95452680251965
1.01,-22.076604579929754
1.02,-25.06472458966602
1.03,-24.44616903017574
1.04,-22.887641453759628
1.05,-21.614427863599204
1.06,-22.222589354759744
1.07,-21.75278724567455
1.08,-18.608813101145138
1.09,-18.97082559465829
1.1,-21.956243906149766
1.11,-23.215307620099786
1.12,-25.782156955921742
1.13,-33.633311206064775
1.14,-35.54925217252573
1.15,-35.31427238781313
1.16,-36.277638998075815
1.17,-35.01053900619659
1.18,-36.59416392714908
1.19,-35.88928381611958
1.2,-29.82749895304583
1.21,-25.5380409455678
1.22,-23.010478023394842
1.23,-21.811365966573018
1.24,-20.484567174408696
1.25,-20.891972208672005
1.26,-22.29478596372973
1.27,-24.706540773148205
1.28,-30.591491553026483
1.29,-17.21007416750747
1.3,-16.678746966415115
1.31,-17.45970829435193
1.32,-19.05125107331677
1.33,-18.891137974826513
1.34,-19.988874091473402
1.35,-18.313519916266593
1.36,-18.259117323048738
1.37,-20.20057214752874
1.38,-20.290553915388344
1.39,-20.43983767929059
1.4,-20.425906818825503
1.41,-20.537984369185473
1.42,-21.63360202069704
1.43,-20.34278762340235
1.44,-20.127637798851126
1.45,-20.162677897666086
1.46,-19.865332346820633
1.47,-19.294650229808703
1.48,-19.417716749273495
1.49,-19.250769694864182
1.5,-18.423358122958234
1.51,-18.24611124679071
1.52,-18.593018518934336
1.53,-19.365816272646008
1.54,-18.789086295129003
1.55,-19.66920767094335
1.56,-20.850945663121077
1.57,-19.343667795779453
1.58,-20.927292716731948
1.59,-20.015387816694723
1.6,-20.501400299130776
1.61,-21.130201461387834
1.62,-20.28781345483933
1.63,-20.569060930557907
1.64,-21.304016532807136
1.65,-21.031138919476213
1.66,-21.067031076491244
1.67,-20.370405737730056
1.68,-20.329011427591293
1.69,-19.891471065427517
1.7,-20.036657223436862
1.71,-18.816799872390614
1.72,-19.383081996765508
1.73,-19.420195952840512
1.74,-19.452490160010758
1.75,-21.257937434615847
1.76,-21.082030026234698
1.77,-18.68138492499462
1.78,-20.340030635714363
1.79,-22.525677011903706
1.8,-25.618653028940624
1.81,-29.544545931819982
1.82,-27.715200855208337
1.83,-26.232029424269662
1.84,-24.19767242888828
1.85,-22.7592310316717
1.86,-25.959319814916235
1.87,-24.96087032413627
1.88,-9.180049529696007
1.89,-9.672753272586952
1.9,-14.998607837235305
1.91,-17.14304569303056
1.92,-22.8250335406127
1.93,-31.53860419566452
1.94,-28.768912163327354
1.95,-22.675869047478617
1.96,-20.442626534552325
1.97,-18.59978410902434
1.98,-18.01949137738645
1.99,-18.185672407041945
2.0,-19.048874957958482
2.01,-20.93614533136413
2.02,-23.964451715665952
2.03,-25.24223859267223
2.04,-23.64811810272461
2.05,-16.604916009774065
2.06,-19.378145429631736
2.07,-23.918549717885277
2.08,-25.150629692913185
2.09,-23.6440847199551
2.1,-19.365816272646008
2.11,-19.88362118722665
2.12,-16.769642413299188
2.13,-16.61568141867714
2.14,-20.52671131161597
2.15,-20.095418078550157
2.16,-22.71926242484888
2.17,-19.764136371432585
2.18,-22.009531739777994
2.19,-24.620384022303966
2.2,-26.740971868519253
2.21,-23.897765095289625
2.22,-19.527476723338822
2.23,-19.996819714504753
2.24,-16.99925508353814
2.25,-16.795264525206335
2.26,-15.415317433656629
2.27,-21.154387734274387
2.28,-19.5249667133118
2.29,-19.47991012424258
2.3,-19.580355182754086
2.31,-22.430478567477618
2.32,-22.381524148464223
2.33,-24.223497689651794
2.34,-30.370013729286732
2.35,-26.440940637946007
2.36,-22.984276224828495
