seconds_elapsed,dBFS
0.0,-16.973025025870875
0.01,-16.891099628790155
0.02,-17.394659911802282
0.03,-16.669709519300696
0.04,-15.635425585652598
0.05,-17.449821110998545
0.06,-16.207126488236895
0.07,-15.977247145680508
0.08,-17.75553806386204
0.09,-16.76050994516941
0.1,-17.745308537726107
0.11,-18.76375962747806
0.12,-19.048874957958482
0.13,-17.958508001468513
0.14,-16.46793139851274
0.15,-16.51571939887895
0.16,-19.132428202854122
0.17,-18.856212758338092
0.18,-17.647713245364372
0.19,-17.958508001468513
0.2,-17.885473063693656
0.21,-17.018039454263423
0.22,-17.351563393069707
0.23,-17.5752297401287
0.24,-17.680123318930917
0.25,-17.038749290891243
0.26,-19.027519119651423
0.27,-21.415614080423868
0.28,-21.19383463711162
0.29,-25.65415744477962
0.3,-27.398855271001104
0.31,-27.275474082253403
0.32,-29.473252319759318
0.33,-33.544614261041836
0.34,-44.463877272064835
0.35,-90.30899869919435
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-84.28839878591472
0.66,-67.3864379856296
0.67,-34.06410476318697
0.68,-30.50222160344233
0.69,-27.238798913177604
0.7,-24.223497689651794
0.71,-23.097130427889383
0.72,-21.956243906149766
0.73,-19.91243882367998
0.74,-19.44005509756035
0.75,-18.032162261672976
0.76,-18.3113372577206
0.77,-19.321575652530814
0.78,-19.108473720936512
0.79,-19.613251526604525
0.8,-18.030049163587364
0.81,-18.977892081533255
0.82,-19.15404386636499
0.83,-19.353504591437904
0.84,-18.256948290789225
0.85,-19.101300239754046
0.86,-19.082199870016332
0.87,-19.343667795779453
0.88,-19.328933458678602
0.89,-19.410283381564305
0.9,-20.23590831433517
0.91,-19.3068787122425
0.92,-19.38802137115967
0.93,-19.299539557063092
0.94,-21.175606110719208
0.95,-20.28507385865258
0.96,-20.065987960753745
0.97,-21.0400980637858
0.98,-20.84217941547565
0.99,-20.09273848894443
1.0,-19.36828070439415
1.01,-19.567735843562016
1.02,-20.07935292667433
1.03,-20.620154546346217
1.04,-21.03412427425317
1.05,-19.89408926880471
1.06,-19.674312513663352
1.07,-20.28507385865258
1.08,-19.79773753379302
1.09,-20.45937849661682
1.1,-19.03226032590346
1.11,-20.714613990402935
1.12,-19.01331100911462
1.13,-19.928197926227465
1.14,-20.36763997122426
1.15,-19.402856369877878
1.16,-17.918784282424383
1.17,-17.607369978976894
1.18,-18.720186756398412
1.19,-18.786780816777565
1.2,-17.86264548251747
1.21,-18.10857820591145
1.22,-19.407807005314297
1.23,-18.91449971467118
1.24,-16.684173951682613
1.25,-19.289763653230835
1.26,-24.80277160835812
1.27,-21.966210504647844
1.28,-26.091931392896495
1.29,-29.79469102116754
1.3,-33.12623275330374
1.31,-32.64713152768056
1.32,-36.86704154048001
1.33,-39.25563437695049
1.34,-41.490817057890006
1.35,-43.57980402222377
1.36,-45.75126460692089
1.37,-46.44650673210513
1.38,-47.20227794989312
1.39,-52.24719895935549
1.4,-53.04254149678523
1.41,-54.46116490922928
1.42,-56.32959861247397
1.43,-56.86704154048
1.44,-62.009531739778
1.45,-62.3501985257536
1.46,-63.86461280451597
1.47,-65.20354859712823
1.48,-66.22659904607586
1.49,-69.48114499602985
1.5,-70.30899869919435
1.51,-66.22659904607586
1.52,-68.03013165305762
1.53,-71.22414851040786
1.54,-70.30899869919435
1.55,-68.03013165305762
1.56,-68.72537377824186
1.57,-68.72537377824186
1.58,-66.78717351808073
1.59,-68.03013165305762
1.6,-68.03013165305762
1.61,-66.22659904607586
1.62,-68.72537377824186
1.63,-71.22414851040786
1.64,-69.48114499602985
1.65,-72.24719895935547
1.66,-72.24719895935547
1.67,-78.2677988726351
1.68,-78.2677988726351
1.69,-84.28839878591472
1.7,-90.30899869919435
1.71,-52.35645687338553
1.72,-37.782191351693506
1.73,-32.345469029240824
1.74,-28.09047385386595
1.75,-25.26164840999638
1.76,-22.895036847682817
1.77,-20.56623118965063
1.78,-22.58258722131343
1.79,-21.304016532807136
1.8,-22.270653688842863
1.81,-22.995495890076004
1.82,-25.694912426942977
1.83,-28.137698224537665
1.84,-31.588782784890164
1.85,-35.100549030730114
1.86,-30.95803917481711
1.87,-31.46883763874809
1.88,-32.26894087217977
1.89,-32.44486363799739
1.9,-30.967404016304414
1.91,-32.70416318128475
1.92,-29.8521864816638
1.93,-29.568441104078858
1.94,-29.86868390283995
1.95,-31.023806095257378
1.96,-30.352537084279845
1.97,-27.884369596201925
1.98,-28.349977279311354
1.99,-29.457488450390542
2.0,-32.65850794009675
2.01,-29.28594825024673
2.02,-27.511416971169623
2.03,-29.473252319759318
2.04,-35.17627653427739
2.05,-34.57397025628313
2.06,-34.847904831909105
2.07,-34.21258512477111
2.08,-27.257117140644958
2.09,-19.039376991306145
2.1,-18.379256024463476
2.11,-15.164115678754955
2.12,-14.451363791486415
2.13,-12.956114021132388
2.14,-15.231212069997685
2.15,-14.891958466351474
2.16,-14.79533371867348
2.17,-14.318052556682057
2.18,-12.875205385484051
2.19,-13.116627123750746
2.2,-16.045910662448392
2.21,-15.632218685251368
2.22,-16.483831536532133
2.23,-14.212585124771111
2.24,-11.822379005020789
2.25,-10.801281719405011
2.26,-10.26049340563633
2.27,-10.955231690128105
2.28,-11.294888003717134
2.29,-11.23477109064325
2.3,-12.289646220811871
2.31,-13.749988133141752
2.32,-13.96827417819378
2.33,-14.887543034770461
2.34,-17.649735335849133
2.35,-19.628476578071655
2.36,-22.381524148464223
2.37,-22.525677011903706
2.38,-27.87123899712073
2.39,-25.32013947034271
2.4,-20.173487967061487
2.41,-19.110866198472106
2.42,-17.950130002614898
2.43,-16.243171136821132
2.44,-16.3836187642837
2.45,-16.23801273442975
2.46,-17.79040884486847
2.47,-17.112575538080257
2.48,-16.802599032408516
2.49,-18.65864102711311
2.5,-17.66998217401002
2.51,-25.007922929114063
2.52,-27.300010509976744
2.53,-29.11016093795526
2.54,-31.854489539329155
2.55,-32.467106645384746
2.56,-33.27160668459903
2.57,-31.01438027812177
2.58,-32.33449506740448
2.59,-33.04254149678523
2.6,-32.534179485536505
2.61,-43.782281480619325
2.62,-51.128170852772485
2.63,-61.06103874121523
2.64,-62.009531739778
2.65,-65.70002027162887
2.66,-65.70002027162887
2.67,-66.22659904607586
2.68,-67.3864379856296
2.69,-68.72537377824186
2.7,-65.70002027162887
2.71,-25.705131121813444
2.72,-23.28854164751188
2.73,-22.12386565841616
2.74,-21.63360202069704
2.75,-21.06103874121523
2.76,-16.54594358736303
2.77,-16.480295656313114
2.78,-17.435997934847773
2.79,-19.64372836362006
2.8,-18.994402942571817
2.81,-17.839877737795685
2.82,-19.805510142488927
2.83,-16.819124353267355
2.84,-16.04086805584054
2.85,-14.785148404252919
2.86,-15.11715252627486
2.87,-15.74029967970926
2.88,-16.310510644344824
2.89,-16.22770511102301
2.9,-16.529929446445998
2.91,-17.339846813543907
2.92,-17.43402499000384
2.93,-17.164056101520032
2.94,-16.874436934403196
2.95,-17.21969202879144
2.96,-16.5192697319094
2.97,-16.18317955401909
2.98,-18.467685290549415
2.99,-18.645023219821905
3.0,-19.163668121796274
3.01,-16.669709519300696
3.02,-16.73135040577964
3.03,-17.479516489112367
3.04,-16.99362768480676
3.05,-17.179368383384386
3.06,-16.907794349731674
3.07,-17.204308558508473
3.08,-17.804808191556734
3.09,-18.248277574183923
3.1,-17.217767604359494
3.11,-19.50491270235316
3.12,-17.65378092960558
3.13,-17.298962801627017
3.14,-18.837643238409985
3.15,-17.48745243268687
3.16,-18.881810844117563
3.17,-17.84815001426672
3.18,-18.333188563932055
3.19,-20.00212083742674
3.2,-18.816799872390614
3.21,-18.772960782616106
3.22,-17.175537781497354
3.23,-18.877151031968214
3.24,-18.905147477279836
3.25,-18.093666803728937
3.26,-19.36088950584456
3.27,-19.577829847763756
3.28,-18.96141254617478
3.29,-19.25806774008115
3.3,-20.856794747273465
3.31,-21.35963608019924
3.32,-23.704783007763798
3.33,-24.793560695895728
3.34,-25.47309007329038
3.35,-30.56461410103426
3.36,-31.19524369292424
3.37,-38.55477939881613
3.38,-53.04254149678523
3.39,-42.63269137958573
3.4,-36.29492435629397
3.41,-36.64805793441736
3.42,-38.35509498068411
3.43,-44.96556413113407
3.44,-50.22257122354151
3.45,-57.053842065562876
3.46,-55.98893182649837
3.47,-48.945281464271126
3.48,-48.87135855307185
3.49,-47.20227794989312
3.5,-45.300598653016465
3.51,-39.9387199016366
3.52,-21.27633975005454
3.53,-17.854359395899976
3.54,-18.830689890763345
3.55,-18.956709844577468
3.56,-19.19502080481633
3.57,-18.665457945426184
3.58,-17.977388097476638
3.59,-16.787936206156925
3.6,-17.75553806386204
3.61,-15.111111218684371
3.62,-15.84316976964268
3.63,-19.45000172291078
3.64,-22.308605997891185
3.65,-22.4691372540001
3.66,-18.423358122958234
3.67,-16.837522770733326
3.68,-16.612091466306108
3.69,-17.53322535604639
3.7,-18.370462412334945
3.71,-18.1556099654295
3.72,-16.724075790917176
3.73,-17.396623934340454
3.74,-17.567213228587747
3.75,-18.322256039344577
3.76,-18.984964322096097
3.77,-18.963764852116867
3.78,-19.740949940122007
3.79,-18.891137974826513
3.8,-16.56198730803381
3.81,-16.41864962297123
3.82,-16.291464531656285
3.83,-16.319181793750268
3.84,-18.59978410902434
3.85,-19.72039161185464
3.86,-18.733923010665663
3.87,-16.590582855303648
3.88,-18.207209461562748
3.89,-23.339007293517604
3.9,-26.001535643525916
3.91,-30.948684419321516
3.92,-33.90496950948155
3.93,-34.96588137755075
3.94,-34.60240199897902
3.95,-32.075195524117134
3.96,-31.061611985793935
3.97,-28.63894630258901
3.98,-19.47491823350859
3.99,-18.96847137601315
4.0,-18.241780212226747
4.01,-20.2631881408989
4.02,-20.927292716731948
4.03,-21.53815172347214
4.04,-21.00431679943407
4.05,-20.968682330425644
4.06,-20.760784941049323
4.07,-19.656458674616534
4.08,-19.99417036580705
4.09,-22.106957166337146
4.1,-24.584361618623298
4.11,-23.219146687405626
4.12,-23.296286534015266
4.13,-22.486766425138306
4.14,-21.801575370415534
4.15,-19.582881252173685
4.16,-19.445026986441423
4.17,-18.94496421785446
4.18,-18.987323015834438
4.19,-20.617308113537497
4.2,-20.965719379812548
4.21,-21.50656663543828
4.22,-24.129178119191074
4.23,-20.70310949913423
4.24,-20.274124106634464
4.25,-20.98648129083037
4.26,-21.969535247133628
4.27,-29.049842017504155
4.28,-33.16234877056899
