seconds_elapsed,dBFS
0.0,-18.79369908845997
0.01,-16.49621846487501
0.02,-13.308333545398977
0.03,-11.196205638729317
0.04,-8.56757458106365
0.05,-9.626059157073446
0.06,-8.634647421215405
0.07,-8.457392685368136
0.08,-8.765275617476423
0.09,-10.388402130972825
0.1,-13.443097044464213
0.11,-13.806970467234294
0.12,-16.513944776411225
0.13,-12.9690824369814
0.14,-11.17506740130134
0.15,-8.591775223425351
0.16,-10.8169228574537
0.17,-8.963860914431361
0.18,-9.515165466213839
0.19,-11.995726629078893
0.2,-13.343984405653508
0.21,-11.533602243532009
0.22,-11.773920595399616
0.23,-13.990805681458864
0.24,-11.923251889106705
0.25,-13.587582520891521
0.26,-16.02911334598148
0.27,-18.252611850540358
0.28,-17.242818440424777
0.29,-18.530125844394057
0.3,-21.78528219430413
0.31,-22.10357941415067
0.32,-22.99923900137636
0.33,-22.683086239117838
0.34,-28.732615037217386
0.35,-24.099380869940852
0.36,-29.968331913218748
0.37,-29.46536680887903
0.38,-36.72044076695198
0.39,-35.70951298520325
0.4,-34.14477924070991
0.41,-23.319562714906642
0.42,-21.43435387116242
0.43,-16.59595501688387
0.44,-16.793431865712655
0.45,-13.853872040166543
0.46,-13.09505321815358
0.47,-14.422026621272703
0.48,-15.438803404625762
0.49,-16.658876980414135
0.5,-14.390008721138292
0.51,-14.138027674386247
0.52,-14.252156444412869
0.53,-14.423421384766357
0.54,-13.94976260855448
0.55,-15.196074310060759
0.56,-15.47493902003956
0.57,-16.071167701582777
0.58,-14.388619312251372
0.59,-9.51992311995963
0.6,-13.395877499523472
0.61,-14.254892157707316
0.62,-13.818672139050175
0.63,-14.79096712136087
0.64,-16.3365501051524
0.65,-22.8250335406127
0.66,-23.607868310412528
0.67,-27.12367207732447
0.68,-27.818914202508715
0.69,-28.739862338128503
0.7,-29.648569805536145
0.71,-13.410761220951546
0.72,-13.552181466083903
0.73,-15.967244200653976
0.74,-15.206753371292933
0.75,-17.551202367578547
0.76,-18.79369908845997
0.77,-12.979707379759551
0.78,-14.547046031588412
0.79,-15.929005941619991
0.8,-13.025899579153846
0.81,-11.948391963496757
0.82,-10.030356284970281
0.83,-7.261396958242301
0.84,-7.269962925049047
0.85,-8.357605910566932
0.86,-10.048881698879619
0.87,-11.635204520036464
0.88,-12.160771483702632
0.89,-11.782149766681258
0.9,-12.553278002426927
0.91,-13.530758151074384
0.92,-14.92736295682998
0.93,-14.22484659755353
0.94,-13.378545330868622
0.95,-13.591384062846464
0.96,-14.238490787663709
0.97,-12.82864462195063
0.98,-12.126439859409142
0.99,-11.009671202572397
1.0,-9.650179943577285
1.01,-12.17152800475295
1.02,-17.304791605987177
1.03,-22.564762692919746
1.04,-25.797644430404937
1.05,-27.511416971169623
1.06,-24.904741601269503
1.07,-23.607868310412528
1.08,-23.559813473381233
1.09,-23.680452768779496
1.1,-23.68450307877971
1.11,-24.499402432580894
1.12,-22.134026575509473
1.13,-16.84489306361345
1.14,-15.33593683070901
1.15,-14.468172484952714
1.16,-11.852414305861378
1.17,-10.446448997080156
1.18,-11.86591219457318
1.19,-13.208312365676676
1.2,-16.542382336949032
1.21,-16.088046621853678
1.22,-14.780786923047511
1.23,-14.558372376649672
1.24,-14.21122380674653
1.25,-14.740185027769702
1.26,-15.029962178527875
1.27,-14.780786923047511
1.28,-15.398134659233875
1.29,-17.927132086659505
1.3,-19.224062535872147
1.31,-24.99849199481288
1.32,-25.649076491351277
1.33,-28.841964651456337
1.34,-27.78637055395467
1.35,-27.093627461971792
1.36,-29.69700425987533
1.37,-26.603823393262655
1.38,-22.318985472902146
1.39,-23.749566226734146
1.4,-24.46830997929963
1.41,-24.80277160835812
1.42,-24.517219648342422
1.43,-25.315250143088328
1.44,-27.6510033003047
1.45,-28.596052933257226
1.46,-25.679606890580725
1.47,-26.603823393262655
1.48,-26.017419627784374
1.49,-26.992246205391794
1.5,-26.575521349199455
1.51,-26.897897528770187
1.52,-25.369184714363364
1.53,-24.463877272064835
1.54,-21.534988041179627
1.55,-19.99417036580705
1.56,-20.010078593034272
1.57,-18.902810990476762
1.58,-18.14061767284865
1.59,-18.061799739838868
1.6,-19.09413267810012
1.61,-17.021801208171535
1.62,-16.684173951682613
1.63,-16.089736319288843
1.64,-14.548461017278282
1.65,-14.891958466351474
1.66,-14.850834799768922
1.67,-15.467070653129468
1.68,-18.568256344325246
1.69,-19.039376991306145
1.7,-17.25827032733385
1.71,-15.661123502734988
1.72,-17.32230152495152
1.73,-16.969284332601145
1.74,-18.239615504517584
1.75,-21.091041844063398
1.76,-19.13962744871846
1.77,-19.730664693641263
1.78,-19.86011402906796
1.79,-20.033995697557888
1.8,-22.657852261018636
1.81,-28.301587796843094
1.82,-31.137721034755007
1.83,-32.83096674190513
1.84,-34.29465713354666
1.85,-33.93129040731416
1.86,-34.81865938462336
1.87,-33.33290467815828
1.88,-33.5068768100592
1.89,-34.18539921951661
1.9,-34.37751203498576
1.91,-34.226210052487346
1.92,-34.40530690554588
1.93,-35.32974147407113
1.94,-34.489229197418034
1.95,-33.970921911681145
1.96,-37.9480367649525
1.97,-34.995627604014075
1.98,-35.02547605138774
1.99,-34.76046225140812
2.0,-33.44434313723417
2.01,-36.59416392714908
2.02,-35.36076254146589
2.03,-34.09091308582035
2.04,-37.24474842368748
2.05,-32.936109931297835
2.06,-24.881461261312868
2.07,-21.8277081908446
2.08,-19.122838481054107
2.09,-18.48993399543464
2.1,-14.152888053781867
2.11,-15.798933322008047
2.12,-13.601529649794182
2.13,-16.26038797028385
2.14,-17.527241277519607
2.15,-21.25181198327731
2.16,-19.363352539928293
2.17,-17.485467766932075
2.18,-17.42613768899598
2.19,-16.159298459844884
2.2,-16.722258088778478
2.21,-17.599323762896113
2.22,-18.775262595174446
2.23,-18.372659980882545
2.24,-15.15197182548276
2.25,-13.116627123750746
2.26,-15.352996881906979
2.27,-15.771195884357924
2.28,-14.989670203480081
2.29,-17.32230152495152
2.3,-16.28627737734383
2.31,-17.179368383384386
2.32,-15.523882633824144
2.33,-16.61388625702188
2.34,-14.207141132340897
2.35,-12.891560797839501
2.36,-12.221180298947123
2.37,-14.719955031113122
2.38,-15.89093528292521
2.39,-19.552616797728874
2.4,-20.691620225451
2.41,-24.27537971332283
2.42,-23.296286534015266
2.43,-24.825841713920763
2.44,-22.94326100115174
2.45,-21.0430864999543
2.46,-21.325604055890338
2.47,-23.737329704910316
2.48,-23.92687751299883
2.49,-24.548487991427102
2.5,-25.11234471792468
2.51,-25.9382885948638
2.52,-27.884369596201925
2.53,-28.841964651456337
2.54,-26.868622510703226
2.55,-28.17158780962128
2.56,-28.63894630258901
2.57,-25.07898323522875
2.58,-26.620848990947955
2.59,-27.417514547002032
2.6,-32.075195524117134
2.61,-34.433191005377985
2.62,-32.04332066398599
2.63,-29.426046281619897
2.64,-27.355472214372384
2.65,-28.57468542029671
2.66,-27.50512512762173
2.67,-30.317688934674713
2.68,-25.083741323344487
2.69,-26.82780254469385
2.7,-28.212430626121247
2.71,-27.461209376817635
2.72,-20.34278762340235
2.73,-17.31646096238377
2.74,-18.56151525773305
2.75,-19.489902520671702
2.76,-15.492274558048129
2.77,-14.856697702210939
2.78,-17.587268397132902
2.79,-19.71013066602097
2.8,-16.443255559081248
2.81,-17.463666321140888
2.82,-17.206230002966713
2.83,-17.868865239058263
2.84,-21.187754210095328
2.85,-22.30169323219558
2.86,-23.00298372643461
2.87,-21.450001307637123
2.88,-22.7592310316717
2.89,-21.707497588155572
2.9,-22.85443988148245
2.91,-22.086710328176263
2.92,-23.385852654554192
2.93,-22.895036847682817
2.94,-20.82758863489348
2.95,-20.192438022097633
2.96,-19.79773753379302
2.97,-20.891972208672005
2.98,-22.958153228782827
2.99,-19.122838481054107
3.0,-18.784475950202257
3.01,-17.038749290891243
3.02,-14.86256456473596
3.03,-15.31736400188317
3.04,-13.53453489856692
3.05,-10.875133920197138
3.06,-9.308367451826324
3.07,-10.672626555781084
3.08,-10.328128707131102
3.09,-8.336816313188503
3.1,-13.857791960340514
3.11,-17.252472647974265
3.12,-21.331781787045543
3.13,-23.31567901726176
3.14,-21.824437285274758
3.15,-14.681072595258541
3.16,-14.163711593672215
3.17,-13.73451215641853
3.18,-9.939982051467236
3.19,-7.9576074299178075
3.2,-7.436838002442441
3.21,-6.288707534926914
3.22,-8.176342920792045
3.23,-10.948684419321523
3.24,-8.093838521596604
3.25,-7.8228276468813185
3.26,-14.858164046375489
3.27,-12.538669477695452
3.28,-11.400611847133092
3.29,-14.31667460956438
3.3,-13.675441715365025
3.31,-9.509618161845141
3.32,-13.699791698575014
3.33,-15.704661887820478
3.34,-20.362111078842755
3.35,-22.63269137958573
3.36,-25.518004282384897
3.37,-25.04101207251431
3.38,-27.147782820462254
3.39,-27.599984712284076
3.4,-27.695891718753742
3.41,-26.39100565100968
3.42,-27.884369596201925
3.43,-26.97447758759332
3.44,-26.851104744150835
3.45,-28.23976625730026
3.46,-28.00344687127633
3.47,-30.754526593417395
3.48,-34.789512076606975
3.49,-32.422677445505585
3.5,-32.17152800475295
3.51,-26.9272715494539
3.52,-27.760423142162377
3.53,-28.42656678238313
3.54,-25.315250143088328
3.55,-22.069873940586326
3.56,-21.5223448225891
3.57,-19.88623702511363
3.58,-18.752271873339478
3.59,-15.677223395459583
3.6,-15.500165800199037
3.61,-15.6885111028806
3.62,-14.649518800313393
3.63,-15.156523781026577
3.64,-14.802616262604806
3.65,-13.542093323674539
3.66,-15.47493902003956
3.67,-17.757585415583495
3.68,-18.786780816777565
3.69,-15.43723569599628
3.7,-17.806867191125004
3.71,-17.718768015185294
3.72,-17.651757897189757
3.73,-21.09705492124233
3.74,-23.631995797143453
3.75,-25.705131121813444
3.76,-27.890942346903813
3.77,-28.20561013920772
3.78,-27.70232332929423
3.79,-31.710407497502597
3.8,-33.247208102157046
3.81,-34.077498581782486
3.82,-32.959648942013324
3.83,-32.83096674190513
3.84,-31.74108165406008
3.85,-31.548616749670153
3.86,-32.19308109183699
3.87,-31.24347196584827
3.88,-30.537819561622044
3.89,-30.618452432318502
3.9,-30.119980783220477
3.91,-30.317688934674713
3.92,-28.841964651456337
3.93,-30.449096730567526
3.94,-29.293672474533512
3.95,-28.301587796843094
3.96,-29.934988725869488
3.97,-31.37013328523785
3.98,-33.67160321358432
3.99,-32.01156234839335
4.0,-32.61309142021474
4.01,-29.457488450390542
4.02,-26.845273330948878
4.03,-24.340671097968464
4.04,-21.44060946353801
4.05,-20.331764919336678
4.06,-13.770665755495948
4.07,-15.64023815737313
4.08,-13.786206340476062
4.09,-14.065443216019279
4.1,-17.92504438333541
4.11,-14.973308389237179
4.12,-12.543161792064051
4.13,-18.13847802765047
4.14,-14.169128425552213
4.15,-14.556955775547607
4.16,-12.964364408816476
4.17,-11.758511881693783
4.18,-14.864031899757286
4.19,-16.714991081755073
4.2,-18.278663026194153
4.21,-18.14275784524781
4.22,-17.902112704104493
4.23,-18.49884945902269
4.24,-19.353504591437904
4.25,-20.906671636174273
4.26,-24.35816534283116
4.27,-24.900080538835105
4.28,-25.875498757778978
4.29,-29.9266728902529
4.3,-33.95769130799874
4.31,-34.67389120614498
4.32,-34.349805824450435
4.33,-33.0069192063718
4.34,-34.67389120614498
4.35,-34.25352419335484
4.36,-31.771864520200506
4.37,-31.350526302559825
4.38,-30.052254205090914
4.39,-31.272537992876117
4.4,-29.91006506561751
4.41,-31.4094805309534
4.42,-31.508635599041092
4.43,-31.5988533827001
4.44,-32.41160556428931
4.45,-31.679841285414255
4.46,-33.235034463670864
4.47,-33.235034463670864
4.48,-33.49433400695822
4.49,-33.58251638505932
4.5,-35.32974147407113
4.51,-34.63092711373966
4.52,-33.25939882645723
4.53,-34.51738445590585
4.54,-35.02547605138774
4.55,-36.10665139695803
4.56,-35.517551810192515
4.57,-36.005651542225195
4.58,-38.224477637504954
4.59,-36.34698778672656
4.6,-36.39936516939041
4.61,-31.885677686439582
4.62,-26.76981908745619
4.63,-25.251938079596492
4.64,-20.95683658752169
4.65,-20.9953944672288
4.66,-16.34524730187191
4.67,-18.62237421184374
4.68,-18.26128689709225
4.69,-19.849686789354628
4.7,-18.388058548285574
4.71,-16.099881412485864
4.72,-14.75176621566952
4.73,-13.712634950416806
4.74,-13.23503446367087
4.75,-13.225307822522225
4.76,-14.017388378987988
4.77,-15.377871470986975
4.78,-16.578060717934232
4.79,-17.569216662949774
4.8,-18.278663026194153
4.81,-20.28507385865258
4.82,-26.302935039562655
4.83,-27.29386990198818
4.84,-29.371294882440154
4.85,-31.099583148508376
4.86,-27.251006771319407
4.87,-25.628782347450773
4.88,-22.130638282258758
4.89,-19.81328971276991
4.9,-19.567735843562016
4.91,-17.495395633641053
4.92,-14.576809246221158
4.93,-12.18768780408962
4.94,-10.893695503579004
4.95,-10.136143747888655
4.96,-13.720350026842386
4.97,-16.147382489829727
4.98,-18.947312072886476
4.99,-21.3101789237276
5.0,-20.772366128949145
5.01,-19.086971026213234
5.02,-16.933827864175203
5.03,-13.395877499523472
5.04,-13.443097044464213
5.05,-17.165968661175025
5.06,-21.640002823962433
5.07,-22.913552927255097
5.08,-27.057710568733974
5.09,-27.937091394719115
5.1,-28.336124182853215
5.11,-31.36032426145334
5.12,-33.878728131098896
5.13,-29.23974660068525
5.14,-31.17602711509029
5.15,-30.33509553296124
5.16,-28.151238195538383
5.17,-28.070313172540725
5.18,-24.397656699944775
5.19,-20.540804921130395
5.2,-16.34524730187191
5.21,-14.47799259864776
5.22,-13.270385126389005
5.23,-10.331611421547473
5.24,-7.190138339757622
5.25,-5.943016181490902
