seconds_elapsed,dBFS
0.0,-45.15542720181067
0.01,-47.32461644608676
0.02,-47.7669027318982
0.03,-45.20354859712824
0.04,-46.012121738240396
0.05,-47.70232332929424
0.06,-46.012121738240396
0.07,-45.34953337195822
0.08,-44.68833135423981
0.09,-45.34953337195822
0.1,-48.653291292865354
0.11,-48.653291292865354
0.12,-45.15542720181067
0.13,-47.7669027318982
0.14,-49.247429829525956
0.15,-42.9246815509915
0.16,-48.164799306236986
0.17,-46.67212694029891
0.18,-45.20354859712824
0.19,-44.11639535067637
0.2,-47.02194158350561
0.21,-48.653291292865354
0.22,-45.90683693839325
0.23,-41.490817057890006
0.24,-43.7414066304196
0.25,-47.02194158350561
0.26,-46.39100565100968
0.27,-45.802813064677096
0.28,-45.85466927624269
0.29,-46.67212694029891
0.3,-47.96357278607907
0.31,-43.86461280451597
0.32,-43.7414066304196
0.33,-42.81403177899228
0.34,-44.733926680137785
0.35,-44.24507755078458
0.36,-42.178195090515246
0.37,-45.75126460692089
0.38,-43.3040383325111
0.39,-43.94773199993912
0.4,-44.24507755078458
0.41,-43.539868827102254
0.42,-46.22659904607586
0.43,-42.704773864962235
0.44,-47.44870269411245
0.45,-44.82584171392076
0.46,-42.56120217241977
0.47,-41.091041844063405
0.48,-43.539868827102254
0.49,-45.44823772546847
0.5,-45.85466927624269
0.51,-47.44870269411245
0.52,-45.54807663661845
0.53,-42.246588275678
0.54,-43.46054508275023
0.55,-45.95931981491623
0.56,-47.51141697116962
0.57,-39.78221315139747
0.58,-40.9125583796311
0.59,-42.7410406802316
0.6,-45.75126460692089
0.61,-48.945281464271126
0.62,-48.798059471343734
0.63,-44.82584171392076
0.64,-43.61992367617574
0.65,-47.02194158350561
0.66,-44.24507755078458
0.67,-44.03165429181129
0.68,-43.342901438231145
0.69,-43.381939210181585
0.7,-45.20354859712824
0.71,-44.15907794093009
0.72,-47.08163865449485
0.73,-44.508306471944
0.74,-46.67212694029891
0.75,-46.012121738240396
0.76,-45.54807663661845
0.77,-45.300598653016465
0.78,-42.81403177899228
0.79,-46.118698408341736
0.8,-44.11639535067637
0.81,-42.7410406802316
0.82,-44.82584171392076
0.83,-43.421153225492134
0.84,-46.61517008284237
0.85,-44.779762615729474
0.86,-44.073921478079264
0.87,-45.01264223900363
0.88,-43.989591790056004
0.89,-44.59785251903888
0.9,-42.14419939295736
