seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-39.67942035834925
0.59,-39.91243882367998
0.6,-39.57782984776375
0.61,-39.86011402906796
0.62,-38.96847137601314
0.63,-38.59978410902434
0.64,-41.68172341601461
0.65,-41.84408122045819
0.66,-41.64961288170624
0.67,-42.59687322722811
0.68,-39.20710972762797
0.69,-40.37040573773005
0.7,-37.18703465893772
0.71,-38.66773144096018
0.72,-39.99152182496077
0.73,-43.61992367617574
0.74,-39.57782984776375
0.75,-38.71332676685816
0.76,-40.12494825257229
0.77,-40.73766878731749
0.78,-40.56623118965063
0.79,-37.18703465893772
0.8,-35.37631472044278
0.81,-36.31224418184944
0.82,-36.922661087872115
0.83,-37.65985285549987
0.84,-36.522821516721955
0.85,-31.802756869201367
0.86,-31.761591438413884
0.87,-32.66989927240235
0.88,-29.68891307192362
0.89,-28.03013165305762
0.9,-27.269350790044875
0.91,-26.740971868519253
0.92,-25.46811391180334
0.93,-23.860477651075303
0.94,-22.965608928500743
0.95,-23.71697373206398
0.96,-24.557442517620245
0.97,-26.150928091473325
0.98,-23.843956695760617
0.99,-24.858243151689607
1.0,-24.019014139731325
1.01,-25.393811579848816
1.02,-23.769998815874377
1.03,-23.69260936927762
1.04,-24.82122278818678
1.05,-24.839713246767428
1.06,-26.67784322193863
1.07,-26.08124764045718
1.08,-26.313895154124864
1.09,-24.629413014424756
1.1,-26.038643559268255
1.11,-24.03165429181129
1.12,-24.503853311303992
1.13,-24.33193717100022
1.14,-26.980396422328702
1.15,-24.271044355290194
1.16,-25.285971835687263
1.17,-23.93104440664462
1.18,-24.839713246767428
1.19,-23.87703008988748
1.2,-25.438316662553117
1.21,-26.886175678626714
1.22,-26.507970344010236
1.23,-26.804562692333306
1.24,-26.637908026817122
1.25,-28.79805947134374
1.26,-26.491164360750965
1.27,-24.793560695895728
1.28,-25.45817013322667
1.29,-24.310140698739016
1.3,-24.219188143724605
1.31,-24.844342018333446
1.32,-26.21574846422998
1.33,-24.65202664250146
1.34,-25.583293150233786
1.35,-24.120654183631558
1.36,-23.802791264973134
1.37,-21.662442853962276
1.38,-22.991754391143253
1.39,-23.46054508275023
1.4,-23.19230878149564
1.41,-22.511507531374647
1.42,-23.868749927546347
1.43,-23.30016156849313
1.44,-23.72918159020578
1.45,-24.606858107858116
1.46,-27.099628076813605
1.47,-25.996247430493117
1.48,-25.498013733542365
1.49,-28.124179327430294
1.5,-25.4234562831575
1.51,-28.370798439033223
1.52,-24.561923244899425
1.53,-25.990962435113723
1.54,-27.72164678473464
1.55,-27.715200855208337
1.56,-27.773387158954176
1.57,-29.332396968627354
1.58,-29.968331913218748
1.59,-32.32353495284228
1.6,-33.735800768487955
1.61,-36.17464305245918
1.62,-37.439945169470604
1.63,-38.267798872635105
1.64,-39.15885466108119
1.65,-38.55477939881613
1.66,-39.70500473513271
1.67,-40.20599913279624
1.68,-39.13482728853104
1.69,-38.289540785459394
1.7,-37.619453295979724
1.71,-37.844012891236346
1.72,-42.49029655712677
1.73,-41.71395309914619
1.74,-38.75916270244985
1.75,-37.9480367649525
1.76,-39.353504591437904
1.77,-42.52567701190371
1.78,-36.95993964139527
1.79,-36.55841947490166
1.8,-37.32230152495152
1.81,-37.70044119869388
1.82,-39.304431638092474
1.83,-38.01105437853166
1.84,-39.47741382026274
1.85,-38.35509498068411
1.86,-39.03937699130614
1.87,-43.1884815553319
1.88,-39.75640068176758
1.89,-50.22257122354151
1.9,-52.35645687338553
1.91,-55.19150158574453
1.92,-58.26779887263511
1.93,-62.3501985257536
1.94,-67.3864379856296
1.95,-76.32959861247397
1.96,-84.28839878591472
1.97,-73.40703789890921
1.98,-69.48114499602985
1.99,-67.3864379856296
2.0,-65.70002027162887
2.01,-65.20354859712823
2.02,-64.28839878591474
2.03,-64.28839878591474
2.04,-64.28839878591474
2.05,-64.28839878591474
2.06,-64.28839878591474
2.07,-64.73392668013777
2.08,-64.73392668013777
2.09,-65.20354859712823
2.1,-65.20354859712823
2.11,-65.70002027162887
2.12,-66.22659904607586
2.13,-66.78717351808073
2.14,-67.3864379856296
2.15,-68.03013165305762
2.16,-68.72537377824186
2.17,-69.48114499602985
2.18,-70.30899869919435
2.19,-71.22414851040786
2.2,-72.24719895935547
2.21,-72.24719895935547
2.22,-73.40703789890921
2.23,-74.74597369152148
2.24,-74.74597369152148
2.25,-74.74597369152148
2.26,-76.32959861247397
2.27,-76.32959861247397
2.28,-78.2677988726351
2.29,-78.2677988726351
2.3,-78.2677988726351
2.31,-80.76657360480111
2.32,-80.76657360480111
2.33,-80.76657360480111
2.34,-80.76657360480111
2.35,-84.28839878591472
2.36,-84.28839878591472
2.37,-84.28839878591472
