seconds_elapsed,dBFS
0.0,-100
0.01,-100
0.02,-100
0.03,-100
0.04,-100
0.05,-100
0.06,-100
0.07,-100
0.08,-100
0.09,-100
0.1,-100
0.11,-100
0.12,-100
0.13,-100
0.14,-100
0.15,-100
0.16,-100
0.17,-100
0.18,-100
0.19,-100
0.2,-100
0.21,-100
0.22,-100
0.23,-100
0.24,-100
0.25,-100
0.26,-100
0.27,-100
0.28,-100
0.29,-100
0.3,-100
0.31,-100
0.32,-100
0.33,-100
0.34,-100
0.35,-100
0.36,-100
0.37,-100
0.38,-100
0.39,-100
0.4,-100
0.41,-100
0.42,-100
0.43,-100
0.44,-100
0.45,-100
0.46,-100
0.47,-100
0.48,-100
0.49,-100
0.5,-100
0.51,-100
0.52,-100
0.53,-100
0.54,-100
0.55,-100
0.56,-100
0.57,-100
0.58,-100
0.59,-100
0.6,-100
0.61,-100
0.62,-100
0.63,-100
0.64,-100
0.65,-100
0.66,-100
0.67,-100
0.68,-100
0.69,-100
0.7,-100
0.71,-100
0.72,-100
0.73,-100
0.74,-100
0.75,-100
0.76,-100
0.77,-100
0.78,-100
0.79,-100
0.8,-100
0.81,-100
0.82,-100
0.83,-100
0.84,-84.28839878591472
0.85,-80.76657360480111
0.86,-59.9387199016366
0.87,-46.44650673210513
0.88,-40.708859840051346
0.89,-32.76157178179887
0.9,-31.95888850814342
0.91,-30.422655645801623
0.92,-29.87694437862951
0.93,-26.502364735788525
0.94,-23.116082845703502
0.95,-22.09345403165016
0.96,-21.956243906149766
0.97,-22.298238911355433
0.98,-22.806705005349855
0.99,-22.229439425807264
1.0,-22.06651057572801
1.01,-22.4691372540001
1.02,-22.486766425138306
1.03,-22.486766425138306
1.04,-23.10091760459558
1.05,-22.37106971634388
1.06,-22.002852854683006
1.07,-22.20890539818697
1.08,-21.899981517072995
1.09,-22.100202974987425
1.1,-22.308605997891185
1.11,-22.64706010021247
1.12,-22.43398589223275
1.13,-21.67529180547412
1.14,-21.811365966573018
1.15,-21.7820272234442
1.16,-21.409376457435464
1.17,-21.282482529403964
1.18,-20.836340161717537
1.19,-19.996819714504753
1.2,-19.95452680251965
1.21,-20.143792588947665
1.22,-19.67686606053991
1.23,-20.364875085115266
1.24,-20.56057447200487
1.25,-20.50420899426861
1.26,-20.877297615490562
1.27,-19.891471065427517
1.28,-20.047311489891474
1.29,-19.618323579092042
1.3,-19.44005509756035
1.31,-20.271388824093183
1.32,-19.928197926227465
1.33,-20.195148550950353
1.34,-19.96772122954126
1.35,-19.623398595092727
1.36,-19.96772122954126
1.37,-19.613251526604525
1.38,-19.353504591437904
1.39,-19.445026986441423
1.4,-18.816799872390614
1.41,-19.304431638092478
1.42,-19.082199870016332
1.43,-18.812174797926662
1.44,-19.1708933180854
1.45,-19.151639467833913
1.46,-19.238619896214963
1.47,-19.380613362490525
1.48,-18.679107853376372
1.49,-19.0180444640754
1.5,-18.789086295129003
1.51,-18.789086295129003
1.52,-18.954359448232974
1.53,-18.984964322096097
1.54,-18.886473157508124
1.55,-19.11325933518323
1.56,-18.68138492499462
1.57,-19.207109727627973
1.58,-19.146832666583368
1.59,-19.144430263127845
1.6,-19.277559225709282
1.61,-19.248338375145558
1.62,-19.321575652530814
1.63,-19.279998739736854
1.64,-19.106081902213404
1.65,-19.370745835569505
1.66,-18.930890399536782
1.67,-19.238619896214963
1.68,-19.163668121796274
1.69,-18.956709844577468
1.7,-19.103690741940063
1.71,-18.79831433279707
1.72,-19.07743133317514
1.73,-19.034631899880804
1.74,-18.977892081533255
1.75,-19.2970945494078
1.76,-18.919179612218695
1.77,-19.289763653230835
1.78,-19.238619896214963
1.79,-18.980248855292952
1.8,-19.378145429631736
1.81,-18.99912610181711
1.82,-19.30932647600058
1.83,-19.326480164032134
1.84,-19.250769694864182
1.85,-19.265371922407642
1.86,-19.3068787122425
1.87,-19.156448930657824
1.88,-19.42267586424581
1.89,-19.19743724373526
1.9,-19.59552263067935
1.91,-19.517441032288176
1.92,-19.628476578071655
1.93,-19.802918500029577
1.94,-19.592992882696404
1.95,-19.628476578071655
1.96,-19.674312513663352
1.97,-19.482407145860485
1.98,-19.600584338070888
1.99,-19.77704451712531
2.0,-19.707567322446792
2.01,-19.839272052329797
2.02,-19.60311629833895
2.03,-19.6360991232191
2.04,-19.66410582666271
2.05,-19.07743133317514
2.06,-19.437570219947048
2.07,-19.383081996765508
2.08,-19.19502080481633
2.09,-19.321575652530814
2.1,-19.40038210988733
2.11,-19.385551332855506
2.12,-19.565214174321465
2.13,-19.370745835569505
2.14,-19.370745835569505
2.15,-19.48490488552919
2.16,-19.03226032590346
2.17,-19.580355182754086
2.18,-19.65136431104641
2.19,-19.965080740194875
2.2,-19.725526633959895
2.21,-19.996819714504753
2.22,-19.93608821258813
2.23,-20.552096296965647
2.24,-20.654384697595496
2.25,-20.783962779053688
2.26,-20.603089924672577
2.27,-20.543626389285162
2.28,-20.173487967061487
2.29,-20.2604562995057
2.3,-20.254995192983102
2.31,-19.83667031810694
2.32,-19.47741382026274
2.33,-20.490174592058622
2.34,-19.598053115661
2.35,-19.55009951336462
2.36,-19.899328044378517
2.37,-20.173487967061487
2.38,-19.8288697880469
2.39,-19.946619756331295
2.4,-19.60311629833895
2.41,-19.867942681817908
2.42,-20.364875085115266
2.43,-19.95980216838971
2.44,-19.917688681584174
2.45,-19.75382364877492
2.46,-20.028675091181366
2.47,-19.328933458678602
2.48,-19.435086053009464
2.49,-19.821076257117518
2.5,-19.946619756331295
2.51,-19.943985673024358
2.52,-19.67686606053991
2.53,-19.671759717278167
2.54,-19.73323486369643
2.55,-19.79773753379302
2.56,-19.821076257117518
2.57,-19.79773753379302
2.58,-19.51994886820514
2.59,-19.46245104371487
2.6,-19.33384212772027
2.61,-19.07743133317514
2.62,-18.79369908845997
2.63,-18.980248855292952
2.64,-18.996764201153184
2.65,-19.11804758758567
2.66,-18.923862032622154
2.67,-19.221638679392605
2.68,-19.245907735801847
